URS-ch otbor,Roslavl,1989.??.??,?,"Milov, Vadim","Baikov, Vladimir A",,,B63,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'Nc6'], ['Bg5', 'e6'], ['Qd2', 'Be7'], ['O-O-O', 'O-O\n'], ['Nb3', 'Qb6'], ['f3', 'Rd8'], ['h4', 'd5'], ['Bxf6', 'Bxf6'], ['exd5', 'Bxc3'], ['Qxc3', 'exd5'], ['Qc5', 'Qc7\n'], ['Bb5', 'Bf5'], ['Bxc6', 'bxc6'], ['g4', 'Be6'], ['Nd4', 'Bd7'], ['h5', 'Qb6'], ['Nb3', 'Qxc5'], ['Nxc5', 'h6\n'], ['Rhe1', 'Kf8'], ['Rd3', 'Be8'], ['Rd4', 'Rdc8'], ['Rf4', 'a5'], ['Re3', 'Rab8'], ['Ra3', 'Rb5'], ['Ne6+', 'Kg8\n'], ['Nd4', 'Rb4'], ['Rxa5', 'c5'], ['Ne2', 'd4'], ['Rf5', 'Rcb8'], ['b3', 'c4'], ['a3', 'R4b6'], ['Nxd4', 'cxb3\n'], ['cxb3', 'Bd7'], ['Rf4', 'Rd6'], ['b4', 'Rd8'], ['Kc2', '']]",1-0
URS-ch otbor,Roslavl,1989.??.??,?,"Milov, Vadim","Ivanov, Alexey",,,B63,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'Nc6'], ['Bg5', 'e6'], ['Qd2', 'a6'], ['O-O-O', 'Be7\n'], ['Nb3', 'b5'], ['Bxf6', 'gxf6'], ['Ne2', 'Qb6'], ['f4', 'a5'], ['Nbd4', 'b4'], ['Nxc6', 'Qxc6'], ['Nd4', 'Qxe4\n'], ['Be2', 'Qb7'], ['Rhe1', 'Rb8'], ['Bh5', 'e5'], ['fxe5', 'dxe5'], ['Qf2', 'Qc7'], ['Nf5', 'Bxf5'], ['Qxf5', 'Rb6\n'], ['Rxe5', 'Rc6'], ['Re3', 'Rc5'], ['Qxf6', 'Rf8'], ['Rde1', '']]",1-0
URS-ch otbor,Roslavl,1989.??.??,?,"Milov, Vadim","Kozlov, Oleg",,,B41,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'a6'], ['c4', 'Nf6'], ['Nc3', 'Bb4'], ['Bd2', 'O-O'], ['Nc2', 'Bxc3\n'], ['Bxc3', 'Nxe4'], ['Bb4', 'd6'], ['Qe2', 'a5'], ['Ba3', 'Nc5'], ['O-O-O', 'Qe7'], ['Qd2', 'Bd7'], ['Qxd6', 'Qxd6\n'], ['Rxd6', 'Rc8'], ['f3', 'Nba6'], ['Be2', 'h6'], ['b3', 'Be8'], ['Kb2', 'Nd7'], ['Rhd1', 'Nf6'], ['Bf1', 'Nc7\n'], ['Rb6', 'Rab8'], ['Be7', 'Na8'], ['Rbd6', 'b6'], ['a4', 'Rb7'], ['Bd8', 'Rd7'], ['Rxd7', 'Nxd7'], ['Be7', 'f6\n'], ['Nd4', 'Ne5'], ['Nb5', 'Nc7']]",1-0
URS-ch otbor,Roslavl,1989.??.??,?,"Grigorov, Jordan N","Milov, Vadim",,,D14,"[['d4', 'd5'], ['c4', 'c6'], ['cxd5', 'cxd5'], ['Nc3', 'Nf6'], ['Bf4', 'Nc6'], ['e3', 'Bf5'], ['Nf3', 'e6'], ['Bb5', 'Nd7\n'], ['Qa4', 'Rc8'], ['Bxc6', 'Rxc6'], ['Qxa7', 'Qc8'], ['Qa5', 'Ra6'], ['Qc7', 'Qxc7'], ['Bxc7', 'Bb4'], ['Ke2', 'Bxc3\n'], ['bxc3', 'O-O'], ['Nh4', 'Rc8'], ['Bf4', 'Be4'], ['f3', 'Bc2'], ['Rhc1', 'Rxc3'], ['g4', 'Rc4'], ['Ng2', 'Nb6\n'], ['Ne1', 'Bg6'], ['Rxc4', 'Nxc4'], ['Nd3', 'Bxd3+'], ['Kxd3', 'Ra3+'], ['Ke2', 'f6'], ['e4', 'g5'], ['Bc1', 'Rc3\n'], ['exd5', 'exd5'], ['f4', 'h6'], ['fxg5', 'hxg5'], ['h4', 'gxh4'], ['g5', 'Kf7'], ['Bf4', 'fxg5'], ['Bxg5', 'h3\n'], ['Rb1', 'b6'], ['Bd8', 'Rc2+'], ['Kf3', 'Nd2+']]",0-1
URS-ch U20,Sochi,1990.??.??,?,"Frolov, Artur","Milov, Vadim",,,B32,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'e5'], ['Nb5', 'd6'], ['c4', 'Be7'], ['N1c3', 'a6'], ['Na3', 'Be6\n'], ['Nc2', 'Bg5'], ['Ne3', 'Nge7'], ['Bd3', 'O-O'], ['O-O', 'Nd4'], ['b3', 'g6'], ['Ne2', 'Ndc6'], ['Kh1', 'Bf6\n'], ['Nd5', 'Bg7'], ['Bg5', 'Rb8'], ['Rc1', 'f6'], ['Be3', 'f5'], ['exf5', 'gxf5'], ['Bg5', 'Qd7'], ['Nxe7+', 'Nxe7\n'], ['f3', 'b5'], ['Nc3', 'Rfc8'], ['Qd2', 'Ng6'], ['Nd5', 'Qf7'], ['Rc2', 'bxc4'], ['bxc4', 'Kh8'], ['Be3', 'Ne7\n'], ['Nxe7', 'Qxe7'], ['Rfc1', 'Rc6'], ['h3', 'Qd7'], ['f4', 'Rbc8'], ['Be2', 'e4'], ['Kh2', 'h6'], ['Bd4', 'Bxd4\n'], ['Qxd4+', 'Qg7'], ['Qd2', 'Kh7'], ['g4', 'Qe7'], ['Rb2', 'd5'], ['Rcb1', 'Qd6'], ['gxf5', 'Bxf5'], ['cxd5', 'R6c7\n'], ['Rg1', 'Rf7'], ['Bh5', 'Re7'], ['Bg4', 'Rf8'], ['Rb3', 'Bg6'], ['Rf1', 'Ref7'], ['Kg3', 'Rg7'], ['Kh2', 'Rgf7\n'], ['Kg2', 'Rxf4'], ['Rxf4', 'Rxf4'], ['Be6', 'Qe5'], ['Rb7+', 'Kh8'], ['Qc1', 'Qg5+'], ['Kh1', 'Rf8'], ['Qb2+', 'Qf6\n'], ['d6', 'Qxb2'], ['Rxb2', 'Rd8'], ['d7', 'Kg7'], ['Rb4', 'e3'], ['Rb3', '']]",1/2-1/2
URS-ch U20,Sochi,1990.??.??,?,"Alterman, Boris","Milov, Vadim",,,D46,"[['d4', 'd5'], ['c4', 'c6'], ['e3', 'Nf6'], ['Bd3', 'e6'], ['Nf3', 'dxc4'], ['Bxc4', 'Nbd7'], ['O-O', 'Bd6'], ['Nc3', 'O-O\n'], ['e4', 'e5'], ['h3', 'Qe7'], ['Re1', 'Rd8'], ['Ng5', 'Rf8'], ['Nf3', 'Rd8'], ['Bf1', 'Bc7'], ['Qc2', 'exd4\n'], ['Nxd4', 'Ne5'], ['Be3', 'Bb6'], ['Nb3', 'Bxe3'], ['Rxe3', 'b6'], ['f4', 'Ng6'], ['Qf2', 'Bb7'], ['e5', 'Nd5\n'], ['Nxd5', 'Rxd5'], ['Bc4', 'Rdd8'], ['Rae1', 'Qh4'], ['Qxh4', 'Nxh4'], ['e6', 'c5'], ['e7', 'Re8'], ['R1e2', 'Bc6\n'], ['Bd3', 'Bd7'], ['Nd2', 'Nf5'], ['Bxf5', 'Bxf5'], ['g4', 'Be6'], ['b3', 'Bd5'], ['Re5', 'Bb7'], ['Re1', 'f6\n'], ['Re6', 'b5'], ['a4', 'Rab8'], ['axb5', 'Bd5'], ['Rd6', 'Bf7'], ['Nc4', 'Rb7'], ['Rd8', 'Rxe7'], ['Rxe7', 'Rxd8\n'], ['Rxa7', 'h5'], ['b6', 'Bxc4'], ['bxc4', 'Rb8'], ['b7', 'Kh7'], ['Kf2', 'hxg4'], ['hxg4', 'Kg6'], ['Kf3', 'Kf7\n'], ['Ke4', 'Ke6'], ['Ra6+', 'Kd7'], ['Rb6', 'Kc7'], ['Rb5', 'Kc6'], ['Kf5', '']]",1-0
URS-ch U20,Sochi,1990.??.??,?,"Maljutin, Evgeni","Milov, Vadim",,,B30,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['Bb5', 'e5'], ['Bxc6', 'dxc6'], ['d3', 'f6'], ['Nh4', 'Be6'], ['Nd2', 'Ne7'], ['Nc4', 'Qd7\n'], ['Be3', 'g5'], ['Nf3', 'Ng6'], ['h3', 'Nf4'], ['Bxf4', 'gxf4'], ['Qe2', 'Rg8'], ['Rg1', 'O-O-O'], ['b3', 'Rg7\n'], ['O-O-O', 'Qc7'], ['Nh4', 'Rgd7'], ['Kb1', 'b5'], ['Nb2', 'Qa5'], ['a4', 'c4'], ['dxc4', 'Rd2'], ['Rxd2', 'Rxd2\n'], ['Qf3', 'bxc4'], ['bxc4', 'Bc5'], ['Rd1', 'Bd4'], ['Rxd2', 'Qxd2'], ['Nf5', 'Qe1+'], ['Nd1', 'Bc5'], ['Qh5', 'Kb7\n'], ['Kb2', 'Bxc4'], ['Qxh7+', 'Ka6'], ['Qc7', 'Qb4+'], ['Kc1', 'Qa3+'], ['Kd2', 'Bb4+'], ['c3', 'Qa2+']]",0-1
URS-ch U20,Sochi,1990.??.??,?,"Milov, Vadim","Belikov, Vladimir",,,D10,"[['d4', 'd5'], ['c4', 'c6'], ['cxd5', 'cxd5'], ['Nc3', 'Nc6'], ['e4', 'Nf6'], ['e5', 'Ne4'], ['Nf3', 'e6'], ['Be3', 'Nxc3\n'], ['bxc3', 'Bd7'], ['Bd3', 'Be7'], ['O-O', 'Na5'], ['Qc2', 'h6'], ['Nd2', 'Rc8'], ['Qb2', 'Qb6'], ['Qc1', 'Qc7\n'], ['Nb1', 'Nc4'], ['Qc2', 'Nxe3'], ['fxe3', 'O-O'], ['Qe2', 'f5'], ['Rc1', 'Qa5'], ['c4', 'dxc4'], ['Rxc4', 'Rxc4\n'], ['Bxc4', 'f4'], ['Nd2', 'Qc3'], ['Rb1', 'fxe3'], ['Nf3', 'b5'], ['Bd3', 'b4'], ['Qxe3', 'Bb5'], ['Rd1', 'Rc8\n'], ['Qe2', 'Bxd3'], ['Rxd3', 'Qc4'], ['h4', 'a5'], ['Kh2', 'a4'], ['Qe4', 'Qd5'], ['Qe2', 'Qc4'], ['Qe4', 'Qd5\n'], ['Qe2', 'b3'], ['axb3', 'a3'], ['Qa2', 'Rc1'], ['Rd2', 'Rc3'], ['Rc2', 'Qxb3'], ['Qxb3', 'Rxb3'], ['Rc8+', 'Kf7\n'], ['Ra8', 'Rb2'], ['Ne1', 'Rd2'], ['Nf3', 'Re2'], ['Ra7', 'a2'], ['d5', 'exd5'], ['Kh3', 'd4'], ['Nxd4', 'Re3+\n'], ['Kg4', 'Ra3']]",0-1
URS-ch U20,Sochi,1990.??.??,?,"Milov, Vadim","Danielian, Oganes",,,D60,"[['d4', 'e6'], ['c4', 'd5'], ['Nc3', 'Be7'], ['Nf3', 'Nf6'], ['Bg5', 'O-O'], ['e3', 'Nbd7'], ['cxd5', 'Nxd5'], ['Bxe7', 'Nxe7\n'], ['Bd3', 'c5'], ['O-O', 'cxd4'], ['Nxd4', 'Nf6'], ['Qe2', 'e5'], ['Nb3', 'Qb6'], ['Rac1', 'Bg4'], ['f3', 'Bd7\n'], ['Qf2', 'Rfd8'], ['Rfd1', 'Rac8'], ['e4', 'Qxf2+'], ['Kxf2', 'Be6'], ['g3', 'Kf8'], ['Ke3', 'Bxb3'], ['axb3', 'Nc6\n'], ['h3', 'Nb4'], ['Bc4', 'a6'], ['f4', 'b5'], ['Be2', 'Rxd1'], ['Bxd1', 'Nd7'], ['Bg4', 'Rc7'], ['Na2', 'Rxc1\n'], ['Nxc1', 'Ke7'], ['Bxd7', 'Kxd7'], ['fxe5', 'Ke6'], ['Kd4', 'Nc2+'], ['Kc3', 'Ne1'], ['Kb4', 'Kxe5'], ['Ka5', 'Kxe4\n'], ['Kxa6', 'b4'], ['Kb5', 'Nc2'], ['Na2', 'f5'], ['Nxb4', 'Nxb4'], ['Kxb4', '']]",1/2-1/2
URS-ch U20,Sochi,1990.??.??,?,"Milov, Vadim","Kramnik, Vladimir",,,A80,"[['d4', 'f5'], ['Nc3', 'd5'], ['e4', 'dxe4'], ['f3', 'e5'], ['dxe5', 'Qxd1+'], ['Kxd1', 'Nc6'], ['Nd5', 'Kd8'], ['Bg5+', 'Nge7\n'], ['f4', 'h6'], ['Nxe7', 'Nxe7'], ['Bxe7+', 'Kxe7'], ['c3', 'Be6'], ['Kc2', 'Kf7'], ['Ne2', 'Bc5'], ['Nd4', 'Bxd4\n'], ['cxd4', 'c5'], ['dxc5', 'Rhc8'], ['Rd1', 'Rxc5+'], ['Kb1', 'g5'], ['g3', 'Rg8'], ['Bh3', 'Rgc8'], ['Rhg1', 'Rc2\n'], ['Rg2', 'Rxg2'], ['Bxg2', 'gxf4'], ['gxf4', 'Bc4'], ['a4', 'Bd3+'], ['Ka2', 'Rc2'], ['Bh3', 'Ke6'], ['Rg1', 'e3\n'], ['Re1', 'e2'], ['Bg2', 'Rc4'], ['Kb3', 'Rxf4'], ['Kc3', 'Rf1'], ['Kd2', 'Rxe1'], ['Kxe1', 'b6']]",0-1
