EYCC G10,Halkidiki GRE,2001.09.01,2,"Berintan,T","Muzychuk,Mariya",,,A85,"[['d4', 'f5'], ['c4', 'Nf6'], ['Nc3', 'e6'], ['Nf3', 'd5'], ['Bg5', 'c6'], ['e3', 'Be7'], ['cxd5', 'cxd5'], ['Ne5', 'O-O\n'], ['Bd3', 'Qb6'], ['Rb1', 'Bd7'], ['O-O', 'Be8'], ['Qf3', 'Bd6'], ['Bf4', 'Bxe5'], ['Bxe5', 'Bg6'], ['Nb5', 'Ne8\n'], ['Qg3', 'Nd7'], ['Bc7', 'Nxc7'], ['Qxc7', 'Rad8'], ['Rfc1', 'a6'], ['Nd6', 'Qb4']]",1/2-1/2
EYCC G10,Halkidiki GRE,2001.09.02,3,"Muzychuk,Mariya","Jussupow,Ekaterina",,,A01,"[['b3', 'e5'], ['Bb2', 'Nc6'], ['e3', 'd6'], ['Nf3', 'Nf6'], ['Be2', 'g6'], ['O-O', 'Bg7'], ['c4', 'O-O'], ['d4', 'e4'], ['Nfd2', 'Ne7\n'], ['Nc3', 'Bf5'], ['g4', 'Bd7'], ['g5', 'Ne8'], ['Ndxe4', 'Bh3'], ['Re1', 'd5'], ['cxd5', 'Nxd5'], ['Bg4', 'Bxg4\n'], ['Qxg4', 'f5'], ['gxf6', 'Nexf6'], ['Nxf6+', 'Nxf6'], ['Qg2', 'c6'], ['Ne4', 'Nxe4'], ['Qxe4', 'Qb6\n'], ['Rad1', 'Rae8'], ['Qg2', 'Qb4'], ['Re2', 'Rd8'], ['Rc1', 'Rfe8'], ['Rec2', 'Rd5'], ['Rc3', 'Qa5'], ['f4', 'Rd7\n'], ['Rc5', 'Qxa2'], ['R5c3', 'Qa5'], ['Qh3', 'Rde7'], ['Qf3', 'Qb5'], ['Ba3', 'Rd7'], ['Kg2', 'Qa5'], ['b4', 'Qb5\n'], ['Rb3', 'Rd5'], ['Qf1', 'Qa4'], ['Qc4', 'Kh8'], ['Ra1', 'a6'], ['Rf1', 'Qb5'], ['Qxb5', 'Rxb5'], ['Rc1', 'Rd5\n'], ['Rd3', 'Re4'], ['Kf3', 'Re8'], ['Rc5', 'Rd7'], ['Bb2', 'Re6'], ['Ra3', 'Kg8'], ['Rcc3', 'Rf7'], ['Bc1', 'g5\n'], ['Rc4', 'Rh6'], ['Kg3', 'gxf4+'], ['exf4', 'Rg6+'], ['Kf3', 'Rg1'], ['Be3', 'Rb1'], ['Bd2', 'Bh6'], ['Ke4', 'Re7+\n'], ['Kf3', 'Rh1'], ['Kg2', 'Rd1'], ['Be3', 'Rg7+'], ['Kf3', 'Rh1'], ['Ra2', 'Rb1'], ['Ra3', 'Rb2'], ['Bf2', 'Bxf4\n'], ['d5', 'Rf7'], ['Rxf4', 'Rxf4+'], ['Kxf4', 'Rxf2+'], ['Kg3', 'Rf6'], ['dxc6', 'Rxc6'], ['Rd3', 'Rb6\n'], ['Rd4', 'Rb5'], ['Kg4', 'b6'], ['h4', 'Kg7'], ['Re4', 'h5+'], ['Kf4', 'Kf6'], ['Rc4', 'Re5'], ['Rd4', 'Ke6\n'], ['Rc4', 'Kd6'], ['Rd4+', 'Rd5'], ['Rc4', 'a5'], ['bxa5', 'bxa5'], ['Rc8', 'Kd7'], ['Rc4', 'Kd6'], ['Rc8', 'Rc5\n'], ['Re8', 'Kc6'], ['Rc8+', 'Kb5'], ['Rd8', 'Ka4'], ['Rg8', 'Ka3'], ['Rg5', 'Rc4+'], ['Kg3', 'Rc3+'], ['Kf4', 'a4\n'], ['Rxh5', 'Ka2'], ['Ra5', 'a3'], ['Rxa3+', 'Rxa3'], ['Kg5', 'Rh3']]",1/2-1/2
EYCC G10,Halkidiki GRE,2001.09.03,4,"Muzychuk,Mariya","Gabrilaviciuete,K",,,C50,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Be7'], ['d4', 'd6'], ['O-O', 'Bg4'], ['Bb5', 'a6'], ['Bxc6+', 'bxc6'], ['dxe5', 'Bxf3\n'], ['Qxf3', 'dxe5'], ['Rd1', 'Bd6'], ['Qc3', 'Qe7'], ['Qxc6+', 'Qd7'], ['Qxa8+', 'Ke7'], ['Nc3', 'c6'], ['Be3', 'f6\n'], ['Bc5', '']]",1-0
EYCC G10,Halkidiki GRE,2001.09.04,5,"Vetrila,S","Muzychuk,Mariya",,,B30,"[['e4', 'c5'], ['Nf3', 'Nf6'], ['Nc3', 'Nc6'], ['d3', 'e6'], ['g3', 'd5'], ['exd5', 'Nxd5'], ['Nxd5', 'exd5'], ['Bg2', 'Be7\n'], ['O-O', 'O-O'], ['Re1', 'Bf6'], ['c3', 'Bf5'], ['Bf4', 'Re8'], ['Qd2', 'Qd7'], ['d4', 'cxd4'], ['cxd4', 'Be4\n'], ['Bg5', 'Bxg5'], ['Nxg5', 'Bxg2'], ['Kxg2', 'Rxe1'], ['Rxe1', 'Re8'], ['Nf3', 'Rxe1'], ['Qxe1', 'h6\n'], ['h3', 'Kh7'], ['Qb1+', 'g6'], ['Qe1', 'Kg7'], ['g4', 'Qd6'], ['Qc1', '']]",1/2-1/2
EYCC G10,Halkidiki GRE,2001.09.06,6,"Muzychuk,Mariya","Skinke,K",,,B07,"[['e4', 'd6'], ['d4', 'Nf6'], ['Nc3', 'g6'], ['Bg5', 'Bg7'], ['e5', 'Nfd7'], ['e6', 'fxe6'], ['h4', 'Nf6'], ['Bxf6', 'exf6\n'], ['h5', 'Qe7'], ['Bd3', 'f5'], ['hxg6', 'hxg6'], ['Rxh8+', 'Bxh8'], ['Nce2', 'Nc6'], ['c3', 'Bd7'], ['Qd2', 'O-O-O\n'], ['O-O-O', 'Bf6'], ['Kb1', 'Rh8'], ['Re1', 'Qf7'], ['a3', 'e5'], ['dxe5', 'Nxe5'], ['Bc2', 'Bc6'], ['g3', 'Re8\n'], ['Nd4', 'Nc4'], ['Rxe8+', 'Qxe8'], ['Qe2', 'Qxe2'], ['Ngxe2', 'Bd7'], ['Ka2', 'c5'], ['Nf3', 'Bc6'], ['Ne1', 'Bg5\n'], ['Bb3', 'Bd5'], ['Ng2', 'Bxg2'], ['Bxc4', 'd5'], ['Bd3', 'Kd7'], ['f4', 'Bf6'], ['Bb5+', 'Ke7'], ['Kb1', 'a6\n'], ['Ba4', 'b5'], ['Bd1', 'Kd6'], ['Kc2', 'Be4+'], ['Kd2', 'a5'], ['Nc1', 'g5'], ['Ne2', 'g4'], ['Bc2', 'Bxc2\n'], ['Kxc2', 'd4'], ['cxd4', 'cxd4'], ['b4', 'axb4'], ['axb4', 'Kd5'], ['Kd3', 'Bg7'], ['Nc1', 'Bf8'], ['Ne2', 'Bg7\n'], ['Nc1', 'Bf6'], ['Ne2', 'Bg7'], ['Nc1', '']]",1/2-1/2
EYCC G10,Halkidiki GRE,2001.09.07,7,"Porat,M","Muzychuk,Mariya",,,A52,"[['d4', 'Nf6'], ['c4', 'e5'], ['dxe5', 'Ng4'], ['Nf3', 'Nc6'], ['Nc3', 'Ngxe5'], ['Nxe5', 'Nxe5'], ['e4', 'Bc5'], ['Be2', 'O-O\n'], ['O-O', 'd6'], ['Na4', 'Bb6'], ['Nxb6', 'axb6'], ['b3', 'Bd7'], ['Bb2', 'Qe7'], ['Qd4', 'f6'], ['f4', 'Nc6\n'], ['Qd3', 'Nb4'], ['Qb1', 'Rfe8'], ['Bh5', 'Rf8'], ['Re1', 'Nc6'], ['Bf3', 'Be8'], ['Kh1', 'Bg6'], ['Qd1', 'Rad8\n'], ['Qe2', 'Rfe8'], ['e5', 'dxe5'], ['Bxc6', 'bxc6'], ['fxe5', 'fxe5'], ['Qxe5', 'Qxe5'], ['Bxe5', 'Rd7\n'], ['Bf4', 'Rxe1+'], ['Rxe1', 'Kf7'], ['b4', 'Rd4'], ['Rf1', 'Rxc4'], ['Bxc7+', 'Ke6'], ['Bxb6', 'Rxb4\n'], ['Bc5', 'Rb2'], ['a3', 'Be4'], ['Bf2', 'Ra2'], ['Re1', 'Kf5'], ['Rf1', 'Kg6'], ['Kg1', 'Rxa3'], ['h3', 'Rc3\n'], ['Re1', 'Bd5'], ['Re7', 'Rc1+'], ['Be1', 'c5'], ['Kf2', 'Rc2+'], ['Ke3', 'Bxg2'], ['Kd3', 'Rc1'], ['Bc3', 'Bxh3\n'], ['Rxg7+', 'Kh6'], ['Rc7', 'Bf5+'], ['Kc4', 'Be6+'], ['Kd3', 'c4+'], ['Kd2', 'Rg1'], ['Bd4', 'Rg2+'], ['Kc3', 'Rg3+\n'], ['Kc2', 'Bf5+'], ['Kb2', 'Bd3'], ['Be5', 'Rf3'], ['Bd4', 'Kh5'], ['Rc5+', 'Rf5'], ['Rc6', 'Kg4'], ['Rh6', 'Rh5\n'], ['Rf6', 'Rh2+'], ['Kc3', 'h5'], ['Be5', 'Re2'], ['Rf4+', 'Kg5'], ['Bc7', 'h4'], ['Rd4', 'h3'], ['Bd8+', 'Kf5\n'], ['Rh4', 'Re3'], ['Kd2', 'Rf3'], ['Bc7', 'Bf1'], ['Kc2', 'Ke6'], ['Kd2', 'Kd5'], ['Bb8', 'Rd3+'], ['Kc2', 'Be2']]",0-1
EYCC G10,Halkidiki GRE,2001.09.08,8,"Muzychuk,Mariya","Zeynalova,H",,,A03,"[['b3', 'd5'], ['Bb2', 'c6'], ['e3', 'Nf6'], ['f4', 'Bg4'], ['Be2', 'Bxe2'], ['Qxe2', 'Nbd7'], ['Nf3', 'e6'], ['O-O', 'Be7\n'], ['d3', 'O-O'], ['Nbd2', 'Rc8'], ['Ne5', 'Nxe5'], ['Bxe5', 'Nd7'], ['Bb2', 'Bf6'], ['Bxf6', 'Qxf6'], ['Nf3', 'c5\n'], ['c4', 'dxc4'], ['dxc4', 'Rfd8'], ['Rad1', 'Nb8'], ['Ne5', 'Qe7'], ['Rxd8+', 'Rxd8'], ['Rd1', 'Nd7'], ['Qd3', 'Kf8\n'], ['Nxd7+', 'Ke8'], ['Qxh7', 'f6'], ['Qg8+', '']]",1-0
ch-UKR w,Nikolaev UKR,2003.11.04,1,"Goreskul,A","Muzychuk,M",,,C10,"[['e4', 'Nc6'], ['Nc3', 'e6'], ['Nf3', 'd5'], ['d4', 'Nf6'], ['exd5', 'exd5'], ['Bb5', 'Bg4'], ['h3', 'Bxf3'], ['Qxf3', 'Be7\n'], ['O-O', 'O-O'], ['Bxc6', 'bxc6'], ['Bg5', 'Rb8'], ['b3', 'Qd7'], ['Rfe1', 'h6'], ['Bh4', 'Rfe8'], ['Rad1', 'Nh7\n'], ['Bxe7', 'Rxe7'], ['Qd3', 'Rxe1+'], ['Rxe1', 'Re8'], ['Rxe8+', 'Qxe8'], ['Kf1', 'Ng5'], ['Qe2', 'Qxe2+\n'], ['Kxe2', 'Ne6'], ['Ke3', 'c5'], ['Nxd5', 'Nxd4'], ['c3', 'Ne6'], ['Ne7+', 'Kf8'], ['Nc6', 'Ke8'], ['Nxa7', 'Kd7\n'], ['Nb5', 'Kc6'], ['Na3', 'Nf8'], ['Nc4', 'f6'], ['Ke4', 'g6'], ['a4', 'Nd7'], ['g4', 'Nf8'], ['a5', 'Kb5'], ['h4', 'Ne6\n'], ['f4', 'Ng7'], ['f5', 'gxf5+'], ['gxf5', 'Nh5'], ['Kf3', 'Ka6'], ['b4', 'cxb4'], ['cxb4', 'Ng7'], ['Ke4', 'Kb5\n'], ['Na3+', 'Ka6'], ['Nc2', 'c6'], ['Nd4', 'Kb7'], ['Ne6', 'Ne8'], ['Kd4', 'Nd6'], ['Ng7', 'Nb5+'], ['Kc5', 'Nc7\n'], ['Kd6', 'Na6'], ['Ne6', 'Nxb4'], ['Nd8+', 'Ka6'], ['Nxc6', 'Nd3'], ['Ke6', 'Nf4+'], ['Kxf6', 'Ng2'], ['Kg7', 'Nxh4\n'], ['f6', 'Nf5+'], ['Kg6', 'Nd6'], ['Kxh6', 'Kb5'], ['Nd4+', 'Kxa5'], ['Kg6', 'Kb6'], ['Nf5', 'Nc4'], ['Ne3', 'Nd6\n'], ['Nf5', 'Nc4'], ['Kg7', 'Ne5'], ['Ne3', 'Kc7'], ['Ng4', 'Nc6'], ['Kg8', 'Nd8'], ['Ne5', 'Kc8'], ['Kf8', 'Kc7\n'], ['Ke7', 'Kc8'], ['Ke8', 'Kc7'], ['Nf7', 'Nc6'], ['Ng5', 'Nd8'], ['Ke7', 'Nc6+'], ['Ke8', 'Nd8'], ['Nf3', 'Kc8\n'], ['Nd4', 'Kc7'], ['Nb5+', 'Kc8'], ['Ke7', 'Nc6+'], ['Kd6', 'Nd8'], ['Na7+', '']]",1-0
ch-UKR w,Nikolaev UKR,2003.11.05,2,"Semenova,L","Muzychuk,M",,,B00,"[['e4', 'Nc6'], ['Nf3', 'e6'], ['d4', 'd5'], ['e5', 'b6'], ['c3', 'Bb7'], ['Bd3', 'Qd7'], ['Nbd2', 'f5'], ['Ng5', 'g6'], ['f4', 'Be7\n'], ['Ndf3', 'Nd8'], ['Nh3', 'Nf7'], ['Nf2', 'O-O-O'], ['b4', 'Kb8'], ['Qe2', 'Qc8'], ['b5', 'c6'], ['bxc6', 'Bxc6\n'], ['a4', 'Bb7'], ['O-O', 'a6'], ['Be3', 'Ka7'], ['Rfb1', 'Rd7'], ['c4', 'dxc4'], ['Bxc4', 'Bd5'], ['Bxd5', 'Rxd5\n'], ['Nd1', 'Bd8'], ['Rc1', 'Qb7'], ['Nc3', 'Ne7'], ['Nxd5', 'Nxd5'], ['Nd2', 'Be7'], ['Nc4', 'g5'], ['fxg5', 'f4\n'], ['Bf2', 'Nxg5'], ['Nd6', 'Bxd6'], ['exd6', 'Rg8'], ['Kf1', 'Ne4'], ['Ra3', 'Nxd6'], ['Rh3', 'Rxg2'], ['Qxe6', 'Rg6\n'], ['Qe5', 'Ne3+'], ['Ke2', 'Nec4'], ['Qxf4', 'Re6+'], ['Kd3', 'Nb2+'], ['Kc2', 'Nxa4'], ['Kb3', 'Qd7'], ['Qd2', 'Ne4\n'], ['Qc2', 'Kb8'], ['Bg3+', 'Nxg3'], ['Rxg3', 'Kb7'], ['Qg2+', 'Ka7'], ['Rg7', 'Re3+'], ['Ka2', 'Re2+'], ['Qxe2', 'Qxg7\n'], ['Qc2', 'Qf7+'], ['Qc4', 'Qxc4+'], ['Rxc4', 'b5'], ['Rc7+', 'Kb6'], ['Rxh7', 'Kc6'], ['h4', 'Kd5'], ['h5', 'Kxd4\n'], ['Kb3', 'Kd5'], ['Rd7+', 'Ke6'], ['Ra7', '']]",1-0
ch-UKR w,Nikolaev UKR,2003.11.06,3,"Muzychuk,M","Kovaleva,Natalia",,,B21,"[['e4', 'c5'], ['d4', 'cxd4'], ['c3', 'dxc3'], ['Nxc3', 'Nc6'], ['Nf3', 'd6'], ['Bc4', 'Nf6'], ['e5', 'dxe5'], ['Qxd8+', 'Kxd8\n'], ['Ng5', 'Kc7'], ['Nxf7', 'Rg8'], ['Nb5+', 'Kb8'], ['Nxe5', 'Bf5'], ['Bxg8', 'Nxg8'], ['Bf4', 'Kc8'], ['Rc1', 'e6\n'], ['Nxc6', 'bxc6'], ['Rxc6+', 'Kb7'], ['Rc7+', 'Kb6'], ['a4', 'a6'], ['Be3+', 'Ka5'], ['Nd4', 'Bd3'], ['Kd2', 'Be4\n'], ['f3', 'Bd5'], ['Rhc1', 'e5'], ['Nc6+', 'Kxa4'], ['Ra1+', 'Kb5'], ['Ra5+', '']]",1-0
