Wch U10,Cannes,1997.??.??,1,"Bellaiche, Antony","Nakamura, Hikaru",,,E97,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Nf3', 'O-O'], ['Be2', 'e5'], ['O-O', 'Nc6'], ['d5', 'Ne7\n'], ['b4', 'Nh5'], ['Re1', 'Nf4'], ['Bf1', 'f5'], ['Bxf4', 'exf4'], ['e5', 'h6'], ['Qd2', 'g5'], ['exd6', 'cxd6\n'], ['Nd4', 'Ng6'], ['Rad1', 'Ne5'], ['c5', 'a5'], ['a3', 'axb4'], ['axb4', 'Qf6'], ['Ncb5', 'dxc5'], ['bxc5', 'Bd7\n'], ['Nc7', 'Rac8'], ['d6', 'b6'], ['Nd5', 'Qf7'], ['Ne7+', 'Kh8'], ['Nxc8', 'bxc5'], ['Nf3', 'Nxf3+'], ['gxf3', 'Bc6\n'], ['Ne7', 'Bxf3'], ['Be2', 'Bb7'], ['Qd3', 'g4'], ['Qxf5', 'Qxf5'], ['Nxf5', 'Rxf5'], ['d7', 'Bf6'], ['d8=Q+', 'Bxd8\n'], ['Rxd8+', 'Kg7'], ['Rd7+', 'Rf7'], ['Rxf7+', 'Kxf7'], ['Bxg4', 'c4'], ['Rc1', 'Bd5'], ['Be2', 'Kf6'], ['Bxc4', 'Be4\n'], ['Re1', 'Bf5'], ['f3', 'h5'], ['h4', 'Kg6'], ['Kg2', 'Kf6'], ['Re8', 'Bd7'], ['Rh8', 'Kg6'], ['Bd3+', 'Kf6\n'], ['Rxh5', 'Kg7'], ['Rg5+', 'Kf6'], ['Be4', 'Bc8'], ['Rg4', 'Ke5'], ['Rg8', 'Bd7'], ['h5', 'Kf6'], ['h6', 'Be6\n'], ['h7', 'Bxg8'], ['hxg8=Q', 'Ke7'], ['Qg4', 'Kf6']]",1-0
Wch U10,Cannes,1997.??.??,2,"Nakamura, Hikaru","El Mikati, Mohamad",,,C11,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['Bg5', 'dxe4'], ['Nxe4', 'Be7'], ['Bxf6', 'Bxf6'], ['c3', 'Nc6'], ['Nf3', 'e5\n'], ['Nxf6+', 'Qxf6'], ['dxe5', 'Nxe5'], ['Qe2', 'O-O'], ['Nxe5', 'Re8'], ['O-O-O', 'h6'], ['Re1', 'Qf4+\n'], ['Qe3', 'Qf5'], ['Bd3', 'Qe6'], ['Bc4', 'Qf5'], ['Bxf7+', 'Kf8'], ['Ng6+', 'Kxf7'], ['Qxe8+', 'Kf6'], ['Re5', 'Qxe5\n'], ['Nxe5', 'b6'], ['Qc6+', 'Kxe5'], ['Re1+', 'Kf4'], ['g3+', 'Kg4'], ['Re4+', 'Kf3'], ['Rf4+', 'Ke2'], ['Qf3+', 'Kf1\n'], ['Re4', 'Bb7'], ['Qh1+', 'Kxf2'], ['Rf4+', 'Ke2'], ['Qd1+', 'Ke3'], ['Qd2+', '']]",1-0
Wch U10,Cannes,1997.??.??,4,"Nakamura, Hikaru","Eryomenko, Volodymyr",,,B01,"[['e4', 'd5'], ['exd5', 'Qxd5'], ['Nc3', 'Qa5'], ['d4', 'Nf6'], ['Nf3', 'Bg4'], ['Bc4', 'Nc6'], ['Bb5', 'e6'], ['Bxc6+', 'bxc6\n'], ['h3', 'Bh5'], ['O-O', 'Be7'], ['Re1', 'Qf5'], ['Re3', 'Bg6'], ['Ne1', 'Bd6'], ['Bd2', 'Nd5'], ['Nxd5', 'cxd5\n'], ['c4', 'O-O'], ['Rf3', 'Qh5'], ['c5', 'Be4'], ['cxd6', 'Bxf3'], ['Nxf3', 'cxd6'], ['Bf4', 'Rfd8'], ['Qe2', 'Qf5\n'], ['Qd2', 'Rac8'], ['Rc1', 'Rc4'], ['b3', 'Rxc1+'], ['Qxc1', 'f6'], ['Bxd6', 'h6'], ['Bg3', 'g5'], ['Qc7', 'Re8\n'], ['Qxa7', 'h5'], ['Kh2', 'h4'], ['Bd6', 'e5'], ['dxe5', 'Qf4+'], ['Kh1', 'fxe5'], ['Qd7', 'Ra8'], ['Bxe5', 'Qe4\n'], ['Qg7+', '']]",1-0
Wch U10,Cannes,1997.??.??,5,"Amin, Bassem","Nakamura, Hikaru",,,A04,"[['e4', 'c5'], ['Nf3', 'e6'], ['d3', 'd6'], ['g3', 'Nc6'], ['Bg2', 'Nge7'], ['O-O', 'g6'], ['Nbd2', 'Bg7'], ['Re1', 'O-O\n'], ['a4', 'b6'], ['h4', 'h5'], ['c3', 'd5'], ['e5', 'f6'], ['exf6', 'Bxf6'], ['Nf1', 'Nf5'], ['Bg5', 'Kg7'], ['Bxf6+', 'Qxf6\n'], ['Qe2', 'Re8'], ['Ng5', 'Bd7'], ['Nd2', 'Rad8'], ['Ndf3', 'e5'], ['Rac1', 'Re7'], ['c4', 'Ncd4'], ['Nxd4', 'Nxd4\n'], ['Qf1', 'Bc6'], ['cxd5', 'Bxd5'], ['Bxd5', 'Rxd5'], ['Re3', 'Red7'], ['Rc3', 'a6'], ['a5', 'b5'], ['Ne4', 'Qe7\n'], ['Qc1', 'c4'], ['Kg2', 'Nb3'], ['Qb1', 'Nxa5'], ['Qa2', 'b4'], ['dxc4', 'bxc3'], ['cxd5', 'c2'], ['Rc3', 'Qb4\n'], ['Nc5', 'Qxc3'], ['bxc3', 'c1=Q'], ['Nxd7', 'Qxc3'], ['Nxe5', 'Qxe5'], ['Qxa5', 'Qe4+'], ['Kf1', 'Qh1+\n'], ['Ke2', 'Qe4+'], ['Kd1', 'Qh1+'], ['Kd2', 'Qg2'], ['Ke3', 'Qf1'], ['Qc7+', 'Kh6'], ['d6', 'Qe1+'], ['Kd3', 'Qd1+\n'], ['Ke4', 'Qe2+'], ['Kd5', 'Qxf2'], ['d7', 'Qg2+'], ['Kc5', 'Qf2+'], ['Kc6', 'Qc2+'], ['Kb7', 'Qb3+'], ['Kc8', 'Qe6\n'], ['Qf4+', 'Kh7'], ['Qf8', 'a5'], ['Kd8', 'Qc6'], ['Qe7+', 'Kh6'], ['Ke8', 'a4'], ['Kf8', 'Qf3+'], ['Kg8', 'Qd5+\n'], ['Qf7', 'Qa8+'], ['Qf8+', 'Qxf8+'], ['Kxf8', 'a3'], ['d8=Q', '']]",1-0
Wch U10,Cannes,1997.??.??,7,"Lepan, Marvin","Nakamura, Hikaru",,,E60,"[['d4', 'Nf6'], ['c4', 'g6'], ['b3', 'Bg7'], ['Bb2', 'O-O'], ['g3', 'd6'], ['Bg2', 'e5'], ['dxe5', 'Nfd7'], ['Nf3', 'dxe5\n'], ['O-O', 'e4'], ['Bxg7', 'exf3'], ['Bxf8', 'fxg2'], ['Kxg2', 'Qxf8'], ['Nc3', 'Nf6'], ['f3', 'Nc6'], ['e4', 'Qh6\n'], ['Rf2', 'Bh3+'], ['Kg1', 'Qe3'], ['Qe1', 'Qxe1+'], ['Rxe1', 'Ne5'], ['Rd1', 'Bd7'], ['Nd5', 'Nxd5'], ['Rxd5', 'f6\n'], ['Kg2', 'Bc6'], ['Rd4', 'Re8'], ['h3', 'Kg7'], ['h4', 'f5'], ['Kh3', 'Re7'], ['b4', 'a6'], ['c5', 'h5'], ['a3', 'fxe4\n'], ['fxe4', 'Ng4'], ['Re2', 'Bxe4'], ['a4', 'Ne3'], ['Kh2', 'Bf3'], ['Rb2', 'Ng4+']]",0-1
Wch U10,Cannes,1997.??.??,8,"Nakamura, Hikaru","Baramietze, David",,,B23,"[['e4', 'c5'], ['Nc3', 'Nc6'], ['f4', 'g6'], ['Nf3', 'Bg7'], ['Bb5', 'Nd4'], ['Bd3', 'd6'], ['Nxd4', 'cxd4'], ['Ne2', 'e5\n'], ['O-O', 'Ne7'], ['c3', 'O-O'], ['cxd4', 'exd4'], ['Bc2', 'Qb6'], ['d3', 'd5'], ['Ng3', 'dxe4'], ['Nxe4', 'Nf5\n'], ['Kh1', 'Be6'], ['g4', 'Nd6'], ['h3', 'f5'], ['Ng5', 'Bd5+'], ['Kh2', 'Bh6'], ['Bd2', 'Rac8'], ['Ba4', 'fxg4\n'], ['Bd7', 'Bxg5'], ['Bxc8', 'Nxc8'], ['hxg4', 'Qd6'], ['Kg3', 'Bh6'], ['Qe1', 'Qa6'], ['Qe2', 'Nd6'], ['Qe5', 'Qxd3+\n'], ['Kh4', 'Qxd2'], ['Qxd5+', 'Rf7'], ['g5', 'Qh2+'], ['Kg4', 'Nf5'], ['Qd8+', 'Bf8'], ['Kf3', 'Qg3+'], ['Ke4', 'Re7+\n'], ['Kd5', 'Ne3+'], ['Kxd4', 'Nf5+'], ['Kc4', 'Re4+'], ['Kb5', 'Nd4+'], ['Kc4', 'Nc6+']]",0-1
Wch U10,Cannes,1997.??.??,10,"Nakamura, Hikaru","Djukic, Stevan",,,B23,"[['e4', 'c5'], ['Nc3', 'e6'], ['f4', 'Nc6'], ['Nf3', 'd5'], ['Bb5', 'Nf6'], ['Bxc6+', 'bxc6'], ['e5', 'Nd7'], ['d3', 'Be7\n'], ['O-O', 'a5'], ['b3', 'Nb6'], ['Ba3', 'c4'], ['Bxe7', 'Qxe7'], ['bxc4', 'dxc4'], ['Ne4', 'O-O'], ['d4', 'Nd5\n'], ['Qd2', 'Ba6'], ['c3', 'Qa3'], ['Ne1', 'Rfb8'], ['Nc2', 'Qb2'], ['f5', 'exf5'], ['Rxf5', 'Ne3'], ['Qxe3', 'Qxc2\n'], ['Raf1', 'Qxa2'], ['Nf6+', 'gxf6'], ['Qh6', 'Qa3'], ['exf6', 'Qf8'], ['Rg5+', 'Kh8'], ['Rg7', '']]",1-0
World op,Philadelphia,1998.06.28,2,"Knecht, Mark E","Nakamura, Hikaru",,,A48,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['Bf4', 'Bg7'], ['e3', 'd6'], ['h3', 'O-O'], ['Be2', 'Nbd7'], ['O-O', 'Qe8'], ['Bh2', 'e5\n'], ['c4', 'Qe7'], ['Nc3', 'c6'], ['b4', 'Rd8'], ['Qb3', 'e4'], ['Nd2', 'Nb6'], ['c5', 'dxc5'], ['bxc5', 'Nbd5\n'], ['Nc4', 'Be6'], ['Qb2', 'Nxc3'], ['Qxc3', 'Bxc4'], ['Bxc4', 'Nd5'], ['Qb3', 'b5'], ['cxb6', 'Nxb6'], ['Rac1', 'Nd5\n'], ['Ba6', 'Nb4'], ['Qa4', 'Bf8'], ['Rc5', 'Rab8'], ['Bxb8', 'Rxb8'], ['Re5', 'Qh4'], ['a3', 'Bd6'], ['axb4', 'Bxe5\n'], ['dxe5', 'Qe7'], ['Qxc6', 'Qxe5'], ['b5', 'f5'], ['Rc1', 'Rd8'], ['Qc4+', 'Kh8'], ['Qf7', 'Qb2'], ['Qc7', 'Rd3\n'], ['b6', '']]",1-0
Cardoza US op,Kona,1998.08.04,4,"Thinnsen, James A","Nakamura, Hikaru",,,A45,"[['d4', 'Nf6'], ['Bg5', 'Ne4'], ['Bf4', 'c5'], ['d5', 'Qb6'], ['Bc1', 'e6'], ['f3', 'Nf6'], ['c4', 'Qb4+'], ['Bd2', 'Qxc4\n'], ['e4', 'Qd4'], ['Nc3', 'exd5'], ['Nge2', 'Qe5'], ['Bf4', 'Qe6'], ['exd5', 'Qb6'], ['Ng3', 'd6'], ['Bb5+', 'Bd7\n'], ['Qe2+', 'Kd8'], ['O-O-O', 'a6'], ['Bd3', 'Be7'], ['Nf5', 'Bxf5'], ['Bxf5', 'Nbd7'], ['Rd3', 'Re8'], ['Re3', 'Qc7\n'], ['Bg5', 'c4'], ['Re1', 'Ne5'], ['Rxe5', 'dxe5'], ['d6', 'Bxd6'], ['Rd1', 'e4'], ['Bf4', 'Ke7'], ['Bxd6+', 'Qxd6\n'], ['Rxd6', 'Kxd6'], ['Nxe4+', 'Nxe4'], ['Bxe4', 'Rab8'], ['Qd2+', 'Ke7'], ['Qb4+', 'Kd7'], ['Bf5+', '']]",1-0
Cardoza US op,Kona,1998.08.09,9,"Nakamura, Hikaru","Krush, Irina",,,B67,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'Nc6'], ['Bg5', 'e6'], ['Qd2', 'a6'], ['O-O-O', 'Bd7\n'], ['f4', 'b5'], ['Nxc6', 'Bxc6'], ['Qd4', 'Be7'], ['Be2', 'Rb8'], ['Bf3', 'Qb6'], ['Bxf6', 'gxf6'], ['Rhe1', 'Qxd4\n'], ['Rxd4', 'Kd7'], ['Red1', 'Kc7'], ['Bg4', 'a5'], ['Re1', 'h5'], ['Bh3', 'Bf8'], ['f5', 'b4'], ['Nd1', 'e5\n'], ['Rd3', 'Bh6+'], ['Kb1', 'Rb5'], ['c4', 'Rc5'], ['b3', 'a4'], ['Nb2', 'axb3'], ['axb3', 'Ra8'], ['Kc2', 'h4\n'], ['Bg4', 'Bf4'], ['h3', 'Bg3'], ['Re2', 'Ra1'], ['Rd1', 'Rca5'], ['Bf3', 'Rxd1'], ['Nxd1', 'Ra1'], ['Ne3', 'Kb6\n'], ['Rd2', 'Kc5'], ['Nd5', 'Bf2'], ['Kb2', 'Rf1'], ['Rd1', 'Bd4+'], ['Kc2', 'Rf2+'], ['Rd2', 'Rf1'], ['Nxf6', 'Ra1\n'], ['Rd3', 'Ra2+'], ['Kc1', 'Bc3'], ['Nd5', 'Bxd5'], ['Rxd5+', 'Kc6'], ['Bh5', 'f6'], ['Be8+', 'Kc7'], ['c5', 'dxc5\n'], ['Rxc5+', 'Kd8'], ['Bh5', 'Rxg2'], ['Rc6', 'Rg1+'], ['Kc2', 'Rg2+'], ['Kd3', 'Rg3+'], ['Kc4', 'Rxh3\n'], ['Rxf6', 'Rg3'], ['Rg6', 'Ke7'], ['Re6+', 'Kd8'], ['f6', 'Bd4'], ['f7', 'Rc3+'], ['Kxb4', '']]",1-0
Eastern op,Washington DC,1998.12.28,5,"Meyer, Eugene B","Nakamura, Hikaru",,,A16,"[['Nf3', 'Nf6'], ['g3', 'g6'], ['Bg2', 'd6'], ['O-O', 'Bg7'], ['c4', 'O-O'], ['Nc3', 'Nc6'], ['Rb1', 'Bg4'], ['b4', 'Qc8\n'], ['d3', 'h5'], ['Bg5', 'Nh7'], ['Bd2', 'e5'], ['Nd5', 'Qd7'], ['Nh4', 'Rac8'], ['f3', 'Be6'], ['f4', 'exf4\n'], ['gxf4', 'Bg4'], ['Qe1', 'Nd4'], ['Nc3', 'Bf6'], ['e3', 'Rce8'], ['Ne4', 'Qe7'], ['Nxf6+', 'Qxf6'], ['Qf2', 'Re7\n'], ['Rbe1', 'Nc2'], ['Rc1', 'Qb2'], ['Bxb7', 'Nd4'], ['Rfe1', 'Nc2'], ['Bd5', 'Kg7'], ['Rf1', 'Bh3'], ['Bg2', 'Bd7\n'], ['f5', 'g5'], ['Rxc2', 'Qxc2'], ['f6+', 'Kg8'], ['fxe7', 'f6'], ['exf8=Q+', 'Nxf8'], ['Be4', '']]",1-0
