Commonwealth Ch,Mumbai IND,2003.04.20,1,"Negi,P","Suvrajit,S",,,B01,"[['e4', 'd5'], ['exd5', 'Qxd5'], ['Nc3', 'Qd6'], ['d4', 'a6'], ['Nf3', 'Nf6'], ['Be2', 'Nc6'], ['a3', 'Bf5'], ['h3', 'O-O-O\n'], ['Be3', 'e5'], ['dxe5', 'Nxe5'], ['Qxd6', 'Nxf3+'], ['Bxf3', 'Bxd6'], ['O-O-O', 'h6'], ['Rhe1', 'Rhe8\n'], ['Kb1', 'Be5'], ['Nd5', 'Rd6'], ['Bc5', 'Rde6'], ['Nxf6', 'Bxf6'], ['Rxe6', 'Rxe6'], ['Bd4', 'Bxd4'], ['Rxd4', 'Re1+\n'], ['Rd1', 'Rxd1+'], ['Bxd1', 'Be4'], ['g3', 'Kd7'], ['Kc1', 'g5'], ['Kd2', 'Ke6'], ['Ke3', 'Bg2'], ['Bf3', 'Bxf3\n'], ['Kxf3', 'Kf5'], ['Ke3', 'Ke5'], ['Kd3', 'h5'], ['Ke3', 'f6'], ['f4+', 'Kd5'], ['Kd3', 'b5'], ['b3', 'c5\n'], ['c4+', '']]",1/2-1/2
Commonwealth Ch,Mumbai IND,2003.04.21,2,"Ganguly,S","Negi,P",,,C92,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'd6'], ['c3', 'O-O\n'], ['h3', 'Bb7'], ['d4', 'Re8'], ['Nbd2', 'Bf8'], ['d5', 'Nb8'], ['Nf1', 'Nbd7'], ['Ng3', 'h6'], ['a4', 'Nc5\n'], ['Bc2', 'c6'], ['b4', 'Ncd7'], ['dxc6', 'Bxc6'], ['Bb3', 'Qc7'], ['Qd3', 'Qb7'], ['a5', 'd5'], ['exd5', 'Bxd5\n'], ['Bxd5', 'Qxd5'], ['Qxd5', 'Nxd5'], ['Bb2', 'Rac8'], ['Rad1', 'N7f6'], ['Rxe5', 'Rxe5'], ['Nxe5', 'Nxc3\n'], ['Bxc3', 'Rxc3'], ['Rd8', 'Rc1+'], ['Kh2', 'Re1'], ['f4', 'g6'], ['Ra8', 'Kg7'], ['Ra7', 'Nd5'], ['Rxf7+', 'Kg8\n'], ['Ra7', 'Nxf4'], ['Nd7', 'Bxb4'], ['Nf6+', 'Kf8'], ['Nge4', 'Re2'], ['Kg3', 'g5'], ['Kf3', 'Rxg2'], ['Nd7+', 'Ke8\n'], ['Ne5', 'Rc2'], ['Rxa6', 'Ra2'], ['Ra8+', 'Ke7'], ['Nc6+', 'Ke6'], ['Nxb4', 'Ra3+'], ['Kg4', 'Rxh3'], ['Re8+', 'Kf7\n'], ['Rb8', 'Rb3'], ['Rxb5', 'Nd3'], ['Nxd3', '']]",1-0
Commonwealth Ch,Mumbai IND,2003.04.21,3,"Negi,P","Goswami,V",,,B14,"[['e4', 'c6'], ['d4', 'd5'], ['exd5', 'cxd5'], ['c4', 'Nf6'], ['Nc3', 'e6'], ['Nf3', 'Bb4'], ['cxd5', 'Nxd5'], ['Qc2', 'Nc6\n'], ['Be2', 'O-O'], ['O-O', 'Re8'], ['a3', 'Bf8'], ['Qe4', 'Nce7'], ['Rd1', 'Nf6'], ['Qc2', 'b6'], ['Ne5', 'Bb7\n'], ['Bb5', 'Rc8'], ['Bxe8', 'Nxe8'], ['Qe2', 'Nd5'], ['Ne4', 'Nd6'], ['Nxd6', 'Bxd6'], ['Be3', 'Qh4'], ['Rac1', 'Rf8\n'], ['h3', 'f5'], ['Nf3', 'Qh5'], ['Bd2', 'Rf6'], ['Kh1', 'Nc7'], ['Ne1', 'Ba6'], ['Nd3', 'Qh4'], ['Bb4', 'Bf4\n'], ['Be7', 'Bxc1'], ['Rxc1', 'Qxd4'], ['Bxf6', 'gxf6'], ['Rd1', 'e5'], ['g4', '']]",1/2-1/2
Commonwealth Ch,Mumbai IND,2003.04.22,4,"Akshayraj,K","Negi,P",,,C90,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['d3', 'b5'], ['Bb3', 'Be7'], ['O-O', 'd6'], ['c3', 'O-O\n'], ['Re1', 'Re8'], ['Nbd2', 'Bf8'], ['Nf1', 'h6'], ['h3', 'd5'], ['exd5', 'Nxd5'], ['Ng3', 'Nf6'], ['a4', 'Bb7\n'], ['Bc2', 'g6'], ['h4', 'h5'], ['Bg5', 'Qd6'], ['Nd2', 'Be7'], ['Nde4', 'Nxe4'], ['Nxe4', 'Qe6'], ['Bb3', 'Qf5\n'], ['Re3', 'Bxg5'], ['hxg5', 'Rf8'], ['Rf3', 'Qc8'], ['Rh3', 'Kg7'], ['Rxh5', 'Ne7'], ['Nf6', 'Rh8'], ['Rxh8', 'Qxh8\n'], ['Qe2', 'e4'], ['dxe4', 'c5'], ['axb5', 'axb5'], ['Rxa8', 'Qxa8'], ['Qxb5', 'Qa1+'], ['Kh2', 'Qxb2'], ['Qc4', 'Bd5\n'], ['Nxd5', 'Nc6'], ['Nf4', 'Ne5'], ['Qxc5', 'Ng4+'], ['Kg3', 'Nxf2'], ['Qd4+', 'Kh7'], ['Qxf2', 'Qxb3\n'], ['Nd5', 'Qb7'], ['Qf4', '']]",1-0
Commonwealth Ch,Mumbai IND,2003.04.23,6,"Arvind,C","Negi,P",,,E97,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Nf3', 'O-O'], ['Be2', 'e5'], ['O-O', 'Nc6'], ['d5', 'Ne7\n'], ['b4', 'a5'], ['Ba3', 'axb4'], ['Bxb4', 'Nd7'], ['a4', 'Nc5'], ['Bxc5', 'dxc5'], ['a5', 'Bd7'], ['Qb3', 'Rb8\n'], ['Ne1', 'Nc8'], ['Nd3', 'Qe7'], ['Rfb1', 'f5'], ['Qa3', 'fxe4'], ['Nxe4', 'Bf5'], ['Ndxc5', 'Nd6'], ['Bd3', 'Qh4\n'], ['g3', 'Qh5'], ['Re1', 'Bh3'], ['Be2', 'Qf5'], ['f3', 'Nxe4'], ['Nxe4', 'Qd7'], ['Rad1', 'Bf5'], ['Nf2', 'Qf7\n'], ['c5', 'Rfd8'], ['Bc4', 'Kh8'], ['d6', 'Qd7'], ['g4', 'Bc2'], ['Rc1', 'cxd6'], ['Rxc2', 'd5'], ['Rd2', 'Qc6\n'], ['Red1', 'd4'], ['Ne4', 'Ra8'], ['Ng5', '']]",1-0
7th BayEM,Bad Wiessee GER,2003.11.11,4,"Negi,P","Hamm,S",,,B05,"[['e4', 'Nf6'], ['e5', 'Nd5'], ['d4', 'd6'], ['Nf3', 'Bg4'], ['Be2', 'e6'], ['h3', 'Bh5'], ['O-O', 'a6'], ['c4', 'Nb6'], ['b3', 'Be7\n'], ['Nc3', 'O-O'], ['Be3', 'N8d7'], ['Nh2', 'Bxe2'], ['Qxe2', 'dxe5'], ['dxe5', 'Bc5'], ['Rad1', 'Qe7'], ['Nf3', 'Bxe3\n'], ['Qxe3', 'Rfd8'], ['Rd4', 'Nf8'], ['Rg4', 'Kh8'], ['Ne4', 'Nbd7'], ['h4', 'Ng6'], ['Rg5', 'h6'], ['h5', 'hxg5\n'], ['hxg6', 'g4'], ['Qf4', 'fxg6'], ['Qh2+', 'Kg8'], ['Nfg5', 'Nf8'], ['g3', 'Rd4'], ['Kg2', 'Rxe4'], ['Nxe4', 'Rd8\n'], ['Qh4', 'Qxh4'], ['gxh4', 'Kf7'], ['Nc5', 'Rd2'], ['Nxb7', 'Rxa2'], ['Nc5', 'a5'], ['Rd1', 'Ke7'], ['Kf1', 'Rb2\n'], ['Ra1', 'Nd7'], ['Nxd7', 'Kxd7'], ['Rxa5', 'Rxb3'], ['Ra8', 'Rf3'], ['Kg2', 'Kc6'], ['Re8', 'Kd7'], ['Rg8', 'Rf7\n'], ['Kg3', 'Kc6'], ['Re8', 'Kd7'], ['Rg8', '']]",1/2-1/2
7th BayEM,Bad Wiessee GER,2003.11.15,8,"Negi,P","Heimrath,R",,,C55,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Be7'], ['O-O', 'Nf6'], ['d3', 'O-O'], ['c3', 'a5'], ['Bb3', 'd6'], ['Nbd2', 'Nd7\n'], ['Re1', 'Nc5'], ['Bc2', 'f5'], ['exf5', 'Bxf5'], ['d4', 'Bxc2'], ['Qxc2', 'exd4'], ['cxd4', 'Nb4'], ['Qc4+', 'd5\n'], ['Qe2', 'Ncd3'], ['Qxe7', 'Nc2'], ['Qxd8', 'Rfxd8'], ['Re3', 'Ndb4'], ['Rb1', 'Nxe3'], ['fxe3', 'Nxa2\n'], ['Ne5', 'c5'], ['dxc5', 'Nb4'], ['Nb3', 'Re8'], ['Nd7', 'a4'], ['Nd4', 'Rac8'], ['Bd2', 'Nd3'], ['Nb6', 'Rxc5\n'], ['Nxa4', 'Rc7'], ['Nb6', 'Rf7'], ['Nxd5', 'Re5'], ['Nf4', 'Nc5'], ['Rc1', 'g5'], ['Nf3', 'Ref5'], ['g4', 'Nb3\n'], ['gxf5', 'Nxc1'], ['Bxc1', 'Rxf5'], ['Nd4', 'Rc5'], ['Nd3', 'Ra5'], ['e4', 'Kf7'], ['e5', 'Kg6'], ['Bd2', 'Ra8\n'], ['e6', 'Kf6'], ['Bb4', 'b6'], ['e7', 'h5'], ['Nb5', 'Re8']]",1-0
7th BayEM,Bad Wiessee GER,2003.11.16,9,"Mainka,R","Negi,P",,,A00,"[['g3', 'g6'], ['Bg2', 'Bg7'], ['d3', 'd6'], ['f4', 'e5'], ['Nc3', 'Ne7'], ['Nf3', 'Nbc6'], ['e4', 'O-O'], ['O-O', 'f5\n'], ['Be3', 'fxe4'], ['dxe4', 'exf4'], ['gxf4', 'Bg4'], ['Qe1', 'Bxf3'], ['Rxf3', 'Nd4'], ['Rf2', 'd5'], ['Rd1', 'c5\n'], ['e5', 'Nef5'], ['Nxd5', 'Qh4'], ['c3', 'Ne6'], ['Bc1', 'Qg4'], ['Qe2', 'Qxe2'], ['Rxe2', 'Kh8'], ['a4', 'Rad8\n'], ['Ree1', 'Bh6'], ['Be4', 'Nfg7'], ['a5', 'Rd7'], ['f5', 'gxf5'], ['Bxh6', 'fxe4'], ['Nf6', 'Rxd1'], ['Rxd1', 'Rd8\n'], ['Rxd8+', 'Nxd8'], ['Kf2', 'Nc6'], ['Nxe4', 'Ne6'], ['Ng5', 'Nxg5'], ['Bxg5', 'Kg7'], ['e6', 'Nxa5'], ['Kf3', 'Nc4\n'], ['Ke4', 'Nxb2'], ['Kd5', 'Kf8'], ['Kxc5', 'a5'], ['Kb5', 'a4'], ['Kb4', 'b5'], ['Kxb5', 'a3'], ['Bc1', 'Ke7\n'], ['c4', 'Kxe6'], ['c5', 'Kd7'], ['c6+', 'Kc8'], ['Ka6', 'h5'], ['Kb5', 'h4'], ['h3', 'Kc7']]",1/2-1/2
ch-Commonwealth,Mumbai IND,2004.01.11,2,"Lodhi,M","Negi,P",,,D11,"[['d4', 'd5'], ['Nf3', 'c6'], ['g3', 'Bg4'], ['Bg2', 'Nd7'], ['O-O', 'e6'], ['b3', 'Bd6'], ['c4', 'Ngf6'], ['Bb2', 'O-O\n'], ['Nc3', 'Qe7'], ['cxd5', 'exd5'], ['Re1', 'Ne4'], ['Nd2', 'f5'], ['Ndxe4', 'fxe4'], ['f3', 'exf3'], ['exf3', 'Qf6\n'], ['Qd2', 'Bf5'], ['Re3', 'h5'], ['Rae1', 'h4'], ['g4', 'Qg5'], ['h3', 'Bg6'], ['Ne2', 'Rae8'], ['Bc1', 'Qxe3+\n'], ['Qxe3', 'Rxe3'], ['Bxe3', 'Re8'], ['Kf2', 'Bd3'], ['Nf4', 'Bb5'], ['Bd2', 'Rf8'], ['Ne2', 'Nf6'], ['Kg1', 'Re8\n'], ['Bf1', 'Kf7'], ['Nc1', 'Rxe1'], ['Bxe1', 'Bf4'], ['Bxb5', 'Bxc1'], ['Bd3', 'g5'], ['Kf2', 'Nd7'], ['Bf5', 'Nf8\n'], ['Ke2', 'Bf4'], ['Bd2', 'Ne6'], ['Be3', 'Bd6'], ['Bxe6+', 'Kxe6'], ['a4', 'b6'], ['a5', 'Kf6'], ['Kd3', '']]",1/2-1/2
ch-Commonwealth,Mumbai IND,2004.01.12,3,"Negi,P","Dzhumaev,M",,,B06,"[['e4', 'g6'], ['d4', 'Bg7'], ['Nc3', 'd6'], ['Bg5', 'c6'], ['Qd2', 'b5'], ['f4', 'Nd7'], ['Nf3', 'b4'], ['Nd1', 'a5'], ['a3', 'Ngf6\n'], ['Bd3', 'bxa3'], ['Rxa3', 'd5'], ['Nf2', 'dxe4'], ['Nxe4', 'O-O'], ['O-O', 'Nb6'], ['Bxf6', 'exf6'], ['Nc5', 'Bg4\n'], ['c3', 'Bxf3'], ['Rxf3', 'f5'], ['Kh1', 'Re8'], ['Re3', 'Bf8'], ['Rxe8', 'Qxe8'], ['Qe2', 'Qd8'], ['Ra1', 'Nd5\n'], ['g3', 'Nf6'], ['Qf3', 'Bxc5'], ['dxc5', 'Rb8'], ['Rb1', 'Qd7'], ['h3', 'Qe6'], ['Kh2', 'h5'], ['b4', 'a4\n'], ['Qe2', 'Qd7'], ['Rd1', 'Re8'], ['Qd2', 'Rd8'], ['Qc2', 'a3'], ['Be2', 'Qe7'], ['Rxd8+', 'Qxd8'], ['Bc4', 'Ne4\n'], ['Kg2', 'Kf8'], ['Ba2', 'Qf6'], ['Qb3', 'Nxc3'], ['Qxa3', 'Qd4'], ['Qb2', 'h4'], ['Qc2', 'hxg3'], ['Kxg3', 'Qg1+\n'], ['Kf3', 'Ne4'], ['Qg2', 'Qd4']]",0-1
