DEN-chB,?,1988.??.??,1,"Mortensen, Steen Juul","Nielsen, Peter Heine",,,B00,"[['e4', 'Nc6'], ['d4', 'e5'], ['d5', 'Nce7'], ['Nf3', 'd6'], ['Bd3', 'Ng6'], ['Be3', 'Be7'], ['Nc3', 'Nf4'], ['Bb5+', 'Kf8\n'], ['Bf1', 'g5'], ['Qd2', 'a6'], ['g3', 'Bg4'], ['Nxg5', 'Bxg5'], ['gxf4', 'exf4'], ['Bxf4', 'Bf6'], ['Be2', 'Bxe2\n'], ['Qxe2', 'Bxc3+'], ['bxc3', 'Qf6'], ['Qe3', 'Re8'], ['O-O-O', 'h6'], ['Rhe1', 'Rh7'], ['e5', 'Qf5'], ['Qe4', 'Qxe4\n'], ['Rxe4', 'Nf6'], ['Rc4', 'dxe5'], ['Bg3', 'c6'], ['dxc6', 'bxc6'], ['Rxc6', 'Ne4'], ['Rd7', 'h5'], ['Bh4', 'Rg7\n'], ['f3', 'Ng5'], ['Rf6', 'Ne6'], ['Rh6', 'Rg1+'], ['Rd1', 'Rxd1+'], ['Kxd1', 'Kg7'], ['Rf6', 'Rc8'], ['Rf5', 'Rxc3\n'], ['Bf6+', 'Kg6'], ['Bxe5', 'Rc5'], ['Rf6+', 'Kg5'], ['Bb2', 'Rb5'], ['Bc3', 'Rc5'], ['Ba1', 'Rc7'], ['Kc1', 'Rd7\n'], ['Be5', 'Rd5'], ['f4+', 'Nxf4'], ['h4+', 'Kxh4'], ['Rxf4+', 'Kg5'], ['Bb8', 'f5'], ['Rf2', 'h4'], ['c4', 'Rd8\n'], ['Rg2+', 'Kh5'], ['Bf4', 'h3'], ['Rg5+', 'Kh4'], ['Rxf5', 'Kg4'], ['Rf7', 'Rd4'], ['Bc7', 'Rxc4+'], ['Kb2', 'Rb4+\n'], ['Kc3', 'Rb7'], ['Rf4+', 'Kg5'], ['Rc4', 'Kf5'], ['a4', 'Ke6'], ['Bh2', 'Kd5'], ['Rh4', 'Rf7'], ['Rxh3', 'Kc6\n'], ['Kb4', 'Kb7'], ['Rh5', 'Rg7'], ['Ka5', 'Rd7'], ['Bg1', 'Rg7'], ['Bc5', 'Rc7'], ['Re5', 'Rc6'], ['Be3', 'Rc7\n'], ['Re6', 'Rf7'], ['Rb6+', 'Ka8'], ['Rxa6+', 'Kb8'], ['Bc5', 'Rh7'], ['Rg6', 'Kb7'], ['Kb5', 'Rh8'], ['Rg7+', 'Kb8\n'], ['Bd6+', 'Ka8'], ['Ka6', '']]",1-0
DEN-chB,?,1988.??.??,2,"Nielsen, Peter Heine","Ejsing, Esben",,,A05,"[['g3', 'Nf6'], ['Bg2', 'g6'], ['b4', 'Bg7'], ['Bb2', 'O-O'], ['Nf3', 'd6'], ['O-O', 'e5'], ['d3', 'Nc6'], ['b5', 'Ne7\n'], ['c4', 'Nh5'], ['Qb3', 'h6'], ['Nc3', 'Be6'], ['Nd2', 'Rb8'], ['a4', 'Qd7'], ['Ba3', 'f5'], ['Rac1', 'f4'], ['a5', 'Nf5\n'], ['Nde4', 'Nd4'], ['Qd1', 'Bh3'], ['c5', 'Bxg2'], ['Kxg2', 'f3+'], ['exf3', 'Rxf3'], ['cxd6', 'Qh3+'], ['Kxh3', 'Nf4+\n'], ['Kh4', 'g5+'], ['Kg4', 'h5+'], ['Kxg5', 'Nde6+'], ['Kh4', 'Ng6+'], ['Kxh5', 'Ngf4+'], ['Kg4', '']]",1-0
DEN-chB,?,1988.??.??,4,"Pedersen, S.","Nielsen, Peter Heine",,,B06,"[['e4', 'g6'], ['Nc3', 'Bg7'], ['g3', 'Nc6'], ['Bg2', 'd6'], ['d3', 'e5'], ['Be3', 'Nd4'], ['Nce2', 'c5'], ['c3', 'Nxe2\n'], ['Nxe2', 'Nf6'], ['h3', 'O-O'], ['O-O', 'Be6'], ['f4', 'Rc8'], ['Qd2', 'Qd7'], ['Kh2', 'Ne8'], ['d4', 'cxd4\n'], ['cxd4', 'exf4'], ['Nxf4', 'Bc4'], ['Rf2', 'Nf6'], ['e5', 'Ne8'], ['b3', '']]",1/2-1/2
DEN-chB,?,1988.??.??,5,"Nielsen, Peter Heine","Jacobsen, Bo",,,A01,"[['b3', 'e5'], ['Bb2', 'Nc6'], ['e3', 'd6'], ['Bb5', 'Bd7'], ['Nf3', 'a6'], ['Be2', 'g5'], ['d4', 'g4'], ['Nfd2', 'Qg5\n'], ['O-O', 'Nge7'], ['d5', 'Nd8'], ['f4', 'gxf3'], ['Rxf3', 'Rg8'], ['Qf1', 'f5'], ['c4', 'Ng6'], ['Nc3', 'Be7\n'], ['b4', 'h5'], ['Kh1', 'h4'], ['a4', 'Nf7'], ['c5', 'Rf8'], ['Ba3', 'e4'], ['Rh3', 'Nfe5'], ['Nc4', 'Nxc4\n'], ['Bxc4', 'f4'], ['Nxe4', 'Qe5'], ['Rf3', 'h3'], ['gxh3', 'Nh4'], ['cxd6', 'cxd6'], ['Nd2', 'Nxf3'], ['Nxf3', 'Qxe3\n'], ['Bb2', 'Qe4'], ['Re1', 'Qh7'], ['Qe2', 'Rg8'], ['Bf6', 'O-O-O'], ['Bxe7', 'Rde8'], ['Bd3', 'Qxh3'], ['Qc2+', 'Kb8\n'], ['Bxd6+', 'Ka8'], ['Rxe8+', 'Rxe8'], ['Ng1', 'Qh5']]",0-1
DEN-chB,?,1988.??.??,6,"Sorensen, Henrik","Nielsen, Peter Heine",,,B07,"[['d4', 'g6'], ['e4', 'Bg7'], ['c3', 'd6'], ['Nf3', 'Nf6'], ['Bd3', 'O-O'], ['O-O', 'Nc6'], ['Nbd2', 'e5'], ['dxe5', 'dxe5\n'], ['Qc2', 'Nh5'], ['Re1', 'Nf4'], ['Bf1', 'g5'], ['Nc4', 'g4'], ['Nfd2', 'Qh4'], ['Ne3', 'Rd8'], ['b4', 'Rd6\n'], ['Bc4', 'Ne7'], ['Ndf1', 'Qg5'], ['Kh1', 'Qg6'], ['Ba3', 'b5'], ['Bxb5', 'Bb7'], ['Ng3', 'Bf8'], ['Rad1', 'h5\n'], ['f3', 'h4'], ['Ngf5', 'Rxd1'], ['Rxd1', 'Nxf5'], ['Nxf5', 'h3'], ['Bf1', 'a5'], ['Bc1', 'axb4'], ['cxb4', 'Ba6\n'], ['Bxf4', 'Bxf1'], ['Rxf1', 'exf4'], ['gxh3', 'Qe6'], ['Rg1', 'Rxa2'], ['Qxc7', 'Qb6'], ['Qxf4', 'Bxb4\n'], ['Qxg4+', 'Kf8'], ['Qg8+', '']]",1-0
DEN-chB,?,1988.??.??,7,"Nielsen, Peter Heine","Hvenekilde, Jorgen",,,A01,"[['b3', 'Nh6'], ['Bb2', 'f6'], ['d4', 'd5'], ['Qd3', 'Nc6'], ['Nc3', 'Bf5'], ['Qb5', 'e6'], ['O-O-O', 'a6'], ['Qxb7', 'Na5\n'], ['Qxa8', 'Qxa8'], ['f3', 'Bd6'], ['e4', 'Bg6'], ['h4', 'O-O'], ['h5', 'Bf7'], ['g4', 'Nc6'], ['Nh3', 'a5'], ['Kb1', 'dxe4\n'], ['Nxe4', 'a4'], ['g5', 'axb3'], ['axb3', 'fxg5'], ['Nxd6', 'cxd6'], ['Nxg5', 'Nb4'], ['d5', 'Rc8'], ['c4', 'Qa2+']]",0-1
Hamburg-chIJ,Hamburg,1989.??.??,?,"Nielsen, Peter Heine","Van Gisbergen, Stan",,,C89,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'O-O'], ['c3', 'd5\n'], ['exd5', 'Nxd5'], ['Nxe5', 'Nxe5'], ['Rxe5', 'c6'], ['d4', 'Bd6'], ['Re1', 'Qh4'], ['g3', 'Qh3'], ['Be3', 'Bg4\n'], ['Qd3', 'Rae8'], ['Nd2', 'f5'], ['f4', 'Kh8'], ['Bxd5', 'cxd5'], ['Qf1', 'Qh5'], ['a4', 'bxa4'], ['Rxa4', 'g5\n'], ['fxg5', 'Rxe3'], ['Rxe3', 'f4'], ['gxf4', 'Bxf4'], ['Rg3', 'Qe8'], ['Rxg4', 'Be3+'], ['Kg2', 'Rxf1\n'], ['Nxf1', 'Qxa4'], ['Nxe3', 'Qb5'], ['Kf3', 'Qxb2'], ['Nxd5', 'Kg7'], ['h4', 'Qb1'], ['Ne3', 'Qc1'], ['d5', 'Qxc3\n'], ['d6', 'Kg6'], ['Re4', 'Qc6'], ['Nc4', 'Kf5'], ['Ne3+', 'Kg6'], ['Nc4', 'Kg7'], ['Ke3', 'Kf8'], ['Rd4', 'Qd7\n'], ['Ne5', 'Qh3+'], ['Ke4', 'Qg2+'], ['Kf5', 'Qc2+'], ['Ke6', 'Qb3+'], ['Kf6', 'Qb6'], ['Nd7+', '']]",1-0
Hamburg-chIJ,Hamburg,1989.??.??,?,"Nielsen, Peter Heine","Lorenz, Robin",,,A34,"[['c4', 'c5'], ['Nf3', 'Nf6'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['e4', 'Nxc3'], ['dxc3', 'Qxd1+'], ['Kxd1', 'Nc6\n'], ['Be3', 'e6'], ['Kc2', 'Bd7'], ['Bb5', 'Be7'], ['Rhd1', 'O-O-O'], ['a4', 'f6'], ['Nd2', 'Na5'], ['Rdb1', 'a6\n'], ['Be2', 'Kb8'], ['b4', 'cxb4'], ['Bb6', 'bxc3'], ['Bxa5', 'cxd2'], ['Bxd8', 'Rxd8'], ['Bxa6', 'd1=Q+\n'], ['Rxd1', 'bxa6'], ['f3', 'e5'], ['Rd3', 'Bc5'], ['Rb1+', 'Ka7'], ['Kd2', 'Bd4'], ['Rdb3', 'Bxa4'], ['Rb7+', 'Ka8\n'], ['Rxg7', 'Bb5'], ['Ke1', 'Rd7'], ['Rg8+', 'Ka7'], ['Rf8', 'Rb7'], ['Rxf6', 'a5'], ['Rd6', 'a4'], ['g4', 'Bc3+\n'], ['Kf2', 'a3'], ['Rb3', 'Bb2'], ['Rd5', 'Ka6'], ['Rxa3+', 'Bxa3'], ['Rxe5', 'Rc7'], ['Re6+', 'Rc6'], ['Rxc6+', 'Bxc6\n'], ['h4', 'Bd6'], ['Ke3', 'Kb6'], ['g5', 'Be8'], ['f4', 'Bc5+'], ['Kf3', 'Bh5+'], ['Kg3', 'Kc6'], ['f5', 'Bd6+\n'], ['Kf2', 'Bf4']]",0-1
Hamburg-chIJ,Hamburg,1989.??.??,?,"Nielsen, Peter Heine","Geisler, Fabian",,,A89,"[['c4', 'f5'], ['g3', 'Nf6'], ['Bg2', 'g6'], ['Nf3', 'Bg7'], ['O-O', 'O-O'], ['Nc3', 'd6'], ['d4', 'Nc6'], ['d5', 'Ne5\n'], ['Nxe5', 'dxe5'], ['e4', 'f4'], ['b4', 'g5'], ['Re1', 'h5'], ['a4', 'a6'], ['b5', 'Qe8'], ['bxa6', 'bxa6'], ['Qb3', 'Qf7\n'], ['Ra2', 'h4'], ['gxf4', 'gxf4'], ['Nd1', 'Bh6'], ['h3', 'Qg6'], ['f3', 'Bxh3'], ['Kh1', 'Bc8'], ['Rg1', 'Nh5\n'], ['Bh3', 'Ng3+'], ['Kh2', 'Bxh3'], ['Kxh3', 'Rab8'], ['Qc3', 'Qb6'], ['c5', 'Qb3'], ['Rb2', 'Qxc3'], ['Nxc3', 'Bg5\n'], ['Rgg2', 'Kf7'], ['c6', 'Bf6']]",1/2-1/2
Hamburg-chIJ,Hamburg,1989.??.??,?,"Nielsen, Peter Heine","De Jong, Migchiel",,,C19,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Bb4'], ['e5', 'c5'], ['a3', 'Bxc3+'], ['bxc3', 'Ne7'], ['Nf3', 'Qa5'], ['Bd2', 'Nbc6\n'], ['a4', 'Bd7'], ['Bb5', 'f6'], ['O-O', '']]",1/2-1/2
Hamburg-chIJ,Hamburg,1989.??.??,?,"Nielsen, Peter Heine","Berndt, Stephan",,,A45,"[['d4', 'Nf6'], ['Bg5', 'g6'], ['Bxf6', 'exf6'], ['e3', 'Bg7'], ['c4', 'O-O'], ['Nc3', 'f5'], ['h4', 'd6'], ['g3', 'Nd7\n'], ['Nge2', 'Nf6'], ['Bg2', 'c6'], ['O-O', 'Re8'], ['Qd3', 'Ng4'], ['Rae1', 'Bd7'], ['b4', 'h6'], ['Nf4', 'Nf6\n'], ['b5', 'g5'], ['hxg5', 'hxg5'], ['bxc6', 'bxc6'], ['Nh3', 'Bh6'], ['f4', 'g4'], ['Nf2', 'Bg7'], ['Rd1', 'Rb8\n'], ['Rfe1', 'Kh8'], ['e4', 'fxe4'], ['Ncxe4', 'Bf5'], ['Qa3', 'Nxe4'], ['Nxe4', 'Kg8']]",1/2-1/2
