Wch U20,Mamaia,1991.??.??,?,"Stefansson, Hannes","Nisipeanu, Liviu Dieter",,,E97,"[['c4', 'Nf6'], ['Nc3', 'g6'], ['e4', 'd6'], ['d4', 'Bg7'], ['Be2', 'O-O'], ['Nf3', 'e5'], ['O-O', 'Nc6'], ['d5', 'Ne7\n'], ['Nd2', 'a5'], ['a3', 'Nd7'], ['Rb1', 'f5'], ['b4', 'axb4'], ['axb4', 'Kh8'], ['Bb2', 'Nf6'], ['f3', 'Bh6\n'], ['c5', 'Bd7'], ['Nc4', 'Nc8'], ['b5', 'b6'], ['cxd6', 'cxd6'], ['Qc2', 'Rg8'], ['Ra1', 'Rb8'], ['exf5', 'gxf5\n'], ['Bd3', 'Qc7'], ['Kh1', 'Bg7'], ['Ra4', 'Ne7'], ['Nxd6', 'Qxd6'], ['Ba3', 'Qc7'], ['Bxe7', 'e4'], ['d6', 'exd3\n'], ['dxc7', 'dxc2'], ['cxb8=Q', 'Rxb8'], ['Rc4', 'Nd5'], ['Nxd5', 'Bxb5'], ['Rxc2', 'Bxf1'], ['Nxb6', 'Ba6\n'], ['Bc5', 'Re8'], ['Rc1', 'Bb7'], ['Kg1', 'Re2'], ['Rd1', 'Re8'], ['Bd4', 'Bxd4+'], ['Rxd4', 'Ba6'], ['Rd7', 'Re1+\n'], ['Kf2', 'Re2+'], ['Kg3', 'f4+'], ['Kh3', 'Rf2'], ['Rd8+', 'Kg7'], ['Nd5', 'Bf1'], ['Rd7+', 'Kf8'], ['Nxf4', 'Rxf3+\n'], ['Kg4', 'Rxf4+'], ['Kxf4', 'Bxg2'], ['Rxh7', 'Bd5'], ['Kg5', 'Kg8'], ['Kh6', 'Be4'], ['Rg7+', 'Kh8'], ['Re7', 'Bd5\n'], ['Kg6', 'Bc4'], ['Rd7', 'Bb3'], ['Rh7+', 'Kg8'], ['Rc7', 'Kh8'], ['h4', 'Bd5'], ['Rh7+', 'Kg8'], ['Re7', 'Kf8\n'], ['Re5', 'Bb3'], ['Kh7', 'Bc2+'], ['Kh8', 'Kf7'], ['Rc5', 'Bb1'], ['h5', 'Kf6'], ['Kg8', 'Ba2+'], ['Kf8', '']]",1-0
Wch U20,Mamaia,1991.??.??,?,"Nisipeanu, Liviu Dieter","Cela, Altin",,,C90,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'd6'], ['h3', 'Na5\n'], ['d4', 'exd4'], ['e5', 'dxe5'], ['Nxe5', 'O-O'], ['Bd2', 'b4'], ['Bg5', 'Bb7'], ['Bxf6', 'Bxf6'], ['Nxf7', 'Rxf7\n'], ['Bxf7+', 'Kxf7'], ['Qh5+', 'Kg8'], ['Qxa5', 'Qd6'], ['Nd2', 'Rf8'], ['Ne4', 'Qf4'], ['f3', 'Be7'], ['Qa4', 'Bc8\n'], ['Qc6', 'Kh8'], ['Rad1', 'Bh4'], ['Re2', 'Bxh3'], ['gxh3', 'Qxf3'], ['Qc5', 'h6'], ['Qxb4', 'Rf4'], ['Qd2', 'Rxe4\n'], ['Rxe4', 'Qxe4'], ['Qd3', 'Qe6'], ['Rf1', 'Bf6'], ['a3', 'c5'], ['Qf5', 'Qb6'], ['Re1', 'Qc6'], ['Qg6', '']]",1-0
Wch U20,Mamaia,1991.??.??,?,"Nisipeanu, Liviu Dieter","Rocha, Sergio",,,B01,"[['e4', 'd5'], ['exd5', 'Nf6'], ['d4', 'Bg4'], ['Nf3', 'Qxd5'], ['Be2', 'Nc6'], ['O-O', 'O-O-O'], ['c4', 'Qf5'], ['Be3', 'e6\n'], ['Nbd2', 'h5'], ['Qa4', 'Kb8'], ['b4', 'Bxb4'], ['Nb3', 'Ne4'], ['Rac1', 'Nc3'], ['Rxc3', 'Bxc3'], ['h3', 'Bxf3\n'], ['Bxf3', 'Nxd4'], ['Bxd4', 'Bxd4'], ['Na5', 'Bb6'], ['Nxb7', 'Rd3'], ['Bc6', 'Rd2'], ['c5', 'Bxc5'], ['Be4', 'Rd4\n'], ['Qb3', 'Rb4'], ['Bxf5', 'Rxb3'], ['Nxc5', 'Rc3'], ['Rb1+', 'Kc8'], ['Na6', 'Kd7'], ['Be4', 'f5'], ['Rd1+', 'Ke7\n'], ['Bf3', 'g5'], ['Nb4', 'g4'], ['hxg4', 'hxg4'], ['Bb7', 'a5'], ['Nc6+', 'Kf6'], ['a4', 'Ra3'], ['Nxa5', 'Rxa4\n'], ['Nc6', 'Ra2'], ['Rb1', 'Rd2'], ['g3', 'e5'], ['Nb4', 'Rb8'], ['Na6', 'Rbd8'], ['Nxc7', 'Rd1+'], ['Rxd1', 'Rxd1+\n'], ['Kg2', 'f4'], ['Nd5+', 'Kg5'], ['gxf4+', 'exf4'], ['Nc3', 'Rc1'], ['Ne4+', 'Kh4'], ['Ba6', 'Rc2'], ['Bd3', 'Rb2\n'], ['Kg1', 'Ra2'], ['Kg2', 'Ra3'], ['Bb5', 'Ra2'], ['Bd3', 'g3'], ['Bb5', 'Rb2'], ['Ba6', 'Rc2'], ['Bd3', 'Ra2\n'], ['Bb5', 'Ra3'], ['fxg3+', 'fxg3'], ['Be2', 'Ra2'], ['Nxg3', 'Rxe2+']]",1/2-1/2
Wch U20,Mamaia,1991.??.??,?,"Nisipeanu, Liviu Dieter","Sinowjew, Juri",,,B47,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nc6'], ['Nc3', 'a6'], ['g3', 'Qc7'], ['Bg2', 'Nf6'], ['O-O', 'Be7\n'], ['Kh1', 'O-O'], ['f4', 'd6'], ['h3', 'Bd7'], ['g4', 'Nxd4'], ['Qxd4', 'Bc6'], ['g5', 'Nd7'], ['Qf2', 'Rfe8\n'], ['Be3', 'b5'], ['f5', 'Ne5'], ['f6', 'Bf8'], ['fxg7', 'Bxg7'], ['Bd4', 'Qb7'], ['Rae1', 'b4'], ['Nd1', 'Rf8\n'], ['Qg3', 'Kh8'], ['Nf2', 'f5'], ['gxf6', 'Rxf6'], ['Nd3', 'Rxf1+'], ['Rxf1', 'Bxe4'], ['Rg1', 'Rg8'], ['Nxe5', 'dxe5\n'], ['Bxe5', 'Bxg2+'], ['Rxg2', 'Qf7'], ['Kh2', 'Bxe5'], ['Qxe5+', 'Rg7'], ['c4', 'bxc3'], ['Qxc3', 'Qc7+\n'], ['Rg3', 'Qxc3'], ['Rxc3', 'Rd7'], ['Kg3', 'Rd2'], ['Rb3', 'Kg7'], ['Rb6', 'Kf6'], ['Kf4', 'a5'], ['Ke4', 'Rh2\n'], ['Ra6', 'Rxb2'], ['Rxa5', 'Rh2'], ['Ra3', 'e5'], ['Rf3+', '']]",1/2-1/2
Wch U20,Mamaia,1991.??.??,?,"Pedzich, Dominik","Nisipeanu, Liviu Dieter",,,B52,"[['e4', 'c5'], ['Nf3', 'd6'], ['Bb5+', 'Bd7'], ['Bxd7+', 'Qxd7'], ['O-O', 'Nf6'], ['Qe2', 'Nc6'], ['c3', 'g6'], ['d4', 'cxd4\n'], ['cxd4', 'd5'], ['e5', 'Ne4'], ['Be3', 'Bg7'], ['Ne1', 'h6'], ['f3', 'Ng5'], ['Nc3', 'Ne6'], ['Rd1', 'O-O\n'], ['f4', 'Kh7'], ['g4', 'f5'], ['Ng2', 'Rf7'], ['gxf5', 'gxf5'], ['Qh5', 'Raf8'], ['Nh4', 'Nc7'], ['Kh1', 'e6\n'], ['Rg1', 'Ne7'], ['Nf3', 'Nc6'], ['Rg6', 'Ne7'], ['Ng5+', 'Kg8']]",1-0
Wch U20,Mamaia,1991.??.??,?,"Rocha, Wellington Carlos","Nisipeanu, Liviu Dieter",,,B81,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['g4', 'e5'], ['Nf5', 'h5'], ['g5', 'Nxe4\n'], ['Nxg7+', 'Bxg7'], ['Nxe4', 'd5'], ['Nc3', 'Be6'], ['Bg2', 'e4'], ['O-O', 'h4'], ['Re1', 'h3'], ['Bf1', 'Nc6\n'], ['f3', 'Qb6+'], ['Kh1', 'O-O-O'], ['fxe4', 'dxe4'], ['Qe2', 'Nd4'], ['Qf2', 'e3'], ['Rxe3', 'Qc6+'], ['Kg1', 'Rh4']]",0-1
Wch U20,Mamaia,1991.??.??,?,"Seres, Lajos","Nisipeanu, Liviu Dieter",,,E62,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['c4', 'Bg7'], ['g3', 'O-O'], ['Bg2', 'd6'], ['O-O', 'Nc6'], ['Nc3', 'e5'], ['d5', 'Ne7\n'], ['c5', 'Ne8'], ['cxd6', 'cxd6'], ['e4', 'h6'], ['Nd2', 'f5'], ['Nc4', 'f4'], ['a4', 'g5'], ['b3', 'g4'], ['f3', 'h5\n'], ['Ra2', 'Ng6'], ['Ba3', 'gxf3'], ['Bxf3', 'fxg3'], ['hxg3', 'h4'], ['gxh4', 'Nxh4'], ['Bg2', 'Rf4'], ['Nb5', 'Qg5\n'], ['Qd3', 'Rg4'], ['Rff2', 'Rg3'], ['Qd2', 'Qg6'], ['Nbxd6', 'Bh3'], ['Nf5', 'Rxg2+'], ['Rxg2', 'Nf3+\n'], ['Kf1', 'Nxd2+'], ['Rxd2', 'Qh5'], ['Ncd6', 'Nxd6'], ['Bxd6', 'Bxf5'], ['exf5', 'Qxf5+'], ['Kg1', 'Rc8']]",0-1
Wch U20,Mamaia,1991.??.??,?,"Elliott, D.","Nisipeanu, Liviu Dieter",,,B85,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Be3', 'a6'], ['a4', 'Nc6'], ['Be2', 'Be7\n'], ['O-O', 'O-O'], ['f4', 'Qc7'], ['Qe1', 'Nxd4'], ['Bxd4', 'e5'], ['fxe5', 'dxe5'], ['Qg3', 'Bc5'], ['Bxc5', 'Qxc5+\n'], ['Kh1', 'Qe7'], ['Rad1', 'b6'], ['Bc4', 'Bb7'], ['Rf5', 'Rac8'], ['Rxe5', 'Qc7'], ['Bd5', 'Rfd8'], ['Bxb7', 'Rxd1+\n'], ['Nxd1', 'Qxb7'], ['Nc3', 'h6'], ['Nd5', 'Nxd5'], ['exd5', 'f6'], ['Re1', 'Qxd5'], ['Qg6', 'Qf7'], ['Qxf7+', 'Kxf7\n'], ['Re2', 'Re8'], ['Rxe8', 'Kxe8'], ['Kg1', 'Kd7'], ['Kf2', 'Kd6'], ['Ke3', 'Kc5'], ['Ke4', 'g6'], ['g4', 'Kb4\n'], ['h4', 'Kxa4'], ['h5', 'gxh5'], ['gxh5', 'b5'], ['Kf5', 'b4'], ['Kg6', 'f5'], ['Kxf5', 'b3'], ['c4', 'Kb4\n'], ['Kg6', 'a5'], ['Kxh6', 'a4'], ['Kg7', 'a3'], ['bxa3+', 'Kxc4'], ['h6', 'b2'], ['h7', 'b1=Q'], ['h8=Q', 'Qa1+\n'], ['Kh7', 'Qxh8+'], ['Kxh8', '']]",1/2-1/2
Stockerau op-J,Stockerau,1991.??.??,?,"Jarowski, K.","Nisipeanu, Liviu Dieter",,,B81,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['g4', 'e5'], ['Bb5+', 'Bd7'], ['Bxd7+', 'Qxd7\n'], ['Nf5', 'h5'], ['g5', 'Nxe4'], ['Nxg7+', 'Bxg7'], ['Nxe4', 'd5'], ['Nc3', 'd4'], ['Ne4', 'Qc6'], ['Qe2', 'Nd7\n'], ['Rg1', 'O-O-O'], ['Bd2', 'Rhg8'], ['c3', 'd3'], ['Qxd3', 'Nc5'], ['Qh3+', 'Kb8'], ['Nxc5', 'Qxc5'], ['Qe3', 'Qd5\n'], ['Qe2', 'f5'], ['gxf6', 'Bh6'], ['O-O-O', 'Qxd2+'], ['Qxd2', 'Rxd2'], ['Rxg8+', 'Rd8+'], ['Kc2', 'Rxg8\n'], ['Rd6', 'Rg2'], ['Re6', 'e4'], ['Rxe4', 'Rxf2+'], ['Kb3', 'Rxf6'], ['a4', 'Rf2'], ['Re8+', 'Kc7'], ['Rh8', 'Bc1\n'], ['Rxh5', 'Rxb2+'], ['Kc4', 'Bf4'], ['h3', 'Bd6'], ['a5', 'Kc6'], ['Rf5', 'a6'], ['h4', 'Rb5'], ['Rxb5', 'axb5+\n'], ['Kd4', 'Bf8'], ['h5', 'Bg7+'], ['Kd3', 'Kc5']]",0-1
Stockerau op-J,Stockerau,1991.??.??,?,"Neubauer, Martin","Nisipeanu, Liviu Dieter",,,B20,"[['e4', 'c5'], ['b4', 'cxb4'], ['a3', 'd5'], ['e5', 'Nc6'], ['d4', 'Bf5'], ['Ne2', 'e6'], ['Ng3', 'Bg6'], ['axb4', 'Nxb4\n'], ['Bb5+', 'Nc6'], ['c3', 'Ne7'], ['h4', 'Qb6'], ['Qa4', 'Nf5'], ['Nxf5', 'Bxf5'], ['Na3', 'Be7'], ['Be2', 'h6\n'], ['Nb5', 'O-O'], ['g4', 'Be4'], ['Rh3', 'a6'], ['Nd6', 'Bxd6'], ['exd6', 'e5'], ['dxe5', 'Nxe5'], ['Ba3', 'Rfe8\n'], ['Kf1', 'Ng6'], ['Qd4', 'Qxd4'], ['cxd4', 'Bg2+'], ['Kxg2', 'Nf4+'], ['Kf3', 'Nxe2'], ['Bc5', 'Re4'], ['Rhh1', 'Nxd4+\n'], ['Bxd4', 'Rxd4'], ['Rhd1', 'Rxd1'], ['Rxd1', 'Kf8'], ['Kf4', 'Ke8'], ['Ke5', 'Kd7'], ['Kxd5', 'f6'], ['f4', 'b6\n'], ['Re1', 'Re8'], ['Rb1', 'b5'], ['Rc1', 'Rc8'], ['Re1', 'Re8'], ['Rc1', '']]",1/2-1/2
