URS-ch sf,Ivano Frankovsk,1982.??.??,?,"Kakageldyev, Amanmurad","Oll, Lembit",,,A69,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'd6'], ['Nc3', 'g6'], ['e4', 'Bg7'], ['f4', 'O-O'], ['Nf3', 'e6'], ['Be2', 'exd5'], ['cxd5', 'Re8\n'], ['Nd2', 'Nbd7'], ['O-O', 'a6'], ['a4', 'c4'], ['e5', 'dxe5'], ['Nxc4', 'Nb6'], ['fxe5', 'Ng4'], ['Bxg4', 'Nxc4\n'], ['e6', 'fxe6'], ['Bf3', 'Qb6+'], ['Kh1', 'Nxb2'], ['Qe2', 'Bxc3'], ['Rb1', 'e5'], ['Bxb2', 'Bxb2'], ['Rxb2', 'Qd6\n'], ['Qe3', 'e4'], ['Bd1', 'b5'], ['axb5', 'axb5'], ['Rxb5', 'Ba6'], ['Rb6', 'Qe5']]",1/2-1/2
URS-ch sf,Ivano Frankovsk,1982.??.??,?,"Gorelov, Sergey G","Oll, Lembit",,,A87,"[['d4', 'f5'], ['Nf3', 'Nf6'], ['g3', 'g6'], ['c4', 'Bg7'], ['Bg2', 'd6'], ['O-O', 'O-O'], ['Nc3', 'Qe8'], ['d5', 'Na6\n'], ['Nd4', 'Bd7'], ['b3', 'Nc5'], ['Bb2', 'c6'], ['Rc1', 'e5'], ['dxe6', 'Bxe6'], ['Qc2', 'Rd8'], ['e3', 'Bf7\n'], ['Rfd1', 'Nce4'], ['Nxe4', 'Nxe4'], ['Ne2', 'Nf6'], ['Bd4', 'a6'], ['a4', 'Be6'], ['a5', 'Qe7'], ['b4', 'Rd7\n'], ['Nf4', 'Bf7'], ['h4', 'Ng4'], ['Bxg7', 'Kxg7'], ['Qc3+', 'Qf6'], ['Rd4', 'Ne5'], ['Nd3', 'Rdd8'], ['Rd1', 'Be6\n'], ['Nb2', 'c5'], ['bxc5', 'dxc5'], ['Rd7+', 'Rxd7'], ['Rxd7+', '']]",1/2-1/2
URS-ch sf,Ivano Frankovsk,1982.??.??,?,"Dorfman, Josif D","Oll, Lembit",,,A48,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['Bg5', 'Bg7'], ['Nbd2', 'O-O'], ['e4', 'd6'], ['c3', 'h6'], ['Bh4', 'g5'], ['Bg3', 'Nh5\n'], ['Nb3', 'a5'], ['a4', 'Qe8'], ['Bb5', 'Bd7'], ['Bxd7', 'Nxd7'], ['Nfd2', 'f5'], ['exf5', 'Rxf5'], ['O-O', 'Qf7\n'], ['Qe2', 'e5'], ['dxe5', 'Bxe5'], ['Qc4', 'd5'], ['Qb5', 'b6'], ['Rae1', 'Rf8'], ['Bxe5', 'Rxe5'], ['Rxe5', 'Nxe5\n'], ['g3', 'Re8'], ['Nd4', 'c5'], ['N4f3', 'Nxf3+'], ['Nxf3', 'Ng7'], ['Ne1', 'Re6'], ['Nc2', 'Nf5'], ['Rd1', 'Rd6\n'], ['Qe2', 'Qd7'], ['b3', 'Qf7'], ['Re1', 'Rd8'], ['Qd3', 'Qf6'], ['Ne3', 'Nxe3'], ['Rxe3', 'd4'], ['cxd4', 'cxd4\n'], ['Re4', 'Qf7'], ['h4', 'Qg6'], ['hxg5', 'hxg5'], ['Qc4+', 'Qf7']]",1/2-1/2
URS-ch sf,Ivano Frankovsk,1982.??.??,?,"Vasiukov, Evgeni","Oll, Lembit",,,A65,"[['c4', 'Nf6'], ['Nc3', 'g6'], ['e4', 'd6'], ['d4', 'Bg7'], ['f3', 'O-O'], ['Bg5', 'c5'], ['d5', 'e6'], ['Qd2', 'exd5'], ['cxd5', 'a6\n'], ['Nge2', 'b5'], ['Ng3', 'Nbd7'], ['Be2', 'c4'], ['O-O', 'Rb8'], ['b4', 'cxb3'], ['axb3', 'Nc5'], ['Rfb1', 'Qc7\n'], ['b4', 'Nfd7'], ['Ra2', 'Nb6'], ['Nxb5', 'axb5'], ['bxc5', 'Nc4'], ['Qc1', 'Qxc5+'], ['Kh1', 'Bd7'], ['Rc2', 'Be5\n'], ['Nf1', 'Qa7'], ['h3', 'Qa6'], ['Bf4', 'Bxf4'], ['Qxf4', 'Ne5'], ['Qf6', 'Rfc8'], ['Rcb2', 'Qa3'], ['Kh2', 'Rb6\n'], ['f4', 'Nd3'], ['Rb3', '']]",1-0
URS-ch sf,Ivano Frankovsk,1982.??.??,?,"Lerner, Konstantin Z","Oll, Lembit",,,E74,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Be2', 'O-O'], ['Bg5', 'c5'], ['d5', 'h6'], ['Bf4', 'Qb6'], ['Qc2', 'e6\n'], ['Nf3', 'exd5'], ['cxd5', 'Bg4'], ['O-O', 'Nbd7'], ['a4', 'a6'], ['Nd2', 'Bxe2'], ['Nxe2', 'Qc7'], ['Nc4', 'Ne8\n'], ['a5', 'b5'], ['axb6', 'Nxb6'], ['Na5', 'Nf6'], ['Bd2', 'Rfe8'], ['Ng3', 'h5'], ['Rfe1', 'Qd7'], ['h3', 'Qb5\n'], ['Bc3', 'Nfd7'], ['Bxg7', 'Kxg7'], ['Re3', 'c4'], ['Nc6', 'a5'], ['Nxh5+', 'gxh5'], ['Rg3+', '']]",1-0
Nikolaev,Nikolaev,1983.??.??,?,"Oll, Lembit","Smirin, Ilia",,,B97,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Bg5', 'e6'], ['f4', 'Qb6'], ['Qd2', 'Qxb2\n'], ['Rb1', 'Qa3'], ['f5', 'Nc6'], ['fxe6', 'fxe6'], ['Nxc6', 'bxc6'], ['Be2', 'Qa5'], ['O-O', 'Be7'], ['Kh1', 'Qd8\n'], ['e5', 'dxe5'], ['Qe3', 'Qd4'], ['Qh3', 'O-O'], ['Bd3', 'g6'], ['Bxg6', 'hxg6'], ['Qh6', 'Rf7'], ['Bxf6', 'Rxf6\n'], ['Rxf6', 'Bxf6'], ['Qxg6+', 'Bg7'], ['Ne4', 'Bd7'], ['c3', '']]",1-0
URS-FL,Tallinn,1983.??.??,?,"Petrushin, Alexander I","Oll, Lembit",,,B85,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'e6'], ['Nc3', 'Nf6'], ['Be2', 'Be7'], ['f4', 'O-O'], ['O-O', 'a6\n'], ['Qe1', 'Qc7'], ['Qg3', 'Nc6'], ['Be3', 'Bd7'], ['Nf3', 'b5'], ['e5', 'Ne8'], ['Rad1', 'f5'], ['Kh1', 'd5\n'], ['Qf2', 'b4'], ['Nb1', 'a5'], ['c4', 'bxc3'], ['Nxc3', 'Qb7'], ['Bd3', 'Nc7'], ['Rg1', 'Rab8'], ['Rd2', 'Kh8\n'], ['h3', 'Nd8'], ['Bc5', 'Bxc5'], ['Qxc5', 'Nc6'], ['Qf2', 'Qb4'], ['Ne2', 'Qb6'], ['Qh4', 'Nb4'], ['Bb1', 'Bb5\n'], ['Ned4', 'Rbe8'], ['g4', 'g6'], ['Qh6', 'Rf7'], ['gxf5', '']]",1-0
URS-FL,Tallinn,1983.??.??,?,"Korzubov, Peter","Oll, Lembit",,,B21,"[['e4', 'c5'], ['d3', 'e6'], ['f4', 'd5'], ['Be2', 'Nf6'], ['e5', 'Nfd7'], ['c3', 'f6'], ['Nf3', 'Nc6'], ['d4', 'Qb6'], ['O-O', 'cxd4\n'], ['cxd4', 'fxe5'], ['fxe5', 'Ndxe5'], ['Nxe5', 'Nxe5'], ['Nc3', 'Nc6'], ['Bb5', 'Bd7'], ['Bxc6', 'bxc6\n'], ['Bg5', 'e5'], ['Na4', 'Qb4'], ['a3', 'Qd6'], ['dxe5', 'Qg6'], ['Be3', 'Bf5'], ['Qf3', 'Bd3'], ['Rf2', 'Be7\n'], ['Bc5', 'Bh4'], ['g3', 'Rb8'], ['Bd6', 'Rb5'], ['Nc5', 'Rxc5'], ['Bxc5', 'Bd8'], ['e6', 'Be7'], ['Bxe7', 'Kxe7\n'], ['Qe3', '']]",1-0
URS-FL,Tallinn,1983.??.??,?,"Oll, Lembit","Yurtaev, Leonid",,,B76,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'g6'], ['Be3', 'Bg7'], ['f3', 'Nc6'], ['Qd2', 'O-O\n'], ['O-O-O', 'd5'], ['exd5', 'Nxd5'], ['Nxc6', 'bxc6'], ['Bd4', 'e5'], ['Bc5', 'Be6'], ['Ne4', 'Rb8'], ['c4', 'Re8\n'], ['g4', 'Nb6'], ['Qxd8', 'Rexd8'], ['Rxd8+', 'Rxd8'], ['b3', 'f5'], ['gxf5', 'Bxf5'], ['Kc2', 'Bf8'], ['Be3', 'Nd5\n'], ['cxd5', 'cxd5'], ['Bd3', 'dxe4'], ['Bxe4', 'Bxe4+'], ['fxe4', 'a6'], ['Rd1', 'Rxd1'], ['Kxd1', 'Kf7\n'], ['Ke2', 'Kf6'], ['Kd3', 'g5'], ['Kc4', 'h5'], ['b4', 'g4'], ['b5', 'axb5+'], ['Kxb5', 'Ba3'], ['Kc4', 'h4\n'], ['Kd3', 'h3'], ['Bf2', 'Bc1']]",0-1
URS-FL,Tallinn,1983.??.??,?,"Oll, Lembit","Psakhis, Lev",,,C19,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Bb4'], ['e5', 'Ne7'], ['a3', 'Bxc3+'], ['bxc3', 'c5'], ['a4', 'Qa5'], ['Bd2', 'Nbc6\n'], ['Nf3', 'Bd7'], ['Be2', 'O-O-O'], ['O-O', 'f6'], ['exf6', 'gxf6'], ['c4', 'Qc7'], ['cxd5', 'Nxd5'], ['c4', 'Nde7\n'], ['dxc5', 'e5'], ['Be3', 'Rhg8'], ['Qc2', 'Bh3'], ['Nh4', 'Nd4'], ['Bxd4', 'Rxd4'], ['f4', 'Qc6'], ['Bf3', 'e4\n'], ['Qf2', 'Rxc4'], ['Be2', 'Rxc5'], ['Qe3', 'Rc3'], ['Qxa7', 'Be6']]",1/2-1/2
