UJCS-17.Kongress,Prague,1943.??.??,1,"Sajtar, Jaroslav","Pachman, Ludek",,,E47,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['e3', 'O-O'], ['Bd3', 'b6'], ['Ne2', 'Bb7'], ['O-O', 'd5'], ['a3', 'Bxc3\n'], ['bxc3', 'c5'], ['f3', 'Qc7'], ['cxd5', 'exd5'], ['Ng3', 'Nc6'], ['Bb2', 'Rad8'], ['e4', 'dxe4'], ['fxe4', 'cxd4\n'], ['cxd4', 'Nxd4'], ['Rxf6', 'gxf6'], ['Nf5', 'Qf4'], ['Bc1', 'Nf3+'], ['gxf3', 'Qc7'], ['Kh1', 'Kh8'], ['Bb2', 'Qc6\n'], ['Qf1', '']]",1-0
Prague,Prague,1943.??.??,1,"Pachman, Ludek","Prucha, Karel",,,B72,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Be2', 'g6'], ['Be3', 'Bg7'], ['Nb3', 'O-O\n'], ['f4', 'Bd7'], ['g4', 'Rc8'], ['h4', 'Nb4'], ['Bf3', 'Nxg4'], ['Bxg4', 'Bxg4'], ['Qxg4', 'Nxc2+'], ['Kf2', 'Nxa1\n'], ['Nxa1', 'h5'], ['Qg5', 'e6'], ['Qxd8', 'Rfxd8'], ['Bd2', 'Bf6'], ['Kf3', 'Rd7'], ['Nb3', 'b6'], ['Nc1', 'b5\n'], ['Nd3', 'a6'], ['Rh2', 'Be7'], ['Be1', 'Rb7'], ['a3', 'a5'], ['b4', 'axb4'], ['axb4', 'Ra8'], ['Ke3', 'Bd8\n'], ['f5', 'Bb6+'], ['Kf4', 'Bd4'], ['Ne2', 'e5+'], ['Kf3', 'Ra3'], ['Nc1', 'Rc7'], ['Ra2', 'Rxa2'], ['Nxa2', 'Rc2\n'], ['Ndc1', 'Kg7']]",0-1
Prague,Prague,1943.??.??,2,"Fichtl, Jiri","Pachman, Ludek",,,B85,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Be2', 'a6'], ['a4', 'Nc6'], ['O-O', 'Qc7\n'], ['Kh1', 'Be7'], ['f4', 'Bd7'], ['Bf3', 'O-O'], ['Nb3', 'Rac8'], ['Be3', 'Nb4'], ['a5', 'd5'], ['e5', 'Ne8\n'], ['Bb6', 'Qb8'], ['Rf2', 'Nc7'], ['g4', 'Na8'], ['Be3', 'b6'], ['g5', 'bxa5'], ['Nxa5', 'Nb6'], ['Rg2', 'Rfd8\n'], ['Rc1', 'Nc4'], ['Nxc4', 'Rxc4'], ['Ne2', 'a5'], ['Nd4', 'Bc5'], ['c3', 'Bxd4'], ['Bxd4', 'Rdc8'], ['Ra1', 'Nc6\n'], ['b3', 'Nxd4'], ['cxd4', 'Rc3'], ['Rb1', 'g6'], ['Rd2', 'Qb4'], ['Be2', 'Rb8'], ['Rd3', 'Rxd3'], ['Qxd3', 'a4\n'], ['Bd1', 'Bb5'], ['Qc2', 'Bc4'], ['Qf2', 'axb3'], ['h4', 'Qc3'], ['Kg2', 'b2'], ['Bc2', 'Ba2'], ['Rh1', 'b1=Q\n'], ['Bxb1', 'Rb2']]",0-1
UJCS-17.Kongress,Prague,1943.??.??,2,"Pachman, Ludek","Louma, Jiri",,,D53,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'd5'], ['Bg5', 'Be7'], ['Nf3', 'c6'], ['Bxf6', 'Bxf6'], ['e3', 'Nd7'], ['Qc2', 'O-O\n'], ['Bd3', 'g6'], ['cxd5', 'exd5'], ['h4', 'h6'], ['O-O-O', 'Bg7'], ['Ne2', 'Qa5'], ['Kb1', 'c5'], ['dxc5', 'Nxc5\n'], ['Nfd4', 'Bd7'], ['Qd2', 'Qxd2'], ['Rxd2', 'Ne4'], ['Bxe4', 'dxe4'], ['Rc1', 'Rac8'], ['Rdc2', 'Be5\n'], ['Rc5', 'Bb8'], ['Rxc8', 'Rxc8'], ['Rxc8+', 'Bxc8'], ['Nc3', 'f5'], ['Nd5', 'Kf7'], ['Kc2', 'Bd7'], ['g3', '']]",1/2-1/2
Prague,Prague,1943.??.??,3,"Pachman, Ludek","Dietze, Max",,,C73,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'd6'], ['Bxc6+', 'bxc6'], ['d4', 'exd4'], ['Nxd4', 'Bd7'], ['O-O', 'Nf6\n'], ['c4', 'Be7'], ['Nc3', 'O-O'], ['f3', 'c5'], ['Nde2', 'Be6'], ['b3', 'Nd7'], ['Bb2', 'Nb6'], ['Nf4', 'Bf6\n'], ['Rb1', 'Be5'], ['Nce2', 'Bxb2'], ['Rxb2', 'a5'], ['e5', 'dxe5'], ['Nxe6', 'fxe6'], ['Rd2', 'Qg5'], ['Ng3', 'Rfd8\n'], ['Ne4', 'Qe3+'], ['Kh1', 'Rxd2'], ['Qxd2', 'Qxd2'], ['Nxd2', 'a4'], ['Ne4', 'axb3'], ['axb3', 'Nd7'], ['Rd1', 'Kf8\n'], ['Ng5', 'Ke7'], ['Nxh7', 'Ra2'], ['Ng5', 'Nf6'], ['Rb1', 'e4'], ['f4', 'Rd2'], ['Kg1', 'Rc2'], ['Re1', 'Rc3\n'], ['Nxe4', 'Nxe4'], ['Rxe4', 'Rxb3'], ['Re5', 'Kd6'], ['Rg5', 'Rc3'], ['Kf2', 'Rxc4'], ['Ke3', 'Rc1'], ['Rxg7', 'Re1+\n'], ['Kd3', 'Rd1+'], ['Kc2', 'Rf1'], ['Rg4', 'Kd5'], ['h4', 'c4'], ['g3', 'Rf2+'], ['Kc3', 'Rf3+'], ['Kc2', 'Rf2+\n'], ['Kd1', 'c3'], ['h5', 'Kd4'], ['f5+', 'Kd3'], ['Rf4', 'Rd2+'], ['Kc1', 'Rc2+'], ['Kd1', '']]",1/2-1/2
UJCS-17.Kongress,Prague,1943.??.??,3,"Thelen, Bedrich","Pachman, Ludek",,,D45,"[['d4', 'Nf6'], ['Nf3', 'd5'], ['c4', 'c6'], ['e3', 'e6'], ['Nc3', 'Nbd7'], ['Ne5', 'Be7'], ['f4', 'Qc7'], ['Bd3', 'a6\n'], ['b3', 'Bb4'], ['Bb2', 'Ne4'], ['Bxe4', 'dxe4'], ['O-O', 'Bxc3'], ['Bxc3', 'O-O'], ['Bb4', 'Rd8'], ['Qh5', 'Nf8\n'], ['Bxf8', 'Rxf8'], ['c5', 'b5'], ['cxb6', 'Qxb6'], ['Rac1', 'Qa5'], ['Rxc6', 'Qd2'], ['Rc7', 'Qxe3+'], ['Kh1', 'g6\n'], ['Qd1', 'a5'], ['Ng4', 'Qd3'], ['Qa1', 'Ba6'], ['Rd1', 'Qe2'], ['Nf6+', 'Kg7'], ['d5', 'e5'], ['Rg1', 'Rfc8\n'], ['Rxc8', 'Rxc8'], ['Qxe5', 'Rc2'], ['Nh5+', 'Kf8'], ['d6', '']]",1-0
UJCS-17.Kongress,Prague,1943.??.??,4,"Pachman, Ludek","Opocensky, Karel",,,E32,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['Qc2', 'O-O'], ['Bg5', 'd6'], ['e3', 'Nbd7'], ['Ne2', 'e5'], ['d5', 'h6\n'], ['Bh4', 'a5'], ['a3', 'Bc5'], ['Bxf6', 'Nxf6'], ['Rb1', 'c6'], ['b4', 'axb4'], ['axb4', 'Bb6'], ['Ng3', 'cxd5\n'], ['cxd5', 'Bd7'], ['Bd3', 'Rc8'], ['Qb2', 'Qc7'], ['Nge2', 'Nh7'], ['O-O', 'f5'], ['Rbc1', 'Qd8'], ['Nb5', 'e4\n'], ['Rxc8', 'Qxc8'], ['Nxd6', 'Qc7'], ['Nb5', 'Qc8'], ['Rc1', 'Qe8'], ['Nc7', 'Bxc7'], ['Rxc7', 'exd3'], ['Nf4', 'Nf6\n'], ['Nxd3', 'b6'], ['Ne5', 'Qe7'], ['Qd4', 'Qd6'], ['Rb7', 'Bc8'], ['Rxb6', 'Qd8'], ['d6', 'Nd7'], ['Nxd7', 'Qxd7\n'], ['h3', 'Bb7'], ['Qc4+', 'Rf7'], ['Qc5', 'Kh7'], ['Qd4', 'Qe6'], ['f3', 'Rd7'], ['Kf2', 'Bd5'], ['Qc5', 'Qe5\n'], ['Qc2', 'h5'], ['Qd2', 'Rxd6'], ['Rxd6', 'Qxd6'], ['h4', 'Qe5'], ['b5', 'Kg6'], ['Qb4', 'Bb7'], ['b6', 'Kf7\n'], ['Qc4+', 'Ke7'], ['Qb4+', 'Kd7'], ['Qa4+', 'Kd6'], ['Qb3', 'Kc6'], ['Qf7', 'Kxb6'], ['Qxh5', 'Bd5'], ['Qg5', 'Kc5\n'], ['Qd8', 'Bc6'], ['Qa5+', 'Kd6'], ['Qb4+', 'Ke6'], ['Qc4+', 'Bd5'], ['Qb4', 'Kf7'], ['Qd2', 'Kg6'], ['Qd1', 'Kh6\n'], ['Qd2', 'Kh5'], ['g3', 'Kg6'], ['Kg2', 'Bc6'], ['Kf2', 'Bd5'], ['Kg2', 'Qe6'], ['Qd4', 'Qc6'], ['Qf4', 'Qc2+\n'], ['Kh3', 'Qd3'], ['h5+', 'Kxh5'], ['g4+', 'fxg4+'], ['Qxg4+', 'Kh6'], ['Qh4+', 'Kg6'], ['Qg4+', 'Kf6\n'], ['Qf4+', 'Kg6'], ['Qg4+', 'Kf7'], ['Qh5+', 'g6'], ['Qh7+', 'Kf6'], ['Qh8+', 'Ke7'], ['Qg7+', 'Bf7'], ['Qe5+', 'Be6+\n'], ['Kh4', 'Qd5'], ['Qg5+', 'Kf7'], ['e4', 'Qd1'], ['Qf4+', '']]",1/2-1/2
Prague,Prague,1943.??.??,4,"Bartosek, Milan","Pachman, Ludek",,,D39,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'd5'], ['Bg5', 'Bb4+'], ['Nc3', 'dxc4'], ['e4', 'c5'], ['Bxc4', 'cxd4'], ['Nxd4', 'Bxc3+\n'], ['bxc3', 'Qa5'], ['Bb5+', 'Bd7'], ['Bxf6', 'gxf6'], ['Qb3', 'O-O'], ['O-O', 'Bxb5'], ['Nxb5', 'Na6'], ['Nd6', 'Nc5\n'], ['Qc4', 'Rad8'], ['Rfd1', 'Qb6'], ['e5', 'fxe5'], ['Ne4', 'Nxe4'], ['Qxe4', 'Rxd1+'], ['Rxd1', 'Rd8\n'], ['Rxd8+', 'Qxd8'], ['h3', 'Qd5'], ['Qe3', 'a5'], ['a3', 'Qd6'], ['Qc1', 'b5'], ['h4', 'a4'], ['h5', 'Qe7\n'], ['Qe3', 'f6'], ['Qg3+', 'Kh8'], ['h6', 'Qf8'], ['Qh4', 'Kg8'], ['Qh5', 'f5'], ['g3', 'e4'], ['Kg2', 'Qd8\n'], ['g4', 'Kf8'], ['gxf5', 'Qd5'], ['Kg3', 'exf5'], ['Qg5', 'Qe5+'], ['Kg2', 'Kf7'], ['Qh5+', 'Kf6'], ['Qh4+', 'Kg6\n'], ['Qh3', 'f4'], ['Kf1', 'Qf5'], ['Qh4', 'e3'], ['Qe7', 'Kxh6'], ['Qc7', 'Qd3+'], ['Kg2', 'Qe4+'], ['Kh2', 'exf2\n'], ['Qd6+', 'Kh5'], ['Qc5+', 'Kg4'], ['Qxf2', 'Qe3'], ['Qf1', 'Qg3+']]",0-1
UJCS-17.Kongress,Prague,1943.??.??,5,"Zita, Frantisek","Pachman, Ludek",,,E06,"[['c4', 'e6'], ['g3', 'd5'], ['Bg2', 'Nf6'], ['Nf3', 'Be7'], ['d4', 'O-O'], ['Nbd2', 'c5'], ['cxd5', 'Nxd5'], ['O-O', 'Nc6\n'], ['Nb3', 'cxd4'], ['Nbxd4', 'Nxd4'], ['Nxd4', 'Bf6'], ['e3', 'Qb6'], ['Qb3', 'Rd8'], ['Rd1', 'Bd7'], ['Bd2', 'Rac8\n'], ['Qxb6', 'axb6'], ['Rac1', 'Rxc1'], ['Rxc1', 'Bxd4'], ['exd4', 'Bc6'], ['a3', 'Kf8'], ['Bg5', 'Rc8'], ['Kf1', 'h6\n'], ['Bd2', 'Ne7'], ['Bh3', 'Bb5+'], ['Ke1', 'Rxc1+'], ['Bxc1', 'Ke8'], ['Kd2', 'Kd7'], ['b3', 'Nd5'], ['a4', 'Bc6\n'], ['Ba3', 'g6'], ['Bf1', 'h5'], ['Bd3', 'Nf6'], ['h4', 'Bd5'], ['Bc2', 'Ng4'], ['Ke2', 'Nh6'], ['Bf8', 'Nf5\n'], ['Kd3', 'Ke8'], ['Bb4', 'Kd7'], ['Bd2', 'Kc6'], ['Kc3', 'Nd6'], ['Be1', '']]",1/2-1/2
Prague+,Prague,1943.??.??,5,"Pachman, Ludek","Carls, Carl Johan Margot",,,D83,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['Bf4', 'Bg7'], ['e3', 'O-O'], ['Qb3', 'b6'], ['cxd5', 'Bb7'], ['Be5', 'Nxd5\n'], ['Bxg7', 'Kxg7'], ['Nf3', 'Nxc3'], ['bxc3', 'Bxf3'], ['gxf3', 'Nd7'], ['f4', 'c5'], ['d5', 'Qc7'], ['c4', 'e5\n'], ['f5', 'e4'], ['Bh3', 'Qe5'], ['Ke2', 'Nf6'], ['Rad1', 'Rfd8'], ['a4', 'Rd6'], ['Qa3', 'Re8'], ['Qa1', 'g5\n'], ['Rhg1', 'h6'], ['Qxe5', 'Rxe5'], ['Ra1', 'a6'], ['Rab1', 'Nd7'], ['f6+', 'Nxf6'], ['Rb2', 'Re8'], ['Bf5', 'Kf8\n'], ['Rgb1', 'Rb8'], ['f3', 'exf3+'], ['Kxf3', 'Ke7'], ['e4', 'Nd7'], ['Bxd7', 'Kxd7'], ['e5', 'Rg6'], ['a5', 'b5\n'], ['cxb5', 'axb5'], ['Rxb5', 'Rc8'], ['Rb7+', 'Rc7'], ['Rxc7+', 'Kxc7'], ['Rb5', 'f6'], ['Rxc5+', 'Kd7\n'], ['Rc6', 'Rg8'], ['Rxf6', '']]",1-0
