New Orleans,New Orleans,1857.??.??,?,"Paulsen, Louis","Morphy, Paul ",,,C64,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Nc3', 'Bc5'], ['Bb5', 'd6'], ['d4', 'exd4'], ['Nxd4', 'Bd7'], ['Nxc6', 'bxc6'], ['Ba4', 'Qf6\n'], ['O-O', 'Ne7'], ['Be3', 'Bxe3'], ['fxe3', 'Qh6'], ['Qd3', 'Ng6'], ['Rae1', 'Ne5'], ['Qe2', 'O-O'], ['h3', 'Kh8\n'], ['Nd1', 'g5'], ['Nf2', 'Rg8'], ['Nd3', 'g4'], ['Nxe5', 'dxe5'], ['hxg4', 'Bxg4'], ['Qf2', 'Rg6'], ['Qxf7', 'Be6']]",0-1
USA-01.Congress,New York,1857.??.??,1,"Morphy, Paul ","Paulsen, Louis",,,B40,"[['e4', 'c5'], ['d4', 'cxd4'], ['Nf3', 'e6'], ['Nxd4', 'Bc5'], ['Nb3', 'Bb6'], ['Nc3', 'Ne7'], ['Bf4', 'O-O'], ['Bd6', 'f5\n'], ['e5', 'a6'], ['Be2', 'Nbc6'], ['O-O', 'Rf7'], ['Kh1', 'f4'], ['Ne4', 'Nf5'], ['Bh5', 'g6'], ['Bg4', 'Ng7\n'], ['Qf3', 'h5'], ['Bh3', 'Qh4'], ['Nf6+', 'Kh8'], ['Qe4', 'Qg5'], ['g3', 'f3'], ['Nd2', 'Bd8'], ['Nxf3', 'Qh6\n'], ['Rg1', 'Bxf6'], ['exf6', 'Ne8'], ['Bf4', 'Nxf6'], ['Qxc6', 'Qxf4'], ['Qxc8+', 'Rxc8'], ['gxf4', 'Rxc2\n'], ['Rac1', 'Rxf2'], ['Rc8+', 'Ng8'], ['Ne5', 'Rg7'], ['Nxg6+', 'Kh7'], ['Nf8+', 'Kh6'], ['Nxd7', 'Rxd7\n'], ['Rcxg8', 'Rxf4'], ['Bxe6', 'Re7']]",1-0
USA-01.Congress,New York,1857.??.??,1,"Raphael, Benjamin","Paulsen, Louis",,,B40,"[['e4', 'c5'], ['d4', 'cxd4'], ['Nf3', 'e6'], ['Nxd4', 'Bc5'], ['Nc3', 'Qb6'], ['Na4', 'Qa5+'], ['c3', 'Bxd4'], ['Qxd4', 'Nf6\n'], ['f3', 'Nc6'], ['Qd1', 'O-O'], ['b4', 'Qe5'], ['Bd3', 'Nxb4'], ['cxb4', 'Qxa1'], ['Qc2', 'Qd4'], ['Bb2', 'Qe3+\n'], ['Kd1', 'Qh6'], ['Bc1', 'Qh4'], ['Nc3', 'd5'], ['g3', 'Qh5'], ['Qf2', 'Nxe4'], ['Bxe4', 'dxe4'], ['Nxe4', 'Qd5+\n'], ['Bd2', 'Qxa2'], ['Re1', 'Bd7'], ['Qe3', 'Bb5']]",0-1
USA-01.Congress,New York,1857.??.??,1,"Montgomery, H.","Paulsen, Louis",,,B32,"[['e4', 'c5'], ['d4', 'cxd4'], ['Nf3', 'Nc6'], ['Bc4', 'e6'], ['O-O', 'Bc5'], ['c3', 'dxc3'], ['Nxc3', 'Nge7'], ['e5', 'Ng6\n'], ['Ne4', 'Ncxe5'], ['Nxe5', 'Nxe5'], ['Nxc5', 'Qc7'], ['Qd4', 'Nxc4'], ['Qxc4', 'b6'], ['Ne4', 'Qxc4'], ['Nd6+', 'Ke7\n'], ['Nxc4', 'Ba6'], ['b3', 'd5'], ['Ba3+', 'Kf6'], ['Nd6', 'Bxf1'], ['Rxf1', 'Rhd8'], ['Rc1', 'Rd7'], ['Rc3', 'g5\n'], ['Rf3+', 'Kg6'], ['g4', 'Rad8'], ['Nb5', 'd4'], ['Bb2', 'e5'], ['Na3', 'Rd5'], ['Rd3', 'e4'], ['Rd1', 'e3\n'], ['Kf1', 'f5'], ['Nc2', 'e2+'], ['Kxe2', 'd3+'], ['Kf3', 'fxg4+'], ['Ke4', 'Rf5'], ['Ne3', 'Rxf2'], ['Be5', 'Rxa2\n'], ['Rf1', 'Re2'], ['Rf6+', 'Kh5'], ['Re6', 'd2'], ['Bg7', 'Re8'], ['Rxe8', 'd1=Q'], ['Bd4', 'Qh1+'], ['Ke5', 'Qf3\n'], ['Kd6', 'Qf4+'], ['Kd5', 'Qf7+'], ['Re6', 'Rd2'], ['Ke5', 'Rxd4']]",0-1
USA-01.Congress,New York,1857.??.??,1,"Calthrop, S.","Paulsen, Louis",,,B21,"[['e4', 'c5'], ['f4', 'e6'], ['Nf3', 'd5'], ['Bb5+', 'Nc6'], ['Bxc6+', 'bxc6'], ['e5', 'Ba6'], ['d3', 'Nh6'], ['c3', 'Nf5\n'], ['O-O', 'Qb6'], ['g4', 'Nh6'], ['Nh4', 'Be7'], ['g5', 'Nf5'], ['Nxf5', 'exf5'], ['Qb3', 'Bxd3'], ['Rf2', 'Qxb3\n'], ['axb3', 'c4'], ['b4', 'O-O'], ['Be3', 'a5'], ['Bc5', 'Bxc5'], ['bxc5', 'Rfb8'], ['Na3', 'a4'], ['Re1', 'Be4\n'], ['h4', 'Ra5'], ['h5', 'Rxc5'], ['Kh2', 'Ra5'], ['Rg1', 'Ra7'], ['g6', 'fxg6'], ['hxg6', 'h6'], ['Nb1', 'Rab7\n'], ['Nd2', 'Rxb2']]",0-1
USA-01.Congress,New York,1857.??.??,2,"Paulsen, Louis","Montgomery, H.",,,B01,"[['e4', 'd5'], ['exd5', 'Nf6'], ['d4', 'Qxd5'], ['Nf3', 'e6'], ['c4', 'Qd8'], ['Nc3', 'c6'], ['Bd3', 'Na6'], ['a3', 'Be7\n'], ['O-O', 'Qc7'], ['b4', 'b6'], ['Bb2', 'Nb8'], ['Rc1', 'a5'], ['b5', 'O-O'], ['Re1', 'Bb7'], ['bxc6', 'Bxc6\n'], ['d5', 'Bd7'], ['Ne4', 'Nxe4'], ['Bxe4', 'Ra7'], ['Ne5', 'Bf6'], ['Qh5', 'g6'], ['Qh6', 'Bc8'], ['Bb1', 'Qd8\n'], ['Rcd1', 'Bg5'], ['Ng4', 'f6'], ['Qxg5', 'e5'], ['Nxf6+', 'Rxf6'], ['Bxe5', 'Nd7'], ['Bxf6', 'Nxf6'], ['h4', 'Qf8\n'], ['d6', 'h6'], ['Qb5', '']]",1-0
USA-01.Congress,New York,1857.??.??,2,"Paulsen, Louis","Calthrop, S.",,,C55,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['d4', 'exd4'], ['Bc4', 'Bc5'], ['c3', 'Nf6'], ['O-O', 'Na5'], ['cxd4', 'Nxc4'], ['dxc5', 'd5\n'], ['cxd6', 'Qxd6'], ['e5', 'Qxd1'], ['Rxd1', 'Nd7'], ['b3', 'Ncb6'], ['Ba3', 'Nf8'], ['Bxf8', 'Rxf8'], ['Nc3', 'c6\n'], ['Ne4', 'Nd5'], ['Nd6+', 'Ke7'], ['Nd4', 'g6'], ['Re1', 'Rb8'], ['Rab1', 'Bd7'], ['b4', 'f6'], ['Nc4', 'b5\n'], ['Na5', 'Rb6'], ['e6', 'Be8'], ['a3', 'Kd6'], ['Rbc1', 'Ne7'], ['Red1', 'Kc7'], ['Ndb3', 'f5'], ['Nc5', 'Rf6\n'], ['Nd7', 'Rxe6'], ['Nxb6', 'axb6'], ['Nb3', 'Re5'], ['Re1', 'Rxe1+'], ['Rxe1', 'Kd6'], ['Nd4', 'c5'], ['Nc2', 'Bf7\n'], ['Rd1+', 'Nd5'], ['Ne3', 'c4'], ['Nxd5', 'Bxd5'], ['f4', 'c3'], ['Rc1', 'Bc4'], ['Rxc3', '']]",1-0
USA-01.Congress,New York,1857.??.??,2,"Paulsen, Louis","Morphy, Paul ",,,C67,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'Nf6'], ['O-O', 'Nxe4'], ['d4', 'a6'], ['Bd3', 'd5'], ['Nxe5', 'Nxd4'], ['Re1', 'Be6\n'], ['c3', 'Nc6'], ['Nxc6', 'bxc6'], ['Qa4', 'Qd7'], ['Bxe4', 'dxe4'], ['Qxe4', 'Bd6'], ['Nd2', 'O-O'], ['Nf3', 'Bd5\n'], ['Qd3', 'Rae8'], ['Bg5', 'Qg4'], ['h3', 'Qh5'], ['Bd2', 'Re6'], ['Ng5', 'Rg6'], ['Ne4', 'Rxg2+'], ['Kxg2', 'f5\n'], ['f3', 'Qg6+'], ['Ng5', 'h6'], ['c4', 'Bf7'], ['h4', 'Rd8'], ['Qc2', 'hxg5'], ['hxg5', 'Be6'], ['Rh1', 'Be7\n'], ['f4', 'c5'], ['Rae1', 'Kf7'], ['Rh3', 'Bc8'], ['Kg1', 'Bb7'], ['Bc1', 'Rd4'], ['b3', 'Bd6'], ['Qe2', 'Re4\n'], ['Qf2', 'Qe6'], ['Rhe3', 'Qd7'], ['Qh4', 'Kg6'], ['Qh3', 'Be7'], ['Rxe4', 'Bxe4'], ['Qe3', 'Qd8'], ['Qh3', 'Qd4+\n'], ['Be3', 'Qc3'], ['Qf1', 'Qa5'], ['Qf2', 'Qb6'], ['Re2', 'Qc6'], ['Bc1', 'Qd7'], ['Rd2', 'Qe6'], ['Qe3', 'Qc6\n'], ['Bb2', 'Kf7'], ['Qh3', 'Qg6'], ['Rh2', 'Qd6']]",1/2-1/2
USA-01.Congress,New York,1857.??.??,2,"Paulsen, Louis","Raphael, Benjamin",,,C47,"[['e4', 'e5'], ['Nc3', 'Nf6'], ['Nf3', 'Nc6'], ['d4', 'Bb4'], ['d5', 'Ne7'], ['Nxe5', 'd6'], ['Nf3', 'Nxe4'], ['Qd4', 'Bxc3+\n'], ['bxc3', 'Nf6'], ['Bc4', 'O-O'], ['O-O', 'h6'], ['Bb3', 'a5'], ['a4', 'Ng6'], ['Ba3', 'Re8'], ['Rfe1', 'Bg4\n'], ['Nd2', 'Ne5'], ['c4', 'Re7'], ['c5', 'Qd7'], ['cxd6', 'cxd6'], ['c4', 'Rae8'], ['c5', 'Nc6'], ['Rxe7', 'Nxd4\n'], ['Rxd7', 'Nxd7'], ['f3', 'Re2'], ['Rd1', 'Bh3'], ['c6', 'Rxg2+'], ['Kh1', 'bxc6'], ['dxc6', 'Ne5'], ['Bxd6', 'Nexc6\n'], ['Bc4', 'Rg6'], ['Bg3', 'Nf5'], ['Ne4', 'Ne3'], ['Rc1', 'Bg2+'], ['Kg1', 'Bxf3'], ['Bd3', 'f5'], ['Nd6', 'Nd4\n'], ['Rc5', 'Rf6'], ['Rxa5', 'f4'], ['Nc4', 'fxg3'], ['Nxe3', 'gxh2+'], ['Kxh2', 'g5'], ['Ra7', 'Kf8'], ['a5', 'Rf7\n'], ['Ra6', 'Re7'], ['Rf6+', 'Ke8'], ['Nf5', 'Nxf5'], ['Bxf5', '']]",1/2-1/2
USA-01.Congress,New York,1857.??.??,3,"Paulsen, Louis","Morphy, Paul ",,,C64,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Nc3', 'Bc5'], ['Bb5', 'd6'], ['d4', 'exd4'], ['Nxd4', 'Bd7'], ['Nxc6', 'bxc6'], ['Ba4', 'Qh4\n'], ['O-O', 'Nf6'], ['Qf3', 'Ng4'], ['Bf4', 'Ne5'], ['Qg3', 'Qf6'], ['Rad1', 'h6'], ['Kh1', 'g5'], ['Bxe5', 'dxe5\n'], ['b4', 'Bd6'], ['Rd3', 'h5'], ['Rfd1', 'a6'], ['Ne2', 'Rd8'], ['a3', 'g4'], ['c4', 'Qh6'], ['c5', 'h4'], ['Qe3', 'Be7\n'], ['f4', 'exf4'], ['Qxf4', 'Qxf4'], ['Nxf4', 'Rh6'], ['Ne2', 'f5'], ['e5', 'Re6'], ['Nf4', 'Rxe5'], ['Rxd7', 'Rxd7\n'], ['Bxc6', 'Bd6'], ['cxd6', 'cxd6'], ['Kg1', 'Kd8'], ['Bxd7', '']]",1-0
USA-01.Congress,New York,1857.??.??,3,"Raphael, Benjamin","Paulsen, Louis",,,C36,"[['e4', 'e5'], ['f4', 'd5'], ['exd5', 'exf4'], ['Nf3', 'Be7'], ['Bc4', 'Bh4+'], ['Kf1', 'Bg4'], ['d3', 'Ne7'], ['Bxf4', 'O-O\n'], ['Nc3', 'Ng6'], ['Qd2', 'Bxf3'], ['gxf3', 'Nd7'], ['Ne4', 'Nde5'], ['Bxe5', 'Nxe5'], ['Qg2', 'f5'], ['Rg1', 'Ng4\n'], ['Ke2', 'fxe4'], ['Qxg4', 'exf3+'], ['Kd2', 'Qf6'], ['Qe6+', 'Kh8'], ['Qxf6', 'Bxf6'], ['Raf1', 'Rae8\n'], ['Rxf3', 'Bg5+'], ['Rxg5', 'Rxf3'], ['Rg2', 'h6'], ['d6', 'cxd6'], ['Bd5', 'Rf6'], ['Bxb7', 'Rb8'], ['Bd5', 'Rxb2\n'], ['Bb3', 'Rb1'], ['Kc3', 'Re1'], ['Kd4', 'g5'], ['a4', 'a5'], ['Bd5', 'Re5'], ['c4', 'Kg7'], ['Rb2', 'Re7\n'], ['Be4', 'Ra7'], ['Kd5', 'Ra6'], ['d4', 'Rf7'], ['c5', 'dxc5'], ['dxc5', 'Ra8'], ['c6', 'Rd8+'], ['Kc5', 'Rf4\n'], ['Rb7+', 'Kf6'], ['c7', 'Rc8'], ['Bc6', 'Ke7'], ['Ra7', 'Rf5+'], ['Kb6', 'Kd6'], ['Ra8', 'Rxa8'], ['Bxa8', 'Rc5\n'], ['Bf3', 'Rxc7'], ['Kxa5', 'Kc5'], ['Ka6', 'Rf7'], ['Bg4', 'Kb4']]",0-1
