Lloyds Bank op,London,1982.??.??,2,"Polgar, Zsuzsa","Ftacnik, Lubomir",,,A70,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'e6'], ['Nc3', 'exd5'], ['cxd5', 'd6'], ['Nf3', 'g6'], ['e4', 'Bg7'], ['Bf4', 'O-O\n'], ['Nd2', 'Re8'], ['Be2', 'b6'], ['O-O', 'Ba6'], ['Re1', 'Bxe2'], ['Qxe2', 'Nh5'], ['Be3', 'a6'], ['a4', 'Nd7\n'], ['h3', 'f5'], ['exf5', 'Ng3'], ['Qg4', 'Nxf5'], ['Bg5', 'Qc7'], ['Nde4', 'Ne5'], ['Qd1', 'Rf8'], ['Rb1', 'Rab8\n'], ['Ne2', 'h6'], ['Be3', 'Nxe3'], ['fxe3', 'g5'], ['Qc2', 'Qe7'], ['Rf1', 'b5'], ['axb5', 'axb5'], ['b4', 'Rxf1+\n'], ['Rxf1', 'Nc4'], ['Rf3', 'cxb4'], ['N2g3', 'Rf8'], ['Nf5', 'Qe5'], ['g4', 'b3'], ['Qd3', 'b2'], ['Rf1', 'Ra8\n'], ['Nxh6+', 'Bxh6'], ['Nf6+', 'Qxf6'], ['Rxf6', 'Ra1+'], ['Rf1', 'Rxf1+'], ['Qxf1', 'Nd2']]",0-1
Lloyds Bank op,London,1982.??.??,9,"Leclerc, Louis","Polgar, Zsuzsa",,,B22,"[['e4', 'c5'], ['c3', 'e6'], ['d4', 'd5'], ['exd5', 'exd5'], ['Nf3', 'Nc6'], ['Nbd2', 'cxd4'], ['cxd4', 'Bd6'], ['Bd3', 'Nge7\n'], ['O-O', 'O-O'], ['Bxh7+', 'Kxh7'], ['Ng5+', 'Kg8'], ['Qh5', 'Bf5'], ['Re1', 'Bg6']]",0-1
Elekes mem-A,Budapest,1983.??.??,?,"Utasi, Tamas","Polgar, Zsuzsa",,,E61,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['c4', 'Bg7'], ['e3', 'c5'], ['Nc3', 'O-O'], ['dxc5', 'Na6'], ['Be2', 'Nxc5'], ['O-O', 'b6\n'], ['Qc2', 'Bb7'], ['b4', 'Ne6'], ['Bb2', 'Rc8'], ['Qb3', 'Ne4'], ['Nxe4', 'Bxb2'], ['Qxb2', 'Bxe4'], ['Rac1', 'Qc7\n'], ['Nd2', 'Bb7'], ['Bf3', 'Bxf3'], ['Nxf3', 'a5'], ['a3', 'axb4'], ['axb4', 'd6'], ['Nd4', 'Nxd4'], ['exd4', 'Qb7\n'], ['Qd2', 'Rc7'], ['Rc3', 'Qa6'], ['Qh6', 'f6'], ['Qe3', 'Qa4'], ['b5', 'Kg7'], ['Rfc1', 'Ra8'], ['h4', 'Qb4\n'], ['h5', 'Rac8'], ['Qe6', 'Qb2'], ['c5', 'bxc5'], ['dxc5', 'Qxb5'], ['h6+', 'Kxh6'], ['Qf7', 'Rxc5'], ['Rh3+', 'Kg5\n'], ['f4+', 'Kg4'], ['Qe6+', 'f5'], ['Rh4+', '']]",1-0
Elekes mem-A,Budapest,1983.??.??,?,"Vegh, Endre","Polgar, Zsuzsa",,,E80,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['f3', 'Nc6'], ['Nge2', 'a6'], ['Bg5', 'Rb8'], ['Qd2', 'b5\n'], ['cxb5', 'axb5'], ['d5', 'Na5'], ['Nd4', 'Bd7'], ['Be2', 'b4'], ['Nd1', 'c5'], ['dxc6', 'Nxc6'], ['Nxc6', 'Bxc6\n'], ['O-O', 'O-O'], ['Rc1', '']]",1/2-1/2
Elekes mem-A,Budapest,1983.??.??,?,"Poettinger, Harald","Polgar, Zsuzsa",,,A57,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'b5'], ['cxb5', 'a6'], ['e3', 'axb5'], ['Bxb5', 'Qa5+'], ['Nc3', 'Bb7'], ['Bd2', 'Qb6\n'], ['Qb3', 'e6'], ['Bc4', 'Qxb3'], ['Bxb3', 'exd5'], ['Nge2', 'Na6'], ['O-O', 'g6'], ['Nf4', 'Nc7'], ['Rfd1', 'Bg7\n'], ['Be1', 'c4'], ['Bc2', 'O-O'], ['b4', 'Ra3'], ['Nb1', 'Raa8'], ['Bc3', 'Nb5'], ['Ne2', 'Nxc3'], ['Nbxc3', 'Rfb8\n'], ['a4', 'Ne8'], ['Rab1', 'Nc7'], ['b5', 'Ra5'], ['Rd2', 'f5'], ['g3', 'Kf7'], ['Rbd1', 'Ne6'], ['h4', 'Nc7\n'], ['Kf1', 'Ke7'], ['e4', 'fxe4'], ['Bxe4', 'Rd8'], ['b6', 'Na8'], ['Bxd5', 'Rb8'], ['Bxb7', 'Rxb7'], ['Rd5', 'Ra6\n'], ['a5', 'Nxb6'], ['Rb5', 'Bxc3'], ['Nxc3', 'Ke6'], ['Rdb1', 'd5']]",1-0
Elekes mem-A,Budapest,1983.??.??,?,"Polgar, Zsuzsa","Berg, Klaus",,,A57,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'b5'], ['cxb5', 'a6'], ['e3', 'g6'], ['Nc3', 'Bg7'], ['Nf3', 'O-O'], ['a4', 'Bb7'], ['e4', 'e6\n'], ['Bg5', 'exd5'], ['bxa6', 'Nxa6'], ['exd5', 'Qa5'], ['Bxf6', 'Bxf6'], ['Qd2', 'Nb4'], ['Bc4', 'Ba6'], ['Bxa6', 'Qxa6\n'], ['Kd1', 'Qc4'], ['Re1', 'Rfe8'], ['Re3', 'Qb3+'], ['Ke2', 'Nc2'], ['Rc1', 'Nxe3'], ['fxe3', 'Bd4'], ['Nxd4', 'cxd4\n'], ['Qxd4', 'Qxb2+'], ['Qd2', 'Qb4'], ['Rb1', 'Qh4'], ['Kf3', 'Ra6'], ['g3', 'Qh3'], ['d6', 'Rxa4'], ['Qd5', 'Ra3\n'], ['Ne4', 'Re6'], ['Rb8+', 'Kg7'], ['Rb7', 'Qf1+']]",0-1
Elekes mem-A,Budapest,1983.??.??,?,"Tokaji, Nagy Gyorgy","Polgar, Zsuzsa",,,A48,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['Bf4', 'Bg7'], ['e3', 'O-O'], ['h3', 'c5'], ['c3', 'b6'], ['Nbd2', 'Bb7'], ['Be2', 'd6\n'], ['O-O', 'Nbd7'], ['b4', 'Nd5'], ['Qb3', 'cxb4'], ['cxb4', 'Nxf4'], ['exf4', 'Nf6'], ['Rac1', 'Qd7'], ['Qa3', 'Nd5\n'], ['Rc2', 'Nxf4'], ['Ba6', 'Rfc8'], ['Rfc1', 'Rxc2'], ['Rxc2', 'Rc8'], ['Rxc8+', 'Qxc8'], ['Bxb7', 'Qxb7\n'], ['Qe3', 'Nd5'], ['Qe4', 'e6'], ['b5', 'Qc8'], ['Kh2', 'Qc3'], ['Qh4', 'Bf6'], ['Qg3', 'Bxd4'], ['Qxd6', 'Kg7\n'], ['Ne4', 'Qd3'], ['Neg5', 'Bf6'], ['Qd7', 'Bxg5'], ['Nxg5', 'Qf5'], ['Nf3', 'Qf4+'], ['Kg1', 'Qc1+'], ['Kh2', 'Qf4+\n'], ['Kg1', 'Qc1+'], ['Kh2', 'Qc7+'], ['Qxc7', 'Nxc7'], ['a4', 'Nd5'], ['Ne5', 'Nc3'], ['Nc6', 'Nxa4'], ['Kg3', 'Kf6\n'], ['f4', 'g5'], ['Nxa7', 'gxf4+'], ['Kxf4', 'e5+'], ['Ke3', 'Ke6'], ['Kd3', 'Kd5'], ['Nc6', 'Nc5+'], ['Ke3', 'f6\n'], ['g4', 'Ne6'], ['Ne7+', 'Kc5'], ['Ng8', 'Kxb5'], ['Nxf6', 'Nf4'], ['Nxh7', 'Nxh3'], ['Ke4', 'Nf2+'], ['Kxe5', 'Nxg4+\n'], ['Kd4', 'Ka4'], ['Ng5', 'b5'], ['Ne4', 'b4'], ['Nd2', 'Ka3'], ['Kd3', 'Ne5+'], ['Kd4', 'Nc6+'], ['Kc5', 'Ne5\n'], ['Kd4', 'Nd7'], ['Kc4', 'Ka4'], ['Kd4', 'Ka3'], ['Kc4', 'Nb6+'], ['Kb5', 'Nd5'], ['Kc5', 'Nc3'], ['Nc4+', 'Kb3\n'], ['Nd2+', 'Ka4'], ['Kc4', '']]",1/2-1/2
Elekes mem-A,Budapest,1983.??.??,?,"Polgar, Zsuzsa","Fuesthy, Z.",,,A30,"[['Nf3', 'c5'], ['g3', 'b6'], ['Bg2', 'Bb7'], ['c4', 'Nf6'], ['O-O', 'e6'], ['Nc3', 'Be7'], ['d4', 'cxd4'], ['Qxd4', 'd6\n'], ['b3', 'Nbd7'], ['Bb2', 'a6'], ['Rad1', 'O-O'], ['e4', 'Qc7'], ['Qe3', 'Rfe8'], ['h3', 'Rad8'], ['Rfe1', 'Qb8\n'], ['Nd4', 'Bf8'], ['Re2', 'g6'], ['Qd2', 'Bg7'], ['Qe1', 'Nc5'], ['Nc2', 'Bc6'], ['e5', 'Bxg2'], ['exf6', 'Qb7\n'], ['fxg7', 'Bxh3'], ['Nd5', 'Qa8'], ['Nf6+', 'Kxg7'], ['Nxe8+', 'Kf8'], ['f3', '']]",1-0
Elekes mem-A,Budapest,1983.??.??,?,"Polgar, Zsuzsa","Knezevic, Milorad",,,E11,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'Bb4+'], ['Bd2', 'Bxd2+'], ['Qxd2', 'Ne4'], ['Qc2', 'f5'], ['Nbd2', 'Nxd2'], ['Qxd2', 'd6\n'], ['g3', 'Nd7'], ['Bg2', 'Nf6'], ['O-O', 'Qe7'], ['b4', 'e5'], ['dxe5', 'dxe5'], ['Qb2', 'e4'], ['Nd4', 'O-O\n'], ['c5', 'c6'], ['b5', 'Bd7'], ['Rac1', 'Nd5'], ['e3', 'a6'], ['a4', 'axb5']]",1/2-1/2
Elekes mem-A,Budapest,1983.??.??,?,"Polgar, Zsuzsa","Marosi, Gyorgy",,,A65,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['f3', 'O-O'], ['Bg5', 'c5'], ['d5', 'e6'], ['Qd2', 'exd5'], ['cxd5', 'a6\n'], ['Nge2', 'Qa5'], ['a4', 'Nbd7'], ['Ng3', 'Re8'], ['Be2', 'b5'], ['Nd1', 'Qxd2+'], ['Kxd2', 'bxa4'], ['Rxa4', 'h6\n'], ['Bf4', 'Ne5'], ['Ne3', 'Nfd7'], ['h4', 'Rb8'], ['Kc2', 'Rb6'], ['b3', 'Bb7'], ['h5', 'Rb8'], ['hxg6', 'fxg6\n'], ['Bxh6', 'Bc8'], ['Bxg7', 'Kxg7'], ['Ra3', 'Rb4'], ['Ngf1', 'c4'], ['Bxc4', 'Nc5'], ['Nd2', 'Bd7'], ['Kc3', 'R4b6\n'], ['f4', 'Nxc4'], ['Nexc4', 'R6b7'], ['Nxd6', 'Rc7'], ['N2c4', 'Bb5'], ['Kd4', 'Bxc4'], ['bxc4', 'Nb3+\n'], ['Kc3', 'Nc5'], ['e5', 'Rf8'], ['Raa1', 'Rxf4'], ['Ne8+', '']]",1-0
