URS-ch sf,Gorky,1954.??.??,2,"Geller, Efim P","Polugaevsky, Lev",,,B92,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Be2', 'e5'], ['Nb3', 'Be7'], ['O-O', 'O-O\n'], ['Be3', 'Nbd7'], ['a4', 'b6'], ['f3', 'Bb7'], ['Qd2', 'Qc7'], ['Rfd1', 'Rfd8'], ['Qe1', 'd5'], ['exd5', 'Bb4\n'], ['Qf2', 'Bxc3'], ['d6', 'Qc6'], ['bxc3', 'Nd5'], ['c4', 'Nc3'], ['a5', 'Nxd1'], ['Rxd1', 'b5'], ['c5', 'Nf8\n'], ['Bd3', 'Qd7'], ['Be4', 'Rac8'], ['Qg3', 'Bxe4'], ['fxe4', 'f6'], ['Qf3', 'Ne6'], ['Qe2', 'Rf8'], ['Qd3', 'Nd8\n'], ['Nc1', 'Nc6'], ['Na2', 'Rfd8'], ['Nc3', 'Nd4'], ['Nd5', 'Rxc5'], ['c3', 'Rxd5'], ['exd5', 'Nf5'], ['Bb6', 'Rc8\n'], ['Qh3', 'Rc4'], ['Bc7', 'Rh4'], ['Qf3', 'Nxd6'], ['Bxd6', 'Qxd6'], ['Qf2', '']]",1/2-1/2
URS-ch sf,Gorky,1954.??.??,3,"Polugaevsky, Lev","Simagin, Vladimir",,,E01,"[['c4', 'Nf6'], ['d4', 'e6'], ['g3', 'd5'], ['Bg2', 'c6'], ['Qc2', 'Bb4+'], ['Nd2', 'O-O'], ['Nf3', 'Nbd7'], ['O-O', 'b6\n'], ['e4', 'Bb7'], ['Rd1', 'Rc8'], ['e5', 'Ne8'], ['Nf1', 'Be7'], ['Ne3', 'Nc7'], ['cxd5', 'Nxd5'], ['Qe4', 'c5\n'], ['Qg4', 'Kh8'], ['Nxd5', 'Bxd5'], ['Be3', 'c4'], ['Ne1', 'Nb8'], ['Bxd5', 'Qxd5'], ['Ng2', 'Nc6'], ['Nf4', 'Qe4\n'], ['Re1', 'h6'], ['Rad1', 'Bg5'], ['Bc1', 'Qc2'], ['d5', 'Bxf4'], ['dxc6', 'Bxc1'], ['Rxc1', 'Qxb2'], ['Qxc4', 'Rfd8\n'], ['c7', 'Rd7'], ['Red1', 'Rcxc7'], ['Qxc7', 'Rxc7'], ['Rxc7', 'Qxa2'], ['Rxf7', 'a5'], ['f4', 'Qe2'], ['Rd8+', 'Kh7\n'], ['Rdd7', 'Kg6'], ['h3', 'Qe1+'], ['Kg2', 'Qe2+'], ['Kg1', 'Qe3+'], ['Kg2', 'Qe2+']]",1/2-1/2
URS-ch sf,Gorky,1954.??.??,4,"Bondarevsky, Igor","Polugaevsky, Lev",,,B41,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'a6'], ['c4', 'Nf6'], ['Nc3', 'Qc7'], ['Qf3', 'b6'], ['Bd3', 'Bb7\n'], ['O-O', 'Bc5'], ['Be3', 'Qd6'], ['e5', 'Bxf3'], ['exd6', 'Bb7'], ['Na4', 'Bxd6'], ['Nxb6', 'Ra7'], ['f3', 'Bc7\n'], ['Na4', 'Ra8'], ['Nc5', 'Bc6'], ['b4', 'd5'], ['b5', 'dxc4'], ['Nxc6', 'Nxc6'], ['Bxc4', 'Ne5'], ['Nxa6', 'Rxa6\n'], ['bxa6', 'Nxc4'], ['Rfc1', 'Bb6'], ['Bxb6', 'Nxb6'], ['Rab1', 'Nfd5'], ['Rc6', 'Ke7'], ['Rcxb6', 'Nxb6\n'], ['Rxb6', 'Ra8'], ['Kf2', 'g5'], ['Rb7+', 'Kf6'], ['a7', 'h5'], ['Ke3', 'Kg6'], ['Kd4', 'f6'], ['Kc5', 'g4\n'], ['Kb6', '']]",1-0
URS-ch sf,Gorky,1954.??.??,5,"Polugaevsky, Lev","Weltmander, I.",,,D36,"[['c4', 'Nf6'], ['d4', 'e6'], ['Nc3', 'd5'], ['cxd5', 'exd5'], ['Bg5', 'c6'], ['Qc2', 'Bg4'], ['e3', 'Nbd7'], ['Bd3', 'Bd6\n'], ['Nge2', 'h6'], ['Bh4', 'Qc7'], ['h3', 'Be6'], ['Rb1', 'Nh5'], ['g4', 'g5'], ['gxh5', 'gxh4'], ['Ng1', 'Nf6\n'], ['Nf3', 'O-O-O'], ['b4', 'Rhg8'], ['Nxh4', 'Nxh5'], ['Nf5', 'Bxf5'], ['Bxf5+', 'Kb8'], ['b5', 'Ng7'], ['Bd3', 'cxb5\n'], ['Nxd5', 'Qxc2'], ['Bxc2', 'a6'], ['Nf6', 'Rh8'], ['Ke2', 'Be7'], ['Ne4', 'f5'], ['Rhg1', 'Ne6'], ['Ng3', 'f4\n'], ['Nf5', 'fxe3'], ['fxe3', 'Rhe8'], ['Rg4', 'Nc7'], ['Bb3', 'Bf8'], ['Bf7', 'h5'], ['Rg8', 'Nd5'], ['Bxe8', 'Ba3']]",1-0
URS-ch sf,Gorky,1954.??.??,7,"Polugaevsky, Lev","Uusi, Gunnar",,,E59,"[['c4', 'Nf6'], ['d4', 'e6'], ['Nc3', 'Bb4'], ['e3', 'O-O'], ['Bd3', 'c5'], ['Nf3', 'd5'], ['O-O', 'Nc6'], ['a3', 'Bxc3\n'], ['bxc3', 'dxc4'], ['Bxc4', 'Qc7'], ['Bb2', 'e5'], ['Qc2', 'e4'], ['Nd2', 'Bf5'], ['Be2', 'Rad8'], ['Nb3', 'cxd4\n'], ['cxd4', 'Nd5'], ['Rfc1', 'Rd6'], ['Nc5', 'Re8'], ['Bb5', 'Rh6'], ['g3', 'Bc8'], ['Nxe4', 'Bf5'], ['Bd3', 'Qe7\n'], ['Nf6+', 'Rxf6'], ['Bxf5', 'Nxe3'], ['Bxh7+', 'Kh8'], ['Qe2', 'Kxh7'], ['Re1', 'Re6'], ['fxe3', 'Rxe3\n'], ['Qxe3', 'Qxe3+'], ['Rxe3', 'Rxe3'], ['d5', 'Rb3'], ['dxc6', 'Rxb2'], ['cxb7', 'Rxb7'], ['Rf1', 'Rb3\n'], ['a4', 'Kg6'], ['Kg2', 'Rb2+'], ['Rf2', 'Rxf2+'], ['Kxf2', 'Kf5'], ['Kf3', 'Ke5'], ['Ke3', 'Kd5'], ['Kf4', '']]",1/2-1/2
URS-ch sf,Gorky,1954.??.??,8,"Zagorovsky, Vladimir Pavlovich","Polugaevsky, Lev",,,B67,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Bg5', 'e6'], ['Qd2', 'a6'], ['O-O-O', 'Bd7\n'], ['Be2', 'h6'], ['Be3', 'b5'], ['a3', 'b4'], ['axb4', 'Nxb4'], ['f3', 'Qc7'], ['g4', 'Rc8'], ['h4', 'e5'], ['Nb3', 'd5\n'], ['g5', 'd4'], ['Nxd4', 'exd4'], ['Bxd4', 'hxg5'], ['hxg5', 'Qa5'], ['Kb1', 'Rxh1'], ['Rxh1', 'Rxc3'], ['Qxc3', 'Qa2+\n'], ['Kc1', 'Qa1+'], ['Kd2', 'Qxh1'], ['gxf6', 'Na2']]",0-1
URS-ch sf,Gorky,1954.??.??,10,"Nezhmetdinov, Rashid","Polugaevsky, Lev",,,B30,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['Bb5', 'Nf6'], ['d3', 'd5'], ['exd5', 'Nxd5'], ['Ne5', 'Qa5+'], ['Nc3', 'Nxc3'], ['Bxc6+', 'bxc6\n'], ['Qd2', 'Be6'], ['O-O', 'c4'], ['Re1', 'Rc8'], ['bxc3', 'g6'], ['Qe3', 'cxd3'], ['cxd3', 'Qxc3'], ['Bd2', 'Qa3\n'], ['Rab1', 'Qxa2'], ['Rb7', 'Bg7'], ['Nxf7', 'Kxf7'], ['Qf3+', 'Kg8'], ['Qe3', 'Kf7'], ['Qf4+', 'Kg8'], ['Rxe7', 'Rf8\n'], ['Rxg7+', 'Kxg7'], ['Bc3+', 'Kg8'], ['Qd4', 'Qxf2+'], ['Qxf2', 'Rxf2'], ['Kxf2', 'Bf7'], ['Re7', 'Kf8\n'], ['Rxf7+', 'Kxf7'], ['Bxh8', 'Ke6'], ['Ke3', 'Kd5'], ['Kd2', 'a5'], ['Kc3', 'c5'], ['Kb3', '']]",1-0
URS-ch sf,Gorky,1954.??.??,11,"Polugaevsky, Lev","Borisenko, Georgy K",,,E99,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Nf3', 'O-O'], ['Be2', 'e5'], ['O-O', 'Nc6'], ['d5', 'Ne7\n'], ['Ne1', 'Nd7'], ['Nd3', 'f5'], ['f3', 'f4'], ['b4', 'g5'], ['c5', 'Nf6'], ['a4', 'Rf7'], ['a5', 'Ng6'], ['Nf2', 'h5\n'], ['c6', 'Bh6'], ['Bd2', 'Rg7'], ['cxb7', 'Bxb7'], ['Rc1', 'Bc8'], ['h3', 'Nh4'], ['Nb5', 'a6'], ['Na3', 'Qe8\n'], ['b5', 'Qg6'], ['Rc4', 'g4'], ['fxg4', 'hxg4'], ['hxg4', 'Nxg2'], ['Kxg2', 'f3+'], ['Bxf3', 'Bxd2'], ['b6', 'Bxa5\n'], ['Rxc7', 'Bxb6'], ['Rxg7+', 'Kxg7'], ['Nc4', 'Bc5'], ['Rh1', 'Bd7'], ['g5', 'Rf8'], ['Qd2', 'Nh7'], ['Nh3', 'Rxf3\n'], ['Kxf3', 'Qh5+'], ['Kg2', 'Qg4+'], ['Kf1', 'Qxe4'], ['Nf2', 'Qxc4+'], ['Kg2', 'Bf5']]",0-1
URS-ch sf,Gorky,1954.??.??,12,"Novopashin, Arkady","Polugaevsky, Lev",,,B69,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Bg5', 'e6'], ['Qd2', 'a6'], ['O-O-O', 'Bd7\n'], ['f4', 'Be7'], ['Nf3', 'b5'], ['Bxf6', 'gxf6'], ['f5', 'Rc8'], ['Bd3', 'Qa5'], ['Kb1', 'Nb4'], ['Nd4', 'Bf8\n'], ['a3', 'Nc6'], ['fxe6', 'fxe6'], ['Nxc6', 'Bxc6'], ['Qf4', 'Be7'], ['Qg4', 'Bd7'], ['Qg7', 'Rf8'], ['Na2', 'Rf7\n'], ['Qh6', 'Bf8'], ['Qh4', 'Qd8'], ['Rhf1', 'a5'], ['Be2', 'f5'], ['Qh3', 'Qc7'], ['Rd2', 'Kd8'], ['exf5', 'exf5\n'], ['Nc3', 'b4'], ['Nd5', 'Qc5'], ['Bh5', 'Rg7'], ['Qh4+', 'Be7'], ['Nxe7', 'Rxe7'], ['Re1', 'd5'], ['Rde2', '']]",1-0
URS-ch sf,Gorky,1954.??.??,13,"Polugaevsky, Lev","Soloviev, Vladimir A",,,B77,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'g6'], ['f3', 'Bg7'], ['Be3', 'Nc6'], ['Qd2', 'O-O\n'], ['O-O-O', 'Nxd4'], ['Bxd4', 'Qa5'], ['Bc4', 'Be6'], ['Bb3', 'Bxb3'], ['cxb3', 'Rfd8'], ['Kb1', 'Rd7'], ['g4', 'Rad8\n'], ['Qe2', 'Qa6'], ['Qg2', 'e5'], ['Be3', 'd5'], ['Bg5', 'dxe4'], ['Rxd7', 'Rxd7'], ['fxe4', 'Qd3+'], ['Kc1', 'Rd4\n'], ['Rf1', 'Rd6'], ['Rd1', 'Qa6'], ['Qf3', 'h6'], ['Bh4', 'Qc6'], ['h3', 'a6'], ['Kc2', 'Rxd1'], ['Kxd1', 'Qb6\n'], ['Kc2', 'Qc6'], ['Qd3', 'Nd7'], ['b4', 'Bf8'], ['a3', 'b5'], ['Qd5', 'Qc8'], ['Bf2', 'Bg7'], ['Bc5', 'Nf6\n'], ['Qd6', 'h5'], ['g5', 'Ne8'], ['Qd3', 'Nc7'], ['Nd5', 'Nxd5'], ['exd5', 'e4']]",1/2-1/2
