Wch U20 prel-B,Antwerp,1955.??.??,1,"Portisch, Lajos","Donia, M.",,,E30,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['Bg5', 'c5'], ['d5', 'exd5'], ['cxd5', 'd6'], ['e3', 'Bf5'], ['Qf3', 'Bg6\n'], ['Bb5+', 'Nbd7'], ['h4', 'h6'], ['Bxf6', 'Qxf6'], ['Qxf6', 'gxf6'], ['Ne2', 'a6'], ['Bxd7+', 'Kxd7'], ['O-O-O', 'Bh5\n'], ['f3', 'f5'], ['Nf4', 'Bg6'], ['Rhe1', 'Rae8'], ['Re2', 'Re7'], ['Rh1', 'h5'], ['Rh3', 'Ree8'], ['Rg3', 'Rhg8\n'], ['Nd1', 'Ba5'], ['Nf2', 'Bd8'], ['Rh3', 'Bf6'], ['Rh1', 'Re7'], ['N2d3', 'Rge8'], ['Kd2', 'c4'], ['Nxg6', 'fxg6\n'], ['Nf4', 'Bxb2'], ['Nxg6', 'c3+'], ['Kd3', 'Rh7'], ['Nf4', 'b5'], ['Kc2', 'a5'], ['Nd3', 'Rhe7'], ['Nxb2', 'cxb2\n'], ['Rhe1', 'Re5'], ['e4', 'fxe4'], ['fxe4', 'Rg8'], ['Kd3', 'Rg4'], ['Rxb2', 'b4'], ['Rf2', 'Kc7'], ['Rf7+', 'Kb6\n'], ['a4', 'Rxg2'], ['Rc1', 'Rg3+'], ['Kd4', 'Rc3'], ['Rxc3', 'bxc3'], ['Rd7', 'Re6'], ['dxe6', 'c2'], ['Rxd6+', 'Kc7\n'], ['Rd5', 'c1=Q'], ['Rc5+', 'Qxc5+'], ['Kxc5', 'Kc8'], ['Kc6', 'Kd8']]",1-0
Wch U20 final-A,Antwerp,1955.??.??,1,"Farre Mallofre, Miguel","Portisch, Lajos",,,E62,"[['Nf3', 'Nf6'], ['c4', 'g6'], ['g3', 'Bg7'], ['Bg2', 'O-O'], ['O-O', 'd6'], ['d4', 'Nc6'], ['Nc3', 'Bg4'], ['h3', 'Bxf3\n'], ['Bxf3', 'Nd7'], ['e3', 'e5'], ['dxe5', 'dxe5'], ['Rb1', 'f5'], ['Qd5+', 'Rf7'], ['Rd1', 'e4'], ['Be2', 'Qf8\n'], ['Qb5', 'Rb8'], ['Nd5', 'Nde5'], ['b4', 'Nd8'], ['Qa4', 'Ne6'], ['Nf4', 'Ng5'], ['Kg2', 'Qc8'], ['Bb2', 'Ngf3\n'], ['h4', 'Bf6'], ['Qxa7', 'Ra8'], ['Qc5', 'Rxa2'], ['Nd5', 'Bh8'], ['Ne7+', 'Rxe7'], ['Qxe7', 'Nc6'], ['Qd7', 'Qxd7\n'], ['Rxd7', 'Bxb2'], ['b5', 'Nce5'], ['Rxc7', 'Ba3'], ['Bxf3', 'exf3+'], ['Kg1', 'Ng4'], ['Rf1', 'Rc2'], ['Rxb7', 'Rxc4\n'], ['b6', 'Bd6'], ['Rd7', 'Be5'], ['Rb1', 'Rc8'], ['b7', 'Re8'], ['Rc1', 'Nf6'], ['Rc8', 'Kf8'], ['Rdd8', 'Rxd8\n'], ['Rxd8+', 'Ke7'], ['b8=Q', 'Bxb8'], ['Rxb8', 'h5'], ['Rb7+', 'Kf8'], ['Kf1', 'Ne4'], ['Ke1', 'Nc5'], ['Rb5', 'Ne4\n'], ['Rb7', 'Nc5'], ['Rc7', 'Nd3+'], ['Kf1', 'Ne5'], ['Rc5', 'Nd7'], ['Rc4', 'Ke7'], ['Rf4', 'Ne5'], ['e4', 'fxe4\n'], ['Rxe4', 'Kd6'], ['Rd4+', 'Ke6'], ['Ke1', 'Ke7']]",1-0
Wch U20 prel-B,Antwerp,1955.??.??,2,"Johannsson, Ingi Randver","Portisch, Lajos",,,E15,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['g3', 'Ba6'], ['Qa4', 'Be7'], ['Bg2', 'c6'], ['Ne5', 'O-O'], ['Nc3', 'Qe8\n'], ['b4', 'd5'], ['b5', 'Bb7'], ['cxd5', 'Nxd5'], ['Nxd5', 'cxd5'], ['Qb3', 'Nd7'], ['Bf4', 'a6'], ['bxa6', 'Bxa6\n'], ['Bf3', 'Nxe5'], ['Bxe5', 'Qc6'], ['O-O', 'Bc4'], ['Rfc1', 'b5'], ['Qc2', 'Ra3'], ['Rcb1', 'Rfa8'], ['Rb2', 'b4\n'], ['Re1', 'Qa4'], ['Qd2', 'Rxa2'], ['e4', 'Rxb2'], ['Qxb2', 'Qa3']]",0-1
Wch U20 final-A,Antwerp,1955.??.??,2,"Spassky, Boris V","Portisch, Lajos",,,E30,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['Bg5', 'h6'], ['Bh4', 'c5'], ['d5', 'b5'], ['dxe6', 'fxe6'], ['cxb5', 'O-O\n'], ['e3', 'Bxc3+'], ['bxc3', 'Qa5'], ['Bxf6', 'Rxf6'], ['Qd2', 'd5'], ['Nf3', 'c4'], ['Rb1', 'a6'], ['b6', 'Bb7\n'], ['Be2', 'Nd7'], ['O-O', 'Bc6'], ['Nd4', 'e5'], ['b7', 'Rb8'], ['Nxc6', 'Rxc6'], ['Rb4', 'Nf6'], ['Rfb1', 'Ne4\n'], ['Qc2', 'Nd6'], ['Qg6', 'Qc5'], ['Qh5', 'Nf7'], ['Bd1', 'e4'], ['Ba4', 'g6'], ['Qh3', 'Rf6'], ['Qg3', 'Qd6\n'], ['Rb6', 'Qxg3'], ['hxg3', 'Kg7'], ['Rxf6', 'Kxf6'], ['Bc6', 'Ke5'], ['Rd1', 'Nd8'], ['Bxd5', 'Nxb7'], ['Bxc4', '']]",1-0
Wch U20 prel-B,Antwerp,1955.??.??,3,"Portisch, Lajos","Tringov, Georgi P",,,E97,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Nf3', 'O-O'], ['Be2', 'e5'], ['O-O', 'Nc6'], ['Be3', 'Ng4\n'], ['Bg5', 'f6'], ['Bc1', 'f5'], ['Bg5', 'Qd7'], ['dxe5', 'Ngxe5'], ['Nxe5', 'dxe5'], ['c5', 'Nd4'], ['Bc4+', 'Kh8\n'], ['f4', 'h6'], ['Bh4', 'fxe4'], ['fxe5', 'Nf5'], ['Bf6', 'Bxf6'], ['exf6', 'Qxd1'], ['Nxd1', 'Bd7'], ['f7', 'Bc6\n'], ['Re1', 'Rad8'], ['Nc3', 'Rd2'], ['b4', 'e3'], ['Re2', 'Rd4'], ['Bb3', 'Rxb4'], ['Nd1', 'Nd4'], ['Rxe3', 'Nxb3\n'], ['axb3', 'a6'], ['Nb2', 'Rd4'], ['Nc4', 'Kg7'], ['Ne5', 'Bd5'], ['c6', 'bxc6'], ['Rxa6', 'Rd2'], ['Rg3', 'Bxf7\n'], ['Rxc6', 'Rd5'], ['Nf3', 'Rd7'], ['b4', 'g5'], ['h4', 'Bd5']]",1/2-1/2
Wch U20 final-A,Antwerp,1955.??.??,3,"Portisch, Lajos","Van Oosterom, Joop",,,A44,"[['d4', 'c5'], ['d5', 'e5'], ['e4', 'd6'], ['Bd3', 'g6'], ['Ne2', 'Nf6'], ['c3', 'Bg7'], ['O-O', 'Qa5'], ['Na3', 'Qc7'], ['f4', 'Nbd7\n'], ['Kh1', 'O-O'], ['Nb5', 'Qb8'], ['c4', 'a6'], ['Nbc3', 'exf4'], ['Bxf4', 'Ne5'], ['Ng3', 'Nxd3'], ['Qxd3', 'Nd7\n'], ['Nf5', 'Ne5'], ['Qg3', 'f6'], ['Nxg7', 'Kxg7'], ['Qe3', 'Ng4'], ['Qd2', 'Rf7'], ['Na4', 'b6'], ['b4', 'Bd7\n'], ['Nb2', 'Ne5'], ['Bxe5', 'dxe5'], ['bxc5', 'bxc5'], ['Nd3', 'Qd6'], ['Qa5', 'Bg4'], ['Rf2', 'Rb7'], ['h3', 'Bc8\n'], ['Raf1', 'f5'], ['Qc3', 'Re7'], ['Re2', 'fxe4'], ['Rxe4', 'Bf5'], ['Rxe5', 'Rxe5'], ['Nxe5', 'Qf6'], ['Qg3', 'Qd6\n'], ['Rxf5', '']]",1-0
Wch U20 final-A,Antwerp,1955.??.??,4,"Tringov, Georgi P","Portisch, Lajos",,,B88,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Bc4', 'e6'], ['Bb3', 'a6'], ['O-O', 'Qc7\n'], ['Be3', 'Ne5'], ['Qe2', 'b5'], ['f4', 'Neg4'], ['h3', 'Nxe3'], ['Qxe3', 'e5'], ['Nde2', 'Be6'], ['Nd5', 'Bxd5\n'], ['exd5', 'Be7'], ['Kh1', 'O-O'], ['Ng3', 'Nd7'], ['c3', 'exf4'], ['Qxf4', 'g6'], ['Rae1', 'Ne5'], ['Qd4', 'Qd8\n'], ['Ne4', 'Rc8'], ['Re2', 'f5'], ['Nf2', 'Bf6'], ['Qd1', 'Kh8'], ['Nd3', 'Nxd3'], ['Qxd3', 'Be5'], ['g3', 'Qg5\n'], ['Kg2', 'Rce8'], ['Bd1', 'f4'], ['g4', 'Re7'], ['Qf3', 'Rfe8'], ['Rfe1', 'Rc7'], ['Re4', 'Rec8'], ['Bb3', 'Qf6\n'], ['R1e2', 'Kg7'], ['Re1', 'Rf8'], ['Rf1', 'Rfc8'], ['Rfe1', 'Rh8'], ['Bd1', 'Rc5'], ['R4e2', 'h5'], ['gxh5', 'Rxh5\n'], ['Kf1', 'Rc8'], ['Rg2', 'Rh6'], ['Ree2', 'Rch8'], ['Rh2', 'Rf8'], ['Reg2', 'Kh8'], ['Rg4', 'b4'], ['cxb4', 'Bxb2\n'], ['Bc2', 'Be5'], ['Rhg2', 'Rg8'], ['a4', 'Rg7'], ['b5', 'axb5'], ['axb5', 'Ra7'], ['Rxg6', 'Ra1+'], ['Ke2', 'Qf8\n'], ['R2g5', 'Rxg6'], ['Rxg6', 'Bg7'], ['Re6', 'Qf7'], ['Qg4', 'f3+'], ['Kf2', 'Qa7+'], ['Re3', 'Bh6']]",1/2-1/2
Wch U20 prel-B,Antwerp,1955.??.??,4,"Johannessen, Svein","Portisch, Lajos",,,C63,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'f5'], ['Nc3', 'Nf6'], ['d4', 'exd4'], ['Nxd4', 'fxe4'], ['O-O', 'Be7'], ['Re1', 'O-O\n'], ['Nxe4', 'Nxd4'], ['Qxd4', 'd5'], ['Nxf6+', 'Bxf6'], ['Qd1', 'Bf5'], ['c3', 'Qd6'], ['Be3', 'Rad8'], ['Bd3', 'Bxd3\n'], ['Qxd3', 'c5'], ['Rad1', 'Kh8'], ['Qb5', 'b6'], ['Qa4', 'd4'], ['cxd4', 'cxd4'], ['Bd2', 'a5'], ['b4', 'Be5\n'], ['g3', 'Qf6'], ['f4', 'Bd6'], ['bxa5', 'Bc5'], ['Re5', '']]",1/2-1/2
Wch U20 final-A,Antwerp,1955.??.??,5,"Portisch, Lajos","Johannessen, Svein",,,B04,"[['e4', 'c6'], ['d4', 'Nf6'], ['e5', 'Nd5'], ['c4', 'Nc7'], ['Nf3', 'd6'], ['Be2', 'g6'], ['O-O', 'Bg7'], ['Nc3', 'O-O\n'], ['exd6', 'Qxd6'], ['Ne4', 'Qd8'], ['h3', 'Nd7'], ['Bf4', 'c5'], ['Be3', 'f5'], ['Nxc5', 'Nxc5'], ['dxc5', 'Bxb2\n'], ['Rb1', 'Bg7'], ['Qc1', 'e5'], ['Rd1', 'Qe8'], ['Bh6', 'e4'], ['Nd4', 'Qe7'], ['Bxg7', 'Kxg7'], ['Qb2', 'Kg8\n'], ['c6', 'b6'], ['Nb5', 'Ne8'], ['c5', 'Nf6'], ['Bc4+', 'Kh8'], ['cxb6', 'axb6'], ['Nd6', 'f4'], ['Qxb6', 'e3\n'], ['fxe3', 'f3'], ['Nxc8', 'Raxc8'], ['gxf3', 'Qe5'], ['Bf1', 'Qg5+'], ['Bg2', 'Ra8'], ['Rd2', '']]",1-0
Wch U20 prel-B,Antwerp,1955.??.??,5,"Portisch, Lajos","Muller, Vilhelm",,,D36,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'Nf6'], ['cxd5', 'exd5'], ['Bg5', 'Nbd7'], ['e3', 'c6'], ['Qc2', 'h6'], ['Bh4', 'Be7\n'], ['Bd3', 'Nb6'], ['Nf3', 'Be6'], ['O-O', 'O-O'], ['Ne5', 'Nbd7'], ['f4', 'Nxe5'], ['dxe5', 'Ne8'], ['Bxe7', 'Qxe7\n'], ['Ne2', 'f5'], ['Nd4', 'g6'], ['Rac1', 'Rc8'], ['Qc5', 'Qxc5'], ['Rxc5', 'Kf7'], ['b4', 'a6'], ['a4', 'Ng7\n'], ['Rfc1', 'Bd7'], ['Kf2', 'Ne6'], ['Nxe6', 'Kxe6'], ['g4', 'Rg8'], ['Rg1', 'Kf7'], ['h3', 'Ke6'], ['Rcc1', 'Kf7\n'], ['a5', 'h5'], ['gxf5', 'gxf5'], ['Be2', 'h4'], ['Bh5+', 'Ke7'], ['Rxg8', 'Rxg8'], ['Rg1', 'Rxg1'], ['Kxg1', 'Kf8\n'], ['Kf2', 'Kg7'], ['Ke2', 'Kf8'], ['Kd3', 'c5'], ['bxc5', 'Bb5+'], ['Kd4', 'Bf1'], ['Kxd5', 'Ke7'], ['Bf3', 'Bxh3\n'], ['e4', 'fxe4'], ['Kxe4', 'Ke6'], ['Ke3', 'Bf1'], ['Bxb7', 'h3'], ['Kf2', 'Bb5'], ['c6', 'Bc4'], ['c7', '']]",1-0
