ARG-ch,Buenos Aires,1966.??.??,1,"Garcia, Raimundo","Quinteros, Miguel A",,,E74,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Be2', 'O-O'], ['Bg5', 'c5'], ['d5', 'h6'], ['Bf4', 'Qa5'], ['Bd2', 'e6\n'], ['Nf3', 'exd5'], ['cxd5', 'Re8'], ['O-O', 'Qc7'], ['Qc2', 'a6'], ['a4', 'Bg4'], ['a5', 'Nbd7'], ['h3', 'Bxf3\n'], ['Bxf3', 'Reb8'], ['Be2', 'Ne8'], ['Ra2', 'b5'], ['axb6', 'Qxb6'], ['Rfa1', 'Nc7'], ['Kh1', 'Qb3'], ['Qc1', 'Kh7\n'], ['Nd1', 'Qb7'], ['Bc3', 'Nb5'], ['Bxg7', 'Kxg7'], ['Nc3', 'Nd4'], ['Bxa6', 'Qb4'], ['Qf1', 'Nf6'], ['Bd3', 'Qb7\n'], ['Qd1', 'Rxa2'], ['Rxa2', 'Ra8'], ['Rxa8', 'Qxa8'], ['Ne2', 'Nxe2'], ['Qxe2', 'Qb8'], ['Bc4', 'Qe8'], ['Bd3', 'Qe5\n'], ['g3', 'g5'], ['Kg2', 'Nd7'], ['Qc2', 'Qf6'], ['Be2', 'Ne5'], ['Bg4', 'Nxg4'], ['hxg4', 'Qe7'], ['b4', 'cxb4\n'], ['Qb2+', 'Qe5'], ['Qxb4', 'Kh7'], ['Qc4', 'Kg7'], ['Qd3', 'Qb2'], ['Kf3', 'Qa1'], ['Ke2', 'Qb2+'], ['Ke3', 'Qc1+\n'], ['Qd2', 'Qa3+'], ['Ke2', 'Qa1'], ['Qb4', 'Qa6+'], ['Ke3', 'f6'], ['Qc3', 'Qa7+'], ['Kf3', 'Qa6'], ['Kg2', 'Qb6\n'], ['Qc8', 'Qb4'], ['Qe8', 'Qb7'], ['Qd8', 'Qb4'], ['Qe7+', 'Kg6'], ['Qe8+', 'Kg7'], ['Qe6', 'Qb8'], ['Qd7+', 'Kg6\n'], ['Qa4', 'Kg7'], ['Qa3', 'Qc7'], ['Qd3', 'Qd7'], ['Kh3', 'Qa7'], ['Qc2', 'Qb6'], ['Kg2', 'Qa7'], ['Qc8', 'Qe7\n'], ['Qe6', 'Qc7'], ['Qe8', 'Qb7'], ['Qc6', 'Qb8'], ['Qc3', 'Qa7'], ['f4', 'Qa2+'], ['Kf3', 'Qb1'], ['Kf2', 'gxf4']]",1/2-1/2
ARG-ch,Buenos Aires,1966.??.??,3,"Quinteros, Miguel A","Bazan, Osvaldo",,,A36,"[['g3', 'c5'], ['Bg2', 'Nc6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e3', 'd6'], ['Nge2', 'e5'], ['a3', 'a5'], ['d3', 'Nge7'], ['Rb1', 'O-O\n'], ['O-O', 'Rb8'], ['h3', 'Be6'], ['Qb3', 'Qd7'], ['Kh2', 'Rfd8'], ['Nd5', 'b5'], ['Qd1', 'b4'], ['a4', 'f5\n'], ['b3', 'Bf7'], ['Bb2', 'Nxd5'], ['Bxd5', 'Bxd5'], ['cxd5', 'Ne7'], ['e4', 'Nc8'], ['Bc1', 'Rf8'], ['Kg2', 'Nb6\n'], ['Be3', 'Rbe8'], ['Qd2', 'Qe7'], ['f3', 'Nd7'], ['g4', 'f4'], ['Bf2', 'Bf6'], ['Rh1', 'Bh4'], ['Bxh4', 'Qxh4\n'], ['Qe1', 'g5']]",1/2-1/2
ARG-ch,Buenos Aires,1966.??.??,4,"Behrensen, Jorge","Quinteros, Miguel A",,,E61,"[['d4', 'Nf6'], ['c4', 'd6'], ['Nc3', 'g6'], ['Nf3', 'Bg7'], ['h3', 'O-O'], ['Bf4', 'c6'], ['e3', 'a6'], ['a4', 'a5'], ['Be2', 'Nfd7\n'], ['O-O', 'e5'], ['Bh2', 'f5'], ['Qb3', 'Kh8'], ['Rad1', 'Qe7'], ['Qa3', 'Re8'], ['Rd2', 'Na6'], ['Na2', 'Bf8\n'], ['Qc3', 'e4'], ['Ne1', 'b6'], ['Nc2', 'Qf6'], ['Qb3', 'Bb7'], ['Nc3', 'Qd8'], ['f3', 'exf3'], ['Bxf3', 'Nf6\n'], ['Re2', 'Bg7'], ['Qa3', 'd5'], ['cxd5', 'Nxd5'], ['Bxd5', 'cxd5'], ['Nb5', 'Bf8'], ['Qb3', 'Bc6'], ['Nca3', 'Bg7\n'], ['Rc2', 'Qd7'], ['Rfc1', 'Re6'], ['Rc3', 'Nb4'], ['Nc7', 'Bxa4'], ['Nxa8', 'Bxb3'], ['Rc8+', 'Re8'], ['Nxb6', 'Rxc8\n'], ['Rxc8+', 'Qxc8'], ['Nxc8', 'Nd3'], ['Nb6', 'Nxb2'], ['Nd7', 'Nc4'], ['Nxc4', 'dxc4'], ['Bc7', 'a4'], ['Ba5', 'f4\n'], ['Bc3', 'fxe3'], ['g4', 'Kg8'], ['g5', 'Kf7'], ['Kf1', 'Bd1'], ['Ke1', 'e2'], ['Nb6', 'a3'], ['Nxc4', 'Bf8\n'], ['d5', 'a2'], ['Ne5+', 'Kg8'], ['Nd3', 'Bb3'], ['Kxe2', 'Bc4'], ['d6', 'Bxd6'], ['Kd2', 'Bxd3'], ['Kxd3', 'Bf8']]",0-1
ARG-ch,Buenos Aires,1966.??.??,5,"Quinteros, Miguel A","Rubinetti, Jorge A",,,E32,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['Qc2', 'O-O'], ['Bg5', 'd6'], ['Nf3', 'Nbd7'], ['Nd2', 'h6'], ['Bh4', 'b6\n'], ['a3', 'Bxc3'], ['Qxc3', 'Bb7'], ['Bg3', 'Qe7'], ['e3', 'a5'], ['b3', 'e5'], ['d5', 'c6'], ['e4', 'cxd5'], ['exd5', 'b5\n'], ['Be2', 'bxc4'], ['bxc4', 'Nc5'], ['Qe3', 'Rfe8'], ['O-O', 'Bc8'], ['Rfe1', 'Bf5'], ['f4', 'Nfd7'], ['Nf3', 'f6\n'], ['Nh4', 'Be4'], ['Bh5', 'Reb8'], ['Ng6', 'Qd8'], ['fxe5', 'dxe5'], ['d6', 'Rb3'], ['Qe2', 'Qb6'], ['Bf2', 'Rb2\n'], ['Qxe4', 'Nxe4'], ['Bxb6', 'Rxb6'], ['Rxe4', 'Rxd6'], ['Ree1', 'Nc5'], ['Red1', 'Rad8'], ['Rxd6', 'Rxd6\n'], ['Ne7+', 'Kf8'], ['Nf5', 'Rd8'], ['Rb1', 'Ne4'], ['h4', 'Nc5'], ['Rb5', '']]",1-0
ARG-ch,Buenos Aires,1966.??.??,6,"Pelikan, Jorge","Quinteros, Miguel A",,,A68,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['f4', 'c5'], ['d5', 'O-O'], ['Nf3', 'e6'], ['Be2', 'exd5'], ['cxd5', 'b5\n'], ['e5', 'dxe5'], ['fxe5', 'Ng4'], ['Bf4', 'Nd7'], ['e6', 'fxe6'], ['dxe6', 'Rxf4'], ['Qd5', 'Kh8'], ['Qxa8', 'Nb6\n'], ['Qxa7', 'Bxe6'], ['Rd1', 'Bd4'], ['Nxb5', 'Ne3'], ['Nbxd4', 'Nxg2+'], ['Kf2', 'Qh4+'], ['Kg1', 'Qg4\n'], ['Ne5', 'Qh3'], ['Ndf3', 'Ne3'], ['Kf2', 'Nxd1+'], ['Rxd1', 'Qxh2+'], ['Ke1', 'Qg3+'], ['Kd2', 'Nd5\n'], ['Qxc5', 'Nf6'], ['Qf8+', 'Ng8'], ['Nxg6+', 'hxg6'], ['Rh1+', 'Bh3'], ['Rxh3+', 'Qxh3'], ['Qxf4', 'Qc8\n'], ['Qd4+', 'Kh7'], ['Ng5+', 'Kh6']]",1-0
ARG-ch,Buenos Aires,1966.??.??,7,"Quinteros, Miguel A","Bronstein, Luis",,,E55,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['Qc2', 'd5'], ['e3', 'c5'], ['a3', 'Bxc3+'], ['bxc3', 'O-O'], ['Nf3', 'b6\n'], ['Bd3', 'dxc4'], ['Bxc4', 'Bb7'], ['O-O', 'Nbd7'], ['Qe2', 'Qe7'], ['Ne5', 'Nxe5'], ['dxe5', 'Nd7'], ['f4', 'Be4\n'], ['Bb2', 'Rad8'], ['Rad1', 'Nb8'], ['Bb5', 'h6'], ['c4', 'Rxd1'], ['Rxd1', 'Rd8'], ['Rd2', 'a6'], ['Ba4', 'Nc6\n'], ['Bc3', 'Rxd2'], ['Qxd2', 'Qd8'], ['Kf2', 'Qxd2+'], ['Bxd2', 'Na7'], ['Bb3', 'Kf8'], ['g4', 'Ke7'], ['Ke2', 'Kd7\n'], ['h4', 'Kc6'], ['h5', 'Nc8'], ['Be1', 'b5'], ['Bh4', 'Nb6'], ['cxb5+', 'axb5'], ['Be7', 'c4'], ['Bd1', 'Nd7\n'], ['Kd2', 'Kd5'], ['Kc3', 'f6'], ['exf6', 'gxf6'], ['Be2', 'e5'], ['a4', 'Ke6'], ['Ba3', 'exf4'], ['exf4', 'bxa4\n'], ['Bxc4+', 'Bd5'], ['Bb5', 'Bf3'], ['f5+', 'Ke5'], ['Bxd7', 'Bxg4'], ['Be8', 'Kxf5'], ['Bc1', '']]",1-0
ARG-ch,Buenos Aires,1966.??.??,8,"Figueroa, Eduardo","Quinteros, Miguel A",,,B23,"[['e4', 'c5'], ['Nc3', 'Nc6'], ['g3', 'e6'], ['Bg2', 'Nge7'], ['Nge2', 'g6'], ['d4', 'cxd4'], ['Nxd4', 'a6'], ['O-O', 'Bg7\n'], ['Be3', 'O-O'], ['a4', 'Qc7'], ['Nxc6', 'bxc6'], ['Bc5', 'd5'], ['a5', 'Re8'], ['Bb6', 'Qb8'], ['Na4', 'Bb7\n'], ['Re1', 'Nc8'], ['Bc5', 'Rd8'], ['Qd2', 'Bf8'], ['e5', 'Bxc5'], ['Nxc5', 'Na7'], ['Ra4', 'Qc7'], ['Rh4', 'h5\n'], ['Qh6', 'Qe7'], ['b4', 'Rab8'], ['Bf3', 'Qf8'], ['Qg5', 'Ba8'], ['Nxe6', 'Qe8'], ['Nf4', 'Qd7'], ['e6', 'f6\n'], ['Qxg6+', 'Qg7'], ['Qxh5', '']]",1-0
ARG-ch,Buenos Aires,1966.??.??,9,"Quinteros, Miguel A","Chemes, L.",,,D43,"[['c4', 'e6'], ['Nc3', 'd5'], ['d4', 'Nf6'], ['Nf3', 'Nbd7'], ['g3', 'c6'], ['Bg2', 'Bb4'], ['Qb3', 'Qe7'], ['O-O', 'O-O\n'], ['c5', 'Bxc3'], ['Qxc3', 'Ne4'], ['Qc2', 'e5'], ['e3', 'f5'], ['Ne1', 'Ng5'], ['dxe5', 'Qxc5'], ['Qd1', 'Nb6\n'], ['b3', 'Qe7'], ['Nd3', 'Be6'], ['a4', 'Rfd8'], ['Ba3', 'Qe8'], ['Bc5', 'Ne4'], ['Bd4', 'Rac8'], ['Rc1', 'Qf7\n'], ['f3', 'Ng5'], ['h4', 'h6'], ['hxg5', 'hxg5'], ['Nc5', '']]",1-0
ARG-ch,Buenos Aires,1966.??.??,10,"Garcia, JM.","Quinteros, Miguel A",,,A26,"[['Nf3', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['g3', 'O-O'], ['Bg2', 'd6'], ['O-O', 'e5'], ['d3', 'Nc6'], ['Bd2', 'h6\n'], ['Rb1', 'Be6'], ['e4', 'Qd7'], ['Nd5', 'Ne8'], ['Be3', 'Nd8'], ['c5', 'f5'], ['Qc1', 'g5'], ['Kh1', 'Bxd5\n'], ['exd5', 'f4'], ['c6', 'bxc6'], ['dxc6', 'Qf7'], ['gxf4', 'exf4'], ['Bd4', 'g4'], ['Bxg7', 'Nxg7'], ['Nh4', 'Qh5\n'], ['Qc4+', 'Kh8'], ['Bd5', 'Qxh4'], ['Rbe1', 'Rf5'], ['Rg1', 'Qg5'], ['Bf3', 'h5'], ['Qc3', 'Nf7'], ['d4', 'd5\n'], ['Bd1', 'Qf6'], ['Bc2', 'Rg5'], ['Qd3', 'Nf5'], ['h4', 'Rg7'], ['Rg2', 'Nxd4']]",0-1
ARG-ch,Buenos Aires,1966.??.??,11,"Quinteros, Miguel A","Pugach, Mario",,,A53,"[['d4', 'Nf6'], ['c4', 'd6'], ['Nc3', 'Nbd7'], ['e4', 'e5'], ['Nge2', 'a5'], ['b3', 'c6'], ['g3', 'Be7'], ['Bg2', 'O-O\n'], ['O-O', 'Re8'], ['h3', 'Bf8'], ['Re1', 'g6'], ['Be3', 'Bg7'], ['Qc2', 'Qe7'], ['Rad1', 'h6'], ['Bc1', 'exd4\n'], ['Nxd4', 'Nc5'], ['Bf4', 'Nh5'], ['Be3', 'Kh7'], ['Kh2', 'Nf6'], ['f3', 'Nfd7'], ['Bf2', 'Nf8'], ['f4', 'Nfe6\n'], ['Nde2', 'Nc7'], ['Qd2', 'Bf8'], ['g4', 'N7a6'], ['Bg3', 'Nd7'], ['Na4', 'Nac5'], ['Nac3', 'Na6'], ['Ng1', 'Qf6\n'], ['Nf3', 'Nac5'], ['Bh4', 'Qg7'], ['Bf2', 'Qf6'], ['Bd4', 'Qe7'], ['Qf2', 'Ne6'], ['Be3', 'Bg7'], ['Na4', 'Nef8\n'], ['Bd4', 'Nf6'], ['e5', 'dxe5'], ['Bc5', 'Qe6'], ['Nxe5', 'Ng8'], ['Nf3', '']]",1-0
