SochiJ-B,Sochi,1986.??.??,?,"Velikov, V.","Sakaev, Konstantin",,,B86,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Bc4', 'Be7'], ['f4', 'O-O'], ['Qf3', 'Nbd7\n'], ['g4', 'd5'], ['exd5', 'Nb6'], ['Bb3', 'Nfxd5'], ['Nce2', 'Qc7'], ['O-O', 'Rd8'], ['c3', 'Bc5'], ['Bd2', 'a5\n'], ['Rad1', 'a4'], ['Bc2', 'g6'], ['Bc1', 'Bd7'], ['Kg2', 'f5'], ['gxf5', 'exf5'], ['Qg3', 'Re8'], ['Rfe1', 'Kh8\n'], ['b3', 'axb3'], ['axb3', 'Nf6'], ['c4', 'Bb4'], ['Nc3', 'Bc6+'], ['Nxc6', 'Qxc6+'], ['Kh3', 'Nh5'], ['Qd3', 'Rxe1\n'], ['Rxe1', 'Kg7'], ['Bd2', 'Rd8'], ['Nd5', 'Nxd5'], ['Qd4+', 'Ndf6']]",0-1
SochiJ-B,Sochi,1986.??.??,?,"Sakaev, Konstantin","Tiviakov, Sergei",,,E12,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['a3', 'Bb7'], ['Nc3', 'g6'], ['Bg5', 'h6'], ['Bh4', 'Bg7'], ['d5', 'exd5\n'], ['cxd5', 'O-O'], ['e3', 'c5'], ['Qd2', 'd6'], ['Bc4', 'Nbd7'], ['O-O', 'Re8'], ['Rfe1', 'a6'], ['g4', 'Qc7\n'], ['h3', 'Ne4'], ['Nxe4', 'Rxe4'], ['Rac1', 'Ne5'], ['Nxe5', 'Bxe5'], ['f4', 'Bg7'], ['Qc2', 'Rae8'], ['Bf2', 'Qd7\n'], ['Qb3', 'Qd8'], ['Re2', 'Qa8'], ['Rd1', 'Kh7'], ['Rc2', 'Qd8'], ['Qd3', 'Qc8'], ['Qb3', 'Qd8'], ['Qd3', 'Qa8\n'], ['Qb3', 'Rb8'], ['Qd3', 'f5'], ['Be1', 'Rbe8'], ['Bd2', 'Rxc4'], ['Rxc4', 'Bxd5'], ['Bc3', 'Bxc4'], ['Qxc4', 'Qd8\n'], ['Bxg7', 'Kxg7'], ['Qxa6', 'Re6'], ['Qb7+', 'Re7']]",1/2-1/2
SochiJ-B,Sochi,1986.??.??,?,"Sakaev, Konstantin","Burmenko, D.",,,A43,"[['d4', 'Nf6'], ['Nf3', 'c5'], ['d5', 'b5'], ['Bg5', 'Qb6'], ['Bxf6', 'Qxf6'], ['c3', 'b4'], ['e4', 'g6'], ['e5', 'Qf4\n'], ['Bd3', 'Bg7'], ['g3', 'Qg4'], ['Nbd2', 'O-O'], ['h3', 'Qh5'], ['g4', 'Qh6'], ['g5', 'Qh5'], ['Ne4', 'd6'], ['Ng3', 'Qxh3\n'], ['Rxh3', 'Bxh3'], ['c4', '']]",1-0
SochiJ-B,Sochi,1986.??.??,?,"Sakaev, Konstantin","Akopian, Vladimir",,,D06,"[['d4', 'd5'], ['c4', 'Bf5'], ['cxd5', 'Bxb1'], ['Qa4+', 'c6'], ['Rxb1', 'Qxd5'], ['Nf3', 'Nd7'], ['a3', 'Ngf6'], ['e3', 'e6\n'], ['Qc2', 'Bd6'], ['Bd3', 'Qh5'], ['O-O', 'g5'], ['e4', 'g4'], ['Ne5', 'Nxe5'], ['dxe5', 'Bxe5'], ['g3', 'Nd7\n'], ['Be2', 'Bg7'], ['b4', 'O-O'], ['Rb3', 'Qg6'], ['Kg2', 'Rad8'], ['h3', 'h5'], ['hxg4', 'hxg4'], ['Rh1', 'Nf6\n'], ['Re3', 'Bh6'], ['Rxh6', 'Qxh6'], ['e5', 'Rd5'], ['exf6', 'Qh3+'], ['Kg1', 'Rh5'], ['Qe4', 'Qh2+'], ['Kf1', 'Qh1+\n'], ['Qxh1', 'Rxh1+'], ['Kg2', 'Rxc1'], ['Rd3', 'Kh7'], ['Rd7', 'Kg6'], ['Rxb7', 'Ra8'], ['Rc7', 'Ra1'], ['Rxc6', 'Rxa3\n'], ['Bxg4', 'Rb8'], ['Rc5', 'Kxf6'], ['Rc7', 'Kg6']]",0-1
SochiJ-B,Sochi,1986.??.??,?,"Kamsky, Gata","Sakaev, Konstantin",,,B86,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Bc4', 'Be7'], ['Be3', 'O-O'], ['Bb3', 'Na6\n'], ['f4', 'Nc5'], ['Qf3', 'a6'], ['O-O', 'Qc7'], ['Rad1', 'Bd7'], ['f5', 'e5'], ['Nde2', 'Nxb3'], ['cxb3', 'Bc6\n'], ['g4', 'h6'], ['h4', 'Nh7'], ['Bf2', 'Qd8'], ['Qg3', 'Rc8'], ['Rd2', 'Kh8'], ['Rfd1', 'Rg8'], ['Qh3', 'g6\n'], ['Kh2', 'gxf5'], ['exf5', 'Qf8'], ['Rg1', 'b5'], ['Be3', 'b4'], ['Nd5', 'Bxd5'], ['Rxd5', 'Nf6'], ['Rdd1', 'Rc2\n'], ['Rd2', 'Rxd2'], ['Bxd2', 'd5'], ['g5', 'Ne4'], ['Bc1', 'Bc5'], ['Rg2', 'Qd8'], ['Qf3', 'hxg5'], ['Qh5+', 'Kg7\n'], ['Bxg5', 'Nxg5'], ['Rxg5+', 'Kf8'], ['Qh6+', 'Ke7'], ['Qc6', 'Bd6'], ['f6+', 'Kf8'], ['Qxd5', 'Rh8'], ['Ng3', 'Qxf6\n'], ['Nf5', 'Be7'], ['Nxe7', 'Rxh4+']]",0-1
SochiJ-B,Sochi,1986.??.??,?,"Shirov, Alexei","Sakaev, Konstantin",,,D00,"[['d4', 'd5'], ['Bf4', 'Nf6'], ['e3', 'c5'], ['c3', 'Nc6'], ['Nd2', 'e6'], ['Bd3', 'Be7'], ['h3', 'O-O'], ['Ngf3', 'Bd6\n'], ['Ne5', 'Bxe5'], ['dxe5', 'Nd7'], ['Nf3', 'h6'], ['Bc2', 'Re8'], ['O-O', 'b6'], ['e4', 'Ne7'], ['Qd2', 'Nf8\n'], ['Rad1', 'Bb7'], ['exd5', 'exd5'], ['Rfe1', 'Neg6'], ['Bxh6', 'gxh6'], ['Qxh6', 'Ne6'], ['Bxg6', 'fxg6\n'], ['Qxg6+', 'Kh8'], ['Qh6+', 'Kg8'], ['Rd3', 'Rc8'], ['Nh4', 'Rc7'], ['Rg3+', 'Rg7'], ['Ree3', 'Qd7'], ['Ng6', 'd4\n'], ['Qh8+', 'Kf7'], ['Ref3+', 'Bxf3'], ['Rxf3+', 'Nf4'], ['Rxf4+', 'Ke6'], ['Rf8', 'Ree7'], ['Nxe7', 'Rxe7\n'], ['Rd8', '']]",1-0
Frunze op,Frunze,1989.??.??,?,"Grabliauskas, Virginijus","Sakaev, Konstantin",,,E92,"[['d4', 'd6'], ['Nf3', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'O-O'], ['Be2', 'e5'], ['Be3', 'h6'], ['h3', 'exd4\n'], ['Bxd4', 'Re8'], ['Nd2', 'Nbd7'], ['O-O', 'Nc5'], ['Bf3', 'Ne6'], ['Be3', 'Ng5'], ['Re1', 'Nd7'], ['Qc2', 'Nc5\n'], ['Rad1', 'f5'], ['e5', 'Rxe5'], ['Bd5+', 'Be6'], ['f4', 'Rxe3'], ['Rxe3', 'Bd4'], ['Nf1', 'Bxe3+'], ['Nxe3', 'Bxd5\n'], ['cxd5', 'Nge4'], ['Nb5', 'a5'], ['b3', 'Qe7'], ['a3', 'c6'], ['dxc6', 'bxc6'], ['Nxd6', 'Rd8'], ['Nxe4', 'Rxd1+']]",1/2-1/2
Frunze op,Frunze,1989.??.??,?,"Sakaev, Konstantin","Zagorskis, A.",,,D85,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['e4', 'Nxc3'], ['bxc3', 'Bg7'], ['Nf3', 'c5'], ['Rb1', 'O-O\n'], ['Be2', 'Qa5'], ['O-O', 'Qxc3'], ['Bd2', 'Qa3'], ['Qc2', 'Bd7'], ['dxc5', 'Bc6'], ['Bb5', 'Na6'], ['Rfc1', 'Bxb5\n'], ['Rxb5', 'Rfc8'], ['Ra5', 'Qb2'], ['Qxb2', 'Bxb2'], ['Rc2', 'Bg7'], ['c6', 'Rab8'], ['Ne1', 'Nc7'], ['cxb7', 'Rxb7\n'], ['Rac5', 'Bd4'], ['R5c4', 'Bb6'], ['a4', 'Rd8'], ['a5', 'Rxd2'], ['Rxd2', 'Bxa5'], ['Rd1', 'Ne6'], ['Nd3', 'Rd7\n'], ['Nb2', 'Rb7'], ['Nd3', 'Rd7'], ['Nb2', 'Rb7'], ['Na4', 'Rb3'], ['g3', 'Bb4'], ['Rd5', 'a5'], ['Nb6', 'Rb2\n'], ['Rb5', 'Ra2'], ['Nd5', 'Be1'], ['Kf1', 'Bxf2'], ['Nxe7+', 'Kf8'], ['Nc6', 'Be3'], ['Rb3', 'Bc5'], ['Ne5', 'Bd6\n'], ['Rc8+', 'Kg7'], ['Nc4', 'a4'], ['Rf3', 'Be7'], ['h4', 'Ra1+'], ['Kg2', 'Re1'], ['Re8', 'Bf6'], ['Nd6', 'Nd8\n'], ['Ra3', 'Ne6'], ['Rxa4', 'Rd1'], ['Nb5', 'Rb1'], ['Na3', 'Rb2+'], ['Kh3', 'Rb3'], ['Nc4', 'Bd4'], ['Ra2', 'Rc3\n'], ['Nd2', 'Re3'], ['Nc4', 'Rxe4'], ['Nd6', 'Re1'], ['Rea8', 'h5'], ['Nc4', 'Rc1'], ['Nd2', 'Rc3'], ['R8a3', 'Rc7\n'], ['Nf3', 'Bf6'], ['Rd3', 'Rb7'], ['Rd5', 'Rb3'], ['Kg2', 'Rb7'], ['Rad2', 'Nf8'], ['R5d3', 'Ra7'], ['Kf2', 'Rb7\n'], ['Ra2', 'Ne6'], ['Kg2', 'Rc7'], ['Rda3', 'Nd4'], ['Nd2', 'Nf5'], ['Ne4', 'Re7'], ['Ra4', 'Bd4'], ['Kf3', 'Rb7\n'], ['R4a3', 'Be5'], ['Rd3', 'Rb4']]",1/2-1/2
Frunze op,Frunze,1989.??.??,?,"Imanaliev, Taalaibek","Sakaev, Konstantin",,,B22,"[['e4', 'c5'], ['Nf3', 'e6'], ['c3', 'd5'], ['exd5', 'Qxd5'], ['d4', 'Nf6'], ['Be3', 'cxd4'], ['cxd4', 'Nc6'], ['Nc3', 'Qd6\n'], ['a3', 'Be7'], ['Bd3', 'O-O'], ['O-O', 'h6'], ['Qe2', 'Nd5'], ['Ne4', 'Qd8'], ['Rac1', 'f5'], ['Nc5', 'Qd6\n'], ['Bb5', 'Bf6'], ['Nd3', 'Bd7'], ['Bxc6', 'Bxc6'], ['Nde5', 'Nxe3'], ['Qxe3', 'Bd5'], ['Ng6', 'Rfd8'], ['Nfe5', 'Be4\n'], ['Rcd1', 'Rac8'], ['f3', 'Bc2'], ['Rd2', 'f4'], ['Qxf4', 'Bxg6'], ['Nxg6', 'Qxf4'], ['Nxf4', 'Rxd4'], ['Rxd4', 'Bxd4+\n'], ['Kh1', 'Bxb2'], ['a4', 'Rc4'], ['Nxe6', 'Rxa4'], ['Nc5', 'Ra1'], ['Rxa1', 'Bxa1'], ['Nxb7', 'Bc3'], ['Nc5', 'a5\n'], ['g3', 'Bd4'], ['Nb3', 'Bb6'], ['Kg2', 'a4'], ['Nc1', 'Kf7'], ['Kf1', 'Ke6'], ['Ke2', 'Bg1'], ['h3', 'Kd5\n'], ['Kd3', 'Bf2'], ['Ne2', 'Kc5'], ['g4', 'Kb4'], ['Nc1', 'g5'], ['Kc2', 'Bd4'], ['Kb1', 'Be3'], ['Nd3+', 'Kb3\n'], ['Ne5', 'a3'], ['Nc6', 'a2+'], ['Ka1', 'Bb6']]",0-1
Frunze op,Frunze,1989.??.??,?,"Itkis, Boris","Sakaev, Konstantin",,,D76,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['c4', 'Bg7'], ['g3', 'O-O'], ['Bg2', 'd5'], ['cxd5', 'Nxd5'], ['O-O', 'Nb6'], ['Nc3', 'Nc6\n'], ['d5', 'Na5'], ['e4', 'c6'], ['Bg5', 'h6'], ['Bf4', 'Nac4'], ['b3', 'g5'], ['bxc4', 'gxf4'], ['Qb3', 'fxg3\n'], ['hxg3', 'Nd7'], ['Qa3', 'Qb6'], ['e5', 'Nxe5'], ['Nxe5', 'Bxe5'], ['c5', 'Qc7'], ['Rfe1', 'Bf5'], ['Rad1', 'Rad8\n'], ['Re3', 'Rd7'], ['Kh2', 'Rfd8'], ['Rde1', 'Bxc3'], ['Qxc3', 'cxd5'], ['Re5', 'Bg6'], ['Qe3', 'b6'], ['Qxh6', 'bxc5\n'], ['Bh3', 'e6'], ['Rg5', 'Re8'], ['Bxe6', 'Rxe6'], ['Rxe6', 'fxe6'], ['Qxg6+', 'Kf8'], ['Qxe6', 'Rf7'], ['Kg1', 'd4\n'], ['Qd5', 'Qe7'], ['Qa8+', '']]",1-0
