USA op,Chicago,1973.??.??,1,"Seirawan, Yasser","Suttles, Duncan",,,A42,"[['e4', 'g6'], ['d4', 'd6'], ['c4', 'Bg7'], ['Nc3', 'Nc6'], ['Be3', 'e5'], ['d5', 'Nce7'], ['Qd2', 'f5'], ['f3', 'Nf6'], ['g3', 'O-O\n'], ['h4', 'fxe4'], ['Nxe4', 'Nf5'], ['Bf2', 'Nxe4'], ['fxe4', 'Bh6'], ['Qd3', 'Nd4'], ['Bxd4', 'exd4'], ['Qxd4', 'c5\n'], ['Qc3', 'Qe7'], ['Bd3', 'Bf5'], ['Rh2', 'Bxe4'], ['Re2', 'Bxd3'], ['Qxd3', 'Qf6'], ['Kd1', 'Qf1+'], ['Kc2', 'Qxa1\n'], ['h5', 'Qxg1'], ['hxg6', 'Rf2']]",0-1
Lone Pine,Lone Pine,1976.??.??,1,"Miles, Anthony J","Seirawan, Yasser",,,B08,"[['Nf3', 'g6'], ['e4', 'Bg7'], ['d4', 'd6'], ['Nc3', 'Nf6'], ['Be2', 'O-O'], ['O-O', 'Nc6'], ['d5', 'Nb8'], ['Re1', 'c6\n'], ['a4', 'cxd5'], ['exd5', 'Bg4'], ['a5', 'Bxf3'], ['Bxf3', 'a6'], ['Be3', 'Nbd7'], ['Na4', 'Rc8'], ['Nb6', 'Nxb6\n'], ['Bxb6', 'Qe8'], ['Bd4', 'Nd7'], ['Bxg7', 'Kxg7'], ['Bg4', 'Rc7'], ['Qd4+', 'Kg8'], ['c4', 'Ne5'], ['Be2', 'Qd7\n'], ['b3', 'Qf5'], ['f4', 'Nd7'], ['g4', 'Qf6'], ['Qxf6', 'Nxf6'], ['g5', 'Ne8'], ['Bg4', 'h5'], ['Bh3', 'Ng7\n'], ['Re3', 'Rb8'], ['Kf2', 'b5'], ['axb6', 'Rxb6'], ['Ra3', 'Ra7'], ['Ke2', 'a5'], ['Kd2', 'f6'], ['Kc3', 'Kf7\n'], ['Re1', 'Rb8'], ['Rea1', 'Rba8'], ['Re1', 'Kg8'], ['Kd3', 'Rf8'], ['b4', 'fxg5'], ['fxg5', 'Rf2'], ['Re2', 'Rf3+\n'], ['Re3', 'Rf2'], ['Rxa5', 'Rxa5'], ['bxa5', 'Ra2'], ['Bc8', 'Ra3+'], ['Kd4', 'Rxa5'], ['Rxe7', 'Ra2'], ['Be6+', 'Kh7\n'], ['Rd7', 'Rxh2'], ['Rxd6', 'h4'], ['Ra6', 'Rg2'], ['c5', 'Nxe6+'], ['Rxe6', 'h3'], ['Re3', 'h2'], ['Rh3+', 'Kg7\n'], ['c6', 'Kf8'], ['c7', 'Rc2'], ['d6', '']]",1-0
Lone Pine,Lone Pine,1976.??.??,2,"Seirawan, Yasser","Meyers, SJ.",,,A38,"[['c4', 'c5'], ['Nc3', 'Nf6'], ['g3', 'Nc6'], ['Bg2', 'g6'], ['Rb1', 'Bg7'], ['a3', 'a5'], ['Nf3', 'O-O'], ['O-O', 'd6\n'], ['d3', 'Rb8'], ['Ne1', 'Ne8'], ['Nc2', 'Nc7'], ['Bd2', 'Bd7'], ['b4', 'axb4'], ['axb4', 'Nxb4'], ['Nxb4', 'cxb4\n'], ['Rxb4', 'b5'], ['cxb5', 'Nxb5'], ['Ne4', 'Nd4'], ['e3', 'Rxb4'], ['Bxb4', 'Nc6'], ['Bc3', 'Bxc3'], ['Nxc3', 'Nb4\n'], ['d4', 'Qc7'], ['Qd2', 'Rc8'], ['Rc1', 'Qa7'], ['h4', 'h5'], ['Kh2', 'Qa6'], ['Bf1', 'Qa3'], ['Bg2', 'Qa6\n'], ['Rb1', 'Qd3'], ['Qxd3', 'Nxd3'], ['Nd5', 'Kf8'], ['Nb6', 'Rd8'], ['f3', 'e5'], ['Bf1', 'e4'], ['Bxd3', 'exd3\n'], ['Nxd7+', 'Rxd7'], ['Rd1', 'Ra7'], ['Rxd3', 'Ra2+'], ['Kh3', 'Rf2'], ['e4', 'Ke7'], ['g4', 'hxg4+'], ['Kxg4', 'Rf1\n'], ['Rb3', 'Rg1+'], ['Kf4', 'Rf1'], ['Rb7+', 'Ke8'], ['d5', 'Rf2'], ['Rb1', 'Ke7'], ['Rh1', 'Ra2'], ['h5', 'gxh5\n'], ['Rxh5', 'Ra5'], ['Rh8', 'Ra3'], ['Rc8', 'Rd3'], ['Rc7+', 'Ke8'], ['Rb7', 'Ra3'], ['Kg4', 'Re3'], ['Rc7', 'Re1\n'], ['Kf5', 'Rh1'], ['f4', 'Rh5+'], ['Kf6', 'Rh6+'], ['Kg5', 'Rh7'], ['Rc6', 'Kd7'], ['Ra6', 'Ke7'], ['e5', 'dxe5\n'], ['fxe5', 'Rh1'], ['Ra7+', 'Ke8'], ['Kf5', 'Re1'], ['Kf4', 'Re2'], ['Ra3', 'Ke7'], ['Rh3', 'Re1'], ['Kf5', 'Rf1+\n'], ['Ke4', 'Re1+'], ['Kd4', 'Rd1+'], ['Rd3', 'Re1'], ['Rb3', 'Rd1+'], ['Ke4', 'Re1+'], ['Kf4', 'Rf1+'], ['Kg3', 'Rg1+\n'], ['Kf4', 'Rf1+'], ['Rf3', 'Rg1'], ['Kf5', 'Rh1'], ['d6+', 'Ke8'], ['Rf4', 'Rg1'], ['Rc4', 'Rf1+'], ['Kg4', 'Rg1+\n'], ['Kf3', 'Rf1+'], ['Ke2', 'Rf5'], ['Rc8+', 'Kd7'], ['Rc7+', 'Kd8'], ['Re7', 'Rf4'], ['Ke3', 'Rf1'], ['Ke4', 'Rf2\n'], ['Rb7', 'Rf1'], ['Rb3', 'Kd7'], ['Rf3', 'Rxf3'], ['Kxf3', 'f6'], ['exf6', 'Kxd6'], ['Kf4', 'Ke6'], ['Kg5', 'Kf7\n'], ['Kf5', 'Kf8']]",1/2-1/2
Lone Pine,Lone Pine,1976.??.??,3,"Street, Frank","Seirawan, Yasser",,,A42,"[['d4', 'g6'], ['e4', 'Bg7'], ['c4', 'd6'], ['Nc3', 'e5'], ['Nge2', 'Nc6'], ['Be3', 'Nh6'], ['f3', 'f5'], ['Qd2', 'Nf7\n'], ['g3', 'O-O'], ['d5', 'Ne7'], ['c5', 'b6'], ['c6', 'f4'], ['gxf4', 'exf4'], ['Nxf4', 'Ne5'], ['Be2', 'h6'], ['O-O-O', 'a6\n'], ['Rdg1', 'Kh7'], ['Rg3', 'b5'], ['Rhg1', 'b4'], ['Nd1', 'a5'], ['Nh5', 'Bh8'], ['Bxh6', 'gxh5'], ['Bg7', 'Rf6\n'], ['Bxf6', 'Bxf6'], ['f4', 'Ng4']]",1/2-1/2
Lone Pine,Lone Pine,1976.??.??,4,"Seirawan, Yasser","Berry, Jonathan",,,A05,"[['Nf3', 'Nf6'], ['g3', 'b5'], ['Bg2', 'Bb7'], ['O-O', 'e6'], ['d3', 'Be7'], ['e4', 'd6'], ['c3', 'Nbd7'], ['Nbd2', 'c5\n'], ['Qe2', 'O-O'], ['Rd1', 'a6'], ['d4', 'cxd4'], ['Nxd4', 'Qc7'], ['a4', 'bxa4'], ['Rxa4', 'Rfe8'], ['Ra1', 'Bf8\n'], ['N2b3', 'e5'], ['Nc2', 'a5'], ['Na3', 'a4'], ['Nd2', 'd5'], ['exd5', 'Bxd5'], ['Bxd5', 'Nxd5'], ['Ne4', 'N7b6\n'], ['c4', 'Nb4'], ['Be3', 'Re6'], ['Rdc1', 'h6'], ['Nb5', 'Qc6'], ['Bxb6', 'Qxb6'], ['Nec3', 'Rf6'], ['Nxa4', 'Rxa4\n'], ['Rxa4', 'Rxf2'], ['Qxf2', 'Bc5'], ['Rxb4', 'Bxf2+'], ['Kg2', 'Be3'], ['Rf1', 'Qb7+'], ['Rf3', 'Bd2\n'], ['Ra4', 'e4'], ['Rf5', 'e3+'], ['Kf1', 'Qh1+'], ['Ke2', 'Qe1+']]",0-1
Lone Pine,Lone Pine,1976.??.??,5,"De Firmian, Nick E","Seirawan, Yasser",,,A41,"[['d4', 'd6'], ['Nf3', 'g6'], ['c4', 'Bg7'], ['g3', 'e5'], ['Nc3', 'Nc6'], ['d5', 'Nce7'], ['Bg2', 'h6'], ['O-O', 'f5'], ['e4', 'Nf6\n'], ['Ne1', 'O-O'], ['Nd3', 'fxe4'], ['Nxe4', 'g5'], ['Qe2', 'Bf5'], ['Bd2', 'Qd7'], ['Bc3', 'Bg4'], ['f3', 'Nxe4\n'], ['Qxe4', 'Bf5'], ['Qe2', 'b5'], ['Nb4', 'a5'], ['Nc6', 'Nxc6'], ['dxc6', 'Qxc6'], ['cxb5', 'Qb6+'], ['Kh1', 'Rae8\n'], ['Rad1', 'a4'], ['Qc4+', 'Be6'], ['Qxa4', 'Ra8'], ['Qe4', 'Bxa2'], ['f4', '']]",1/2-1/2
Lone Pine,Lone Pine,1976.??.??,6,"Fritzinger, Dennis","Seirawan, Yasser",,,B12,"[['e4', 'c6'], ['d4', 'd5'], ['f3', 'dxe4'], ['fxe4', 'e5'], ['Nf3', 'exd4'], ['Bc4', 'Qa5+'], ['c3', 'Be7'], ['e5', 'dxc3\n'], ['Nxc3', 'Nd7'], ['Bxf7+', 'Kxf7'], ['e6+', 'Ke8'], ['exd7+', 'Bxd7'], ['O-O', 'Kd8'], ['Bf4', 'Kc8'], ['Ne5', 'Be6\n'], ['Qe2', 'Nf6'], ['Nxc6', 'Qb6+'], ['Kh1', 'Qxc6'], ['Rac1', 'Kd7'], ['Rfd1+', 'Ke8'], ['Nd5', 'Bxd5\n'], ['Rxc6', 'bxc6'], ['Re1', 'Ne4'], ['Qh5+', 'Kf8'], ['Qf5+', 'Bf6'], ['Rxe4', 'Bxe4'], ['Bd6+', 'Kf7\n'], ['Qd7+', 'Kg6'], ['Qg4+', '']]",1/2-1/2
Lone Pine,Lone Pine,1976.??.??,7,"Seirawan, Yasser","Barnes, Craig N",,,A26,"[['c4', 'g6'], ['Nc3', 'Bg7'], ['g3', 'Nc6'], ['Bg2', 'e5'], ['Rb1', 'a5'], ['a3', 'f5'], ['d3', 'Nf6'], ['Nf3', 'O-O'], ['O-O', 'd6\n'], ['b4', 'axb4'], ['axb4', 'Nh5'], ['b5', 'Ne7'], ['Nd2', 'Kh8'], ['Bb2', 'Qe8'], ['Ra1', 'Rb8'], ['Ra7', 'g5\n'], ['Qa1', 'Nf6'], ['Qa5', 'b6'], ['Qa1', 'Qd8'], ['Na2', 'Bd7'], ['Nb4', 'Nc8'], ['Ra3', 'Ne7'], ['Bc3', 'Qe8\n'], ['Ra7', 'Rc8'], ['Qd1', 'f4'], ['Ne4', 'Nxe4'], ['Bxe4', 'Qh5'], ['e3', 'f3'], ['Kh1', 'Rf6'], ['Rg1', 'Qxh2+']]",0-1
US-op,Columbus,1977.??.??,?,"Pamiljens, J.","Seirawan, Yasser",,,A41,"[['d4', 'g6'], ['e4', 'Bg7'], ['Nf3', 'd6'], ['c4', 'Bg4'], ['Be2', 'Nc6'], ['Be3', 'e5'], ['d5', 'Bxf3'], ['Bxf3', 'Nd4\n'], ['Nc3', 'c5'], ['Rb1', 'Ne7'], ['g4', 'O-O'], ['h4', 'a6'], ['h5', 'b5'], ['Be2', 'Rb8'], ['cxb5', 'axb5'], ['Qd2', 'b4\n'], ['Nd1', 'Ra8'], ['Bh6', 'Rxa2'], ['Bxg7', 'Kxg7'], ['hxg6', 'Nxg6'], ['Qh6+', 'Kf6'], ['Bc4', 'b3'], ['Rh5', 'Qa5+\n'], ['Kf1', 'Ke7'], ['Qg5+', 'Ke8'], ['Qf6', 'Ra1'], ['Rxa1', 'Qxa1'], ['Ke1', 'Qc1'], ['Be2', 'Nxe2'], ['Qxd6', 'Nd4\n'], ['Qb8+', 'Ke7'], ['Qc7+', 'Kf6'], ['Qd6+', 'Kg7'], ['g5', 'Nc2+']]",0-1
US-op,Columbus,1977.??.??,?,"Cobb, J Jr","Seirawan, Yasser",,,B06,"[['d4', 'g6'], ['e4', 'Bg7'], ['Nc3', 'c6'], ['Be3', 'd6'], ['Qd2', 'b5'], ['f3', 'Nd7'], ['g4', 'a6'], ['h4', 'h5'], ['g5', 'Bb7\n'], ['Bh3', 'e6'], ['Nge2', 'Ne7'], ['Nf4', 'e5'], ['Ng2', 'exd4'], ['Bxd7+', 'Qxd7'], ['Bxd4', 'O-O'], ['Bxg7', 'Kxg7\n'], ['O-O-O', 'Rfd8'], ['Nf4', 'Kg8'], ['e5', 'c5'], ['Ncd5', 'Nxd5'], ['Nxd5', 'Kf8'], ['Nb6', 'Qe6'], ['Nxa8', 'Qxa2\n'], ['c3', 'Bxf3'], ['Qf4', 'Bxh1'], ['Nc7', 'b4'], ['e6', 'Qa1+'], ['Kd2', 'Qxb2+'], ['Ke1', 'Qxc3+'], ['Rd2', 'Qf3\n'], ['Qxf3', 'Bxf3'], ['Rf2', 'Rc8'], ['Nxa6', 'Ra8'], ['Nxb4', 'cxb4'], ['Rxf3', 'Ra7'], ['Kd2', 'Re7']]",0-1
US-op,Columbus,1977.??.??,?,"Seirawan, Yasser","Costigan, Richard",,,A28,"[['c4', 'e5'], ['Nc3', 'Nf6'], ['Nf3', 'Nc6'], ['a3', 'd5'], ['cxd5', 'Nxd5'], ['e3', 'Nxc3'], ['bxc3', 'Qd5'], ['d4', 'Bg4\n'], ['Be2', 'Rd8'], ['Rb1', 'exd4'], ['cxd4', 'Qa5+'], ['Bd2', 'Qxa3'], ['Rxb7', 'Bd6'], ['Qc2', 'Nb4'], ['Qe4+', 'Be6\n'], ['Ng5', 'Ke7'], ['O-O', 'Nd5'], ['Nxe6', 'fxe6'], ['Bg4', 'Rhe8'], ['Qxh7', 'Kd7'], ['g3', 'Kc8'], ['Rb5', 'Nf6\n'], ['Qxg7', 'Nxg4'], ['Qxg4', 'Qd3'], ['Rb2', 'Re7'], ['Qf3', 'Qh7'], ['Rc1', 'Ba3'], ['Qa8+', 'Kd7'], ['Qc6+', '']]",1-0
