Tashkent,Tashkent,1985.??.??,?,"Serper, Grigory","Egin, Vladimir",,,C62,"[['e4', 'e5'], ['Nf3', 'd6'], ['Nc3', 'Nc6'], ['d4', 'exd4'], ['Nxd4', 'g6'], ['Bb5', 'Bd7'], ['O-O', 'Bg7'], ['Bxc6', 'bxc6\n'], ['f4', 'c5'], ['Nde2', 'f5'], ['exf5', 'gxf5'], ['Ng3', 'Ne7'], ['Re1', 'O-O'], ['Nh5', 'Bh8'], ['Be3', 'Bc6\n'], ['Bf2', 'Qe8'], ['Bh4', 'Qg6'], ['Ng3', 'Bd4+'], ['Kh1', 'Nc8'], ['Qd3', 'Qg4'], ['Bg5', 'h6'], ['Re6', 'hxg5\n'], ['Rg6+', 'Kh7'], ['Rxg5', 'Qxf4'], ['Nxf5', 'Bxg2+'], ['Rxg2', 'Qxf5'], ['Ne4', 'Ne7'], ['c3', 'Ng6\n'], ['Ng5+', 'Kh6']]",0-1
URS-FL,Irkutsk,1986.??.??,?,"Ivanchuk, Vassily","Serper, Grigory",,,C92,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'd6'], ['c3', 'O-O\n'], ['h3', 'Be6'], ['d4', 'Bxb3'], ['axb3', 'exd4'], ['cxd4', 'd5'], ['e5', 'Ne4'], ['Nc3', 'f5'], ['exf6', 'Nxf6\n'], ['Bg5', 'Nb4'], ['Nxb5', 'Qd7'], ['Nc3', 'Bd6'], ['Re3', 'h6'], ['Bxf6', 'Rxf6'], ['Ra5', 'Raf8'], ['Na2', 'Re6\n'], ['Ne5', 'Bxe5'], ['Nxb4', 'Bd6'], ['Nxd5', 'Rf5'], ['b4', 'Bxb4'], ['Rxe6', 'Bxa5'], ['Ne7+', 'Kf7'], ['Re3', 'Qxe7\n'], ['Rxe7+', 'Kxe7'], ['Qe2+', 'Kf7'], ['Qc4+', 'Kg6'], ['Qe6+', 'Rf6'], ['Qe4+', '']]",1-0
URS-FL,Irkutsk,1986.??.??,?,"Gavrikov, Viktor","Serper, Grigory",,,B38,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'g6'], ['c4', 'Bg7'], ['Be3', 'Nf6'], ['Nc3', 'O-O'], ['Be2', 'd6\n'], ['O-O', 'Bd7'], ['Rc1', 'Nxd4'], ['Bxd4', 'Bc6'], ['f3', 'a5'], ['Qd2', 'Nd7'], ['Be3', 'Nc5'], ['Rc2', 'a4\n'], ['Rb1', 'Re8'], ['Bf1', 'b6'], ['Qf2', 'Ra7'], ['Rd1', 'Rd7'], ['Nd5', 'e6'], ['Nb4', 'Bb7'], ['Rcd2', 'a3\n'], ['bxa3', 'Bc3'], ['Rc2', 'Bf6'], ['Qd2', 'Qa8'], ['Qc1', 'Bc6'], ['Rcd2', 'Ba4'], ['Re1', 'Red8'], ['g3', 'Qc8\n'], ['h4', 'h5'], ['Rg2', 'Bc6'], ['Rd1', 'd5'], ['cxd5', 'exd5'], ['exd5', 'Bxd5'], ['Nxd5', 'Rxd5'], ['Rgd2', 'Qf5\n'], ['Kg2', 'Rxd2+'], ['Rxd2', 'Ra8'], ['Bc4', 'Kg7'], ['Rd5', 'Qc8'], ['Rd6', 'Be5'], ['Rxb6', 'Nd7'], ['Bh6+', 'Kh7\n'], ['Rb3', 'Ra7'], ['Bxf7', 'Rc7'], ['Bxg6+', 'Kxg6'], ['Qg5+', 'Kh7'], ['Qxh5', 'Rc2+'], ['Bd2+', 'Kg8\n'], ['Rd3', 'Bg7'], ['Qd5+', 'Kh8'], ['Qxd7', 'Qxd7'], ['Rxd7', 'Bc3'], ['Kh3', 'Bxd2'], ['g4', 'Rxa2'], ['g5', 'Bc1\n'], ['Kg4', 'Rxa3'], ['Rd4', 'Be3'], ['Re4', 'Bd2'], ['f4', 'Rb3'], ['Rd4', 'Be3'], ['Rd8+', 'Kh7'], ['f5', 'Rb5\n'], ['Rd7+', 'Kg8'], ['f6', 'Rb4+'], ['Kf5', 'Bc5'], ['Kg6', 'Bf8'], ['h5', 'Rb8'], ['h6', 'Rb6'], ['Rd8', 'Rb7\n'], ['Rxf8+', 'Kxf8'], ['h7', '']]",1-0
URS-FL,Irkutsk,1986.??.??,?,"Dolmatov, Sergey","Serper, Grigory",,,A53,"[['d4', 'Nf6'], ['c4', 'c6'], ['Nc3', 'd6'], ['e4', 'e5'], ['d5', 'Be7'], ['g3', 'O-O'], ['Bg2', 'cxd5'], ['cxd5', 'a6\n'], ['Nge2', 'b5'], ['O-O', 'Nbd7'], ['b4', 'Nb6'], ['a4', 'bxa4'], ['Nxa4', 'Bd7'], ['Nb2', 'Qc7'], ['Bd2', 'Rfc8\n'], ['Rc1', 'Qb7'], ['Re1', 'Rxc1'], ['Qxc1', 'Rc8'], ['Qb1', 'Nc4'], ['Nxc4', 'Rxc4'], ['Rc1', 'Rxc1+'], ['Qxc1', 'Bb5\n'], ['Qe1', 'Bd8'], ['Nc3', 'Bc4'], ['Na4', 'Bb5'], ['Nc3', 'Bc4'], ['Na4', 'Bb3'], ['Nb2', 'Bb6'], ['Qc1', 'Bd4\n'], ['Be1', 'g6'], ['Bf3', 'Qb5'], ['Bc3', 'Bb6'], ['Qd2', 'Ba2'], ['Qc2', 'Ba7'], ['Be2', 'Bb1'], ['Bxb5', 'Bxc2\n'], ['Bxa6', 'Bxe4'], ['b5', 'Nxd5'], ['Ba5', 'Bb6'], ['Bd2', 'Nc7'], ['Nc4', 'Bc5'], ['Ba5', 'Nxa6'], ['bxa6', 'Bd3\n'], ['a7', 'Bxa7'], ['Nxd6', 'Bc5'], ['Ne8', 'Bd4'], ['Nf6+', 'Kg7'], ['Bd8', 'e4'], ['Ne8+', 'Kf8'], ['Nf6', 'Kg7\n'], ['Ne8+', 'Kf8'], ['Nf6', 'h6'], ['h4', 'Kg7'], ['Ne8+', 'Kf8'], ['Nf6', 'h5'], ['Kg2', 'Kg7'], ['Ne8+', 'Kf8\n'], ['Nf6', 'Bc2'], ['Nd5', 'Bd1'], ['Bf6', 'Bf3+'], ['Kf1', 'Bc5'], ['Bg5', 'Bd4'], ['Nf6', 'Kg7'], ['Ne8+', 'Kf8\n'], ['Nf6', 'Bb2'], ['Kg1', 'Kg7'], ['Ne8+', 'Kf8'], ['Nf6', 'e3'], ['fxe3', 'Bc6'], ['e4', 'Kg7'], ['Nd5', 'f5\n'], ['Kf2', 'fxe4'], ['Ne3', 'Bd4'], ['Ke1', 'Bd7'], ['Kf2', 'Kf7'], ['Bf4', 'Bg4'], ['Ke1', 'Ke6'], ['Kf2', 'Kd7\n'], ['Kg1', 'Kc6'], ['Kf2', 'Kb5'], ['Ke1', 'Ba7'], ['Kf2', 'Kb4'], ['Ke1', 'Kc3'], ['Kf2', 'Kd3'], ['Bg5', 'Bb8\n'], ['Bh6', '']]",1/2-1/2
URS-FL,Irkutsk,1986.??.??,?,"Aseev, Konstantin N","Serper, Grigory",,,B31,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['Bb5', 'g6'], ['Bxc6', 'dxc6'], ['d3', 'Bg7'], ['h3', 'Nf6'], ['Nc3', 'Nd7'], ['Be3', 'e5\n'], ['Qd2', 'Qe7'], ['Bh6', 'Bxh6'], ['Qxh6', 'f6'], ['O-O', 'Nf8'], ['Ne2', 'Be6'], ['Qe3', 'g5'], ['c3', 'Ng6\n'], ['d4', 'O-O-O'], ['dxe5', 'Nxe5'], ['Nxe5', 'fxe5'], ['Rfd1', 'h5'], ['Rxd8+', 'Rxd8'], ['Ng3', 'h4\n'], ['Nf5', 'Bxf5'], ['exf5', 'Rf8'], ['Qe4', 'Qf6'], ['Re1', 'Qxf5'], ['Qxf5+', 'Rxf5'], ['g4', 'hxg3'], ['fxg3', 'g4\n'], ['hxg4', 'Rg5'], ['Kg2', 'Kd7'], ['Kh3', 'Ke6'], ['Kh4', 'Rg8'], ['g5', 'Rh8+'], ['Kg4', 'Rh2'], ['Rf1', 'e4\n'], ['g6', 'Rh6'], ['Kg5', 'Rh3'], ['g4', 'Rf3'], ['Rh1', 'Rf8'], ['g7', 'Rg8'], ['Kg6', '']]",1-0
URS-FL,Irkutsk,1986.??.??,?,"Lputian, Smbat G","Serper, Grigory",,,A53,"[['d4', 'Nf6'], ['c4', 'c6'], ['Nc3', 'd6'], ['Bg5', 'Nbd7'], ['e3', 'g6'], ['Be2', 'Bg7'], ['Qc2', 'a6'], ['Nf3', 'h6\n'], ['Bh4', 'g5'], ['Bg3', 'Nh5'], ['h4', 'Nxg3'], ['fxg3', 'g4'], ['Ng1', 'h5'], ['Bd3', 'Nf6'], ['Qf2', 'e6\n'], ['Nge2', 'Qe7'], ['O-O', 'Bd7'], ['Rae1', 'Kf8'], ['b4', 'Kg8'], ['e4', 'e5'], ['d5', 'Kh7'], ['Nd4', 'exd4\n'], ['e5+', 'Kg8'], ['exf6', 'Qxf6'], ['Qxf6', 'Bxf6'], ['Rxf6', 'dxc3'], ['Rxd6', 'Be8'], ['Rc1', 'a5'], ['dxc6', 'bxc6\n'], ['b5', 'cxb5'], ['cxb5', 'Rc8'], ['b6', 'Kg7'], ['b7', 'Rb8'], ['Ba6', '']]",1-0
URS-FL,Irkutsk,1986.??.??,?,"Vyzmanavin, Alexey","Serper, Grigory",,,A55,"[['d4', 'Nf6'], ['c4', 'c6'], ['Nf3', 'd6'], ['Nc3', 'Nbd7'], ['g3', 'e5'], ['e4', 'Be7'], ['Bg2', 'O-O'], ['O-O', 'Re8\n'], ['h3', 'Bf8'], ['Qc2', 'a6'], ['Be3', 'b5'], ['Nd2', 'exd4'], ['Bxd4', 'Bb7'], ['Rae1', 'Ne5'], ['b3', 'bxc4\n'], ['Nxc4', 'Nxc4'], ['bxc4', 'Nd7'], ['Rb1', 'Qc7'], ['f4', 'Rab8'], ['Kh2', 'Be7'], ['Rfd1', 'Bc8'], ['Rxb8', 'Qxb8\n'], ['Na4', 'h5'], ['Kh1', 'Qc7'], ['Bg1', 'Bf8'], ['Rb1', 'g6'], ['Bd4', 'c5'], ['Ba1', 'Bg7'], ['Bxg7', 'Kxg7\n'], ['Qb2+', 'Kg8'], ['Nc3', 'Nf6'], ['Qb6', 'Qxb6'], ['Rxb6', 'Rd8'], ['e5', 'Ne8'], ['Rb8', 'dxe5'], ['fxe5', 'Ng7\n'], ['Nd5', 'Nf5'], ['g4', 'hxg4'], ['hxg4', 'Rf8']]",1-0
URS-FL,Irkutsk,1986.??.??,?,"Timoshchenko, Gennadi A","Serper, Grigory",,,A54,"[['d4', 'Nf6'], ['c4', 'c6'], ['Nf3', 'd6'], ['Nc3', 'Nbd7'], ['g3', 'e5'], ['Bg2', 'e4'], ['Nh4', 'Nb6'], ['b3', 'd5'], ['c5', 'Nbd7\n'], ['f3', 'Qa5'], ['Qd2', 'g5'], ['Nf5', 'Nxc5'], ['fxe4', 'Bxf5'], ['dxc5', 'Be6'], ['Qd4', 'Bg7'], ['b4', 'Qd8\n'], ['exd5', 'O-O'], ['Bxg5', 'Nxd5'], ['Qxg7+', 'Kxg7'], ['Bxd8', 'Rfxd8'], ['Nxd5', 'Bxd5'], ['Bxd5', 'Rxd5\n'], ['Rd1', 'Rxd1+'], ['Kxd1', 'a5'], ['Rf1', 'axb4'], ['Rf4', 'Rxa2'], ['Rxb4', 'Ra5'], ['Rxb7', 'Rxc5\n'], ['Rc7', 'h5']]",1/2-1/2
URS-FL,Irkutsk,1986.??.??,?,"Serper, Grigory","Romanishin, Oleg M",,,C90,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'd6'], ['c3', 'O-O\n'], ['d3', 'Na5'], ['Bc2', 'c5'], ['Nbd2', 'Re8'], ['Nf1', 'Bf8'], ['Bg5', 'h6'], ['Bh4', 'Be7'], ['Ne3', 'Be6\n'], ['d4', 'Ng4'], ['Bxe7', 'Rxe7'], ['d5', 'Nxe3'], ['Rxe3', 'Bg4'], ['b3', 'Nb7'], ['a4', 'Re8'], ['Qf1', 'Bd7\n'], ['axb5', 'axb5'], ['Ree1', 'Qb6'], ['b4', 'Rec8'], ['Bd3', 'Ra4'], ['Reb1', 'cxb4'], ['Rxb4', 'Qa7'], ['Rc1', 'Nc5\n'], ['Bxb5', 'Bxb5'], ['Qxb5', 'Nd3'], ['Rxa4', 'Qxf2+'], ['Kh1', 'Nxc1'], ['Ra1', 'Qc2'], ['Qd7', 'Qxc3\n'], ['Ra7', 'Rf8'], ['Qxd6', 'Nd3'], ['Qa3', 'Qc2'], ['h3', 'Nf4'], ['Qa2', 'Qxe4'], ['d6', 'Ne6'], ['Qa1', 'Qd3\n'], ['Qxe5', 'Rd8'], ['Kh2', 'Qxd6'], ['Qxd6', 'Rxd6'], ['Ne5', 'f6'], ['Ra8+', 'Rd8'], ['Rxd8+', 'Nxd8\n'], ['Nd3', 'Kf7'], ['Kg3', 'Ne6'], ['Kg4', 'g6'], ['Kf3', 'Ke7'], ['h4', 'Kd6'], ['Nf2', 'h5'], ['Nd3', 'Nd4+\n'], ['Ke4', 'Ne6'], ['Ke3', 'Kd5'], ['g3', 'Kd6'], ['Kf3', 'Kc6'], ['Kf2', 'Kb5'], ['Ke3', 'Kc4'], ['Nb2+', 'Kc5\n'], ['Ke4', 'Kc6'], ['Nc4', 'Ng7'], ['Ne3', 'Kd6'], ['Ng2', 'Ne6'], ['Ne3', 'Nc5+'], ['Kd4', 'Nb3+'], ['Ke4', 'Ke6\n'], ['Ng2', 'Nd2+'], ['Ke3', 'Nc4+'], ['Ke4', 'Nd6+'], ['Kf4', 'Nf5'], ['Kf3', 'Ne7'], ['Ke4', 'Nd5'], ['Kd4', 'Kd6\n'], ['Ke4', 'Ke6'], ['Kd4', 'g5'], ['hxg5', 'fxg5'], ['Ke4', 'Nf6+'], ['Kf3', 'Ke5'], ['Ne3', 'g4+'], ['Kf2', 'Ne4+\n'], ['Kg2', 'Nd6'], ['Nc2', 'Ke4'], ['Nb4', 'Nf5'], ['Kf2', 'Ne3'], ['Nc6', 'Kd3'], ['Ne5+', 'Kd4'], ['Nc6+', 'Ke4\n'], ['Ne7', 'Nd1+'], ['Kg2', 'Nc3'], ['Kf2', 'Nb5'], ['Nc6', 'Nd4'], ['Nb4', 'Ne6'], ['Nc6', 'Nc5'], ['Ne7', 'Nd3+\n'], ['Kg2', 'Ke5'], ['Nc6+', 'Kd5'], ['Ne7+', 'Ke6'], ['Nc6', 'Nc5'], ['Nd4+', 'Kf6'], ['Nc6', 'Nd3\n'], ['Nd4', 'Nb4'], ['Ne2', 'Nd5'], ['Nd4', 'Ke5'], ['Nc6+', 'Ke4'], ['Nd8', 'Ne7'], ['Ne6', 'Nf5\n'], ['Nc5+', 'Kd4'], ['Ne6+', 'Ke3'], ['Nf4', 'Ng7'], ['Nd5+', 'Kd4'], ['Nf6', 'Ke5'], ['Nd7+', 'Ke6\n'], ['Nc5+', 'Kd6'], ['Ne4+', 'Ke5'], ['Nc5', 'Ne8'], ['Nd3+', 'Ke4'], ['Nc5+', 'Ke3'], ['Ne6', 'Nf6\n'], ['Ng7', 'Kd3'], ['Kf2', 'Kd2']]",1/2-1/2
URS-FL,Irkutsk,1986.??.??,?,"Serper, Grigory","Psakhis, Lev",,,C09,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'c5'], ['exd5', 'exd5'], ['Ngf3', 'Nc6'], ['Bb5', 'Bd6'], ['dxc5', 'Bxc5'], ['O-O', 'Ne7\n'], ['Nb3', 'Bd6'], ['Re1', 'O-O'], ['Bd3', 'h6'], ['h3', 'Nf5'], ['c3', 'Qf6'], ['Bc2', 'Rd8'], ['Nbd4', 'Nfxd4\n'], ['Nxd4', 'Nxd4'], ['Qxd4', 'Qxd4'], ['cxd4', 'Bd7'], ['Bd2', 'Rac8'], ['Bb3', 'Bc6'], ['a3', 'Re8'], ['Rxe8+', 'Rxe8\n'], ['Re1', '']]",1/2-1/2
URS-FL,Irkutsk,1986.??.??,?,"Serper, Grigory","Pigusov, Evgeny",,,B23,"[['e4', 'c5'], ['Nc3', 'd6'], ['Nge2', 'e5'], ['Nd5', 'Nc6'], ['Nec3', 'Be6'], ['Bc4', 'g6'], ['d3', 'Bg7'], ['O-O', 'Nge7\n'], ['f4', 'exf4'], ['Bxf4', 'O-O'], ['Bg5', 'h6'], ['Bf6', 'Bxf6'], ['Nxf6+', 'Kg7'], ['Qd2', 'Ne5'], ['Bb3', 'Rb8\n'], ['Rf2', 'b5'], ['Bxe6', 'fxe6'], ['Raf1', 'Qa5'], ['Qe3', 'b4'], ['Ne2', 'Qxa2'], ['Qh3', 'Ng8'], ['Nxg8', 'Rxf2\n'], ['Rxf2', 'Rxg8'], ['Nf4', 'Re8'], ['b3', 'Qb1+'], ['Rf1', 'Qxc2'], ['Nxe6+', 'Kh7'], ['Ng5+', 'Kg7'], ['Ne6+', 'Kh7\n'], ['Ng5+', 'Kg7']]",1/2-1/2
