URS-ch sf,Tartu,1950.??.??,3,"Shamkovich, Leonid","Rovner, Dmitry Osipovich",,,A25,"[['c4', 'e5'], ['Nc3', 'Nc6'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['e3', 'd6'], ['Nge2', 'Nge7'], ['O-O', 'O-O'], ['Nd5', 'Bf5\n'], ['d3', 'Qd7'], ['Nxe7+', 'Qxe7'], ['Qb3', 'Rab8'], ['Nc3', 'Qd7'], ['Nd5', 'Nd8'], ['e4', 'Be6'], ['Bg5', 'f6\n'], ['Be3', 'Ra8'], ['Qa3', 'Nf7'], ['f4', 'f5'], ['Kh1', 'c6'], ['Nc3', 'Nh6'], ['Rad1', 'Ng4'], ['Bg1', 'exf4\n'], ['gxf4', 'Bh6'], ['c5', 'fxe4'], ['dxe4', 'Rxf4'], ['Rxf4', 'Bxf4'], ['cxd6', 'Qg7'], ['d7', 'Rd8'], ['Qxa7', 'Qh6\n'], ['Qb6', 'Qh4'], ['Qxd8+', 'Qxd8'], ['Bb6', 'Qxd7'], ['Rxd7', 'Bxd7'], ['h3', 'Ne3'], ['Ne2', 'Nxg2'], ['Kxg2', 'Bd6\n'], ['Bd4', 'Kf7'], ['Bc3', 'Be6'], ['b3', 'b5'], ['Nd4', 'Bd7'], ['Nf3', 'b4'], ['Ng5+', 'Kg8'], ['Bf6', 'Bf8\n'], ['Nf3', 'c5'], ['Ne5', 'Bb5'], ['Nc4', 'Kf7'], ['Bb2', 'Ke6'], ['Kf3', 'Be7'], ['Bg7', 'h5'], ['Bb2', 'g5\n'], ['Bg7', 'Bf6'], ['Bf8', 'Bd4'], ['Bh6', 'Kf6']]",1/2-1/2
URS-ch sf,Tartu,1950.??.??,6,"Sherbakov, Vitaly S","Shamkovich, Leonid",,,B92,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Be2', 'e5'], ['Nb3', 'Be7'], ['Be3', 'Qc7\n'], ['O-O', 'b5'], ['a4', 'b4'], ['Nd5', 'Nxd5'], ['Qxd5', 'Bb7'], ['Qd3', 'Nd7'], ['c3', 'Nf6'], ['Bf3', 'bxc3\n'], ['Rfc1', 'O-O'], ['Rxc3', 'Qd7'], ['Na5', 'Rab8'], ['Nxb7', 'Qxb7'], ['Rac1', 'Qxb2'], ['Qxa6', 'd5\n'], ['exd5', 'e4'], ['d6', 'Bxd6'], ['Qxd6', 'exf3'], ['gxf3', 'Rfd8'], ['Qg3', 'Ne8'], ['a5', 'Qb7'], ['Bb6', 'Rd6\n'], ['Bc7', 'Rg6'], ['Bxb8', 'Kf8'], ['Rc8', 'Qa6'], ['Bf4', 'h6'], ['R1c5', 'Rxg3+'], ['hxg3', 'g5'], ['Be3', 'Ke7\n'], ['Re5+', 'Kf6'], ['Rcxe8', 'Qd3'], ['Re4', 'Kg6'], ['Rb8', 'Qe2'], ['Rg8+', 'Kh7'], ['Rg7+', '']]",1-0
URS-ch sf,Tartu,1950.??.??,12,"Novotelnov, Nikolay Alexandrovi","Shamkovich, Leonid",,,D45,"[['d4', 'd5'], ['c4', 'e6'], ['Nf3', 'Nf6'], ['Nc3', 'c6'], ['e3', 'a6'], ['Be2', 'dxc4'], ['O-O', 'Nbd7'], ['a4', 'Bb4\n'], ['Bxc4', 'O-O'], ['Qe2', 'Qc7'], ['Bd2', 'Bd6'], ['Kh1', 'e5'], ['dxe5', 'Nxe5'], ['Nxe5', 'Bxe5'], ['f4', 'Bg4\n'], ['Qe1', 'Bxc3'], ['Bxc3', 'Ne4'], ['f5', 'b5'], ['Bd3', 'Nxc3'], ['Qxc3', 'Rad8'], ['Rf4', 'h5'], ['h3', 'Qd6\n'], ['Rd4', 'Qh6'], ['axb5', 'axb5'], ['Re1', 'b4'], ['Qxb4', 'Qg5'], ['Rxd8', 'Rxd8'], ['Qe4', 'Rxd3'], ['Qxd3', 'Bxf5\n'], ['e4', 'Be6'], ['Qe3', 'Qb5'], ['Qc3', 'c5'], ['Kg1', 'c4'], ['Rd1', 'Kh7'], ['Qd4', 'Qb3'], ['Re1', 'Qg3\n'], ['Qe3', 'Qe5'], ['Qc3', 'Qc5+'], ['Qe3', 'Qe5'], ['Qf2', 'Qg5'], ['Qf3', 'Qc5+'], ['Kh1', 'Qe5'], ['Re2', 'Qg5\n'], ['Qc3', 'Qf4'], ['Re3', 'g5'], ['Kg1', 'h4'], ['Re1', 'Qb8'], ['Ra1', 'Kg6'], ['Rf1', 'Qd8'], ['Qe5', 'Qd2\n'], ['Qh8', 'Qe3+'], ['Kh1', 'f5'], ['Qe8+', '']]",1-0
URS-ch sf,Tartu,1950.??.??,15,"Bannik, Anatoly","Shamkovich, Leonid",,,B26,"[['e4', 'c5'], ['Nc3', 'Nc6'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['d3', 'e6'], ['Nge2', 'Nge7'], ['O-O', 'd6'], ['Be3', 'Nd4\n'], ['Qd2', 'Qa5'], ['Nc1', 'Bd7'], ['Bf4', 'Nc8'], ['Nb3', 'Qb4'], ['Bh6', 'Bxh6'], ['Qxh6', 'Nxc2'], ['e5', 'd5\n'], ['Bxd5', 'Ne7'], ['Bg2', 'Nxa1'], ['Rxa1', 'O-O-O'], ['Ne4', 'Kb8'], ['Qg7', 'Rhf8'], ['Nexc5', 'Bc6\n'], ['Bxc6', 'Nxc6'], ['Rc1', 'Ka8'], ['Kg2', 'Rfe8'], ['Rc4', 'Qb6'], ['Rf4', 'Re7'], ['Rc4', 'a6'], ['d4', 'h5\n'], ['Qf6', 'Qb5'], ['Rc3', 'Rc7'], ['a4', 'Qe2'], ['Na5', 'Rxd4'], ['Nxc6', 'Rxc6'], ['Qxf7', 'Rb6'], ['Nxe6', 'Qe4+\n'], ['Rf3', 'Rd3'], ['Nc5', 'Qxf3+'], ['Qxf3', 'Rxf3'], ['Kxf3', 'Rc6'], ['b4', 'Kb8'], ['e6', 'Rc8'], ['Ke4', 'a5\n'], ['Kd5', 'Kc7'], ['b5', 'Kd8'], ['Kd6', 'Rc7'], ['Nd7', '']]",1-0
URS-ch sf,Baku,1951.??.??,1,"Shamkovich, Leonid","Taimanov, Mark E",,,D38,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'd5'], ['Nc3', 'Bb4'], ['cxd5', 'exd5'], ['Bf4', 'O-O'], ['e3', 'Re8'], ['Bd3', 'c5\n'], ['O-O', 'c4'], ['Bc2', 'Bg4'], ['h3', 'Bh5'], ['Nb5', 'Na6'], ['a3', 'Bf8'], ['Ba4', 'Re6'], ['b4', 'Ne4'], ['g4', 'Bg6\n'], ['Ne5', 'f6'], ['Nxg6', 'hxg6'], ['f3', 'Nd6'], ['Nc3', 'g5'], ['Bg3', 'Nc7'], ['Qd2', 'a5'], ['b5', 'b6\n'], ['Rfe1', 'Qd7'], ['Bc2', 'Rd8'], ['Rad1', 'Qf7'], ['a4', 'g6'], ['e4', 'dxe4'], ['fxe4', 'Nde8'], ['d5', 'Bc5+\n'], ['Kg2', 'Re7'], ['e5', 'Bb4'], ['d6', 'fxe5'], ['Qxg5', 'Rxd6'], ['Rxd6', 'Bxd6'], ['Rf1', 'Ne6'], ['Rxf7', 'Nxg5\n'], ['Rxe7', 'Bxe7'], ['Bxg6', 'Nf7'], ['Bxf7+', 'Kxf7'], ['Bxe5', 'Ke6'], ['Bd4', 'Bd8'], ['Kf3', 'Nf6\n'], ['g5', 'Nd7'], ['Kf4', 'Nf8'], ['Ke4', 'Bxg5'], ['Bxb6', 'Bd2'], ['Bxa5', 'Nd7'], ['Kd4', 'Ne5'], ['Bc7', '']]",1-0
URS-ch sf,Baku,1951.??.??,6,"Lilienthal, Andor","Shamkovich, Leonid",,,D43,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'c6'], ['Nf3', 'Nf6'], ['Bg5', 'h6'], ['Bxf6', 'Qxf6'], ['Qb3', 'Nd7'], ['e4', 'dxe4\n'], ['Nxe4', 'Qf4'], ['Bd3', 'Be7'], ['O-O', 'O-O'], ['Rfe1', 'b6'], ['Bc2', 'Bb7'], ['Qd3', 'Qc7'], ['Ng3', 'Nf6\n'], ['Ne5', 'Rfd8'], ['Nh5', 'Kf8'], ['Qg3', 'Ne8'], ['Nxg7', '']]",1-0
URS-ch sf,Baku,1951.??.??,12,"Estrin, Yacov","Shamkovich, Leonid",,,B53,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'Nf6'], ['Bb5+', 'Bd7'], ['Bxd7+', 'Qxd7'], ['Nc3', 'cxd4'], ['Nxd4', 'e6'], ['Bg5', 'Be7\n'], ['Qd3', 'a6'], ['Rd1', 'O-O'], ['O-O', 'b5'], ['e5', 'dxe5'], ['Qf3', 'Qa7'], ['Be3', 'Bc5'], ['Ndxb5', 'axb5\n'], ['Bxc5', 'Qxc5'], ['Qxa8', 'Nc6'], ['Qb7', 'Nd4'], ['Rd2', 'Qb4'], ['Qc7', 'Nd5'], ['Qxe5', 'Qxb2'], ['Rb1', 'Qxc3\n'], ['Qxd4', 'Qxd4'], ['Rxd4', 'Nc3'], ['Re1', 'Nxa2'], ['Re3', 'b4'], ['Re5', 'f6'], ['Ra5', 'e5'], ['Rd7', 'Rc8\n'], ['Rxa2', 'b3'], ['Ra1', 'b2'], ['Rb1', 'Rxc2'], ['g3', 'Rc1+'], ['Rd1', 'Rc2'], ['Kg2', 'Kf7'], ['Rd7+', '']]",1-0
URS-ch sf,Baku,1951.??.??,13,"Shamkovich, Leonid","Zhukhovitsky, Samuel",,,E02,"[['d4', 'Nf6'], ['c4', 'e6'], ['g3', 'd5'], ['Bg2', 'dxc4'], ['Qa4+', 'Nbd7'], ['Nc3', 'a6'], ['Qxc4', 'c5'], ['e3', 'b5\n'], ['Qe2', 'Rb8'], ['a4', 'b4'], ['Nb1', 'Qc7'], ['Nf3', 'cxd4'], ['O-O', 'd3'], ['Qxd3', 'Bb7'], ['Nbd2', 'Rc8\n'], ['b3', 'Be7'], ['Bb2', 'O-O'], ['Rac1', 'Nc5'], ['Qb1', 'Nfd7'], ['e4', 'e5'], ['Bh3', 'Bc6'], ['Rc4', 'a5\n'], ['Rfc1', 'f6'], ['Nh4', 'g6'], ['Ng2', 'Qd6'], ['Ne3', 'Rfd8'], ['Qc2', 'Bb7'], ['Rd1', 'Ba6'], ['Nd5', 'Bf8\n'], ['f4', 'Bxc4'], ['Nxc4', 'Qa6'], ['fxe5', 'fxe5'], ['Nxe5', 'Ne6'], ['Qg2', 'Qa7+'], ['Kh1', 'Qa6'], ['Nxd7', 'Rxd7\n'], ['Nf6+', '']]",1-0
URS-ch sf,Baku,1951.??.??,17,"Shamkovich, Leonid","Goldberg, Grigory Abramovich",,,B13,"[['e4', 'c6'], ['d4', 'd5'], ['exd5', 'cxd5'], ['c3', 'Nc6'], ['Nf3', 'Nf6'], ['Nbd2', 'g6'], ['Bb5', 'Bd7'], ['O-O', 'Bg7\n'], ['Nb3', 'O-O'], ['Nc5', 'Qc7'], ['Nd3', 'Qa5'], ['a4', 'a6'], ['Bxc6', 'Bxc6'], ['Nfe5', 'Rfc8'], ['Nxc6', 'Rxc6\n'], ['Ne5', 'Rcc8'], ['Qf3', 'Qd8'], ['Bg5', 'h6'], ['Bh4', 'b5'], ['axb5', 'axb5'], ['Rxa8', 'Rxa8'], ['Nc6', 'Qd7\n'], ['Bxf6', 'Bxf6'], ['Nb4', 'Rd8'], ['Ra1', 'Kg7'], ['g3', 'e6'], ['Nd3', 'Qc6'], ['Ra7', 'Rd7'], ['Ra3', 'Qb6\n'], ['Qd1', 'Be7'], ['b4', 'Ra7'], ['Qa1', 'Rxa3'], ['Qxa3', 'Qc7'], ['Nc5', 'e5'], ['Qa8', 'exd4'], ['cxd4', 'Qd6\n'], ['Qa6', 'Qf6'], ['Qb7', 'Bxc5'], ['dxc5', 'Qf5'], ['Qxb5', 'Qb1+'], ['Qf1', 'Qxb4'], ['Qc1', 'Qb7'], ['c6', 'Qc7\n'], ['Qc5', 'Kf6'], ['Qxd5', 'Ke7'], ['Qc5+', 'Qd6'], ['Qc1', 'Qc7'], ['Qc5+', 'Qd6'], ['Qe3+', 'Qe6'], ['Qc3', 'Kd8\n'], ['Qa5+', 'Ke7'], ['Qc7+', 'Kf6'], ['Qd8+', 'Kg7'], ['Qd4+', 'Kh7'], ['c7', 'Qc6'], ['Qd8', 'Qc1+'], ['Kg2', 'Qc6+\n'], ['Kh3', 'Qe6+'], ['g4', 'Qe2'], ['Kg3', 'Qe5+'], ['Kf3', 'Qc3+'], ['Kg2', 'Qc6+'], ['f3', 'Qc2+'], ['Kg3', 'Qe2\n'], ['c8=Q', 'Qe1+'], ['Kf4', 'Qb4+'], ['Ke5', 'Qe1+'], ['Kf6', '']]",1-0
URS-ch sf,Baku,1951.??.??,19,"Shamkovich, Leonid","Tarasov, Vitaly Georgievich",,,B74,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'g6'], ['Be2', 'Bg7'], ['Be3', 'O-O'], ['Nb3', 'Nc6\n'], ['f4', 'Be6'], ['O-O', 'Qc8'], ['Bf3', 'Bc4'], ['Rf2', 'Rd8'], ['Rd2', 'Nd7'], ['Bg4', 'f5'], ['Bh3', 'Nf6\n'], ['Kh1', 'b5'], ['a3', 'a5'], ['Nd4', 'b4'], ['Nd5', 'Bxd5'], ['exd5', 'Nxd4'], ['Bxd4', 'Qc4'], ['Qe2', 'Qxe2\n'], ['Rxe2', 'Nxd5'], ['Bxg7', 'Kxg7'], ['g3', 'bxa3'], ['Rxa3', 'Ra7'], ['Bg2', 'Nf6'], ['b4', 'Rb8'], ['c3', 'Rc7\n'], ['Rxa5', 'Rxc3'], ['Rxe7+', 'Kh6'], ['Bb7', 'Rc2'], ['b5', 'Ng8'], ['Rf7', 'Rc1+'], ['Kg2', 'Re8'], ['Bf3', '']]",1-0
