Staffordshire op,Staffordshire,1975.??.??,5,"Short, Nigel D","Evans, JS.",,,B02,"[['e4', 'd5'], ['exd5', 'Nf6'], ['Nc3', 'Nxd5'], ['Nxd5', 'Qxd5'], ['d4', 'Nc6'], ['Be3', 'e5'], ['dxe5', 'Qxe5'], ['c3', 'Bd6\n'], ['Nf3', 'Bg4'], ['Nxe5', 'Bxd1'], ['Nxc6', 'Ba4'], ['Nd4', 'Bd7'], ['Nb5', 'Be5'], ['f4', 'a6'], ['Nd4', 'Bd6\n'], ['O-O-O', 'O-O'], ['Bd3', 'Rae8'], ['Rhe1', 'Bg4'], ['Be2', 'Rxe3'], ['Bxg4', 'Rxe1'], ['Rxe1', 'Bxf4+\n'], ['Kc2', 'Bxh2'], ['Bf3', 'c5'], ['Nf5', 'b6'], ['Ne7+', 'Kh8'], ['Nd5', 'b5'], ['Re7', 'f5'], ['Ra7', 'g5\n'], ['Rxa6', 'g4'], ['Be2', 'Rd8'], ['Rh6', 'Bg1'], ['Rh1', 'Bf2'], ['Rd1', 'c4'], ['b3', 'Ra8'], ['Kb2', 'Re8\n'], ['Bf1', 'Re4'], ['bxc4', 'bxc4'], ['Nf6', 'Re6'], ['Nh5', 'Rb6+'], ['Kc2', 'h6'], ['Bxc4', 'Kh7'], ['Nf4', 'Kg7\n'], ['Rd7+', 'Kh8'], ['a4', 'Rc6'], ['Bd5', 'Rf6'], ['Kb3', 'Be3'], ['Rd8+', 'Kh7'], ['Bg8+', 'Kh8'], ['Nh5', 'Bb6\n'], ['Rc8', 'Rd6'], ['Be6+', 'Bd8'], ['Bxf5', 'Kg8'], ['Nf6+', 'Kf7'], ['Nxg4', 'Bb6'], ['Kb4', 'h5'], ['Nh2', 'Rd2\n'], ['Be4', 'Rb2+'], ['Kc4', 'Ke7'], ['Rh8', 'Ra2'], ['Kb3', 'Re2'], ['Bf3', 'Re3'], ['Nf1', 'Re1'], ['Nd2', 'Bc7\n'], ['Rxh5', 'Bf4'], ['Ne4', 'Rb1+'], ['Ka2', 'Rb8'], ['a5', 'Bc1'], ['g4', 'Rb2+'], ['Ka1', 'Rb3'], ['Bd1', 'Ra3+\n'], ['Kb1', 'Be3'], ['Kb2', '']]",1-0
BBC TV Master Game,?,1976.??.??,1,"Short, Nigel D","Hartston, William R",,,E01,"[['d4', 'Nf6'], ['c4', 'c5'], ['Nf3', 'cxd4'], ['Nxd4', 'e6'], ['g3', 'd5'], ['Bg2', 'e5'], ['Nc2', 'd4'], ['f4', 'exf4\n'], ['Bxf4', 'Nc6'], ['Bxc6+', 'bxc6'], ['Qxd4', 'Qxd4'], ['Nxd4', 'Bb7'], ['Nd2', 'O-O-O'], ['N4f3', 'Bb4\n'], ['O-O-O', 'Rhe8'], ['Ne5', 'Bxd2+'], ['Rxd2', 'Rxd2'], ['Kxd2', 'g5'], ['Nxf7', 'Ne4+']]",0-1
BCF-ch,Brighton,1977.08.08,1,"Short, Nigel D","Neat, Kenneth P",,,C02,"[['e4', 'c5'], ['Nf3', 'e6'], ['c3', 'd5'], ['e5', 'Nc6'], ['d4', 'Bd7'], ['Bd3', 'Rc8'], ['O-O', 'cxd4'], ['cxd4', 'Nb4\n'], ['Nc3', 'Nxd3'], ['Qxd3', 'Ne7'], ['a3', 'Qb6'], ['b4', 'Rc4'], ['Be3', 'Nf5'], ['Nd2', 'Rc8'], ['g4', 'Nxe3\n'], ['fxe3', 'Be7'], ['e4', 'dxe4'], ['Ndxe4', 'Bc6'], ['Rad1', 'Rd8'], ['Rf4', 'Rd7'], ['g5', 'Qd8'], ['Qg3', 'a5\n'], ['b5', 'Bxe4'], ['Nxe4', 'Qb6'], ['Qd3', 'Rd5'], ['Nc3', 'Rd7'], ['Rg4', 'Qd8'], ['Ne4', 'Rd5'], ['Kh1', 'b6\n'], ['a4', 'Qa8'], ['Qc4', 'O-O'], ['Qd3', 'Rfd8'], ['Kg1', 'Rxe5'], ['Nf6+', 'Bxf6'], ['gxf6', 'g6'], ['dxe5', 'Rxd3\n'], ['Rxd3', 'h5'], ['Rc4', 'Qf8'], ['h4', 'Kh7'], ['Kh1', 'g5'], ['hxg5', 'Kg6'], ['Rd6', 'Kxg5'], ['Rxb6', 'Qa3\n'], ['Rbc6', 'Qf3+'], ['Kh2', 'Qf2+'], ['Kh3', 'Qf1+'], ['Kh2', 'h4'], ['b6', 'Qe2+'], ['Kh1', 'Qe1+'], ['Kg2', 'Qe2+']]",1/2-1/2
BCF-ch,Brighton,1977.08.09,2,"Lees, David","Short, Nigel D",,,C17,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Bb4'], ['e5', 'c5'], ['Bd2', 'Ne7'], ['Nf3', 'Nbc6'], ['dxc5', 'Ng6'], ['Bb5', 'Bxc5\n'], ['h4', 'f6'], ['Na4', 'Be7'], ['exf6', 'Bxf6'], ['h5', 'Ne7'], ['Qe2', 'O-O'], ['O-O-O', 'a6'], ['Bd3', 'e5\n'], ['Bg5', 'Qa5'], ['Bxh7+', 'Kxh7'], ['h6', 'Qxa4'], ['hxg7+', 'Kxg7'], ['Kb1', 'Bf5'], ['b3', 'Qe4']]",0-1
BCF-ch,Brighton,1977.08.10,3,"Short, Nigel D","Penrose, Jonathan",,,B40,"[['e4', 'c5'], ['Nf3', 'e6'], ['c3', 'Nf6'], ['Bd3', 'b6'], ['O-O', 'Ba6'], ['Bxa6', 'Nxa6'], ['d4', 'cxd4'], ['Nxd4', 'Be7\n'], ['e5', 'Nd5'], ['Qg4', 'g6'], ['Bh6', 'Nc5'], ['c4', 'f5'], ['Qf3', 'Nc7'], ['Nc3', 'Qc8'], ['b4', 'Nb7'], ['a3', 'Nd8\n'], ['Ndb5', 'Nxb5'], ['Nxb5', 'Nc6'], ['Bg7', 'Rg8'], ['Bf6', 'a6'], ['Bxe7', 'Kxe7'], ['Nd6', 'Qc7'], ['Qg3', 'g5\n'], ['Qh3', 'Nxe5'], ['Rad1', 'Raf8'], ['Rfe1', 'Ng6'], ['Qxh7+', 'Kf6'], ['Ne8+', 'Rxe8'], ['Rxd7', 'Re7\n'], ['Rxc7', 'Rxh7'], ['Rxh7', 'Rc8'], ['Ra7', 'Ne5'], ['Rxa6', 'Nxc4'], ['a4', 'Ke7'], ['a5', 'Rb8'], ['axb6', 'Nxb6\n'], ['b5', 'Kd6'], ['h3', 'Kd5'], ['Raa1', 'Nc4'], ['Rad1+', 'Kc5'], ['Rxe6', '']]",1-0
BCF-ch,Brighton,1977.08.11,4,"Botterill, George Steven","Short, Nigel D",,,E44,"[['d4', 'e6'], ['c4', 'Nf6'], ['Nc3', 'Bb4'], ['e3', 'b6'], ['Ne2', 'Bb7'], ['a3', 'Bxc3+'], ['Nxc3', 'O-O'], ['d5', 'Qe7\n'], ['Be2', 'exd5'], ['cxd5', 'Ne4'], ['Nxe4', 'Qxe4'], ['Bf3', 'Qc4'], ['b3', 'Qh4'], ['O-O', 'd6'], ['Bb2', 'Nd7\n'], ['Rc1', 'Rac8'], ['g3', 'Qe7'], ['Qd4', 'f5'], ['Rc2', 'a5'], ['Bg2', 'Ne5'], ['Re1', 'Ba6'], ['Rd2', 'Nd7\n'], ['b4', 'Ne5'], ['Rc1', 'axb4'], ['axb4', 'Bb5'], ['h3', 'Ra8'], ['f4', 'Ng6'], ['h4', 'Rf6'], ['e4', 'Ra4\n'], ['e5', 'Rf7'], ['e6', 'Rf6'], ['Rdc2', 'Ra7'], ['Qe3', 'Rf8'], ['h5', 'Nh8'], ['h6', 'gxh6'], ['Qd4', 'Ng6\n'], ['Bf3', 'c5'], ['dxc6', 'Re8'], ['Rh2', '']]",1-0
BCF-ch,Brighton,1977.08.12,5,"Cafferty, Bernard","Short, Nigel D",,,A35,"[['c4', 'c5'], ['Nf3', 'Nc6'], ['Nc3', 'g6'], ['e3', 'Nf6'], ['d4', 'cxd4'], ['exd4', 'd5'], ['cxd5', 'Nxd5'], ['Qb3', 'Nxc3\n'], ['Bc4', 'e6'], ['bxc3', 'Bd7'], ['Be2', 'Qc7'], ['O-O', 'Rc8'], ['Rb1', 'Na5'], ['Qd1', 'Qxc3'], ['d5', 'Ba3\n'], ['dxe6', 'fxe6'], ['Bxa3', 'Qxa3'], ['Qd4', 'Rg8'], ['Ne5', 'Qe7'], ['Nxd7', 'Qxd7'], ['Qxa7', 'Nc6\n'], ['Qxb7', 'Rc7'], ['Qb2', 'Kf7'], ['Rbd1', 'Qe7'], ['Rfe1', 'Re8'], ['Bc4', 'Qb4'], ['Bb3', 'Qh4'], ['Rd3', 'Qb4\n'], ['Rf3+', 'Ke7'], ['Rd1', 'Nd4'], ['Qxd4', '']]",1-0
BCF-ch,Brighton,1977.08.13,6,"Short, Nigel D","Cummings, David H",,,B22,"[['e4', 'c5'], ['d4', 'cxd4'], ['c3', 'Nf6'], ['e5', 'Nd5'], ['Bc4', 'Qc7'], ['Qe2', 'Nb6'], ['Bd3', 'Nc6'], ['Nf3', 'g6\n'], ['O-O', 'dxc3'], ['Nxc3', 'Bg7'], ['Nb5', 'Qd8'], ['Nd6+', 'exd6'], ['Bg5', 'Nd4'], ['Nxd4', 'Qxg5'], ['exd6+', 'Kf8\n'], ['Nb5', 'Bf6'], ['f4', 'Qc5+'], ['Kh1', 'Nd5'], ['Qe4', 'a6'], ['Rac1', 'Qe3'], ['Qxd5', 'axb5'], ['Qxb5', 'Kg7\n'], ['Bc4', 'Rf8'], ['Bd5', 'Qd4'], ['b4', 'Ra6'], ['Rfd1', 'Rb6'], ['Qe2', 'Qxb4'], ['f5', 'Rxd6'], ['fxg6', 'hxg6']]",0-1
BCF-ch,Brighton,1977.08.15,7,"Bennett, Terry B","Short, Nigel D",,,C10,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Bb4'], ['exd5', 'Qxd5'], ['Nf3', 'Nf6'], ['Be2', 'Nbd7'], ['Bf4', 'c5'], ['O-O', 'Bxc3\n'], ['bxc3', 'O-O'], ['Ne5', 'cxd4'], ['cxd4', 'Nxe5'], ['Bxe5', 'Qd8'], ['Bf3', 'Qe7'], ['c4', 'Nd7'], ['Bf4', 'Rd8\n'], ['Qb3', 'Nb8'], ['Rad1', 'Na6'], ['c5', 'Nc7'], ['Rfe1', 'Qd7'], ['d5', 'exd5'], ['Bxd5', 'Nxd5'], ['Rxd5', 'Re8\n'], ['Qd1', 'Rxe1+'], ['Qxe1', '']]",1-0
BCF-ch,Brighton,1977.08.16,8,"Short, Nigel D","Reid, Alan",,,C84,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['d4', 'exd4'], ['O-O', 'Be7'], ['Re1', 'b5'], ['e5', 'Nxe5\n'], ['Rxe5', 'd6'], ['Re1', 'bxa4'], ['Nxd4', 'Bd7'], ['Qf3', 'O-O'], ['Nc6', 'Bxc6'], ['Qxc6', 'Rb8'], ['Qxa4', 'd5\n'], ['Nc3', 'Rb4'], ['Qxa6', 'Bd6'], ['h3', 'Ng4'], ['Qe2', 'Qh4'], ['Nxd5', 'Re4'], ['Be3', 'Rfe8'], ['Rad1', 'c6\n'], ['Nf6+', 'Qxf6'], ['hxg4', 'Bc5'], ['c3', 'h5'], ['Qf3', 'hxg4'], ['Qxf6', 'gxf6'], ['Kf1', 'Bxe3'], ['Rxe3', 'Rxe3\n'], ['fxe3', 'Rxe3'], ['a4', 'Kf8'], ['Rd6', 'Re4'], ['Rxf6', 'Rxa4'], ['Rxc6', 'Ra2'], ['Rb6', 'f5'], ['g3', 'Ke7\n'], ['Ke2', 'Kd7'], ['Ke3', 'Ra1'], ['Kf4', 'Rf1+'], ['Ke5', 'Rf3'], ['Rf6', 'Rxg3'], ['Rxf5', 'Rg2'], ['b4', 'g3\n'], ['Rg5', 'Rg1'], ['Kd5', 'g2'], ['Rg7+', 'Kd8'], ['Kc6', 'Rc1'], ['Rxg2', 'Rxc3+'], ['Kb6', 'Rh3'], ['Rg6', 'Rh8\n'], ['b5', 'Kc8'], ['Ka7', 'Rh7+'], ['Ka6', 'Rh8'], ['Rb6', 'Rh1'], ['Ka7', 'Rh7+'], ['Ka8', 'Rh5'], ['Rb7', 'Rc5\n'], ['b6', 'Rc1'], ['Ra7', 'Rb1'], ['b7+', '']]",1-0
BCF-ch,Brighton,1977.08.17,9,"Littlewood, John Eric","Short, Nigel D",,,C19,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Bb4'], ['e5', 'Ne7'], ['a3', 'Bxc3+'], ['bxc3', 'c5'], ['Nf3', 'Qa5'], ['Bd2', 'Nbc6\n'], ['a4', 'Bd7'], ['Be2', 'O-O-O'], ['c4', 'Qc7'], ['cxd5', 'Nxd5'], ['c4', 'Nde7'], ['dxc5', 'f6'], ['O-O', 'Ng6\n'], ['a5', 'fxe5'], ['a6', 'Nf4'], ['axb7+', 'Kxb7'], ['Bxf4', 'exf4'], ['Ng5', 'Rhf8'], ['Bf3', 'h6'], ['Ne4', 'g5\n'], ['Nd6+', 'Ka8'], ['Nb5', '']]",1-0
