Bankia op,Bankia,1989.??.??,2,"Golod, Vitali","Shulman, Yuri",,,A41,"[['d4', 'd6'], ['Nf3', 'Bg4'], ['e4', 'Nf6'], ['Nc3', 'e6'], ['Be2', 'd5'], ['Bg5', 'Be7'], ['exd5', 'exd5'], ['Ne5', 'Be6\n'], ['O-O', 'O-O'], ['Bd3', 'Nc6'], ['Nxc6', 'bxc6'], ['Na4', 'h6'], ['Bh4', 'Nd7'], ['Bxe7', 'Qxe7'], ['Re1', 'c5\n'], ['Bb5', 'cxd4'], ['Bxd7', 'Qxd7'], ['Qxd4', 'Rfe8'], ['Nc5', 'Qc6'], ['Re5', 'f6'], ['Re2', 'Bf7'], ['Rae1', 'Rxe2\n'], ['Rxe2', 'Re8'], ['Re3', 'Rxe3'], ['Qxe3', 'Qd6'], ['c3', 'Bg6'], ['b4', 'Kf7'], ['f3', 'Qe7']]",1-0
URS-ch U18,Alma-Ata,1991.??.??,?,"Rublevsky, Sergei","Shulman, Yuri",,,C03,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'b6'], ['Ngf3', 'Bb7'], ['Bd3', 'c5'], ['exd5', 'exd5'], ['O-O', 'Bd6'], ['c4', 'Ne7\n'], ['cxd5', 'Bxd5'], ['dxc5', 'Bxc5'], ['Ne4', 'Nbc6'], ['Nxc5', 'bxc5'], ['Re1', 'Qc7'], ['b3', 'Rd8'], ['Qe2', 'O-O\n'], ['Ba3', 'Ng6'], ['Bxg6', 'fxg6'], ['Bxc5', 'Bxf3'], ['gxf3', 'Nd4'], ['Qc4+', 'Kh8'], ['Bxd4', 'Qxc4\n'], ['bxc4', 'Rxd4'], ['Rac1', 'Kg8'], ['Kg2', 'Rc8'], ['Re4', 'Rd2'], ['Re7', 'Rxa2'], ['Rb1', 'Kh8'], ['Rbb7', 'Rg8\n'], ['c5', 'Rc2'], ['Rec7', 'a5'], ['Ra7', 'h5'], ['Rxa5', 'Rd8'], ['Kg3', 'Rd5'], ['Ra8+', 'Kh7'], ['Raa7', 'Rg5+\n'], ['Kh4', 'Kh6'], ['Rxg7', 'Rc4+'], ['Kh3', 'Rgxc5'], ['Kg3', 'Rf5'], ['Rh7+', 'Kg5'], ['Ra6', 'Rcf4'], ['h4+', 'Rxh4\n'], ['Rg7', 'Rff4'], ['Rgxg6+', 'Kf5'], ['Rgb6', 'Ke5'], ['Rb5+', '']]",1-0
URS-ch U18,Alma-Ata,1991.??.??,?,"Shulman, Yuri","Yemelin, Vasily",,,E17,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['g3', 'Bb7'], ['Bg2', 'Be7'], ['O-O', 'O-O'], ['b3', 'Qc8'], ['Nc3', 'Ne4\n'], ['Bb2', 'Nxc3'], ['Bxc3', 'Be4'], ['d5', 'exd5'], ['cxd5', 'Re8'], ['Ne1', 'Bxg2'], ['Nxg2', 'Bf8'], ['Qc2', 'c6\n'], ['Nf4', 'cxd5'], ['Qb2', 'Qc6'], ['Rac1', 'Na6'], ['Rfd1', 'Rac8'], ['Nxd5', 'Nc5'], ['f3', 'Qe6'], ['e4', 'f5\n'], ['e5', 'Qf7'], ['Rc2', 'Ne6'], ['Rcd2', 'h5'], ['b4', 'f4'], ['Rd3', 'fxg3'], ['hxg3', 'Rc4'], ['Ne3', 'Rc7\n'], ['f4', 'Rec8'], ['Rf1', 'Qg6'], ['Qd2', 'Qxg3+'], ['Ng2', 'Qg4'], ['f5', 'Ng5'], ['Rf4', 'Nh3+'], ['Rxh3', 'Qxh3\n'], ['Qd5+', 'Kh7'], ['Bd2', 'Rc1+'], ['Bxc1', 'Rxc1+'], ['Kf2', 'Rc2+'], ['Kg1', 'Rc1+'], ['Kf2', 'Rc2+\n'], ['Kg1', 'Qg3'], ['Rc4', 'Qf2+'], ['Kh2', 'Rd2'], ['Qe4', 'd5']]",0-1
Wch U18,Duisburg,1992.??.??,1,"Shulman, Yuri","Al Modiahki, Mohamad",,,E92,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Nf3', 'O-O'], ['Be2', 'e5'], ['Be3', 'c6'], ['d5', 'Ng4'], ['Bg5', 'f6\n'], ['Bh4', 'c5'], ['Nd2', 'Nh6'], ['f3', 'Nf7'], ['Qc2', 'Bh6'], ['O-O', 'Bf4'], ['a3', 'Na6'], ['Rfb1', 'h5\n'], ['Bf2', 'f5'], ['b4', 'b6'], ['Ra2', 'Bd7'], ['Bd3', 'Nh6'], ['Nf1', 'Bg5'], ['Rab2', 'f4'], ['Qd1', 'Bh4\n'], ['g3', 'Bg5'], ['Kg2', 'fxg3'], ['hxg3', 'h4'], ['Be1', 'Qf6'], ['Be2', 'Bf4'], ['Bd3', 'Rf7'], ['Rf2', '']]",1/2-1/2
Wch U18,Duisburg,1992.??.??,2,"Halac, Matias","Shulman, Yuri",,,E94,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['c4', 'Bg7'], ['Nc3', 'O-O'], ['e4', 'd6'], ['Be2', 'e5'], ['O-O', 'Nbd7'], ['Qc2', 'c6\n'], ['Rd1', 'Qe7'], ['d5', 'c5'], ['a3', 'h6'], ['b4', 'Ne8'], ['Be3', 'f5'], ['bxc5', 'Nxc5'], ['Bxc5', 'dxc5\n'], ['Nd2', 'Nd6'], ['Nb5', 'Bd7'], ['a4', 'a5'], ['Rab1', 'Bxb5'], ['Rxb5', 'Nxb5'], ['cxb5', 'b6'], ['Nc4', 'Qb7\n'], ['Bf3', 'Rad8'], ['d6', 'f4'], ['Bg4', 'Kh7'], ['f3', 'h5'], ['Bh3', 'Rf6'], ['d7', 'Rf7'], ['Qd3', 'Qc7\n'], ['Qd5', 'Rff8'], ['Qc6', 'Qb8'], ['Rd6', 'Rf7'], ['Rxg6', 'Rfxd7'], ['Bxd7', 'Rxd7'], ['Qxd7', 'Kxg6\n'], ['Qf5+', 'Kh6'], ['Qe6+', 'Kh7'], ['Qxb6', 'Qc8'], ['Qc6', 'Qd8'], ['Qd5', 'Qe7'], ['b6', 'Qf8'], ['b7', 'Bf6\n'], ['Nb6', 'c4']]",1-0
Wch U18,Duisburg,1992.??.??,3,"Shulman, Yuri","Achoundov, R.",,,D66,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'Be7'], ['Nf3', 'Nf6'], ['Bg5', 'O-O'], ['e3', 'Nbd7'], ['Rc1', 'c6'], ['Bd3', 'Re8\n'], ['O-O', 'Nh5'], ['Bxe7', 'Qxe7'], ['e4', 'dxc4'], ['Bxc4', 'Nb6'], ['Bb3', 'Nf4'], ['Qd2', 'Ng6'], ['e5', 'Rd8\n'], ['Ne4', 'Bd7'], ['a4', 'a6'], ['a5', 'Nc8'], ['g3', 'Be8'], ['h4', 'h6'], ['Kg2', 'Na7'], ['h5', 'Nf8'], ['Bc4', 'Nb5\n'], ['b4', 'Nh7'], ['Rfd1', 'f5'], ['Nc5', 'Nf8'], ['Rh1', 'Rab8'], ['Qf4', 'Bf7'], ['g4', 'fxg4'], ['Qxg4', 'Nc7\n'], ['Rhg1', 'Kh8'], ['Kh2', 'Bg8'], ['Rg3', 'Ne8'], ['Rcg1', 'Rbc8'], ['Nh4', 'Rc7'], ['Rf3', 'Bf7'], ['Qf4', 'Kg8\n'], ['Ng6', 'Bxg6'], ['hxg6', 'Rd5'], ['Qxf8+', 'Qxf8'], ['Rxf8+', 'Kxf8'], ['Nxe6+', 'Ke7'], ['Bxd5', 'cxd5\n'], ['Nxc7', 'Nxc7'], ['Rc1', '']]",1-0
Wch U18,Duisburg,1992.??.??,4,"Ellers, Holger","Shulman, Yuri",,,E69,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nf3', 'Bg7'], ['g3', 'O-O'], ['Bg2', 'd6'], ['O-O', 'Nbd7'], ['Nc3', 'e5'], ['e4', 'c6\n'], ['b3', 'Re8'], ['h3', 'a5'], ['Re1', 'exd4'], ['Nxd4', 'Nc5'], ['Bf4', 'Nh5'], ['Be3', 'Qe7'], ['Qc2', 'Bd7\n'], ['Rad1', 'Rad8'], ['Kh2', 'Nf6'], ['Bf4', 'Bc8'], ['Re2', 'Nfd7'], ['f3', 'h5'], ['Be3', 'h4'], ['g4', 'Bxd4\n'], ['Rxd4', 'Ne6'], ['Rd1', 'g5'], ['Red2', 'Ndc5'], ['Ne2', 'Rd7'], ['Qc3', 'b6'], ['Nd4', 'Qf6'], ['Qc1', 'Nxd4\n'], ['Rxd4', 'Ne6'], ['R4d2', 'Nc5'], ['Rd4', 'Ne6'], ['R4d2', 'Nc5'], ['Rf2', 'Qe5+'], ['f4', 'Qe7'], ['fxg5', 'Nxe4\n'], ['Bxe4', 'Qxe4'], ['Bxb6', 'c5'], ['Bxa5', 'Qe5+'], ['Qf4', 'Qxf4+'], ['Rxf4', 'Ra7'], ['Re1', 'Re5\n'], ['Bc3', '']]",1/2-1/2
Wch U18,Duisburg,1992.??.??,5,"Shulman, Yuri","Forster, Richard",,,E92,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Nf3', 'O-O'], ['Be2', 'e5'], ['Be3', 'h6'], ['O-O', 'Ng4\n'], ['Bc1', 'Nc6'], ['d5', 'Ne7'], ['Ne1', 'h5'], ['f3', 'Nh6'], ['Be3', 'b6'], ['b4', 'f5'], ['c5', 'f4'], ['Bf2', 'g5\n'], ['Rc1', 'a6'], ['cxb6', 'cxb6'], ['Na4', 'Rb8'], ['Qc2', 'Bd7'], ['b5', 'axb5'], ['Nc3', 'g4'], ['Bxb5', 'Bc8\n'], ['Na4', 'g3'], ['hxg3', 'fxg3'], ['Bxg3', 'Ng6'], ['Nd3', 'Qg5'], ['Bh2', 'Kh7'], ['Kh1', 'Ng8'], ['Qc7', 'Nh4\n'], ['Rc2', 'Bf5'], ['Rcf2', 'Bg6'], ['Qxd6', 'Rbd8'], ['Qb4', 'Ne7'], ['d6', 'Nef5'], ['exf5', 'Nxf5'], ['Nxe5', 'Be8\n'], ['d7', 'Ng3+'], ['Bxg3', 'Qxg3'], ['dxe8=Q', 'Rdxe8'], ['Qe4+', '']]",1-0
Wch U18,Duisburg,1992.??.??,6,"Merant, N.","Shulman, Yuri",,,B44,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nc6'], ['Nb5', 'd6'], ['c4', 'Nf6'], ['N1c3', 'a6'], ['Na3', 'b6\n'], ['Be2', 'Bb7'], ['O-O', 'Nb8'], ['f3', 'Nbd7'], ['Bf4', 'Qc7'], ['Qd2', 'Be7'], ['Rac1', 'O-O'], ['Rfd1', 'Ne5\n'], ['Be3', 'Rac8'], ['Kh1', 'Ba8'], ['Qe1', 'Qb8'], ['Qf2', 'Ned7'], ['Nab1', 'Rfe8'], ['g4', 'h6'], ['h4', 'Nh7\n'], ['Qg3', 'Ne5'], ['Nd2', 'g5'], ['hxg5', 'hxg5'], ['Qf2', 'Bd8'], ['f4', 'gxf4'], ['Bxf4', 'Ng5'], ['Qe3', 'f6\n'], ['b3', 'Kg7'], ['Kg2', 'Rh8'], ['Rh1', 'Be7'], ['Rh5', 'Ng6'], ['Bg3', 'Bc6'], ['Nf3', 'Qb7'], ['Nd4', 'Bd7\n'], ['Bf3', 'Ne5'], ['Rch1', 'b5'], ['cxb5', 'axb5'], ['Bf4', 'Ngxf3'], ['Nxf3', 'Nxg4'], ['Qe1', 'Rxh5\n'], ['Rxh5', 'Rg8'], ['Qh4', 'b4'], ['Rh7+', 'Kf8'], ['Rh8', 'e5'], ['Qh7', 'Be6'], ['Rxg8+', 'Bxg8'], ['Bh6+', 'Nxh6\n'], ['Qxh6+', 'Ke8'], ['Qh8', 'bxc3'], ['Qxg8+', 'Kd7'], ['Qg4+', 'Kc7'], ['Qe6', 'Kb6'], ['Qc4', 'Qc6'], ['Qb4+', 'Kc7\n'], ['Qa5+', 'Kd7'], ['Qa7+', 'Ke6'], ['Qf2', 'c2'], ['Ng5+', 'Kd7'], ['Qa7+', 'Kc8'], ['Qxe7', 'c1=Q']]",0-1
Wch U18,Duisburg,1992.??.??,7,"Shulman, Yuri","Agamaliev, Djamil",,,E92,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Nf3', 'O-O'], ['Be2', 'e5'], ['Be3', 'h6'], ['O-O', 'Ng4\n'], ['Bc1', 'Nc6'], ['d5', 'Ne7'], ['Ne1', 'h5'], ['f3', 'Nh6'], ['Be3', 'f5'], ['c5', 'Kh8'], ['Rc1', 'Neg8'], ['cxd6', 'cxd6\n'], ['Kh1', 'Nf6'], ['exf5', 'Nxf5'], ['Bg5', 'Bd7'], ['Qd2', 'Qb6'], ['Bd3', 'Rac8'], ['Be4', 'Rxc3'], ['Bxf6', 'Rxc1\n'], ['Bxg7+', 'Kxg7'], ['Qxc1', 'Ne3'], ['Rg1', 'Bf5'], ['Nc2', 'Nxc2'], ['Qxc2', 'Bxe4'], ['Qxe4', 'Qxb2\n'], ['Qa4', 'Qb6'], ['Rc1', 'Rf7'], ['Qc4', 'Qd4'], ['Qb3', 'e4'], ['fxe4', 'Qxe4'], ['h3', 'Qe5'], ['Qd3', 'Kh6\n'], ['Qd2+', 'Qg5'], ['Qb2', 'Qxd5'], ['Qh8+', 'Kg5'], ['Qd8+', 'Kh6'], ['Qh8+', 'Kg5'], ['Qd8+', 'Kh6']]",1/2-1/2
Wch U18,Duisburg,1992.??.??,8,"Istratescu, Andrei","Shulman, Yuri",,,C03,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'b6'], ['Ngf3', 'Nf6'], ['Bd3', 'c5'], ['exd5', 'exd5'], ['O-O', 'c4'], ['Re1+', 'Be7\n'], ['Bf1', 'O-O'], ['c3', 'b5'], ['b3', 'Bf5'], ['Ne5', 'Qc7'], ['Qf3', 'Be6'], ['a4', 'Nbd7'], ['Nxd7', 'Qxd7\n'], ['h3', 'Rfc8'], ['axb5', 'Rab8'], ['Ra4', 'cxb3'], ['Bb2', 'Bd6'], ['Rea1', 'Rc7'], ['Qd1', 'Bf4'], ['Nxb3', 'Ne4\n'], ['Nc5', 'Nxc5'], ['dxc5', 'Be5'], ['c6', 'Qe7'], ['Qe1', 'Bd6'], ['Ba3', 'Bxa3'], ['R1xa3', '']]",1-0
