Leningrad/Moscow,Leningrad,1939.??.??,1,"Smyslov, Vassily","Kan, Ilia Abramovich",,,C43,"[['e4', 'e5'], ['Nf3', 'Nf6'], ['d4', 'exd4'], ['e5', 'Ne4'], ['Qxd4', 'd5'], ['exd6', 'Nxd6'], ['Bd3', 'Nc6'], ['Qf4', 'Be7\n'], ['O-O', 'O-O'], ['Nc3', 'Be6'], ['Be3', 'Qd7'], ['Rad1', 'Rad8'], ['Ng5', 'Bxg5'], ['Qxg5', 'f6'], ['Qh4', 'Bf5\n'], ['Bc5', 'Bxd3'], ['Rxd3', 'Qe6'], ['Nd5', 'Rf7'], ['Rfd1', 'Rfd7'], ['Nxc7', 'Rxc7'], ['Bxd6', 'Rcd7\n'], ['Qg3', 'Qxa2'], ['h4', 'Qe6'], ['h5', 'h6'], ['b3', 'Ne5'], ['Bxe5', 'Rxd3'], ['Rxd3', 'Rxd3'], ['Qxd3', 'fxe5\n'], ['Qd8+', 'Kh7'], ['Qd3+', 'Kh8'], ['Qd8+', '']]",1/2-1/2
Leningrad/Moscow,Leningrad,1939.??.??,2,"Smyslov, Vassily","Konstantinopolsky, Alexander",,,C77,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['d3', 'd6'], ['c3', 'Be7'], ['Nbd2', 'b5'], ['Bc2', 'O-O\n'], ['Nf1', 'd5'], ['Qe2', 'Re8'], ['Ng3', 'h6'], ['O-O', 'Be6'], ['d4', 'dxe4'], ['Nxe5', 'Bd5'], ['Nxe4', 'Bd6\n'], ['f4', 'Nxe4'], ['Bxe4', 'Bf8'], ['Bxd5', 'Qxd5'], ['Qf3', 'Qxf3'], ['Rxf3', 'Ne7'], ['f5', 'f6'], ['Nd3', 'Nd5\n'], ['Nf4', 'Nxf4'], ['Bxf4', 'Bd6'], ['Bxd6', 'cxd6'], ['Kf2', 'b4'], ['Rc1', 'Rab8'], ['c4', 'Re4'], ['Rd3', 'Rf4+\n'], ['Ke2', 'Rxf5'], ['c5', 'dxc5'], ['dxc5', 'Re5+'], ['Re3', 'Rxe3+'], ['Kxe3', 'Kf7'], ['Kd4', 'Ke6'], ['Re1+', 'Kd7\n'], ['Kd5', 'Rb5'], ['Re4', 'g6'], ['h4', 'f5'], ['Rf4', 'h5'], ['Rd4', 'Kc7'], ['b3', 'Rb8'], ['Kc4', 'Re8'], ['Rd6', 'Re4+\n'], ['Kd5', 'Rxh4'], ['Rxg6', 'Rg4'], ['Rxa6', 'Rxg2'], ['Ra7+', 'Kb8'], ['Rh7', 'Rxa2'], ['Rxh5', 'Rc2\n'], ['Kc6', 'Ka7'], ['Kb5', 'Re2'], ['Rh7+', 'Kb8'], ['Kb6', 'Re8'], ['c6', 'f4'], ['Rb7+', 'Kc8'], ['Ra7', '']]",1-0
Leningrad/Moscow,Leningrad,1939.??.??,3,"Alatortsev, Vladimir","Smyslov, Vassily",,,E47,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['e3', 'O-O'], ['Bd3', 'd6'], ['Ne2', 'e5'], ['O-O', 'Bxc3'], ['Nxc3', 'Nc6\n'], ['d5', 'Nb8'], ['e4', 'Nbd7'], ['Be3', 'Nc5'], ['Bc2', 'a5'], ['h3', 'Qe7'], ['a3', 'Ne8'], ['b4', 'axb4'], ['axb4', 'Rxa1\n'], ['Qxa1', 'Na6'], ['Qa3', 'g6'], ['c5', 'f5'], ['exf5', 'gxf5'], ['f3', 'Rf7'], ['Bd3', 'Rg7'], ['Bxa6', 'f4\n'], ['Bc1', 'Bxh3'], ['Rf2', 'bxa6'], ['Ne4', 'Rg6'], ['Kf1', 'Bf5'], ['Qxa6', 'Qh4'], ['Qa4', 'Kf8'], ['Qd1', 'Bxe4\n'], ['fxe4', 'Nf6'], ['cxd6', 'Nxe4'], ['Qc2', 'Qh1+'], ['Ke2', 'Rxg2'], ['Rxg2', 'Qxg2+'], ['Kd3', 'Qxc2+\n'], ['Kxc2', 'Nxd6'], ['Kd3', 'Kf7'], ['Bb2', 'Kf6'], ['Ke2', 'Kf5']]",0-1
Leningrad/Moscow,Leningrad,1939.??.??,4,"Smyslov, Vassily","Makogonov, Vladimir Andreevich",,,B10,"[['e4', 'c6'], ['Nf3', 'd5'], ['Nc3', 'dxe4'], ['Nxe4', 'Bg4'], ['Bc4', 'e6'], ['c3', 'Nd7'], ['d4', 'Ngf6'], ['Ng3', 'Qc7\n'], ['h3', 'Bxf3'], ['Qxf3', 'Bd6'], ['O-O', 'O-O'], ['Bg5', 'Qa5'], ['Bf4', 'Qc7'], ['Bxd6', 'Qxd6'], ['Rad1', 'Rfd8\n'], ['Bb3', 'Nf8'], ['Rfe1', 'Rd7'], ['Nf1', 'Ng6'], ['g3', 'Rad8'], ['h4', 'Ne7'], ['Nd2', 'b5'], ['Qe2', 'a5\n'], ['a3', 'Qc7'], ['Nf3', 'Ng6'], ['Ng5', 'Nf8'], ['Nf3', 'Rd6'], ['Ne5', 'b4'], ['Nd3', 'bxa3'], ['bxa3', 'N8d7\n'], ['Nb2', 'Nb6'], ['Qe5', 'Nbd7'], ['Qf4', 'Nd5'], ['Qf3', 'c5'], ['dxc5', 'Qxc5'], ['c4', 'N5f6'], ['Rxd6', 'Qxd6\n'], ['Bc2', 'Qd2'], ['Qe2', 'Qc3'], ['a4', 'Nc5'], ['Rd1', 'Rb8'], ['Rd2', 'Kf8'], ['Nd1', 'Qb4'], ['Qe5', 'Ncd7\n'], ['Qe2', 'Rc8'], ['Bxh7', 'Ne5'], ['Rb2', 'Qd6'], ['Bc2', 'Nxc4'], ['Rb3', 'Qc6'], ['Nc3', '']]",1/2-1/2
Leningrad/Moscow,Leningrad,1939.??.??,5,"Belavenets, Sergey Vesevolodovi","Smyslov, Vassily",,,A48,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['Bf4', 'Bg7'], ['e3', 'c5'], ['Nbd2', 'O-O'], ['c3', 'b6'], ['h3', 'Bb7'], ['Bc4', 'd5\n'], ['Bd3', 'Nbd7'], ['O-O', 'Ne4'], ['Qc2', 'Nxd2'], ['Qxd2', 'Re8'], ['Bg3', 'a6'], ['Rad1', 'e5'], ['dxe5', 'Nxe5\n'], ['Be2', 'f6'], ['Bxe5', 'fxe5'], ['e4', 'dxe4'], ['Bc4+', 'Kf8'], ['Qe3', 'exf3'], ['Rxd8', 'Raxd8'], ['gxf3', 'Rd6\n'], ['Bd3', 'Red8'], ['Be4', 'Bc8'], ['Kg2', 'a5'], ['Rb1', 'Be6'], ['b3', 'Bf6'], ['a3', 'Kg7'], ['b4', 'h6\n'], ['bxc5', 'Bg5'], ['Qe2', 'Rd2'], ['Qb5', 'Be3'], ['cxb6', 'Rxf2+'], ['Kg3', 'Kf6'], ['Re1', 'Rdd2'], ['Rg1', 'g5']]",0-1
Leningrad/Moscow,Leningrad,1939.??.??,6,"Smyslov, Vassily","Ragozin, Viacheslav",,,C66,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'd6'], ['d4', 'Bd7'], ['Nc3', 'exd4'], ['Nxd4', 'O-O\n'], ['Bf1', 'Re8'], ['h3', 'h6'], ['b3', 'Bf8'], ['Bb2', 'Ne5'], ['f4', 'Ng6'], ['Qf3', 'c6'], ['Bd3', 'Qa5'], ['g4', 'Rad8\n'], ['Nf5', 'd5'], ['e5', 'Nh7'], ['Ne2', 'c5'], ['c4', 'Bc6'], ['cxd5', 'Bxd5'], ['Qg3', 'b5'], ['Nc3', 'c4\n'], ['Bf1', 'Ba8'], ['Ne4', 'Qb6+'], ['Kh2', 'Bb4'], ['Nfd6', 'Bxe4'], ['Nxe8', 'Bxe1'], ['Rxe1', 'Ba8'], ['Nd6', 'Qc6\n'], ['Qe3', 'Nxf4'], ['Kg3', 'Nd3'], ['Bxd3', 'Qg2+'], ['Kf4', 'cxd3'], ['e6', 'Qh2+']]",0-1
Leningrad/Moscow,Leningrad,1939.??.??,7,"Panov, Vasily N","Smyslov, Vassily",,,C77,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['d3', 'd6'], ['c3', 'Be7'], ['O-O', 'O-O'], ['Re1', 'Nd7\n'], ['Bc2', 'Bf6'], ['Nbd2', 'Nb6'], ['Nf1', 'Re8'], ['Ng3', 'd5'], ['Qe2', 'h6'], ['h3', 'Be6'], ['Nh5', 'Nd7\n'], ['Kh2', 'Be7'], ['g4', 'Nf8'], ['Rg1', 'Nh7'], ['Rg2', 'b5'], ['Be3', 'dxe4'], ['dxe4', 'Bc4'], ['Qe1', 'Ng5\n'], ['Ng1', 'g6'], ['Rd1', 'Bd6'], ['b3', 'Be6'], ['Ng3', 'Qf6'], ['Nf5', 'gxf5'], ['gxf5', 'Bxf5'], ['h4', 'Bg6\n'], ['hxg5', 'hxg5'], ['Bxg5', 'Qh8+'], ['Nh3', 'Nd8'], ['Qe3', 'Ne6'], ['Rh1', 'Nxg5'], ['Qxg5', 'Be7'], ['Qg4', 'Rad8\n'], ['b4', 'Qh6'], ['Bb3', 'Kh7'], ['Kg1', 'Qc1+'], ['Kh2', 'Qh6'], ['Kg1', 'Qc1+'], ['Kh2', '']]",1/2-1/2
Leningrad/Moscow,Leningrad,1939.??.??,8,"Smyslov, Vassily","Goglidze, Victor Arsentievich",,,B85,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'Nf6'], ['Nc3', 'cxd4'], ['Nxd4', 'Nc6'], ['Be2', 'e6'], ['O-O', 'Be7'], ['Be3', 'O-O\n'], ['f4', 'a6'], ['Qe1', 'Bd7'], ['Rd1', 'Qc7'], ['Qg3', 'Kh8'], ['Kh1', 'b5'], ['a3', 'Rac8'], ['Bd3', 'Ng8\n'], ['Nxc6', 'Bxc6'], ['Bd4', 'f6'], ['Qh3', 'e5'], ['Nd5', 'Qb7'], ['Bc3', 'Rfe8'], ['Be2', 'Bd7'], ['f5', 'Bc6\n'], ['Bh5', 'Rf8'], ['Bg6', 'h6'], ['Qh5', 'Be8'], ['Bxe8', 'Rfxe8'], ['Qf7', 'Qc6'], ['Rf3', 'Bf8'], ['Rg3', 'Red8\n'], ['h3', 'Rd7'], ['Qg6', 'Ne7'], ['Nxe7', 'Rxe7'], ['Rd5', 'Rd7'], ['Kh2', 'Qa8'], ['Bd2', 'Rxc2'], ['Bxh6', 'Re7\n'], ['Rxd6', 'Rc6'], ['Rxc6', 'Qxc6'], ['Rc3', 'Qxe4'], ['Be3', 'Kg8'], ['Bc5', 'Rf7'], ['Bxf8', 'Rxf8'], ['Rc7', 'Qf4+\n'], ['Kg1', 'Qe3+'], ['Kh1', 'Qh6'], ['Qxh6', 'gxh6'], ['Kh2', 'Rd8'], ['Kg3', 'Rd4'], ['Rc6', 'Kg7'], ['Rxa6', 'h5\n'], ['Rb6', 'h4+'], ['Kf3', 'Rf4+'], ['Ke3', 'Rxf5'], ['Rxb5', 'Rf1'], ['a4', 'Ra1'], ['a5', 'Kg6'], ['Ke4', 'Re1+\n'], ['Kd5', 'e4'], ['b4', 'f5'], ['a6', 'Ra1'], ['Rb6+', 'Kg5'], ['Re6', 'Kf4'], ['b5', 'Kg3'], ['b6', 'Ra5+\n'], ['Kc4', 'Rxa6'], ['b7', 'Rxe6'], ['b8=Q+', 'Kf2'], ['Qf4+', 'Kg1'], ['Qxf5', 'Re8'], ['Qd7', 'Rg8'], ['Qd4+', 'Kxg2\n'], ['Qxe4+', 'Kh2'], ['Qxh4', 'Rg3'], ['Kd4', 'Rxh3'], ['Qf2+', 'Kh1'], ['Qf1+', 'Kh2'], ['Qf2+', 'Kh1\n'], ['Ke4', 'Rh7'], ['Qf5', 'Rh4+'], ['Kf3', '']]",1-0
Leningrad/Moscow,Leningrad,1939.??.??,9,"Reshevsky, Samuel Herman","Smyslov, Vassily",,,D36,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'Nf6'], ['Bg5', 'Nbd7'], ['cxd5', 'exd5'], ['e3', 'Be7'], ['Qc2', 'O-O'], ['Bd3', 'Re8\n'], ['Nf3', 'Nf8'], ['h3', 'c6'], ['Bf4', 'Bd6'], ['Bxd6', 'Qxd6'], ['O-O', 'Qe7'], ['Rab1', 'Ne4'], ['b4', 'Ng5\n'], ['Nxg5', 'Qxg5'], ['Kh2', 'Ng6'], ['f4', 'Qh4'], ['Qd2', 'Qe7'], ['Qf2', 'f6'], ['f5', 'Nh8'], ['Rfe1', 'Nf7\n'], ['e4', 'Qd6+'], ['Kg1', 'Bd7'], ['b5', 'Rad8'], ['Bc2', 'dxe4'], ['Nxe4', 'Qc7'], ['Bb3', 'Kf8'], ['Nc5', 'Nd6\n'], ['Be6', 'Nxb5'], ['Bxd7', 'Rxd7'], ['Ne6+', 'Rxe6'], ['fxe6', 'Re7'], ['Qf5', 'Nxd4'], ['Qxh7', 'Nxe6\n'], ['Qh8+', 'Kf7'], ['Qh5+', 'g6'], ['Qf3', 'Nd4'], ['Qg4', 'c5'], ['h4', 'Qd7'], ['Rxe7+', 'Qxe7'], ['Kh1', 'b6\n'], ['Qf4', 'Kg7'], ['Qf2', 'Nc6'], ['h5', 'Ne5'], ['hxg6', 'Qd6'], ['Qh4', 'Nxg6'], ['Qg4', 'Qe5'], ['Rd1', 'Kf7\n'], ['Rd7+', 'Ne7'], ['Rxa7', 'Qe1+'], ['Kh2', 'Qe5+'], ['g3', 'Qd5'], ['Qe2', 'Qe6'], ['Qd3', 'f5'], ['Ra4', 'Kf6\n'], ['Qd2', 'Nd5'], ['Rh4', 'Kg7'], ['Qg5+', 'Qg6'], ['Qd8', 'Nf6'], ['Kg2', 'Qe8'], ['Qxe8', 'Nxe8'], ['Kf3', 'Nf6\n'], ['Kf4', 'Kg6'], ['Ke5', 'Ne4'], ['Rh8', 'c4'], ['g4', 'c3'], ['gxf5+', 'Kg7'], ['Kxe4', 'Kxh8'], ['Kd3', '']]",1-0
Leningrad/Moscow,Leningrad,1939.??.??,10,"Smyslov, Vassily","Tolush, Alexander V",,,C16,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Bb4'], ['e5', 'Ne7'], ['a3', 'Ba5'], ['Bd3', 'Nd7'], ['Qg4', 'c5'], ['b4', 'cxd4\n'], ['f4', 'dxc3'], ['bxa5', 'Nc5'], ['Bb5+', 'Bd7'], ['Qxg7', 'Rg8'], ['Bxd7+', 'Qxd7'], ['Qxh7', 'Rxg2\n'], ['Qh3', 'Rg8'], ['Qxc3', 'Rc8'], ['Ne2', 'Nf5'], ['a4', 'd4'], ['Qf3', 'd3'], ['cxd3', 'Nxd3+'], ['Kf1', 'Nh4\n'], ['Qh3', 'Nxc1'], ['Qxh4', 'Qd3'], ['Qh5', 'Rc2']]",0-1
