WYb12,Heraklio GRE,2004.11.06,3,"So,Wesley","Caruana,F",,,B21,"[['e4', 'c5'], ['f4', 'd5'], ['exd5', 'Qxd5'], ['Nc3', 'Qd8'], ['Nf3', 'g6'], ['d4', 'cxd4'], ['Nxd4', 'Bg7'], ['Be3', 'Nf6\n'], ['Be2', 'O-O'], ['h3', 'Nd5'], ['Nxd5', 'Qxd5'], ['O-O', 'Rd8'], ['Bf3', 'Qc5'], ['c3', 'Nc6'], ['Bxc6', 'bxc6\n'], ['Qf3', 'Bxd4'], ['Bxd4', 'Qd5'], ['Qe3', 'Be6'], ['Rae1', 'Rab8'], ['b3', 'Rb7'], ['g4', 'c5'], ['Bxc5', 'Qd2\n'], ['Bd4', 'Qxe3+'], ['Rxe3', 'a5'], ['f5', 'Bd5'], ['Bc5', 'e6'], ['c4', '']]",1-0
WYb12,Heraklio GRE,2004.11.06,4,"Ding,L","So,Wesley",,,A04,"[['Nf3', 'c5'], ['g3', 'Nc6'], ['Bg2', 'g6'], ['c3', 'e5'], ['d4', 'cxd4'], ['cxd4', 'e4'], ['Ne5', 'f5'], ['Nc3', 'Bg7\n'], ['Bf4', 'Nge7'], ['Nc4', 'Nxd4'], ['Bh6', 'Ne6'], ['Bxg7', 'Nxg7'], ['Nd6+', 'Kf8'], ['Qd2', 'a6'], ['O-O-O', 'b5\n'], ['g4', 'h6'], ['gxf5', 'gxf5'], ['Bxe4', 'Rb8'], ['Rhg1', 'Rh7'], ['Qd4', 'fxe4'], ['Qf6+', 'Kg8'], ['Nd5', 'Nc6\n'], ['Qg6', '']]",1-0
WYb12,Heraklio GRE,2004.11.10,8,"Alonso Rosell,A","So,Wesley",,,A80,"[['d4', 'f5'], ['Nc3', 'd5'], ['Bg5', 'c6'], ['e3', 'g6'], ['Bd3', 'Bg7'], ['h4', 'Nf6'], ['Nge2', 'Ne4'], ['Bxe4', 'fxe4\n'], ['Nf4', 'O-O'], ['h5', 'Rf5'], ['Bh4', 'g5'], ['g4', 'Rxf4'], ['exf4', 'gxh4'], ['g5', 'h6'], ['Qd2', 'Bg4\n'], ['Rg1', 'Qd7'], ['gxh6', 'Bf3'], ['f5', 'Qxf5'], ['hxg7', 'Qxh5'], ['Qf4', 'Nd7'], ['Rg5', 'Qh6'], ['Rg4', 'Qxf4\n'], ['Rxf4', 'Kxg7'], ['Rxh4', 'Rg8'], ['Ne2', 'Kf7'], ['Ng3', 'Nf6'], ['Kd2', 'Ke6'], ['Ne2', 'Kd6'], ['Rg1', 'Rf8\n'], ['Rg6', 'Kd7'], ['Nf4', 'Rf7'], ['Rh8', 'Ne8'], ['Ne6', 'b6'], ['Nf8+', 'Kc7'], ['Nh7', 'Bh5'], ['Rg2', 'Rf5\n'], ['Ng5', 'Nf6'], ['Ne6+', 'Kd7'], ['Ng7', 'Bf3'], ['Nxf5', 'Bxg2'], ['Ra8', 'Ng4'], ['Rxa7+', 'Ke6'], ['Ne3', '']]",1-0
WYb12,Heraklio GRE,2004.11.13,11,"So,Wesley","Kanmazalp,O",,,B23,"[['e4', 'c5'], ['f4', 'd6'], ['Nf3', 'Nf6'], ['Nc3', 'Nc6'], ['Bb5', 'g6'], ['Bxc6+', 'bxc6'], ['d3', 'Bg7'], ['O-O', 'O-O\n'], ['Qe1', 'e6'], ['Kh1', 'Rb8'], ['b3', 'Ba6'], ['e5', 'Ne8'], ['Bd2', 'd5'], ['Na4', 'Qe7'], ['c4', 'f6'], ['Be3', 'd4\n'], ['Bc1', 'fxe5'], ['fxe5', 'Rf5'], ['Ba3', 'Qc7'], ['Bxc5', 'Bxe5'], ['Nxe5', 'Qxe5'], ['Qxe5', 'Rxe5\n'], ['Rf8+', 'Kg7'], ['Rxe8', 'Rxe8'], ['Bxd4', 'Kf6'], ['Rf1+', 'Ke7'], ['Bxe5', 'Bc8'], ['Nc5', 'a5'], ['Ne4', '']]",1-0
Open,Nice FRA,2005.08.01,1,"So,W","Libiszewski,F",,,C12,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['Bg5', 'Bb4'], ['e5', 'h6'], ['Bd2', 'Bxc3'], ['bxc3', 'Ne4'], ['Qg4', 'g6\n'], ['Bc1', 'c5'], ['Bd3', 'Nxc3'], ['dxc5', 'Nd7'], ['Qb4', 'Ne4'], ['Bxe4', 'Qh4'], ['Nf3', 'Qxe4+'], ['Qxe4', 'dxe4\n'], ['Nd2', 'e3'], ['Ne4', 'exf2+'], ['Kxf2', 'b6'], ['c6', 'Nxe5'], ['Bb2', 'Ng4+'], ['Kf3', 'O-O'], ['h3', 'f5\n'], ['hxg4', 'fxe4+'], ['Kxe4', 'h5'], ['gxh5', 'e5'], ['hxg6', 'Bf5+'], ['Kxe5', 'Bxg6'], ['Kd6', 'Bh7\n'], ['Raf1', 'Rfd8+'], ['Kc7', 'Rdc8+'], ['Kb7', 'Rab8+'], ['Kxa7', 'Ra8+'], ['Kb7', 'Rab8+'], ['Ka6', 'Rxc6\n'], ['Rf3', 'b5+'], ['Ka5', 'Rg6'], ['Rfh3', 'Rg4'], ['c4', 'bxc4'], ['Bc3', 'Rxg2'], ['a4', 'Rb3']]",1/2-1/2
Open,Nice FRA,2005.08.06,7,"Leer Salvesen,B","So,W",,,A37,"[['c4', 'c5'], ['g3', 'Nc6'], ['Bg2', 'g6'], ['Nc3', 'Bg7'], ['Nf3', 'e6'], ['O-O', 'Nge7'], ['e3', 'Nf5'], ['b3', 'O-O\n'], ['Bb2', 'd5'], ['cxd5', 'exd5'], ['d4', 'cxd4'], ['Nxd4', 'Nfxd4'], ['exd4', 'Bxd4'], ['Qd2', 'Be6'], ['Rad1', 'Bg4\n'], ['Rc1', 'Be6'], ['Rcd1', 'Bg4'], ['Rc1', 'Be6'], ['Rfd1', 'Rc8'], ['Ba3', 'Re8'], ['Nb5', 'Be5'], ['Bxd5', 'Bxd5\n'], ['Qxd5', 'Qxd5'], ['Rxd5', 'Rcd8'], ['Nd6', 'Bxd6'], ['Bxd6', 'Re2'], ['a3', '']]",1/2-1/2
8th Dubai Open,Dubai UAE,2006.04.24,2,"So,W","Abbasov,F",,,B06,"[['e4', 'g6'], ['d4', 'Bg7'], ['Nc3', 'c6'], ['Nf3', 'd6'], ['Be3', 'Qb6'], ['a3', 'Nf6'], ['h3', 'O-O'], ['Bd3', 'Nbd7\n'], ['O-O', 'Qc7'], ['Qd2', 'b6'], ['Ne2', 'Bb7'], ['Ng3', 'Rfe8'], ['Bh6', 'Bh8'], ['Rfe1', 'e5'], ['c3', 'Rad8\n'], ['Bg5', 'Nf8'], ['Rad1', 'Ne6'], ['Bh4', 'Nf4'], ['Bb1', 'h6'], ['Ne2', 'Nxe2+'], ['Rxe2', 'Kh7'], ['Ree1', 'c5\n'], ['dxe5', 'dxe5'], ['Qe2', 'c4'], ['Nd2', 'b5'], ['Nf1', 'a6'], ['f3', 'Rxd1'], ['Rxd1', 'Rd8'], ['Rxd8', 'Qxd8\n'], ['Qd2', 'Qxd2'], ['Nxd2', 'Nd7'], ['Bf2', 'Bf6'], ['Kf1', 'Be7'], ['Bc2', 'Kg7'], ['a4', 'Nc5'], ['axb5', 'axb5\n'], ['Ke2', 'Bc8'], ['Nf1', 'Ne6'], ['g3', 'Bc5'], ['Bxc5', 'Nxc5'], ['h4', 'Be6'], ['Ne3', 'Kf8'], ['f4', 'f6\n'], ['f5', 'gxf5'], ['exf5', 'Bf7'], ['g4', 'Ke7'], ['Nf1', 'Bd5'], ['Ke3', 'Nd7'], ['Ng3', 'Nb6'], ['Nf1', 'Bc6\n'], ['Nd2', 'Nd5+'], ['Kf2', 'Be8'], ['Be4', 'Nf4'], ['Ke3', 'Kd6'], ['Bf3', 'Bd7'], ['Be4', 'Ke7'], ['Nf3', 'Nh3\n'], ['Ke2', 'Kd6'], ['Ke3', 'Be8'], ['Bc2', 'Bc6'], ['Nd2', 'Nf4'], ['Be4', 'Bd5'], ['h5', 'Ke7'], ['Bxd5', 'Nxd5+\n'], ['Ke2', 'Nb6'], ['b3', 'cxb3'], ['Nxb3', 'Na4'], ['Kd3', 'Kd6'], ['Nd2', 'Nc5+'], ['Ke3', 'Kd5'], ['Kf3', 'Nd3\n'], ['Ne4', 'Ne1+'], ['Ke3', 'Ng2+'], ['Kf3', 'Nh4+'], ['Ke3', 'Ng2+'], ['Kf3', 'Nh4+'], ['Ke3', 'Ng2+'], ['Kf3', 'Nh4+']]",1/2-1/2
8th Dubai Open,Dubai UAE,2006.04.25,3,"Sale,S","So,W",,,B20,"[['g3', 'c5'], ['Bg2', 'Nc6'], ['f4', 'g6'], ['Nf3', 'Bg7'], ['e4', 'e6'], ['d3', 'Nge7'], ['c3', 'O-O'], ['O-O', 'b6'], ['a4', 'Ba6\n'], ['Na3', 'Rc8'], ['Re1', 'd6'], ['Be3', 'e5'], ['Nc4', 'Qc7'], ['Qb3', 'Rcd8'], ['Rad1', 'h6'], ['Bc1', 'Kh7\n'], ['Ne3', 'exf4'], ['gxf4', 'f5'], ['exf5', 'Nxf5'], ['Nxf5', 'Rxf5'], ['Nh4', 'Rf6'], ['Qc2', 'Ne7'], ['Qe2', 'Nf5\n'], ['Nxf5', 'Rxf5'], ['Be4', 'Rf6'], ['Qg2', 'Bc8'], ['Re3', 'Be6'], ['Rg3', 'Qf7'], ['Re1', 'Re8'], ['Bd2', 'd5\n'], ['Bf3', 'Qd7'], ['b3', 'Bf7'], ['Re5', 'Rd6'], ['Rxe8', 'Qxe8'], ['f5', 'Qe5'], ['Bg4', 'd4'], ['c4', 'gxf5\n'], ['Bxf5+', 'Qxf5'], ['Rxg7+', 'Kh8'], ['Rg3', 'Rg6'], ['Qa8+', 'Kh7'], ['Qxa7', 'Rf6']]",0-1
8th Dubai Open,Dubai UAE,2006.04.26,4,"So,W","El Taher,F",,,C27,"[['e4', 'e5'], ['Bc4', 'Nf6'], ['d3', 'Bc5'], ['Nc3', 'd6'], ['f4', 'Ng4'], ['f5', 'h5'], ['Nh3', 'Ne3'], ['Bxe3', 'Bxe3\n'], ['Qf3', 'Bc5'], ['Qg3', 'Rg8'], ['Rf1', 'c6'], ['Bxf7+', 'Kxf7'], ['Qg6+', 'Kf8'], ['f6', 'gxf6'], ['Rxf6+', 'Qxf6\n'], ['Qxf6+', 'Ke8'], ['Ng5', 'Rf8'], ['Qg6+', 'Kd8'], ['Na4', 'Bf2+'], ['Kd2', 'Ke7'], ['Qg7+', 'Ke8'], ['Nh7', '']]",1-0
8th Dubai Open,Dubai UAE,2006.04.27,5,"Sargissian,G","So,W",,,E20,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['Nf3', 'c5'], ['g3', 'cxd4'], ['Nxd4', 'O-O'], ['Bg2', 'd5'], ['cxd5', 'Nxd5\n'], ['Qb3', 'Nc6'], ['Nxc6', 'bxc6'], ['O-O', 'Qa5'], ['Bd2', 'Bxc3'], ['bxc3', 'Ba6'], ['Rfd1', 'Qc5'], ['e4', 'Bc4\n'], ['Qa4', 'Nb6'], ['Qb4', 'Qh5'], ['Bf4', 'Be2'], ['Re1', 'Rfd8'], ['Bc7', 'Rd7'], ['Bf4', 'Rad8'], ['h3', 'c5\n'], ['Qb2', 'Bd3'], ['Qc1', 'c4'], ['Qa3', 'Qb5'], ['Be3', 'e5'], ['h4', 'Qa4'], ['Qc1', 'f6'], ['h5', 'Qc2'], ['Qxc2', 'Bxc2\n'], ['Rec1', 'Bd3'], ['a4', 'Rc7'], ['Ra2', 'Nd7'], ['Rb2', 'Rb8'], ['Rxb8+', 'Nxb8'], ['a5', 'Na6'], ['Ra1', 'Nc5\n'], ['f3', 'Rc6'], ['Ra3', 'a6'], ['Bh3', 'Kf7'], ['Kf2', 'Rc7'], ['h6', 'g6'], ['Bxc5', 'Rxc5'], ['Ra2', 'f5\n'], ['g4', 'Kf6'], ['gxf5', 'gxf5'], ['Bxf5', 'Kg5'], ['Bxh7', 'Kxh6'], ['Bf5', 'Kg5'], ['Ke3', 'Kf6'], ['f4', 'exf4+\n'], ['Kxf4', 'Re5'], ['Ke3', 'Ke7'], ['Kd4', 'Kd6'], ['Rh2', 'Rxa5'], ['Rh6+', 'Ke7'], ['Be6', 'Be2'], ['Bd5', 'Ra1\n'], ['e5', 'Rg1'], ['Rh7+', 'Kf8'], ['e6', '']]",1-0
