WchT U26,Harrachov,1967.??.??,?,"Soltis, Andrew E","Brostrom, Goran",,,B80,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'e6'], ['Nc3', 'Qc7'], ['g3', 'd6'], ['Bg2', 'Nxd4'], ['Qxd4', 'Nf6\n'], ['O-O', 'Bd7'], ['Bg5', 'Be7'], ['Rad1', 'Bc6'], ['Rfe1', 'O-O'], ['Bxf6', 'Bxf6'], ['Qxd6', 'Qa5'], ['Qd3', 'Rfd8\n'], ['Qc4', 'Rac8'], ['Rxd8+', 'Rxd8'], ['Rd1', 'Rxd1+'], ['Nxd1', 'Qe1+'], ['Qf1', 'Qd2'], ['Qd3', 'Qe1+']]",1/2-1/2
WchT U26,Harrachov,1967.??.??,?,"Gomez, A.","Soltis, Andrew E",,,B75,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'g6'], ['Nc3', 'Bg7'], ['Be3', 'Nf6'], ['Bc4', 'd6'], ['f3', 'Nd7\n'], ['Bb3', 'Nb6'], ['h4', 'h5'], ['Qd3', 'Ne5'], ['Qe2', 'Bd7'], ['Nd5', 'Nxd5'], ['exd5', 'Rb8'], ['O-O-O', 'b5\n'], ['Bg5', 'a5'], ['Nc6', 'Bxc6'], ['dxc6', 'a4'], ['Bd5', 'Qc7'], ['Rhe1', 'O-O'], ['f4', 'Nxc6'], ['Qe4', 'e6\n'], ['Bxc6', 'd5'], ['Bxd5', 'exd5'], ['Qxd5', 'a3'], ['Re7', 'axb2+'], ['Kb1', 'Qa5'], ['Rd7', 'Ra8'], ['Be7', 'Qc3\n'], ['Bxf8', 'Rxf8'], ['f5', 'gxf5'], ['Qxf5', 'Qc4'], ['Rd8', 'Qxh4'], ['Rxf8+', 'Bxf8'], ['Rf1', 'Qe7\n'], ['Qxb5', 'Bg7'], ['Qb8+', 'Kh7'], ['Qf4', 'Kg8'], ['Qb8+', 'Bf8'], ['Qa8', 'Qe2'], ['Qf3', 'Qc4'], ['Qg3+', 'Bg7\n'], ['Rd1', 'Qc5'], ['Qb8+', 'Kh7'], ['Qe8', 'Qf5'], ['Qd7', 'Qf4'], ['Qd5', 'Bh6'], ['Kxb2', 'Qb4+'], ['Qb3', 'Bg7+\n'], ['c3', 'Qg4'], ['Qc2+', 'f5'], ['Kb1', 'Qf4'], ['Qe2', 'Kg6'], ['Rh1', 'h4'], ['Rf1', 'Qd6'], ['Qc4', 'Qe5\n'], ['Kc2', 'Kg5'], ['Rf3', 'Bf6'], ['a4', 'Kg6'], ['Qb5', 'Qe4+'], ['Kb2', 'Be5'], ['Qd3', 'Qb4+'], ['Kc1', 'Bf4+\n'], ['Kd1', 'Qxa4+'], ['Qc2', 'Qc4']]",1/2-1/2
WchT U26,Harrachov,1967.??.??,?,"Halfdanarson, Jon","Soltis, Andrew E",,,E84,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'O-O'], ['Be3', 'd6'], ['f3', 'Nc6'], ['Nge2', 'Rb8'], ['Qd2', 'Re8\n'], ['g4', 'a6'], ['Rc1', 'Nd7'], ['h4', 'e5'], ['d5', 'Nd4'], ['Nxd4', 'exd4'], ['Bxd4', 'Ne5'], ['Kf2', 'Qf6\n'], ['Bxe5', 'Qxe5'], ['Bh3', 'c5'], ['a4', 'b5'], ['axb5', 'axb5'], ['Nxb5', 'Ba6'], ['Bf1', 'f5'], ['exf5', 'Bxb5\n'], ['cxb5', 'gxf5'], ['gxf5', 'Rb7'], ['Rc4', 'Rxb5'], ['Rc2', 'Rb3'], ['Bh3', 'Rxf3+'], ['Kxf3', 'Qe4+\n'], ['Kg3', 'Be5+'], ['Kf2', 'Qxh1'], ['Qg5+', 'Kh8'], ['Qg2', 'Bd4+'], ['Kf3', 'Qd1+'], ['Kf4', 'Be3+']]",0-1
WchT U26,Harrachov,1967.??.??,?,"Soltis, Andrew E","Whiteley, Andrew J",,,C00,"[['e4', 'e6'], ['Qe2', 'c5'], ['b3', 'Nc6'], ['Bb2', 'd6'], ['Nf3', 'e5'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['O-O', 'Nge7\n'], ['Nh4', 'O-O'], ['f4', 'exf4'], ['Bxg7', 'Kxg7'], ['gxf4', 'd5'], ['f5', 'f6'], ['fxg6', 'hxg6'], ['exd5', 'Nb4\n'], ['Na3', 'g5'], ['Rae1', 'Nexd5'], ['Nf5+', 'Bxf5'], ['Rxf5', 'Nf4'], ['Rxf4', 'gxf4'], ['Qg4+', 'Kh8\n'], ['Qh5+', 'Kg7'], ['Kh1', 'Rh8'], ['Qxc5', 'Qxd2'], ['Qe7+', 'Kg8'], ['Rg1', 'Rh5'], ['Bd5+', '']]",1-0
Goldwater Marshall,New York,1968.??.??,1,"Seidman, Herbert","Soltis, Andrew E",,,B11,"[['e4', 'c6'], ['Nc3', 'd5'], ['Nf3', 'Bg4'], ['h3', 'Bxf3'], ['Qxf3', 'Nf6'], ['exd5', 'cxd5'], ['Bb5+', 'Nc6'], ['O-O', 'g6\n'], ['d3', 'a6'], ['Re1', 'Bg7'], ['Ba4', 'b5'], ['Bb3', 'Nd4'], ['Qg3', 'O-O'], ['Bg5', 'Rc8'], ['Qe5', 'Ne4\n'], ['Bxe7', 'Bxe5'], ['Bxd8', 'Nxc3'], ['Rxe5', 'Nce2+'], ['Kf1', 'Rfxd8'], ['Rxe2', 'Nxe2'], ['Kxe2', 'Kg7\n'], ['a4', 'b4'], ['a5', 'Kf6'], ['Ke3', 'Ke5'], ['f4+', 'Kd6'], ['Kd4', 'Rc5'], ['f5', 'Re8'], ['fxg6', 'hxg6\n'], ['Rf1', 'f5'], ['g4', 'Rf8'], ['gxf5', 'Rxf5'], ['Rg1', 'Rf4+'], ['Ke3', 'Rf6'], ['Rg4', 'Re6+'], ['Kf3', 'Rxa5\n'], ['Rxb4', 'Kc5'], ['Rb8', 'Ra1'], ['c3', 'Rf1+'], ['Kg4', 'Rg1+'], ['Kf4', 'Rf1+'], ['Kg5', 'Rf5+'], ['Kg4', 'Re2\n'], ['d4+', 'Kc6'], ['Bd1', 'Re1'], ['Rg8', 'Rg1+']]",0-1
Goldwater Marshall,New York,1968.??.??,2,"Soltis, Andrew E","Levy, Louis",,,C00,"[['e4', 'e6'], ['Qe2', 'c5'], ['b3', 'Nc6'], ['Bb2', 'Nf6'], ['g3', 'Be7'], ['e5', 'Nd5'], ['Bg2', 'O-O'], ['Nf3', 'f6\n'], ['O-O', 'fxe5'], ['Nxe5', 'Nxe5'], ['Bxe5', 'd6'], ['Bb2', 'Rb8'], ['d4', 'cxd4'], ['Bxd4', 'Bf6'], ['Bxf6', 'Qxf6\n'], ['Nd2', 'Nc3'], ['Qe3', 'Bd7'], ['Ne4', 'Nxe4'], ['Bxe4', 'd5'], ['Rad1', 'Bb5'], ['Bd3', 'Bxd3'], ['Rxd3', 'Rbc8\n'], ['c3', 'b6'], ['Re1', 'Rc6'], ['Qd2', 'Rfc8'], ['Ree3', '']]",1/2-1/2
Goldwater Marshall,New York,1968.??.??,3,"Bisguier, Arthur Bernard","Soltis, Andrew E",,,E70,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'O-O'], ['Bg5', 'c5'], ['d5', 'd6'], ['Bd3', 'a6'], ['a4', 'h6'], ['Bh4', 'e5\n'], ['dxe6', 'Bxe6'], ['f4', 'Nc6'], ['Nge2', 'g5'], ['Bg3', 'gxf4'], ['Nxf4', 'Ne5'], ['Qe2', 'Bg4'], ['Qd2', 'b5\n'], ['O-O', 'bxc4'], ['Bc2', 'Rb8'], ['Rab1', 'Nh5'], ['Nxh5', 'Bxh5'], ['Nd5', 'Bg6'], ['Rf4', 'c3'], ['Qxc3', 'Ng4\n'], ['Qc4', 'Qg5'], ['Rxg4', 'Qxg4'], ['Bxd6', 'Qe6'], ['Ne7+', 'Kh7'], ['Qxc5', 'Rfc8'], ['Qd5', 'Qxd5\n'], ['Nxd5', 'Rxb2'], ['Rxb2', 'Bxb2'], ['Bd3', 'Rd8'], ['Bc7', 'Rxd5'], ['exd5', 'Bxd3'], ['g4', 'Bd4+\n'], ['Kg2', 'Be4+']]",0-1
Goldwater Marshall,New York,1968.??.??,4,"Soltis, Andrew E","Mednis, Edmar John",,,C00,"[['e4', 'e6'], ['Qe2', 'c5'], ['b3', 'Nc6'], ['Bb2', 'Nf6'], ['Nf3', 'Be7'], ['e5', 'Nd5'], ['g3', 'f6'], ['Bg2', 'd6'], ['exd6', 'Qxd6\n'], ['Nc3', 'Nc7'], ['O-O', 'e5'], ['Nh4', 'O-O'], ['f4', 'exf4'], ['Rxf4', 'Nd4'], ['Qh5', 'f5'], ['Rf2', 'Rf6\n'], ['Qd1', 'Rh6'], ['Ne2', 'Bxh4'], ['gxh4', 'Rxh4'], ['Ng3', 'Qg6'], ['Qe1', 'Qd6'], ['Rc1', 'Bd7'], ['c3', 'Re8\n'], ['Qf1', 'Nc6'], ['d4', 'Re3'], ['Rf3', 'Rxf3'], ['Qxf3', 'cxd4'], ['cxd4', 'f4'], ['Ne4', 'Qg6'], ['d5', 'Nxd5\n'], ['Nc5', 'Ne3'], ['Nxd7', 'Rg4'], ['Kh1', 'Rxg2'], ['Ne5', 'Qe6'], ['Nxc6', 'bxc6'], ['Bd4', 'Rd2'], ['Qxf4', 'Qd5+']]",0-1
Goldwater Marshall,New York,1968.??.??,5,"Sherwin, James T","Soltis, Andrew E",,,A37,"[['Nf3', 'c5'], ['g3', 'Nc6'], ['Bg2', 'g6'], ['c4', 'Bg7'], ['Nc3', 'e5'], ['O-O', 'Nge7'], ['a3', 'd6'], ['Rb1', 'b6\n'], ['b4', 'Bb7'], ['d3', 'O-O'], ['bxc5', 'dxc5'], ['Ne1', 'Qc8'], ['Nc2', 'Nd4'], ['Ne4', 'Bc6'], ['e3', 'Ne6\n'], ['f4', 'f5'], ['Nf2', 'exf4'], ['gxf4', 'Qb7'], ['Bxc6', 'Qxc6'], ['Ne1', 'Rae8'], ['h4', 'h6'], ['Nf3', 'Qd6\n'], ['Nh3', 'Rd8'], ['Rb3', 'Nc6'], ['Bd2', 'Rf7'], ['Kh1', 'Bf6'], ['Qe2', 'Re8'], ['Qg2', 'Rg7'], ['Rg1', 'Ne7\n'], ['Bc3', 'Qxd3'], ['Nf2', 'Qc2'], ['Bxf6', 'Qxb3'], ['Bxg7', 'Nxg7'], ['Ne5', 'Qxe3'], ['Nxg6', 'Nxg6\n'], ['h5', 'Re6'], ['hxg6', 'Qxf4'], ['Qa8+', 'Re8'], ['Qd5+', 'Kh8'], ['Nh3', 'Qe4+'], ['Kh2', 'Qxd5'], ['cxd5', 'Nh5\n'], ['Rf1', 'Kg7'], ['Rxf5', 'Kxg6'], ['Rf2', 'Re4'], ['Rf8', 'Nf6'], ['Rd8', 'Kf7'], ['Kg2', 'Re8'], ['Rd6', 'Re2+\n'], ['Kf3', 'Ra2'], ['Nf4', 'Rxa3+'], ['Ke2', 'Ra4'], ['Kf3', 'Rd4'], ['Rd8', 'Ke7'], ['Ra8', 'Nxd5'], ['Rxa7+', 'Kd6\n'], ['Ne2', 'Rd3+'], ['Kg4', 'c4'], ['Ng3', 'c3']]",0-1
WchT U26,Ybbs,1968.??.??,?,"Soltis, Andrew E","Podgaets, Mikhail",,,B11,"[['e4', 'c6'], ['Nc3', 'd5'], ['Nf3', 'Bg4'], ['h3', 'Bxf3'], ['Qxf3', 'Nf6'], ['d3', 'e6'], ['Bd2', 'Nbd7'], ['g4', 'Bb4\n'], ['g5', 'Ng8'], ['a3', 'Ba5'], ['h4', 'd4'], ['Nb1', 'Ne7'], ['Bh3', 'Bxd2+'], ['Nxd2', 'Qc7'], ['h5', 'Rf8\n'], ['O-O-O', 'O-O-O'], ['Qg4', 'Kb8'], ['f4', 'c5'], ['Kb1', 'Nb6'], ['Nc4', 'Na4'], ['e5', 'Nd5'], ['Bg2', 'Ne3\n'], ['Nxe3', 'dxe3'], ['Ka1', 'Qb6'], ['Rb1', 'c4'], ['Be4', 'g6'], ['hxg6', 'hxg6'], ['Qf3', 'Nc5'], ['dxc4', 'Rd4\n'], ['Bd3', '']]",1/2-1/2
