BCF-ch U14,Rhyl,1969.??.??,?,"Speelman, Jonathan S","Fletcher, John",,,C57,"[['e4', 'e5'], ['Nf3', 'Nf6'], ['Bc4', 'Nc6'], ['Ng5', 'd5'], ['exd5', 'Nxd5'], ['Nxf7', 'Kxf7'], ['Qf3+', 'Ke6'], ['Nc3', 'Nb4\n'], ['d4', 'c6'], ['Qe4', 'Kf7'], ['a3', 'Qa5'], ['axb4', 'Qxa1'], ['Nxd5', 'Qxc1+'], ['Ke2', 'Qxh1'], ['Nc7+', 'Ke7\n'], ['Qxe5+', 'Kd7'], ['Nxa8', 'Qxg2'], ['Qc7+', '']]",1-0
BCF-ch,Brighton,1972.08.14,1,"Basman, Michael J","Speelman, Jonathan S",,,B02,"[['e4', 'Nf6'], ['e5', 'Nd5'], ['Nc3', 'e6'], ['g3', 'd6'], ['exd6', 'Bxd6'], ['Bg2', 'O-O'], ['Nge2', 'Bd7'], ['Nxd5', 'exd5\n'], ['Bxd5', 'Bh3'], ['Bxb7', 'Nd7'], ['d4', 'Rb8'], ['Bf3', 'Qf6'], ['Ng1', 'Rfe8+'], ['Be3', 'Bf5'], ['g4', 'Bg6\n'], ['b3', 'c5'], ['Kf1', 'cxd4'], ['Bxd4', 'Be5'], ['c3', 'Rbd8'], ['Kg2', 'Bxd4'], ['cxd4', 'Ne5'], ['Bb7', 'Nd3\n'], ['Nh3', 'Rxd4'], ['Qf3', 'Qe6'], ['Rhd1', 'h6'], ['Rxd3', 'Rxd3'], ['Nf4', 'Rxf3'], ['Nxe6', 'Rc3'], ['Nf4', 'Be4+\n'], ['Bxe4', 'Rxe4'], ['Nd5', 'Rxg4+'], ['Kf1', 'Rc5'], ['Rd1', 'Re4'], ['Ne3', 'Re7'], ['Rd8+', 'Kh7'], ['b4', 'Rc1+\n'], ['Ke2', 'Rc2+'], ['Rd2', 'Rxd2+']]",0-1
BCF-ch,Brighton,1972.08.15,2,"Speelman, Jonathan S","Pritchett, Craig William",,,A22,"[['c4', 'e5'], ['Nc3', 'Nf6'], ['g3', 'Bb4'], ['Bg2', 'O-O'], ['e4', 'c6'], ['Nge2', 'd5'], ['cxd5', 'cxd5'], ['exd5', 'Bf5\n'], ['d4', 'e4'], ['O-O', 'Nbd7'], ['h3', 'h6'], ['Qb3', 'Qa5'], ['a3', 'Bxc3'], ['Nxc3', 'Nb6'], ['Bd2', 'Qa6\n'], ['Rfc1', 'Qc4'], ['Qd1', 'Nfxd5'], ['Nxe4', 'Qxd4'], ['Nc3', 'Rad8'], ['Nxd5', 'Nxd5'], ['Ba5', 'Qxd1+\n'], ['Rxd1', 'b6'], ['Be1', 'Be6'], ['Rd4', 'Nf6'], ['Rad1', 'Rxd4'], ['Rxd4', 'Rc8'], ['Bc3', 'Nd7'], ['h4', 'Rc4\n'], ['Rxc4', 'Bxc4'], ['f4', 'Be6'], ['Kf2', 'h5'], ['Ke3', 'g6'], ['a4', 'Kf8'], ['a5', 'Ke7'], ['Bb4+', 'Kf6\n'], ['Kd4', 'Kf5'], ['Bf3', 'Kf6'], ['axb6', 'axb6'], ['Bd6', 'Kg7'], ['Kc3', 'f5'], ['Kb4', 'Kf7'], ['Kb5', 'Bb3\n'], ['Kc6', 'Ke6'], ['Bb4', 'Nf6'], ['Kxb6', 'Ne4']]",1/2-1/2
BCF-ch,Brighton,1972.08.16,3,"Haygarth, Michael J","Speelman, Jonathan S",,,B06,"[['d4', 'g6'], ['e4', 'Bg7'], ['Nc3', 'd6'], ['Be2', 'c6'], ['Nf3', 'b5'], ['a3', 'a6'], ['Bg5', 'Nf6'], ['h3', 'O-O'], ['O-O', 'h6\n'], ['Be3', 'Qc7'], ['Qd2', 'Kh7'], ['Rad1', 'Nbd7'], ['Nh2', 'a5'], ['Bd3', 'b4'], ['axb4', 'axb4'], ['Ne2', 'c5\n'], ['Ng3', 'Bb7'], ['c4', 'cxd4'], ['Bxd4', 'Nc5'], ['Qxb4', 'Ra4'], ['Qc3', 'Nxd3'], ['b3', 'Ra2'], ['Qxd3', 'Qc6\n'], ['Rfe1', 'Rfa8'], ['Nf3', 'R8a3'], ['Rd2', 'Rxd2'], ['Nxd2', 'Kg8'], ['Nf3', 'h5'], ['e5', 'dxe5'], ['Rxe5', 'Qd7\n'], ['Re3', 'Ba8'], ['Bb2', 'Qxd3'], ['Rxd3', 'Ra2'], ['Be5', 'Bxf3'], ['Rxf3', 'Rd2'], ['Kf1', 'h4'], ['Bxf6', 'exf6\n'], ['Ne4', 'Rb2']]",1-0
BCF-ch,Brighton,1972.08.17,4,"Speelman, Jonathan S","Bellin, Robert",,,B25,"[['e4', 'c5'], ['Nc3', 'Nc6'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['d3', 'd6'], ['f4', 'e6'], ['Nf3', 'Nge7'], ['O-O', 'O-O\n'], ['Be3', 'Rb8'], ['Qd2', 'b5'], ['a3', 'f5'], ['e5', 'dxe5'], ['fxe5', 'Qc7'], ['a4', 'bxa4'], ['Nxa4', 'Nxe5\n'], ['Nxe5', 'Bxe5'], ['Qf2', 'Nc6'], ['Bxc5', 'Rd8'], ['Be3', 'Bd4'], ['c3', 'Bxe3'], ['Qxe3', 'Ne5'], ['Qf4', 'Qd6\n'], ['d4', 'Nc4'], ['Qxd6', 'Rxd6'], ['Rf2', 'Bb7'], ['Bxb7', 'Rxb7'], ['Nc5', 'Rxb2'], ['Rxb2', 'Nxb2'], ['Rxa7', 'Nd1']]",1/2-1/2
BCF-ch,Brighton,1972.08.18,5,"Littlewood, John Eric","Speelman, Jonathan S",,,B04,"[['e4', 'Nf6'], ['e5', 'Nd5'], ['d4', 'd6'], ['Nf3', 'g6'], ['Bc4', 'Nb6'], ['Bb3', 'Bg7'], ['exd6', 'cxd6'], ['O-O', 'O-O\n'], ['Re1', 'h6'], ['a4', 'a5'], ['Na3', 'Nc6'], ['c3', 'Nd7'], ['Qe2', 'Re8'], ['Bxf7+', 'Kxf7'], ['Qe6+', 'Kf8\n'], ['Qxg6', 'e6'], ['Bxh6', 'Qf6'], ['Rxe6', 'Rxe6'], ['Bxg7+', 'Qxg7'], ['Qxe6', 'Qf6'], ['Qb3', 'Qf7\n'], ['Qxf7+', 'Kxf7'], ['Nb5', 'd5'], ['Nc7', 'Rb8'], ['Re1', 'Nb6'], ['b3', 'Bf5'], ['h4', 'Bc2'], ['Ng5+', '']]",1-0
BCF-ch,Brighton,1972.08.19,6,"Speelman, Jonathan S","Hutchings, Stuart J",,,A17,"[['c4', 'Nf6'], ['Nc3', 'e6'], ['Nf3', 'Bb4'], ['g3', 'O-O'], ['Bg2', 'd5'], ['a3', 'Bxc3'], ['bxc3', 'Nc6'], ['cxd5', 'exd5\n'], ['O-O', 'Re8'], ['d3', 'Ne7'], ['a4', 'c5'], ['Rb1', 'Nc6'], ['Re1', 'h6'], ['Nd2', 'b6'], ['c4', 'Bb7'], ['cxd5', 'Nxd5\n'], ['Bb2', 'Nf6'], ['Nc4', 'Qe7'], ['Qb3', 'Rad8']]",1/2-1/2
BCF-ch,Brighton,1972.08.21,7,"Lemon, RC.","Speelman, Jonathan S",,,E74,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Be2', 'O-O'], ['Bg5', 'c5'], ['d5', 'h6'], ['Be3', 'e6'], ['dxe6', 'Bxe6\n'], ['Qd2', 'Kh7'], ['O-O-O', 'Qa5'], ['f3', 'b5'], ['Nxb5', 'Qxa2'], ['Qc2', 'Nc6'], ['Nc3', 'Qa5'], ['Rxd6', 'Nd4\n'], ['Qa4', 'Qxa4'], ['Nxa4', 'Ne8'], ['Rxe6', 'Nxe6'], ['Nxc5', 'N8c7'], ['Nh3', 'Rfb8'], ['Nd3', 'Bd4\n'], ['Bd2', 'Rb3'], ['Kc2', 'Rab8'], ['Bc1', 'Na6'], ['Nhf4', 'Nxf4'], ['Bxf4', 'R8b7'], ['Bc1', 'R3b6'], ['Rd1', 'Bg7\n'], ['f4', 'Rc7'], ['Nf2', 'Nb4+'], ['Kb1', 'a5'], ['e5', 'a4'], ['Ne4', 'Bf8'], ['Rd8', 'a3'], ['Nf6+', 'Rxf6\n'], ['exf6', 'a2+'], ['Ka1', 'Ra7'], ['Bd1', 'Bc5'], ['Bd2', 'Nc6'], ['Rc8', 'Bd4'], ['Bc3', 'Bxc3'], ['bxc3', 'Na5\n'], ['c5', 'Rd7'], ['Ba4', 'Rd3'], ['Kxa2', '']]",1-0
BCF-ch,Brighton,1972.08.22,8,"Speelman, Jonathan S","Edwards, Raymond",,,A25,"[['c4', 'e5'], ['Nc3', 'Nc6'], ['g3', 'd6'], ['Bg2', 'g6'], ['e3', 'Bg7'], ['Nge2', 'Be6'], ['d3', 'Qd7'], ['Nd5', 'Nge7\n'], ['Rb1', 'O-O'], ['O-O', 'Nd8'], ['b4', 'c6'], ['Nxe7+', 'Qxe7'], ['b5', 'Qd7'], ['bxc6', 'bxc6'], ['Ba3', 'Rc8\n'], ['Qd2', 'f5'], ['f4', 'Nf7'], ['Rb3', 'g5'], ['Rfb1', 'h6'], ['Qa5', 'Rc7'], ['Rb8', 'Rxb8'], ['Rxb8+', 'Kh7\n'], ['Qb4', 'd5'], ['c5', 'Rc8'], ['Rb7', 'Rc7'], ['Rb8', 'Rc8'], ['Rxc8', 'Qxc8'], ['Bf1', 'Qc7'], ['Bb2', 'Bd7\n'], ['Bh3', '']]",1/2-1/2
BCF-ch,Brighton,1972.08.23,9,"Emsley, JS.","Speelman, Jonathan S",,,A26,"[['c4', 'g6'], ['g3', 'Bg7'], ['Bg2', 'Nc6'], ['d3', 'd6'], ['Nf3', 'e5'], ['Nc3', 'f5'], ['O-O', 'Nf6'], ['Bg5', 'h6'], ['Bxf6', 'Qxf6\n'], ['Nd5', 'Qf7'], ['Nd2', 'Nd4'], ['e3', 'Ne6'], ['Nc3', 'O-O'], ['f4', 'c6'], ['Rc1', 'Bd7'], ['b4', 'Rae8\n'], ['Kh1', 'exf4'], ['gxf4', 'g5'], ['fxg5', 'hxg5'], ['Nce4', 'g4'], ['Nxd6', 'Qh5'], ['d4', 'Re7'], ['c5', 'Ng5\n'], ['N2c4', 'Rf6'], ['Qe1', 'Rh6'], ['Qg3', 'Nf7'], ['Nxf7', 'Rxf7'], ['Rf4', 'Bf6'], ['Bf1', 'Be6'], ['Nd6', 'Rfh7\n'], ['Rc2', 'Bd5+'], ['e4', 'fxe4'], ['Rxg4+', 'Kf8'], ['Bg2', 'Qxh2+'], ['Qxh2', 'Rxh2+'], ['Kg1', 'Bxd4+\n'], ['Kf1', 'R2h4'], ['Rxh4', 'Rxh4'], ['Ke1', 'Rh7'], ['Nxe4', 'Bxe4'], ['Bxe4', 'Re7'], ['Re2', 'Bc3+\n'], ['Kd1', 'Bxb4'], ['Rf2+', 'Kg7'], ['Rg2+', 'Kf6'], ['Bd3', 'Bxc5'], ['Rg6+', 'Kf7'], ['Rg5', 'Bd4'], ['Kc2', 'Ke8\n'], ['Rg8+', 'Kd7'], ['Bf5+', 'Kc7'], ['Kd3', 'Bc5'], ['Rh8', 'Re3+'], ['Kc4', 'b5+'], ['Kxc5', 'Re5+'], ['Kb4', 'Rxf5\n'], ['Ka5', 'Rf4'], ['Rh7+', 'Kd6'], ['Ka6', 'Ra4+'], ['Kb7', 'Rxa2'], ['Rh6+', 'Kc5'], ['Rh5+', 'Kb4'], ['Kxc6', 'Rc2+\n'], ['Kb7', 'Ka4'], ['Kxa7', 'b4'], ['Kb6', 'b3'], ['Ra5+', 'Kb4'], ['Rb5+', 'Kc3'], ['Rc5+', 'Kd2'], ['Rb5', 'b2\n'], ['Ka5', 'Kc1']]",0-1
BCF-ch,Brighton,1972.08.24,10,"Speelman, Jonathan S","James, Geoffrey H",,,C11,"[['e4', 'e6'], ['Nc3', 'd5'], ['Nf3', 'Nf6'], ['e5', 'Nfd7'], ['d4', 'b6'], ['Bg5', 'Be7'], ['h4', 'c6'], ['Rh3', 'Ba6\n'], ['Bxa6', 'Nxa6'], ['Rg3', 'Bxg5'], ['Nxg5', 'Qe7'], ['Qe2', 'Nc7'], ['O-O-O', 'O-O-O'], ['f4', 'f6'], ['Nf3', 'Qf7\n'], ['Qe3', 'Rhg8'], ['Ne2', 'Qh5'], ['Rh3', 'Rdf8'], ['Rg1', 'f5'], ['Ng3', 'Qe8'], ['h5', 'h6'], ['Nh4', 'Rf7\n'], ['Ng6', 'Nf8'], ['Nxf8', 'Qxf8'], ['Ne2', 'g6'], ['hxg6', 'Rxg6'], ['Qa3', '']]",1/2-1/2
