Haag olm,Haag,1928.??.??,?,"Stahlberg, Gideon","Maderna, Carlos",,,A03,"[['f4', 'd5'], ['e3', 'Nf6'], ['Nf3', 'g6'], ['b3', 'Bg7'], ['Bb2', 'c5'], ['Bb5+', 'Bd7'], ['Qe2', 'a6'], ['Bxd7+', 'Nbxd7\n'], ['d3', 'O-O'], ['e4', 'd4'], ['Nbd2', 'Qc7'], ['g3', 'e5'], ['fxe5', 'Nxe5'], ['Nxe5', 'Qxe5'], ['O-O', 'Nh5\n'], ['Rae1', 'Rae8'], ['Bc1', 'Qc7'], ['g4', 'Nf4'], ['Qf3', 'Ne6'], ['Nc4', 'b5'], ['Nb2', 'Be5'], ['Re2', 'f6\n'], ['h4', 'Bg3'], ['h5', 'g5'], ['Kg2', 'Bf4'], ['Ree1', 'Qa5'], ['a4', 'Qc3'], ['Qd1', 'Rc8'], ['Kh1', 'c4\n'], ['bxc4', 'bxc4'], ['Bxf4', 'Nxf4'], ['Nxc4', 'Rxc4'], ['Rxf4', 'gxf4'], ['dxc4', 'Qh3+'], ['Kg1', 'Qg3+\n'], ['Kf1', 'Qh3+'], ['Ke2', 'Qg2+'], ['Kd3', 'Qg3+'], ['Kd2', 'Qc3+'], ['Ke2', 'Qe3+'], ['Kf1', 'Qh3+']]",0-1
Haag olm,Haag,1928.??.??,?,"Hellmann, Ernesto","Stahlberg, Gideon",,,A02,"[['f4', 'e5'], ['fxe5', 'd6'], ['exd6', 'Bxd6'], ['Nf3', 'g5'], ['g3', 'h5'], ['d4', 'g4'], ['Nh4', 'Be7'], ['Ng2', 'h4\n'], ['Bf4', 'Bf5'], ['Nc3', 'hxg3'], ['Bxg3', 'Nf6'], ['Nf4', 'Ne4'], ['Nxe4', 'Bxe4'], ['Bg2', 'Bxg2'], ['Nxg2', 'Qd5\n'], ['Rg1', 'Nc6'], ['Bxc7', 'Rc8'], ['Bg3', 'Qb5'], ['Rb1', 'Qa5+'], ['c3', 'Qxa2'], ['Rf1', 'Qd5'], ['Ne3', 'Qd7\n'], ['Qb3', 'Nd8'], ['Nf5', 'Rc6'], ['Ra1', 'a6'], ['e4', 'b5'], ['Kf2', 'Ne6'], ['Kg2', 'Ng5'], ['Rf4', 'Kf8\n'], ['Raf1', 'Rc4'], ['Ne3', 'Rc6'], ['Rxf7+', 'Ke8'], ['R1f5', 'Nxf7'], ['Qxf7+', 'Kd8'], ['Rd5', 'Bd6\n'], ['Qf6+', '']]",1-0
Haag olm,Haag,1928.??.??,?,"Stahlberg, Gideon","Bernabe, A.",,,C11,"[['d4', 'Nf6'], ['Nc3', 'd5'], ['Bg5', 'e6'], ['e4', 'dxe4'], ['Bxf6', 'Qxf6'], ['Nxe4', 'Qd8'], ['Nf3', 'Nd7'], ['Bd3', 'Be7\n'], ['Qe2', 'O-O'], ['h4', 'b6'], ['Neg5', 'g6'], ['O-O-O', 'Bb7'], ['Rde1', 'Bxf3'], ['Nxf3', 'Nf6'], ['h5', 'gxh5\n'], ['Ng5', 'Qd5'], ['Nxh7', 'Qxa2'], ['c3', 'Qa1+'], ['Kc2', 'Qa4+'], ['Kb1', 'Rfd8'], ['Qe5', 'Nd5'], ['Qg3+', 'Kh8\n'], ['Bc2', 'Qa5'], ['Re5', 'Bd6'], ['Rhxh5', 'Nxc3+'], ['bxc3', '']]",1-0
Gothenburg m,Gothenburg,1930.??.??,1,"Stahlberg, Gideon","Bogoljubow, Efim",,,C30,"[['e4', 'e5'], ['Bc4', 'Nc6'], ['d3', 'Nf6'], ['Nc3', 'Bc5'], ['f4', 'd6'], ['Nf3', 'a6'], ['f5', 'Nd4'], ['Bg5', 'c6'], ['Nxd4', 'Bxd4\n'], ['Qd2', 'h6'], ['Bxf6', 'Qxf6'], ['Bb3', 'Bd7'], ['Nd1', 'O-O-O'], ['c3', 'Ba7'], ['Ne3', 'Qg5'], ['Nc4', 'Kc7\n'], ['Qxg5', 'hxg5'], ['Nd2', 'f6'], ['Bd1', 'd5'], ['Bg4', 'g6'], ['Ke2', 'Rh4'], ['h3', 'gxf5'], ['exf5', 'Rh7\n'], ['Rae1', 'b5'], ['Kd1', 'a5'], ['Kc2', 'Rb8'], ['b3', 'Kd6'], ['Nf3', 'Bc8'], ['Rd1', 'b4'], ['c4', 'Bf2\n'], ['Rdf1', 'Be3'], ['Re1', 'Bf4'], ['Rhg1', 'Bg3'], ['Re2', 'a4'], ['Rb1', 'Ra7'], ['Nd2', 'axb3+'], ['axb3', 'Ra2+\n'], ['Rb2', 'Ra1'], ['Rb1', 'Rba8'], ['Rxa1', 'Rxa1'], ['Nb1', 'Bf2'], ['Kc1', 'Bd4'], ['g3', 'e4'], ['dxe4', 'dxc4\n'], ['bxc4', 'Ba6']]",0-1
Gothenburg m,Gothenburg,1930.??.??,2,"Bogoljubow, Efim","Stahlberg, Gideon",,,D15,"[['d4', 'd5'], ['c4', 'c6'], ['Nf3', 'Nf6'], ['Nc3', 'Bf5'], ['cxd5', 'Nxd5'], ['Qb3', 'Nxc3'], ['bxc3', 'Qb6'], ['Nd2', 'Bg6\n'], ['e4', 'Nd7'], ['f4', 'f6'], ['f5', 'Bf7'], ['Bc4', 'Qxb3'], ['axb3', 'Nb6'], ['Be6', 'g6'], ['Nc4', 'Nxc4\n'], ['bxc4', 'Bg7'], ['O-O', 'O-O'], ['Bf4', 'Bxe6'], ['fxe6', 'f5'], ['e5', 'Rfd8'], ['Rfb1', 'b6'], ['Ra6', 'Rdb8\n'], ['Kf2', 'h6'], ['h4', 'Kh7'], ['Ke3', 'Rb7'], ['Kd3', 'Rab8'], ['Kc2', 'Rc8'], ['c5', 'Rcb8'], ['cxb6', 'axb6\n'], ['Rba1', 'c5'], ['Ra8', 'cxd4'], ['cxd4', 'Rxa8'], ['Rxa8', 'Rc7+'], ['Kd3', '']]",1-0
Gothenburg m,Gothenburg,1930.??.??,3,"Stahlberg, Gideon","Bogoljubow, Efim",,,D35,"[['d4', 'd5'], ['c4', 'e6'], ['Nf3', 'c6'], ['Nc3', 'Nf6'], ['Bg5', 'Nbd7'], ['cxd5', 'exd5'], ['e3', 'Be7'], ['Bd3', 'Ne4\n'], ['Bf4', 'Ndf6'], ['Qc2', 'O-O'], ['O-O', 'Nd6'], ['Bxd6', 'Bxd6'], ['Ne5', 'c5'], ['Rad1', 'Qe8'], ['f4', 'c4\n'], ['Bf5', 'b5'], ['Rf3', 'Be6'], ['Rh3', 'g6'], ['Bxe6', 'fxe6'], ['Nf3', 'b4'], ['Nb1', 'a5'], ['Ng5', 'Ra7\n'], ['Nd2', 'a4'], ['Ndf3', 'b3'], ['axb3', 'axb3'], ['Qb1', 'Re7'], ['Ne5', 'Bxe5'], ['fxe5', 'Ng4'], ['Rf1', 'Rf5\n'], ['Rxf5', 'gxf5'], ['e4', 'dxe4'], ['Rc3', 'Rd7'], ['Rxc4', 'Nxe5'], ['Nxe4', 'Qd8'], ['Nf6+', 'Qxf6\n'], ['dxe5', 'Qd8'], ['Rc1', 'Rd2'], ['Qa1', 'Kf7'], ['Qa7+', 'Kg6'], ['h4', 'Qxh4'], ['Qa8', 'Qd4+'], ['Kh1', 'Qxe5\n'], ['Qg8+', 'Kh6'], ['Rg1', 'Qf6'], ['Qg3', 'Qg5']]",0-1
Gothenburg m,Gothenburg,1930.??.??,4,"Bogoljubow, Efim","Stahlberg, Gideon",,,C11,"[['d4', 'e6'], ['e4', 'd5'], ['Nc3', 'Nf6'], ['Bg5', 'dxe4'], ['Nxe4', 'Be7'], ['Nc3', 'Nd5'], ['Bxe7', 'Qxe7'], ['Nf3', 'Nd7\n'], ['Bd3', 'b6'], ['O-O', 'Nxc3'], ['bxc3', 'Bb7'], ['Re1', 'O-O'], ['a4', 'Rfd8'], ['Qe2', 'Nf6'], ['a5', 'c5\n'], ['axb6', 'axb6'], ['Rxa8', 'Bxa8'], ['Rb1', 'Qd6'], ['Qe5', 'Bxf3'], ['Qxd6', 'Rxd6'], ['dxc5', 'Rd8\n'], ['gxf3', 'bxc5'], ['Rb5', 'Rc8'], ['c4', 'Kf8'], ['Rb7', 'Ne8'], ['Kf1', 'Rc7'], ['Rb8', 'Ke7'], ['Ke2', 'Nd6\n'], ['Kd2', 'Kf6'], ['f4', 'h6'], ['Ra8', 'g5'], ['fxg5+', 'hxg5'], ['h4', 'gxh4'], ['Rh8', 'Kg5'], ['Rg8+', 'Kf4\n'], ['Rh8', 'Kf3'], ['Ke1', 'Nf5'], ['Bxf5', 'exf5'], ['Rxh4', 'Re7+'], ['Kf1', 'Re4'], ['Rh3+', 'Kf4'], ['Rc3', 'Ke5\n'], ['f3', 'Rh4'], ['Kg2', 'Kd4'], ['Ra3', 'f4'], ['Ra7', 'Rh7'], ['Re7', 'Kxc4'], ['Re4+', 'Kc3'], ['Rxf4', 'c4\n'], ['Kg3', 'f5'], ['Rxf5', 'Rc7'], ['Rh5', 'Kxc2'], ['f4', 'c3'], ['f5', 'Kd3'], ['Rh1', 'Ke4'], ['f6', 'Rf7\n'], ['Re1+', 'Kd5'], ['Rd1+', 'Kc4'], ['Rf1', '']]",1/2-1/2
Hamburg ol,Hamburg,1930.??.??,?,"Stahlberg, Gideon","Alekhine, Alexander",,,E23,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['Qb3', 'c5'], ['dxc5', 'Nc6'], ['Nf3', 'Ne4'], ['Bd2', 'Nxc5'], ['Qc2', 'f5\n'], ['a3', 'Bxc3'], ['Bxc3', 'O-O'], ['b4', 'Ne4'], ['e3', 'b6'], ['Bd3', 'Nxc3'], ['Qxc3', 'Bb7'], ['O-O', 'Ne7\n'], ['Be2', 'Qe8'], ['Rfd1', 'Rd8'], ['a4', 'f4'], ['a5', 'fxe3'], ['Qxe3', 'Nf5'], ['Qc3', 'd6'], ['axb6', 'axb6\n'], ['Ne1', 'e5'], ['Ra7', 'Nd4'], ['Qe3', 'Rd7'], ['Ra2', 'Rdf7'], ['f3', 'Rf4'], ['Bd3', 'Qh5'], ['Bf1', 'Qg5\n'], ['Rf2', 'h6'], ['Kh1', 'Rxf3']]",0-1
Hamburg ol,Hamburg,1930.??.??,?,"Stahlberg, Gideon","Kashdan, Isaac",,,E23,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['Qb3', 'c5'], ['dxc5', 'Nc6'], ['Nf3', 'Ne4'], ['Bd2', 'Nxc5'], ['Qc2', 'O-O\n'], ['e4', 'Qf6'], ['O-O-O', 'b6'], ['Bd3', 'a5'], ['Kb1', 'Qg6'], ['Rhg1', 'Ba6'], ['Be3', 'Nxd3'], ['Qxd3', 'Bxc3\n'], ['bxc3', 'd5'], ['exd5', 'Qxd3+'], ['Rxd3', 'Bxc4'], ['Rd2', 'Bxd5'], ['Bxb6', 'Rfb8'], ['Rb2', 'a4\n'], ['Bc7', 'Rc8'], ['Bf4', 'Na5'], ['Rc1', 'Be4+'], ['Ka1', 'Nb3+']]",0-1
Stockholm,Stockholm,1930.??.??,?,"Kashdan, Isaac","Stahlberg, Gideon",,,C11,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['Bg5', 'dxe4'], ['Nxe4', 'Be7'], ['Bxf6', 'Bxf6'], ['Nf3', 'Nd7'], ['Nxf6+', 'Qxf6\n'], ['Bc4', 'O-O'], ['Qe2', 'Rd8'], ['O-O', 'b6'], ['Ba6', 'Bxa6'], ['Qxa6', 'c5']]",1/2-1/2
