London m,London,1840.??.??,?,"Popert, HW.","Staunton, Howard",,,C45,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['d4', 'exd4'], ['Nxd4', 'Qh4'], ['Qd3', 'Nf6'], ['Nc3', 'Bb4'], ['Bd2', 'Ne5'], ['Qe3', 'd6\n'], ['Bd3', 'O-O'], ['Nf3', 'Qh5'], ['Nxe5', 'dxe5'], ['O-O', 'Bxc3'], ['Bxc3', 'Re8'], ['Qg3', 'Qh6'], ['Rad1', 'Nh5\n'], ['Qf3', 'Nf6'], ['h3', 'Bd7'], ['Qg3', 'Nh5'], ['Qh4', 'Qg6'], ['Bd2', 'h6'], ['g4', 'Nf6'], ['Bc3', 'Bc6\n'], ['f4', 'Nxe4'], ['Rde1', 'Rac8'], ['Bxe5', 'f6'], ['Bxe4', 'Bxe4'], ['f5', 'Bxf5'], ['Rxf5', 'fxe5'], ['Qf2', 'e4\n'], ['Qxa7', 'Qd6'], ['Qe3', 'Re6'], ['Kg2', 'b6'], ['Re2', 'Rce8'], ['c4', 'Qc6'], ['b3', 'Rd8'], ['Qf2', 'e3+\n'], ['Qf3', 'Qe8'], ['Rd5', 'Rxd5'], ['Qxd5', 'Kh8'], ['Kg3', 'Qe7'], ['Qf5', 'c6'], ['Qf4', 'c5'], ['h4', 'Re4\n'], ['Qf5', 'Qd6+'], ['Kf3', 'Re8'], ['Kg2', 'Rf8'], ['Qe4', 'Rf4'], ['Qe8+', 'Kh7'], ['Qxe3', 'Rxg4+'], ['Kh3', 'Rd4\n'], ['Qe5', 'Rd3+'], ['Kg2', 'Qc6+'], ['Qe4+', 'Qxe4+'], ['Rxe4', 'Rd2+'], ['Kf3', 'Rxa2']]",1/2-1/2
London m,London,1840.??.??,?,"Staunton, Howard","Popert, HW.",,,C02,"[['e4', 'e6'], ['d4', 'd5'], ['e5', 'c5'], ['c3', 'Nc6'], ['Nf3', 'Bd7'], ['a3', 'Rc8'], ['b4', 'cxd4'], ['cxd4', 'Be7\n'], ['Bd3', 'f6'], ['Bd2', 'f5'], ['Qe2', 'Rc7'], ['O-O', 'g5'], ['b5', 'Nb8'], ['Nxg5', 'h5'], ['Nh3', 'h4'], ['Nc3', 'Nh6\n'], ['a4', 'Kf7'], ['Rac1', 'Qg8'], ['f3', 'Ke8'], ['Rfe1', 'Rc8'], ['Bf4', 'Bd8'], ['Nxd5', 'Rxc1'], ['Rxc1', 'exd5\n'], ['e6', 'Qxe6'], ['Qxe6+', 'Bxe6'], ['Bxb8', 'Bb6'], ['Be5', 'Rg8'], ['Nf4', 'Nf7'], ['Nxe6', 'Nxe5'], ['Bxf5', 'Nxf3+\n'], ['Kf2', 'Nxd4'], ['Nxd4', 'Bxd4+'], ['Kf3', 'Kf7'], ['Rd1', 'Be5'], ['Rxd5', 'Bxh2'], ['Rd7+', 'Kf6\n'], ['Bg4', 'Rg7'], ['Rd6+', 'Bxd6']]",0-1
London m,London,1840.??.??,?,"Staunton, Howard","Popert, HW.",,,C23,"[['e4', 'e5'], ['Bc4', 'Bc5'], ['c3', 'd6'], ['Nf3', 'Nf6'], ['d4', 'exd4'], ['cxd4', 'Bb4+'], ['Bd2', 'Bxd2+'], ['Nbxd2', 'O-O\n'], ['Bd3', 'Nc6'], ['a3', 'Bg4'], ['Qc2', 'h6'], ['Rc1', 'd5'], ['e5', 'Bxf3'], ['Nxf3', 'Nh5'], ['g3', 'g6'], ['b4', 'Qd7\n'], ['Qd2', 'Kh7'], ['O-O', 'Rae8'], ['Rc3', 'Nd8'], ['Nh4', 'c6'], ['f4', 'f5'], ['g4', 'Ng7'], ['gxf5', 'Nxf5\n'], ['Nxf5', 'gxf5'], ['Kh1', 'Rg8'], ['Rcc1', 'Qf7'], ['Qc2', 'Ref8'], ['Rg1', 'Ne6'], ['Rxg8', 'Kxg8'], ['Rg1+', 'Kh8\n'], ['Qf2', 'Qh5'], ['Be2', 'Qf7'], ['Qh4', 'Qh7'], ['Bh5', 'Nxd4'], ['Rg3', 'b6'], ['Bg6', 'Qg7'], ['Bf7', 'Rxf7\n'], ['Rxg7', 'Kxg7'], ['Kg2', '']]",1-0
London m,London,1840.??.??,?,"Staunton, Howard","Popert, HW.",,,C44,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['d4', 'exd4'], ['Bc4', 'Bb4+'], ['c3', 'dxc3'], ['bxc3', 'Ba5'], ['e5', 'd6'], ['Qb3', 'Qe7\n'], ['O-O', 'dxe5'], ['Ba3', 'Qf6'], ['Nbd2', 'Bf5'], ['Bxf7+', 'Qxf7'], ['Qxb7', 'Rd8'], ['Qxc6+', 'Bd7\n'], ['Qc5', 'Bb6'], ['Qxe5+', 'Ne7'], ['Rae1', 'c5'], ['Ne4', 'Bc6'], ['Nfg5', '']]",1-0
London,London,1840.??.??,?,"Staunton, Howard",NN,,,C52,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Ba5'], ['O-O', 'd6'], ['Qb3', 'Qe7'], ['d4', 'exd4\n'], ['e5', 'dxe5'], ['Ba3', 'Qf6'], ['cxd4', 'e4'], ['Ng5', 'Nh6'], ['Nxe4', 'Qxd4'], ['Nbc3', 'Bxc3'], ['Ng5', 'Na5\n'], ['Bxf7+', 'Kd8'], ['Ne6+', 'Bxe6'], ['Qxe6', 'Nc6'], ['Rad1', 'Bd2'], ['Rfe1', 'Nxf7'], ['Qxf7', '']]",1-0
London m,London,1840.??.??,3,"Popert, HW.","Staunton, Howard",,,B33,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'e5'], ['Nf3', 'Nf6'], ['Nc3', 'Bb4'], ['Bg5', 'O-O'], ['Bc4', 'Bxc3+\n'], ['bxc3', 'Qa5'], ['Qd3', 'd5'], ['exd5', 'e4'], ['Qd2', 'exf3'], ['Bxf6', 'Re8+'], ['Kf1', 'gxf6'], ['dxc6', 'Qh5\n'], ['h3', 'fxg2+'], ['Kxg2', 'Kh8'], ['Qf4', 'Rg8+'], ['Kf1', 'Qg6'], ['Bd3', 'Qg2+'], ['Ke2', 'Qxc6'], ['Bxh7', 'Qb5+\n'], ['Bd3', 'Qe5+'], ['Qxe5', 'fxe5'], ['Rab1', 'f5'], ['Rb5', 'Re8'], ['Bc4', 'a6'], ['Rb6', 'Bd7'], ['Rh6+', 'Kg7\n'], ['Rd6', 'Bb5'], ['Rg1+', 'Kh7'], ['Bxb5', 'axb5'], ['Rdg6', 'Rxa2'], ['Rg7+', 'Kh6'], ['R1g6+', 'Kh5\n'], ['h4', 'Rxc2+'], ['Kf1', 'Rc1+'], ['Kg2', '']]",1-0
London m1,London,1841.??.??,?,"Cochrane, John Miles","Staunton, Howard",,,C50,"[['e4', 'e5'], ['Bc4', 'Bc5'], ['d4', 'Bxd4'], ['Nf3', 'Nc6'], ['O-O', 'Nf6'], ['Nxd4', 'Nxd4'], ['f4', 'd6'], ['fxe5', 'dxe5\n'], ['Bg5', 'Be6'], ['Bxe6', 'Nxe6'], ['Qxd8+', 'Rxd8'], ['Bxf6', 'gxf6'], ['Rxf6', 'Nf4'], ['Nc3', 'Rd2\n'], ['Rd1', 'Rxg2+'], ['Kh1', 'Rhg8'], ['Rf5', 'f6'], ['Rxf6', 'Nh3'], ['Rff1', 'Rg1+'], ['Rxg1', 'Nf2+']]",0-1
London ,London,1841.??.??,?,"Popert, HW.","Staunton, Howard",,,C02,"[['e4', 'c5'], ['c3', 'e6'], ['Nf3', 'd5'], ['e5', 'Nc6'], ['d4', 'Qb6'], ['Bd3', 'Bd7'], ['Bc2', 'Rc8'], ['O-O', 'a5'], ['a4', 'g6\n'], ['dxc5', 'Bxc5'], ['Na3', 'f6'], ['exf6', 'Nxf6'], ['Nb5', 'O-O'], ['Bh6', 'Ng4'], ['Bxf8', 'Bxf2+'], ['Kh1', 'Rxf8\n'], ['Qe2', 'Bc5'], ['Nfd4', 'Rxf1+'], ['Rxf1', 'e5'], ['Qf3', 'Nd8'], ['Qxd5+', 'Be6'], ['Nxe6', 'Nxe6\n'], ['Bb3', '']]",1-0
London m1,London,1841.??.??,?,"Cochrane, John Miles","Staunton, Howard",,,C44,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['d4', 'exd4'], ['Bc4', 'Bc5'], ['O-O', 'd6'], ['c3', 'Bg4'], ['Qb3', 'Bxf3'], ['Bxf7+', 'Kf8\n'], ['gxf3', 'Ne5'], ['Bh5', 'Qh4'], ['cxd4', 'Bxd4'], ['Bg4', 'Nxg4'], ['fxg4', 'Qxg4+'], ['Qg3', 'Qxe4\n'], ['Nc3', 'Bxc3'], ['bxc3', 'Nf6'], ['Bg5', 'h6'], ['Rae1', 'Qf5'], ['Bxf6', 'gxf6'], ['Qe3', 'Qg5+'], ['Qg3', 'Rg8']]",0-1
London m1,London,1841.??.??,?,"Cochrane, John Miles","Staunton, Howard",,,C02,"[['e4', 'e6'], ['d4', 'd5'], ['e5', 'c5'], ['c3', 'Nc6'], ['f4', 'Qb6'], ['Nf3', 'Nh6'], ['Bd3', 'Be7'], ['Bc2', 'O-O'], ['O-O', 'f5\n'], ['Kh1', 'Bd7'], ['h3', 'Rac8'], ['a3', 'a5'], ['Rg1', 'cxd4'], ['cxd4', 'Qc7'], ['Nc3', 'Na7'], ['g4', 'b5\n'], ['gxf5', 'b4'], ['fxe6', 'Bxe6'], ['Ng5', 'Bxg5'], ['fxg5', 'Nf5'], ['Bxf5', 'Bxf5'], ['Ne2', 'Be4+\n'], ['Kh2', 'Qc2'], ['Qe1', 'Nb5'], ['Be3', 'Qd3'], ['Rg3', 'Rc2']]",0-1
