URS-chT,Moscow,1959.??.??,?,"Stein, Leonid","Krutikhin, Yury P",,,B29,"[['e4', 'c5'], ['Nf3', 'Nf6'], ['e5', 'Nd5'], ['Nc3', 'e6'], ['Nxd5', 'exd5'], ['d4', 'Nc6'], ['dxc5', 'Bxc5'], ['Bd3', 'd6\n'], ['exd6', 'Qxd6'], ['O-O', 'O-O'], ['c3', 'Ne7'], ['Re1', 'Ng6'], ['Be3', 'Bd7'], ['Bxc5', 'Qxc5'], ['Bxg6', 'fxg6\n'], ['Qd4', 'Qxd4'], ['Nxd4', 'Rfe8'], ['Kf1', 'Kf7'], ['Rxe8', 'Rxe8'], ['Re1', 'Rxe1+'], ['Kxe1', 'Kf6\n'], ['Kd2', 'Ke5'], ['Ke3', 'Kd6'], ['h4', 'Bg4'], ['Nb3', 'Bd1'], ['Nc1', 'Bc2'], ['Kd4', 'Be4'], ['f3', 'Bf5\n'], ['Ne2', 'Be6'], ['Nf4', 'Bf7'], ['g4', 'Bg8'], ['g5', 'Bf7'], ['Nd3', 'Be8'], ['Nc5', 'Bc6'], ['b4', 'b6\n'], ['Nd3', 'Be8'], ['a3', 'Bf7'], ['Nf4', 'b5'], ['Ng2', 'Be6'], ['Ne3', 'Bf7'], ['Ng2', 'Be6'], ['Nf4', 'Bf7\n'], ['Nd3', 'Be8'], ['Nf4', '']]",1/2-1/2
URS-chT,Moscow,1959.??.??,?,"Stein, Leonid","Furman, Semen Abramovich",,,B40,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nc6'], ['Be3', 'Nf6'], ['Bd3', 'd5'], ['exd5', 'Nxd5'], ['Nxc6', 'bxc6\n'], ['Bd4', 'Nb4'], ['Be4', 'Ba6'], ['a3', 'Nd5'], ['Nd2', 'f5'], ['Qh5+', 'g6'], ['Qh3', 'Nf4'], ['Bxc6+', 'Kf7\n'], ['Qe3', 'Bh6'], ['Qe5', 'Rc8'], ['Qxh8', 'Qxh8'], ['Bxh8', 'Rxc6'], ['g3', 'Nh3'], ['c4', 'Bxd2+'], ['Kxd2', 'Nxf2\n'], ['Rhc1', 'Bxc4'], ['Bd4', 'Ne4+'], ['Ke3', 'e5'], ['Bxe5', 'Re6'], ['Rxc4', 'Rxe5'], ['Rc7+', 'Kf6'], ['Rxa7', 'Nxg3+\n'], ['Kd3', 'Ne4'], ['Rxh7', 'f4'], ['Rf1', 'g5'], ['h4', 'Kf5'], ['hxg5', 'Nxg5'], ['Rh8', 'Re3+'], ['Kc4', 'Re4+\n'], ['Kb5', 'Re5+'], ['Ka4', 'f3'], ['Rf8+', 'Kg4'], ['Rg1+', 'Kh5'], ['Rxg5+', '']]",1-0
URS-chT,Moscow,1959.??.??,?,"Stein, Leonid","Averbakh, Yuri L",,,C44,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['d4', 'exd4'], ['c3', 'd3'], ['Bxd3', 'd6'], ['Nd4', 'Be7'], ['O-O', 'Nf6'], ['h3', 'O-O\n'], ['Nd2', 'Nxd4'], ['cxd4', 'd5'], ['e5', 'Ne8'], ['Re1', 'f5'], ['exf6', 'Bxf6'], ['Nf3', 'Nd6'], ['Qc2', 'g6\n'], ['Bh6', 'Bg7'], ['Bxg7', 'Kxg7'], ['Re3', 'Bf5'], ['Bxf5', 'Rxf5'], ['Rae1', 'Ne4'], ['h4', 'c6'], ['Qb3', 'Rb8\n'], ['Qa3', 'a6'], ['Ng5', 'Nxg5'], ['hxg5', 'Qxg5'], ['Re7+', 'Kg8'], ['Qd6', 'Qf4'], ['Re8+', 'Rxe8'], ['Rxe8+', 'Kg7\n'], ['Re7+', 'Kh6'], ['Qxf4+', 'Rxf4'], ['Rxb7', 'Rxd4'], ['Rb6', 'c5'], ['Rxa6', 'Rd1+'], ['Kh2', 'Rd2\n'], ['Rb6', 'Rxf2'], ['Rd6', 'Rxb2'], ['Rxd5', 'Rb5'], ['g4', 'Ra5'], ['a3', 'Kg7'], ['g5', 'h5'], ['gxh6+', 'Kxh6\n'], ['a4', 'g5'], ['Kg2', 'Kg6'], ['Kg3', 'Kf6'], ['Kf3', 'g4+'], ['Kxg4', 'Ke6'], ['Rd8', '']]",1/2-1/2
URS-chT,Moscow,1959.??.??,?,"Stein, Leonid","Shishov, Mikhail Vasilievich",,,C44,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['d4', 'exd4'], ['c3', 'dxc3'], ['Bc4', 'c2'], ['Qxc2', 'Bb4+'], ['Nc3', 'd6'], ['O-O', 'Bxc3\n'], ['Qxc3', 'Nf6'], ['Bg5', 'h6'], ['Bh4', 'O-O'], ['Rfe1', 'Re8'], ['Rad1', 'Qe7'], ['Bb5', 'Bg4'], ['e5', 'dxe5\n'], ['Bxc6', 'bxc6'], ['Rxe5', 'Qf8'], ['Bxf6', 'gxf6'], ['Rxe8', 'Qxe8'], ['Re1', 'Qd7'], ['Nd4', 'Re8\n'], ['Rxe8+', 'Qxe8'], ['Nxc6', 'Bd7'], ['Nd4', 'Qe5'], ['Qd2', 'Qe4'], ['Nc2', 'Bf5'], ['Ne1', 'Kg7'], ['h3', 'Qb1\n'], ['a3', 'Be4'], ['Kh2', 'c6'], ['Qe3', 'a5'], ['Qd2', 'a4'], ['Kg3', 'h5'], ['Kh4', 'Bd5'], ['f3', 'Qg6'], ['Nc2', 'Bc4\n'], ['g4', 'hxg4'], ['hxg4', 'Qh7+'], ['Kg3', 'Qh1'], ['Ne3', 'Qg1+'], ['Kf4', 'Be6'], ['Ke4', 'Qb1+'], ['Kd4', 'Qh1\n'], ['Qc3', 'Qh2'], ['Kc5', 'Qb8'], ['Nf5+', 'Bxf5'], ['gxf5', 'Qb5+'], ['Kd6', 'Qd5+']]",1/2-1/2
URS-chT,Moscow,1959.??.??,?,"Stein, Leonid","Klavins, Janis",,,B42,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'a6'], ['Bd3', 'Nc6'], ['Be3', 'Nf6'], ['O-O', 'Qc7'], ['Nxc6', 'dxc6\n'], ['f4', 'e5'], ['f5', 'b5'], ['a4', 'Bb7'], ['Nd2', 'Be7'], ['Qf3', 'Nd7'], ['Qg3', 'Bc5'], ['Bxc5', 'Nxc5\n'], ['axb5', 'cxb5'], ['Qxg7', 'O-O-O'], ['Qf6', 'Qd6'], ['Qxf7', 'Rd7'], ['Qh5', 'Nxd3'], ['cxd3', 'Qxd3\n'], ['Rf2', 'Qc2'], ['Nf3', 'Qxe4'], ['f6', 'Rf8'], ['Nxe5', 'Rd5'], ['Qh3+', 'Kd8'], ['Qh6', 'Rg8'], ['Qg7', 'Rxg7\n'], ['fxg7', 'Rxe5'], ['g8=Q+', 'Re8'], ['Qg3', 'Qd4'], ['Qb8+', 'Bc8'], ['Rc1', 'Kd7'], ['Qc7+', '']]",1-0
URS-chT,Moscow,1959.??.??,?,"Shamkovich, Leonid","Stein, Leonid",,,E81,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'O-O'], ['Be3', 'd6'], ['f3', 'c6'], ['Bd3', 'Nbd7'], ['Nge2', 'a6\n'], ['Qd2', 'b5'], ['O-O', 'e5'], ['Rfd1', 'Bb7'], ['b3', 'Re8'], ['cxb5', 'cxb5'], ['d5', 'Nc5'], ['Bc2', 'Rc8\n'], ['b4', 'Ncd7'], ['a4', 'Nb6'], ['Bd3', 'bxa4'], ['Qa2', 'Nh5'], ['g3', 'f5'], ['Kg2', 'Rf8'], ['Rf1', 'f4\n'], ['Bd2', 'fxg3'], ['hxg3', 'Nd7'], ['Nxa4', 'Nf4+'], ['Nxf4', 'exf4'], ['gxf4', 'Bxa1'], ['Qxa1', 'Nf6\n'], ['Rh1', 'Rc7'], ['Qd4', 'Nh5'], ['f5', 'Qf6'], ['Qxf6', 'Rxf6'], ['Nb6', 'Ng7'], ['Bg5', 'Rf8'], ['fxg6', 'hxg6\n'], ['Nc4', 'Ne8'], ['Kg3', 'Rd7'], ['Kg2', 'Rc7'], ['Rh4', 'Bc8'], ['Bh6', 'Rff7'], ['Bf4', 'Rxf4'], ['Rxf4', 'g5\n'], ['Nxd6', 'Nxd6'], ['Rf6', 'Nf7'], ['Bxa6', 'Kg7'], ['Rb6', 'Bxa6'], ['Rxa6', 'Rb7'], ['Ra4', 'Rb6'], ['Kg3', 'Ne5\n'], ['f4', 'gxf4+'], ['Kxf4', 'Rxb4'], ['Ra7+', 'Nf7'], ['Kf5', 'Rd4'], ['Rd7', 'Kf8'], ['e5', 'Ke8'], ['e6', 'Nd8\n'], ['Rh7', 'Rd1'], ['Kf6', 'Rf1+'], ['Ke5', 'Re1+'], ['Kd6', 'Nxe6'], ['Re7+', 'Kd8'], ['Rxe6', 'Ra1'], ['Re2', 'Ra6+\n'], ['Ke5', 'Rh6'], ['Ra2', 'Kd7'], ['Ra7+', 'Kd8'], ['Kd4', 'Rg6'], ['Kc5', 'Rh6'], ['Rg7', 'Rf6'], ['Kd4', 'Rh6\n'], ['Ke5', 'Ra6'], ['Rh7', 'Rb6'], ['Rh8+', 'Kd7']]",1/2-1/2
JUG-URS,Belgrade,1961.??.??,?,"Udovcic, Mijo","Stein, Leonid",,,A16,"[['Nf3', 'Nf6'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['O-O', 'O-O'], ['c4', 'd6'], ['Nc3', 'Nc6'], ['Rb1', 'e5'], ['b4', 'Be6\n'], ['d3', 'h6'], ['e4', 'Ne7'], ['Nd5', 'Nfxd5'], ['cxd5', 'Bg4'], ['h3', 'Bd7'], ['d4', 'f5'], ['dxe5', 'fxe4\n'], ['Nd4', 'dxe5'], ['Ne6', 'Bxe6'], ['dxe6', 'Rf6'], ['Bxe4', 'Qc8'], ['Qd7', 'Rxe6'], ['Qxc8+', 'Rxc8\n'], ['Bxb7', 'Rb8'], ['Be4', 'Ra6'], ['Rd1', 'Rd6'], ['Be3', 'Rxd1+'], ['Rxd1', 'Rxb4'], ['Bc2', 'Nf5'], ['Bxa7', 'Rb7\n'], ['Rd8+', 'Kh7'], ['Bc5', 'Rb5'], ['Ba7', 'Ra5'], ['Bb8', 'Rxa2'], ['Bb3', 'Ra1+'], ['Kg2', 'Rc1'], ['Bg8+', 'Kh8\n'], ['Be6+', 'Kh7'], ['h4', 'h5'], ['Rd7', 'Rc6'], ['Bxf5', 'gxf5'], ['Bxc7', 'Kg6']]",1/2-1/2
JUG-URS,Belgrade,1961.??.??,?,"Stein, Leonid","Matulovic, Milan",,,A21,"[['Nf3', 'Nf6'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['O-O', 'O-O'], ['d3', 'd6'], ['c4', 'e5'], ['Nc3', 'Nh5'], ['Rb1', 'f5\n'], ['Bd2', 'f4'], ['Ne1', 'Nc6'], ['b4', 'Ne7'], ['b5', 'Kh8'], ['Qc1', 'g5'], ['Qa3', 'Nf6'], ['Nc2', 'Qe8'], ['b6', 'cxb6\n'], ['Nb5', 'Qh5'], ['f3', 'Ne8'], ['g4', 'Qg6'], ['Nc3', 'Nc7'], ['Ne4', 'Rd8'], ['Bb4', 'Ne8'], ['Be1', 'Nc7\n'], ['e3', 'Nc6']]",1/2-1/2
JUG-URS,Belgrade,1961.??.??,?,"Stein, Leonid","Gligoric, Svetozar",,,C73,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'd6'], ['Bxc6+', 'bxc6'], ['d4', 'f6'], ['Nc3', 'g6'], ['Be3', 'Nh6\n'], ['dxe5', 'fxe5'], ['Bg5', 'Qd7'], ['Bf6', 'Rg8'], ['Qe2', 'Qe6'], ['Bh4', 'Nf7'], ['O-O-O', 'Bh6+'], ['Kb1', 'Kf8\n'], ['Ne1', 'Kg7'], ['f3', 'a5'], ['Bf2', 'Ba6'], ['Nd3', 'Rgb8'], ['Be3', 'Bxe3'], ['Qxe3', 'a4'], ['Rd2', 'Bc4\n'], ['Ka1', 'Qf6'], ['Nf2', 'Ra5'], ['Rhd1', 'Qe6'], ['Nd3', 'Qf6'], ['Nf2', 'Qg5'], ['Ng4', 'h5'], ['Qxg5', 'Nxg5\n'], ['Ne3', 'Bg8'], ['Ne2', 'Ne6'], ['Rd3', 'Rab5'], ['Rb1', 'Nc5'], ['Ra3', 'Rb4'], ['Nc3', 'Rd4'], ['b3', 'axb3\n'], ['axb3', 'Rb7'], ['Rd1', 'Ne6'], ['Ne2', 'Rxd1+'], ['Nxd1', 'c5']]",1/2-1/2
JUG-URS,Belgrade,1961.??.??,?,"Djurasevic, Bozidar","Stein, Leonid",,,B08,"[['e4', 'g6'], ['d4', 'Bg7'], ['Nf3', 'd6'], ['Be2', 'Nf6'], ['Nc3', 'O-O'], ['h3', 'c5'], ['e5', 'dxe5'], ['dxe5', 'Qxd1+\n'], ['Bxd1', 'Ne8'], ['Nd5', 'Nc6'], ['Bg5', 'f6'], ['Be3', 'fxe5'], ['Bxc5', 'e4'], ['Nd2', 'Rf5'], ['Nxe7+', 'Nxe7\n'], ['Bxe7', 'Bxb2'], ['Rb1', 'Bc3'], ['Bb4', 'Bd4'], ['Nxe4', 'Re5'], ['f3', 'Nf6'], ['c3', 'Bb6'], ['Kd2', 'Nxe4+\n'], ['fxe4', 'Rxe4'], ['Bb3+', 'Kg7'], ['Rbe1', '']]",1/2-1/2
