URS-ch18,Moscow,1950.??.??,?,"Suetin, Alexey S","Aronin, Lev Solomonovich",,,B73,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['f4', 'g6'], ['Be2', 'Bg7'], ['Be3', 'O-O\n'], ['O-O', 'Nc6'], ['Qd2', 'Qc7'], ['Kh1', 'Na5'], ['b3', 'e5'], ['fxe5', 'dxe5'], ['Rxf6', 'Bxf6'], ['Nd5', 'Qd6\n'], ['Rf1', 'Bg7'], ['Qxa5', 'exd4'], ['Bf4', 'Qd8'], ['Bc7', 'Qd7'], ['Qc5', 'Qe8'], ['Bd6', 'Be6'], ['Bxf8', 'Qxf8\n'], ['Qb6', 'Be5'], ['Qxb7', 'Rc8'], ['Qe7', 'Rxc2'], ['Bd3', 'Rxa2'], ['Qg5', 'Bg7'], ['h4', 'h6'], ['Qf4', 'Qa3\n'], ['h5', 'Ra1'], ['hxg6', 'Rxf1+'], ['Bxf1', 'fxg6'], ['Nf6+', 'Kh8'], ['e5', 'Qa1'], ['Kh2', 'Qc3'], ['Bxa6', 'd3\n'], ['Qg3', 'Bf5'], ['Bc4', 'Qd4'], ['e6', 'Bxf6'], ['Qb8+', 'Qd8'], ['Qf4', 'Kg7']]",0-1
URS-ch18,Moscow,1950.??.??,?,"Flohr, Salo","Suetin, Alexey S",,,E94,"[['Nf3', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['d4', 'O-O'], ['Be2', 'e5'], ['O-O', 'Nbd7'], ['d5', 'Nc5\n'], ['Qc2', 'a5'], ['Ne1', 'Nfd7'], ['Be3', 'f5'], ['exf5', 'gxf5'], ['f4', 'e4'], ['Qd2', 'Nf6'], ['Nc2', 'Qe8\n'], ['Nb5', 'Qf7'], ['Bd4', 'Ne8'], ['Ne3', 'Kh8'], ['Rac1', 'Bd7'], ['Rc3', 'Rd8'], ['Kh1', 'Na6'], ['Nc2', 'Bxd4\n'], ['Nbxd4', 'Nf6'], ['Rg3', 'Rg8'], ['Rxg8+', 'Rxg8'], ['Ne3', 'Qg7'], ['g3', 'Qg6'], ['Qxa5', 'h5'], ['Ng2', 'Ng4\n'], ['Qc3', 'Kh7'], ['b4', 'Nb8'], ['a3', 'Qf7'], ['Bxg4', 'hxg4'], ['Ne3', 'Qg7'], ['Rc1', 'Kg6'], ['c5', 'dxc5\n'], ['bxc5', 'Bc8'], ['Nc4', 'Rd8'], ['d6', 'cxd6'], ['cxd6', 'Kh7'], ['Qa5', 'Qd7'], ['Ne5', 'Qxd6'], ['Nf7', 'b6\n'], ['Qa7', 'Qd7'], ['Qxb6', 'Qxd4'], ['Qxd8', 'Qxd8'], ['Nxd8', 'Ba6'], ['Rc7+', 'Kg8'], ['Ne6', 'e3'], ['Kg1', 'Kh8\n'], ['Nc5', '']]",1-0
URS-ch18,Moscow,1950.??.??,?,"Bondarevsky, Igor","Suetin, Alexey S",,,E71,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['h3', 'O-O'], ['Be3', 'e5'], ['d5', 'Ne8'], ['Qc2', 'Nd7'], ['O-O-O', 'Nc5\n'], ['g4', 'a5'], ['Nge2', 'f5'], ['exf5', 'gxf5'], ['Ng3', 'Qf6'], ['Nxf5', 'Bxf5'], ['gxf5', 'Qxf5'], ['Qxf5', 'Rxf5\n'], ['Be2', 'a4'], ['Kc2', 'Rf6'], ['Rhg1', 'Kf8'], ['Rg2', 'Bh6'], ['Bxc5', 'dxc5'], ['Ne4', 'Rf4'], ['Nxc5', 'Ke7\n'], ['Ne6', 'Rf6'], ['Bh5', 'c6'], ['Bxe8', 'Rxe8'], ['Nc5', 'cxd5'], ['Rxd5', 'Rd8'], ['Rxd8', 'Kxd8'], ['Nxa4', 'Rf3\n'], ['Nc5', 'Kc7'], ['h4', 'b6'], ['Nd3', 'e4'], ['Ne5', 'Rf4'], ['Ng4', 'Bf8'], ['h5', 'h6'], ['Ne3', 'Rh4'], ['Nd5+', 'Kb7\n'], ['Rg6', 'Bc5'], ['Rxh6', 'Bxf2'], ['Rh7+', 'Kb8'], ['Re7', 'Bc5'], ['Re8+', 'Kb7'], ['b4', 'Bd4'], ['h6', 'Kc6\n'], ['Nf6', 'Rh2+'], ['Kb3', 'e3'], ['Re6+', 'Kc7'], ['Nd5+', 'Kd7'], ['Re4', 'e2'], ['Nf4', 'e1=Q'], ['Rxe1', 'Rxh6\n'], ['Rd1', 'Rd6'], ['Nd5', 'Bf2'], ['Nf6+', '']]",1-0
URS-ch18,Moscow,1950.??.??,?,"Averbakh, Yuri L","Suetin, Alexey S",,,B66,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Bg5', 'e6'], ['Qd2', 'a6'], ['O-O-O', 'h6\n'], ['Bf4', 'Bd7'], ['Bg3', 'Be7'], ['Be2', 'b5'], ['Bxd6', 'b4'], ['Nxc6', 'Bxc6'], ['Bxe7', 'Qxe7'], ['Qd6', 'Qb7\n'], ['Nd5', 'exd5'], ['exd5', 'Bd7'], ['Rhe1', 'Kd8'], ['Bf3', 'Re8'], ['Qg3', 'g5'], ['Qd6', 'Ng8'], ['Rxe8+', 'Kxe8\n'], ['Re1+', 'Kd8'], ['Qf8+', 'Kc7'], ['d6+', 'Kb6'], ['Qxa8', 'Qxa8'], ['Bxa8', 'Kc5'], ['Bb7', 'a5'], ['Re5+', 'Kb6\n'], ['Bd5', 'Nf6'], ['Bxf7', 'Ng4'], ['Re7', 'Kc6'], ['Be6', '']]",1-0
URS-ch18,Moscow,1950.??.??,?,"Liublinsky, Victor Alexandrovic","Suetin, Alexey S",,,B38,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'g6'], ['c4', 'Bg7'], ['Be3', 'Nh6'], ['Be2', 'd6'], ['Qd2', 'Ng4\n'], ['Bxg4', 'Bxg4'], ['Nc3', 'Qa5'], ['O-O', 'Rc8'], ['b3', 'a6'], ['Rac1', 'O-O'], ['f3', 'Bd7'], ['Rfd1', 'f5\n'], ['exf5', 'gxf5'], ['Nd5', 'Qxd2'], ['Rxd2', 'Kf7'], ['f4', 'Nxd4'], ['Bxd4', 'Bxd4+'], ['Rxd4', 'Bc6\n'], ['Re1', 'Bxd5'], ['Rxd5', 'Kf6'], ['Kf2', 'h5'], ['Rd3', 'Rc5'], ['Rde3', 'e5'], ['Rd1', 'Rc6'], ['Rxd6+', 'Rxd6\n'], ['fxe5+', 'Ke6'], ['exd6+', 'Kxd6'], ['Kf3', 'Rg8'], ['h3', 'h4'], ['Re2', 'Kc5'], ['Re7', 'Rg3+'], ['Kf2', 'b6\n'], ['Rf7', 'Rg5'], ['Rc7+', 'Kb4'], ['Rc6', 'Ka3'], ['Rxb6', 'Kxa2'], ['Rxa6+', 'Kxb3'], ['c5', 'Kb4'], ['c6', 'Rg7\n'], ['Ra2', 'Kc5'], ['Rc2+', 'Kd6'], ['Kf3', 'Kc7'], ['Rc4', 'Rg3+'], ['Kf2', 'Rd3'], ['Rxh4', 'Kxc6'], ['Ke2', 'Rg3\n'], ['Kf2', 'Rd3'], ['Rf4', 'Rd5'], ['g4', 'fxg4'], ['hxg4', 'Kd6'], ['Kg3', 'Ke7'], ['Kh4', 'Rd8'], ['Kh5', '']]",1-0
URS-ch18,Moscow,1950.??.??,?,"Mikenas, Vladas","Suetin, Alexey S",,,D31,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'c6'], ['e4', 'dxe4'], ['Nxe4', 'Bb4+'], ['Bd2', 'Qxd4'], ['Bxb4', 'Qxe4+'], ['Be2', 'Na6\n'], ['Ba5', 'Bd7'], ['Nf3', 'Nf6'], ['Qd6', 'c5'], ['Rd1', 'b6'], ['Ne5', 'Rd8'], ['Bc3', 'Qa8'], ['Bf3', 'Qb8\n'], ['O-O', 'Qxd6'], ['Rxd6', 'Ke7'], ['Rfd1', 'Nb8'], ['b4', 'Ne8'], ['R6d2', 'f6'], ['bxc5', 'bxc5'], ['Nd3', 'Bc6\n'], ['Be2', 'Nd6'], ['Nxc5', 'Nb7'], ['Bb4', 'Kf7'], ['Nxb7', 'Rxd2'], ['Rxd2', 'Bxb7'], ['Bc5', 'a5'], ['Rb2', 'Bc6\n'], ['Bd6', 'Nd7'], ['c5', 'a4'], ['f4', 'e5'], ['Bc4+', 'Kg6'], ['fxe5', 'Nxe5'], ['Bxe5', 'fxe5'], ['Rb6', 'Rc8\n'], ['Bd5', '']]",1-0
URS-ch18,Moscow,1950.??.??,?,"Smyslov, Vassily","Suetin, Alexey S",,,D71,"[['d4', 'Nf6'], ['c4', 'g6'], ['g3', 'Bg7'], ['Bg2', 'd5'], ['cxd5', 'Nxd5'], ['Nc3', 'Nb6'], ['e3', 'O-O'], ['Nge2', 'a5\n'], ['b3', 'Nc6'], ['O-O', 'e5'], ['d5', 'Nb4'], ['a3', 'Na6'], ['e4', 'f5'], ['exf5', 'gxf5'], ['f4', 'e4'], ['Be3', 'Qd6\n'], ['Rc1', 'Bd7'], ['g4', 'fxg4'], ['Nxe4', 'Qg6'], ['N2g3', 'Rae8'], ['Bd4', 'Bxd4+'], ['Qxd4', 'Nc8'], ['f5', 'Qh6\n'], ['Rf4', 'Kf7'], ['Nf2', 'Qb6'], ['Qxb6', 'cxb6'], ['Nfe4', 'Rg8'], ['Bf1', 'Re5'], ['Bxa6', 'bxa6'], ['d6', 'Rd8\n'], ['Rxg4', 'Bxf5'], ['Rf1', 'Ke6'], ['Ng5+', 'Kf6'], ['Nxh7+', 'Ke6'], ['Ng5+', 'Kf6'], ['Nh7+', 'Ke6\n'], ['Nxf5', 'Rxf5'], ['Ng5+', 'Kf6'], ['Ne4+', 'Ke5'], ['Re1', 'Kd5'], ['Rd1+', 'Kc6'], ['Rg7', 'b5'], ['d7', 'Na7\n'], ['Rg6+', 'Kc7'], ['Rc1+', 'Kb8'], ['Rb6+', 'Ka8'], ['Rc7', 'Rg8+'], ['Ng3', '']]",1-0
URS-ch18,Moscow,1950.??.??,?,"Suetin, Alexey S","Petrosian, Tigran V",,,C84,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['d4', 'exd4'], ['Re1', 'O-O'], ['e5', 'Nd5\n'], ['Nxd4', 'Nxd4'], ['Qxd4', 'Nb6'], ['Bb3', 'd5'], ['exd6', 'Qxd6'], ['Qe4', 'Bf6'], ['Nc3', 'Rb8'], ['Bf4', 'Qc5\n'], ['Qe3', 'Qc6'], ['Qg3', 'Be6'], ['Bxc7', 'Rbc8'], ['Be5', 'Bxb3'], ['axb3', 'Nd7'], ['Bxf6', 'Nxf6'], ['Rad1', 'Rfe8\n'], ['h3', 'h6'], ['Re3', 'Rxe3'], ['Qxe3', 'Qc7'], ['Qg3', 'Qxg3'], ['fxg3', 'Kf8'], ['Kf2', 'Ke7'], ['Ke3', 'Ke6\n'], ['Rd4', 'Ne8'], ['Kd3', 'Nd6'], ['Ne2', 'g5'], ['g4', 'f5'], ['gxf5+', 'Nxf5'], ['Re4+', 'Kf6'], ['Nd4', 'Nxd4\n'], ['Rxd4', 'Rc7'], ['Rd6+', 'Kf5'], ['Rxh6', 'Kf4'], ['c4', 'Rd7+'], ['Kc3', 'Rg7'], ['g4', 'Re7'], ['c5', 'Kg3\n'], ['b4', 'Re3+'], ['Kc4', 'Re4+'], ['Kb3', 'Re3+'], ['Ka4', 'Re2'], ['Rh5', 'Rxb2'], ['Rxg5', 'Kxh3'], ['Rg7', 'Kh4\n'], ['Rxb7', 'Kxg4'], ['Rf7', 'Ra2+'], ['Kb3', 'Ra1'], ['Kc4', 'Rc1+'], ['Kd5', 'Rd1+'], ['Kc6', 'Rb1'], ['Kb6', 'Rxb4+\n'], ['Kxa6', 'Kg5'], ['c6', 'Kg6'], ['Rf1', '']]",1-0
URS-ch18,Moscow,1950.??.??,?,"Sokolsky, Alexey","Suetin, Alexey S",,,D64,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'd5'], ['Bg5', 'Be7'], ['e3', 'Nbd7'], ['Nf3', 'O-O'], ['Rc1', 'c6'], ['Qc2', 'h6\n'], ['Bf4', 'a6'], ['a3', 'Re8'], ['Bd3', 'dxc4'], ['Bxc4', 'b5'], ['Ba2', 'Bb7'], ['O-O', 'c5'], ['Rfd1', 'b4\n'], ['axb4', 'cxb4'], ['Na4', 'Qa5'], ['Bc7', 'Qh5'], ['Ne5', 'Rac8'], ['Nxd7', 'Nxd7'], ['Bb1', 'Nf6'], ['Qd2', 'Qb5\n'], ['b3', 'Bd5'], ['Nb6', 'Rxc7'], ['Rxc7', 'Qxb6'], ['Rdc1', 'Qb8'], ['Qc2', 'Be4'], ['Qc4', 'Bb7'], ['e4', 'Bd8\n'], ['Rc5', 'Bb6'], ['e5', 'Bxc5'], ['dxc5', 'Qxe5'], ['c6', 'Rc8'], ['Rd1', 'g6'], ['Qxb4', 'Bxc6']]",0-1
URS-ch18,Moscow,1950.??.??,?,"Suetin, Alexey S","Alatortsev, Vladimir",,,D26,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['e3', 'c5'], ['Bd3', 'Nc6'], ['Nf3', 'd5'], ['O-O', 'cxd4'], ['exd4', 'dxc4\n'], ['Bxc4', 'O-O'], ['Bg5', 'Be7'], ['Qd2', 'Nd5'], ['Nxd5', 'exd5'], ['Bxe7', 'Nxe7'], ['Bd3', 'Bf5'], ['Rfe1', 'Bxd3\n'], ['Qxd3', 'Nc6'], ['Ne5', 'Re8'], ['Rac1', 'Rc8'], ['Nxc6', 'Rxc6'], ['Rxe8+', 'Qxe8'], ['Rxc6', 'Qxc6\n'], ['Qe3', 'h6'], ['h3', 'Kh7'], ['Qd3+', 'Qg6'], ['Qb5', 'Qb1+'], ['Kh2', '']]",1/2-1/2
