Sopron,Sopron,1934.??.??,?,"Szabo, Laszlo","Gereben, Erno",,,A95,"[['Nf3', 'e6'], ['c4', 'f5'], ['g3', 'Nf6'], ['Bg2', 'Be7'], ['O-O', 'O-O'], ['d4', 'd5'], ['Nc3', 'c6'], ['b3', 'Ne4'], ['Nxe4', 'fxe4\n'], ['Ne5', 'Nd7'], ['Nxd7', 'Bxd7'], ['f3', 'exf3'], ['Bxf3', 'Bf6'], ['Bb2', 'Be8'], ['e4', 'Bg6'], ['Re1', 'dxc4\n'], ['e5', 'Bg5'], ['bxc4', 'Qa5'], ['Be4', 'Bxe4'], ['Rxe4', 'Rf5'], ['Bc1', 'Bxc1'], ['Qxc1', 'Raf8'], ['Rf4', 'Qd8\n'], ['Qe3', 'Rxf4'], ['gxf4', 'Qh4'], ['Rf1', 'Qg4+'], ['Qg3', 'Qe2'], ['d5', 'Qxc4'], ['d6', 'Qd4+'], ['Kg2', 'Qd5+\n'], ['Kg1', 'Qxa2'], ['Rd1', 'Qe2'], ['Rd3', 'Rxf4'], ['Qxf4', 'Qxd3'], ['Qg5', 'Qd1+'], ['Kf2', 'Qd4+']]",1/2-1/2
Tatatovaros,Tatatovaros,1935.07.07,1,"Boros, Sandor","Szabo, Laszlo",,,E24,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['a3', 'Bxc3+'], ['bxc3', 'Ne4'], ['Qc2', 'f5'], ['g3', 'b6'], ['Bg2', 'Bb7\n'], ['Nh3', 'O-O'], ['Ng5', 'Nd6'], ['Bxb7', 'Nxb7'], ['e4', 'h6'], ['Nh3', 'fxe4'], ['Qxe4', 'Nc6'], ['Bxh6', 'Nd6\n'], ['Qg6', 'Qf6'], ['Qxf6', 'Rxf6'], ['Bf4', 'Nxc4'], ['O-O', 'd6'], ['Rfe1', 'e5'], ['dxe5', 'dxe5'], ['Bg5', 'Rf3\n'], ['Be3', 'Rf5'], ['Red1', 'Rd8'], ['Rxd8+', 'Nxd8'], ['Kg2', 'Ne6'], ['Ng1', 'Rf8'], ['Nf3', 'Rd8'], ['Re1', 'Rd3\n'], ['Bc1', 'Rxc3'], ['Nxe5', 'Nxe5'], ['Bb2', 'Rb3'], ['Rxe5', 'Nf4+'], ['gxf4', 'Rxb2'], ['Re7', 'Rc2\n'], ['a4', 'a5'], ['Kg3', 'Rc4'], ['Kg4', 'Kf8'], ['Rd7', 'Rxa4'], ['Rxc7', 'Rb4'], ['h4', 'a4'], ['Ra7', 'b5\n'], ['h5', 'Rb2'], ['f3', 'Rb3'], ['Ra8+', 'Kf7'], ['Ra7+', 'Kg8'], ['f5', 'a3'], ['f4', 'b4'], ['f6', 'gxf6\n'], ['h6', 'Rb1'], ['Kh5', 'Rh1+'], ['Kg6', 'Rg1+'], ['Kh5', 'b3'], ['h7+', 'Kh8'], ['Kh6', 'Rh1+'], ['Kg6', 'Rg1+']]",1/2-1/2
Tatatovaros,Tatatovaros,1935.07.08,2,"Szabo, Laszlo","Szigeti, Miklos",,,D30,"[['c4', 'Nf6'], ['Nf3', 'c6'], ['d4', 'd5'], ['e3', 'e6'], ['Bd3', 'Be7'], ['O-O', 'O-O'], ['Nbd2', 'Nbd7'], ['b3', 'b6\n'], ['e4', 'dxe4'], ['Nxe4', 'Bb7'], ['Bb2', 'Nxe4'], ['Bxe4', 'Nf6'], ['Bc2', 'c5'], ['Ne5', 'Qc7'], ['Re1', 'Rad8\n'], ['Qd3', 'g6'], ['d5', 'exd5'], ['Qg3', 'Bd6'], ['Qh4', 'Nh5'], ['cxd5', 'Bxd5'], ['Ng4', 'f6'], ['Bxf6', 'Bxh2+\n'], ['Kh1', 'Nxf6'], ['Nxf6+', 'Rxf6'], ['Qxf6', 'Rf8'], ['Qg5', 'Bc6'], ['Bxg6', 'hxg6'], ['Qxg6+', 'Qg7\n'], ['Qxc6', 'Bb8']]",1-0
Tatatovaros,Tatatovaros,1935.07.09,3,"Becker, Albert","Szabo, Laszlo",,,D19,"[['d4', 'd5'], ['Nf3', 'Nf6'], ['c4', 'c6'], ['Nc3', 'dxc4'], ['a4', 'Bf5'], ['e3', 'e6'], ['Bxc4', 'Bb4'], ['O-O', 'O-O\n'], ['Qe2', 'c5'], ['Rd1', 'Qe7'], ['h3', 'Ne4'], ['Na2', 'Ba5'], ['dxc5', 'Nc6'], ['Nd4', 'Rfd8'], ['Nxc6', 'Rxd1+\n'], ['Qxd1', 'bxc6'], ['b4', 'Bc7'], ['f3', 'Rd8'], ['Qc2', 'Qh4'], ['fxe4', 'Bxe4'], ['Qe2', 'Qg3'], ['Bd2', 'Qh2+\n'], ['Kf1', 'Bg3']]",0-1
Tatatovaros,Tatatovaros,1935.07.10,4,"Balla, Zoltan","Szabo, Laszlo",,,B20,"[['e4', 'c5'], ['g3', 'd5'], ['Bg2', 'dxe4'], ['Bxe4', 'Nf6'], ['Bg2', 'Nc6'], ['Ne2', 'Bf5'], ['d3', 'Qd7'], ['Bg5', 'Bh3\n'], ['Bxh3', 'Qxh3'], ['Bxf6', 'gxf6'], ['Nf4', 'Qf5'], ['Qh5', 'Qxh5'], ['Nxh5', 'f5'], ['Nf4', 'e6'], ['Na3', 'O-O-O\n'], ['O-O', 'h5'], ['Ne2', 'h4'], ['Nc4', 'Be7'], ['Ne3', 'Rh7'], ['Rfd1', 'Bf6'], ['Rab1', 'hxg3'], ['hxg3', 'Rdh8\n'], ['Nf1', 'e5'], ['a3', 'Nd8'], ['Kg2', 'Ne6'], ['b4', 'Be7'], ['c3', 'cxb4'], ['axb4', 'f4'], ['d4', 'e4'], ['Nxf4', 'Nxf4+\n'], ['gxf4', 'Bh4'], ['Ne3', 'Rg8+'], ['Kf1', 'Bxf2'], ['Kxf2', 'Rh2+'], ['Ke1', 'Rg1+'], ['Nf1', '']]",0-1
Tatatovaros,Tatatovaros,1935.07.11,5,"Szabo, Laszlo","Mueller, Hans",,,D50,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'd5'], ['Nc3', 'c5'], ['Bg5', 'cxd4'], ['Nxd4', 'Be7'], ['cxd5', 'Nxd5'], ['Bxe7', 'Nxe7\n'], ['Ndb5', 'Qxd1+'], ['Rxd1', 'Na6'], ['Nd6+', 'Kf8'], ['e4', 'Nc7'], ['Be2', 'Nc6'], ['f4', 'Ke7'], ['O-O', 'f6\n'], ['Rf3', 'Rd8'], ['Rg3', 'Kf8'], ['Bg4', 'g6'], ['Re3', 'Rb8'], ['e5', 'f5'], ['Bf3', 'Ne8'], ['Red3', 'Ne7\n'], ['Kf2', 'b6'], ['b4', 'Ng8'], ['Nxe8', 'Rxd3'], ['Rxd3', 'Kxe8'], ['Bc6+', 'Ke7'], ['Rh3', 'h5'], ['Rg3', 'Kf7\n'], ['Nb5', 'a6'], ['Nd6+', 'Kg7'], ['Rc3', 'Ne7'], ['Bf3', 'a5'], ['b5', 'Kf8'], ['Rc7', 'h4'], ['a4', '']]",1-0
Tatatovaros,Tatatovaros,1935.07.12,6,"Korody Keresztely, Imre","Szabo, Laszlo",,,D66,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'd5'], ['Bg5', 'Nbd7'], ['Nf3', 'Be7'], ['e3', 'O-O'], ['Rc1', 'c6'], ['Bd3', 'a6\n'], ['O-O', 'b5'], ['cxd5', 'cxd5'], ['Qb3', 'Bb7'], ['Bxf6', 'Nxf6'], ['Ne5', 'Nd7'], ['f4', 'Nxe5'], ['fxe5', 'f6\n'], ['Qc2', 'h6'], ['Qe2', 'fxe5'], ['dxe5', 'Qb6'], ['Rce1', 'Bh4'], ['g3', 'Bg5'], ['Rxf8+', 'Rxf8'], ['h4', 'Bxe3+\n'], ['Qxe3', 'd4'], ['Nd5', 'Bxd5'], ['Qd2', 'Rf3'], ['Kh2', 'Qc5'], ['b3', 'Qc3'], ['Rd1', 'Qxd2+'], ['Rxd2', 'Re3\n'], ['Bf1', 'Rxe5'], ['Rxd4', 'Rf5'], ['Kg1', 'Rf3'], ['Rd3', 'Rxd3'], ['Bxd3', 'Kf7'], ['Kf2', 'e5'], ['Ke3', 'Ke6\n'], ['Kd2', 'Kd6'], ['Kc3', 'Kc5'], ['b4+', 'Kd6'], ['a3', 'e4'], ['Be2', 'Ke5'], ['Bh5', 'Bc4'], ['Bg4', 'e3\n'], ['Bc8', 'Ke4'], ['Bb7+', 'Bd5'], ['Bxa6', 'Bc6'], ['a4', 'Kf3'], ['axb5', 'e2'], ['bxc6', 'e1=Q+']]",0-1
Tatatovaros,Tatatovaros,1935.07.13,7,"Szabo, Laszlo","Balogh, Janos",,,A54,"[['c4', 'e5'], ['Nc3', 'Nf6'], ['Nf3', 'Nc6'], ['g3', 'Be7'], ['Bg2', 'O-O'], ['O-O', 'd6'], ['d4', 'Bg4'], ['d5', 'Nb8\n'], ['h3', 'Bd7'], ['e4', 'Ne8'], ['Be3', 'b6'], ['b4', 'a5'], ['a3', 'Na6'], ['Qb3', 'Rb8'], ['Nd2', 'g6'], ['f4', 'f6\n'], ['f5', 'Ng7'], ['g4', 'g5'], ['Rfc1', '']]",1/2-1/2
Tatatovaros,Tatatovaros,1935.07.14,8,"Gereben, Erno","Szabo, Laszlo",,,B73,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Be2', 'g6'], ['Be3', 'Bg7'], ['O-O', 'O-O\n'], ['Kh1', 'Bd7'], ['f4', 'a6'], ['a4', 'Rc8'], ['Nb3', 'Na5'], ['Nxa5', 'Qxa5'], ['Bf3', 'Rc4'], ['Qe2', 'Rfc8\n'], ['e5', 'dxe5'], ['fxe5', 'Qxe5']]",1/2-1/2
Tatatovaros,Tatatovaros,1935.07.15,9,"Szabo, Laszlo","Steiner, Endre",,,E81,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['f3', 'O-O'], ['Be3', 'Nbd7'], ['Bd3', 'e5'], ['Nge2', 'exd4\n'], ['Nxd4', 'Nh5'], ['Nde2', 'Ne5'], ['O-O', 'c6'], ['b3', 'Qe7'], ['Bc2', 'a6'], ['Qd2', 'Re8'], ['Rad1', 'Bf8\n'], ['Bb6', 'f6'], ['Rfe1', 'Ng7'], ['a4', 'Be6'], ['a5', '']]",1-0
Tatatovaros,Tatatovaros,1935.07.16,10,"Sterk, Karoly","Szabo, Laszlo",,,A30,"[['Nf3', 'Nf6'], ['b3', 'g6'], ['Bb2', 'Bg7'], ['e3', 'b6'], ['Be2', 'Bb7'], ['O-O', 'O-O'], ['c4', 'c5'], ['d3', 'd5'], ['Nbd2', 'Nc6\n'], ['Qc1', 'Qc7'], ['cxd5', 'Nxd5'], ['Bxg7', 'Kxg7'], ['Qb2+', 'e5'], ['d4', 'cxd4'], ['exd4', 'Nf4'], ['Rfe1', 'Qd7\n'], ['Nxe5', 'Qxd4'], ['Nec4', 'Qxb2'], ['Nxb2', 'Nd4'], ['Bd1', 'Bxg2'], ['Ndc4', '']]",0-1
