Leningrad-Prague,Leningrad,1946.??.??,1,"Taimanov, Mark E","Katetov, Miroslav",,,C16,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Bb4'], ['e5', 'Ne7'], ['a3', 'Bxc3+'], ['bxc3', 'b6'], ['Qg4', 'O-O'], ['Bg5', 'Qd7\n'], ['Bd3', 'Ng6'], ['h4', 'f5'], ['exf6', 'e5'], ['Qxd7', 'Nxd7'], ['fxg7', 'Kxg7'], ['Ne2', 'h6'], ['Bd2', 'c6\n'], ['Ng3', 'e4'], ['Nh5+', 'Kh7'], ['Be2', 'Nf6'], ['Nxf6+', 'Rxf6'], ['g3', 'Bd7'], ['h5', 'Ne7'], ['Bf4', 'Rg8\n'], ['Be5', 'Rf7'], ['Rh4', 'Rgf8'], ['Rf4', 'Rxf4'], ['Bxf4', 'Ng8'], ['a4', 'Nf6'], ['a5', 'b5'], ['Kd2', 'a6\n'], ['Rh1', 'Bg4'], ['Rh4', 'Bxe2'], ['Kxe2', 'Rg8'], ['Be5', 'Ng4'], ['Bd6', 'Rg5'], ['Be7', 'Rg7'], ['f3', 'exf3+\n'], ['Kxf3', 'Rxe7'], ['Rxg4', 'Re6'], ['Kf2', 'Rf6+'], ['Rf4', 'Rxf4+'], ['gxf4', 'Kg7'], ['Kf3', '']]",1/2-1/2
Leningrad-Prague,Leningrad,1946.??.??,2,"Katetov, Miroslav","Taimanov, Mark E",,,A34,"[['Nf3', 'Nf6'], ['c4', 'c5'], ['g3', 'Nc6'], ['Bg2', 'd5'], ['cxd5', 'Nxd5'], ['O-O', 'e5'], ['Nc3', 'Nc7'], ['b3', 'Be7\n'], ['Bb2', 'O-O'], ['Rc1', 'f6'], ['d3', 'Be6'], ['Na4', 'b6'], ['Nh4', 'Qd7'], ['e3', 'Rad8'], ['Qe2', 'Nb4\n'], ['Rcd1', 'Nxa2'], ['Bxe5', 'Bxb3'], ['Bxc7', 'Qxc7'], ['Be4', 'g6'], ['Ra1', 'f5'], ['Bg2', 'Nb4'], ['Nc3', 'Qd7\n'], ['d4', 'cxd4'], ['Nb5', 'Qe6'], ['Nf3', 'Bf6'], ['Qd2', 'Nc2'], ['Nbxd4', 'Nxa1'], ['Rxa1', 'Qf7'], ['Qb4', 'Bd5\n'], ['Ra6', 'Qc7'], ['Qa3', 'Rf7'], ['h4', 'Bc4'], ['Ra4', 'a5'], ['Ng5', 'Bxg5'], ['hxg5', 'Bd5'], ['Bxd5', 'Rxd5\n'], ['Qb3', 'Rc5'], ['Ra1', 'Rc4'], ['Ne6', 'Qc8'], ['Nd4', 'Rb4']]",0-1
URS-ch sf,Leningrad,1947.??.??,1,"Sokolsky, Alexey","Taimanov, Mark E",,,C55,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Nf6'], ['d4', 'exd4'], ['Ng5', 'd5'], ['exd5', 'Na5'], ['Bb5+', 'c6'], ['dxc6', 'bxc6\n'], ['Be2', 'Be7'], ['c3', 'Nd5'], ['Nf3', 'dxc3'], ['Nxc3', 'Nxc3'], ['Qxd8+', 'Bxd8'], ['bxc3', 'O-O'], ['Be3', 'Bf6\n'], ['O-O', 'Be6'], ['Bd4', 'Bxd4'], ['Nxd4', '']]",1/2-1/2
URS-ch sf,Leningrad,1947.??.??,2,"Taimanov, Mark E","Kopylov, Nikolai G",,,B10,"[['e4', 'c6'], ['Nc3', 'd5'], ['Nf3', 'Nf6'], ['e5', 'Ne4'], ['d3', 'Nxc3'], ['bxc3', 'c5'], ['Be3', 'Nc6'], ['Bxc5', 'Qa5\n'], ['Be3', 'd4'], ['Bd2', 'dxc3'], ['Bf4', 'Bg4'], ['h3', 'Qb4'], ['hxg4', 'Qxf4'], ['g3', 'Qa4'], ['Rb1', 'O-O-O\n'], ['Bg2', 'e6'], ['Ng5', 'Bc5'], ['Bxc6', 'Qxc6'], ['Qf3', 'Qxf3'], ['Nxf3', 'Kb8'], ['Ke2', 'Rd5'], ['Rb3', 'Bd4\n'], ['Nxd4', 'Rxd4'], ['f4', 'Ra4'], ['a3', 'h6'], ['Rhb1', 'b6'], ['Rxc3', 'h5'], ['gxh5', 'Rxh5'], ['Rb4', 'Ra5\n'], ['Rd4', 'Rh8'], ['Rd7', 'Rf8'], ['Rcc7', 'f6'], ['exf6', 'gxf6'], ['Rf7', 'Rxf7'], ['Rxf7', 'f5'], ['Re7', 'Rxa3\n'], ['Rxe6', 'Rc3'], ['Kd2', 'Rc7'], ['Rf6', 'Rg7'], ['Rxf5', 'Rxg3'], ['Rf7', 'Rg2+'], ['Kc3', 'Rf2'], ['f5', 'a5\n'], ['f6', 'a4'], ['Rf8+', 'Kb7'], ['f7', 'Rf4'], ['Kb2', 'b5'], ['c3', 'Rf2+'], ['Ka3', 'Rf6'], ['d4', 'Rf5\n'], ['d5', 'Rf3'], ['d6', '']]",1-0
URS-ch sf,Leningrad,1947.??.??,3,"Zhukhovitsky, Samuel","Taimanov, Mark E",,,D31,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'c6'], ['cxd5', 'exd5'], ['Bf4', 'Bf5'], ['Nf3', 'Qb6'], ['Qb3', 'Na6'], ['Rc1', 'Be7\n'], ['Nd2', 'Nf6'], ['a3', 'O-O'], ['e3', 'Nh5'], ['Be5', 'f6'], ['Bg3', 'Nxg3'], ['hxg3', 'Rab8'], ['Qa2', 'Rfe8\n'], ['Be2', 'Bd6'], ['b4', 'Qd8'], ['Bxa6', 'bxa6'], ['Nb3', 'Qe7'], ['Qe2', 'Bc7'], ['Nc5', 'a5'], ['Na6', 'Rb7\n'], ['Nxc7', 'Rxc7'], ['O-O', 'axb4'], ['axb4', 'Rb7'], ['Na2', 'Rb6'], ['Rc5', 'Qe4'], ['Qb2', 'Reb8'], ['Rfc1', 'Qe8\n'], ['Qa3', 'R8b7'], ['Qa4', 'Bd3'], ['Rxc6', 'Rc7'], ['b5', 'Bxb5'], ['Rxc7', 'Bxa4'], ['Rc8', 'Rb2'], ['Rxe8+', 'Bxe8\n'], ['Nc3', 'Bc6'], ['Ra1', 'Rc2'], ['Ra3', 'Rc1+'], ['Kh2', 'Rc2'], ['f3', 'a6'], ['Na2', 'Bb7'], ['Nb4', 'Rb2\n'], ['Nd3', 'Rb6'], ['Nc5', 'Kf7'], ['g4', 'Bc8'], ['Kg3', 'Ke7'], ['f4', 'Kd6'], ['Ra1', 'Rb8'], ['Rh1', 'h6\n'], ['Ra1', 'Ra8'], ['f5', 'a5'], ['Kh4', 'Kc6'], ['Kh5', 'Kb5'], ['Kg6', 'Ra7'], ['Rb1+', 'Kc6'], ['Rb8', 'Kc7\n'], ['Rb3', 'Kc6'], ['Kh7', 'h5'], ['Rc3', 'Kd6'], ['Nd3', 'Bd7'], ['Kxg7', 'Bxf5+'], ['Kxf6', 'Bxd3'], ['Rxd3', 'hxg4\n'], ['g3', 'a4'], ['Ra3', 'Kc6'], ['Ke6', 'Ra5'], ['Kf5', 'Kb5'], ['Kxg4', 'Kb4'], ['Ra1', 'Kb3'], ['Kf5', 'a3\n'], ['g4', 'Kb2'], ['Rg1', 'a2'], ['Ke5', 'a1=Q'], ['Rxa1', 'Kxa1'], ['g5', 'Kb2'], ['g6', 'Kc3'], ['g7', 'Ra8\n'], ['Kxd5', 'Rg8'], ['Ke6', 'Rxg7'], ['d5', 'Kd3'], ['d6', 'Kxe3'], ['d7', 'Rxd7'], ['Kxd7', '']]",1/2-1/2
URS-ch sf,Leningrad,1947.??.??,4,"Taimanov, Mark E","Goldberg, Grigory Abramovich",,,B10,"[['e4', 'c6'], ['Nc3', 'd5'], ['Nf3', 'Nf6'], ['e5', 'Ne4'], ['Nb1', 'Bf5'], ['d3', 'Nc5'], ['Be3', 'e6'], ['Nbd2', 'Be7\n'], ['Be2', 'O-O'], ['O-O', 'Ncd7'], ['c4', 'Na6'], ['a3', 'Nc7'], ['b4', 'f6'], ['d4', 'fxe5'], ['dxe5', 'a5\n'], ['c5', 'Qb8'], ['Nb3', 'axb4'], ['axb4', 'Be4'], ['Nbd4', 'h6'], ['Qb3', 'Qe8'], ['Rxa8', 'Qxa8'], ['Nd2', 'Bf5\n'], ['f4', 'Qe8'], ['N2f3', 'Qg6'], ['Ra1', 'Be4'], ['Ra7', 'Rb8'], ['Qa2', 'Bd8'], ['Bf1', 'Bd3'], ['Bxd3', 'Qxd3\n'], ['Qb3', 'Qxb3'], ['Nxb3', 'Nb5'], ['Ra1', 'Kf7'], ['Nfd4', 'Nxd4'], ['Nxd4', 'Nf8'], ['Ra7', 'Ke8'], ['f5', 'Kd7\n'], ['b5', 'cxb5'], ['fxe6+', 'Kc8'], ['c6', 'b4'], ['Ra1', 'b3'], ['c7', 'Kxc7'], ['Nb5+', 'Kc6'], ['Na7+', '']]",1-0
URS-ch sf,Leningrad,1947.??.??,5,"Mikenas, Vladas","Taimanov, Mark E",,,D47,"[['c4', 'e6'], ['Nc3', 'd5'], ['d4', 'c6'], ['e3', 'Nf6'], ['Bd3', 'Nbd7'], ['Nf3', 'dxc4'], ['Bxc4', 'b5'], ['Bd3', 'b4\n'], ['Nb1', 'c5'], ['O-O', 'Bb7'], ['Nbd2', 'cxd4'], ['exd4', 'Be7'], ['Nc4', 'O-O'], ['Be3', 'Rc8'], ['Qe2', 'Nb6\n'], ['Nfe5', 'Nxc4'], ['Bxc4', 'Nd5'], ['Rfc1', 'Bd6'], ['Rc2', 'Qh4'], ['Rac1', 'Nf4'], ['Bxf4', 'Qxf4\n'], ['Qe3', 'Qxe3'], ['fxe3', 'Bxe5'], ['dxe5', 'Be4'], ['Rd2', 'Rc5'], ['Rd4', 'Rxe5'], ['Ba6', 'Bd5'], ['Rxb4', 'Rxe3\n'], ['a4', 'Rb3'], ['Rxb3', 'Bxb3'], ['a5', 'f5'], ['Rc7', 'Rf7'], ['Rc8+', '']]",1/2-1/2
URS-ch sf,Leningrad,1947.??.??,6,"Taimanov, Mark E","Aronin, Lev Solomonovich",,,D41,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'd5'], ['Nf3', 'c5'], ['cxd5', 'Nxd5'], ['e4', 'Nxc3'], ['bxc3', 'cxd4'], ['cxd4', 'Nc6\n'], ['Bc4', 'Bb4+'], ['Bd2', 'Qa5'], ['d5', 'Bxd2+'], ['Qxd2', 'Qxd2+'], ['Kxd2', 'Na5'], ['Bb5+', 'Ke7'], ['Rac1', 'a6\n'], ['Bd3', 'Rd8'], ['Rc5', 'b6'], ['Rc7+', 'Kf8'], ['Ne5', 'exd5'], ['Nxf7', 'Rd7'], ['Rxd7', 'Bxd7'], ['Ne5', 'Rd8\n'], ['exd5', 'Bb5'], ['Be4', 'Nc4+'], ['Nxc4', 'Bxc4'], ['Ke3', 'Bxa2'], ['Ra1', 'Bc4'], ['Kd4', 'Bb5'], ['Bxh7', 'Ke7\n'], ['Re1+', 'Kd6'], ['Re6+', 'Kc7'], ['Bf5', 'Rd7'], ['Ke5', 'Rf7'], ['Be4', 'a5'], ['f4', 'a4'], ['Rg6', 'a3\n'], ['Rg3', 'Re7+'], ['Kd4', 'a2'], ['Ra3', 'Bc4'], ['Kxc4', 'Rxe4+'], ['Kd3', 'Rxf4'], ['Rxa2', 'Kd6'], ['Rb2', 'Kc5\n'], ['Ke3', 'Rh4'], ['h3', 'Ra4'], ['Rc2+', 'Kxd5'], ['Rc7', 'g6'], ['Rg7', 'Re4+'], ['Kf3', 'Re6'], ['g4', 'b5\n'], ['h4', 'b4'], ['h5', 'gxh5'], ['gxh5', '']]",1/2-1/2
URS-ch sf,Leningrad,1947.??.??,7,"Zagorovsky, Vladimir Pavlovich","Taimanov, Mark E",,,C82,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Nxe4'], ['d4', 'b5'], ['Bb3', 'd5'], ['dxe5', 'Be6\n'], ['c3', 'Bc5'], ['Qd3', 'O-O'], ['Nbd2', 'f5'], ['exf6', 'Nxf6'], ['Ng5', 'Ne5'], ['Qg3', 'Qd6'], ['Re1', 'Nfg4\n'], ['Nde4', 'dxe4'], ['Bxe6+', 'Kh8'], ['Be3', 'Nxf2'], ['Qh4', 'h6'], ['Nxe4', 'Nxe4'], ['Qxe4', 'Rae8\n'], ['Bxc5', 'Qxc5+'], ['Qd4', 'Qxd4+'], ['cxd4', 'Nd3'], ['Re3', 'Nxb2'], ['Rc1', 'Rf6'], ['Rc6', 'Nc4\n'], ['Re2', 'Nb6'], ['Re4', 'Re7'], ['d5', 'g6'], ['h4', 'Kg7'], ['g4', 'Na4'], ['Rb4', 'Nb6'], ['Re4', 'Na4\n'], ['Re2', 'b4'], ['Rxa6', 'Nc3'], ['Rc2', 'Nxd5'], ['Rcc6', 'Nb6']]",0-1
URS-ch sf,Leningrad,1947.??.??,8,"Bronstein, David I","Taimanov, Mark E",,,D46,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'c6'], ['Nf3', 'Nf6'], ['e3', 'Nbd7'], ['Bd3', 'Bb4'], ['a3', 'Ba5'], ['O-O', 'O-O\n'], ['Qc2', 'Qe7'], ['b3', 'e5'], ['dxe5', 'Nxe5'], ['Nxe5', 'Qxe5'], ['b4', 'dxc4'], ['Bxc4', 'Bb6'], ['h3', 'Bf5\n'], ['Bd3', 'Bxd3'], ['Qxd3', 'Rad8'], ['Qc2', 'Nd5'], ['Bb2', 'Nxc3'], ['Bxc3', '']]",1/2-1/2
