DSB-15.Kongress-B,Nuernberg,1906.??.??,?,"Mayer, Lajos","Tartakower, Saviely",,,C25,"[['e4', 'e5'], ['Nc3', 'Nc6'], ['f4', 'exf4'], ['Nf3', 'g5'], ['h4', 'g4'], ['Ng5', 'h6'], ['Nxf7', 'Kxf7'], ['d4', 'Nf6\n'], ['Bc4+', 'd5'], ['Nxd5', 'Kg7'], ['Bxf4', 'Nxd5'], ['exd5', 'Bb4+'], ['c3', 'Re8+'], ['Be2', 'Bd6'], ['Bxd6', 'Qxd6\n'], ['O-O', 'Ne7'], ['Bxg4', 'Nxd5'], ['Bxc8', 'Raxc8'], ['Qg4+', 'Kh8'], ['Rf7', 'Rg8'], ['Qe4', 'Nf6'], ['Qe3', 'Rg6\n'], ['Rf1', 'Rcg8'], ['Kh1', 'Qd5'], ['Rf2', 'Qxf7'], ['h5', 'Rg5']]",0-1
DSB-15.Kongress-B,Nuernberg,1906.??.??,?,"Tartakower, Saviely","Barasz, Zsigmond",,,D55,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'Nf6'], ['Bg5', 'Be7'], ['e3', 'O-O'], ['Nf3', 'a6'], ['Qc2', 'dxc4'], ['Bxc4', 'h6\n'], ['h4', 'Re8'], ['O-O-O', 'b5'], ['Bxf6', 'Bxf6'], ['Bd3', 'Bb7'], ['Be4', 'Nc6'], ['g4', 'Be7'], ['h5', 'Nb4\n'], ['Qb1', 'Nd5'], ['g5', 'Bxg5'], ['Nxg5', 'Qxg5'], ['Rdg1', 'Qe7'], ['Rh3', 'Nxc3'], ['bxc3', 'Bxe4'], ['Qxe4', 'f5\n'], ['Qe5', 'Kh7'], ['Rhg3', 'Rg8'], ['Rg6', 'Rae8'], ['d5', 'exd5'], ['Qxf5', 'Kh8'], ['Qxd5', 'Qa3+'], ['Kc2', 'Qa4+\n'], ['Kb2', 'Rd8'], ['Rxg7', 'Rgf8'], ['R7g6', 'Rxf2+'], ['Ka1', 'Rf1+'], ['Kb2', 'Rf2+'], ['Ka1', 'Rf1+\n'], ['Rxf1', 'Rxd5']]",1/2-1/2
DSB-15.Kongress m,Nuernberg,1906.??.??,1,"Tartakower, Saviely","Johner, Paul F",,,C11,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['e5', 'Nfd7'], ['f4', 'c5'], ['dxc5', 'Nc6'], ['a3', 'Bxc5'], ['Qg4', 'O-O\n'], ['Bd3', 'f5'], ['Qh3', 'Bb6'], ['g4', 'Nc5'], ['gxf5', 'Nxd3+'], ['Qxd3', 'Rxf5'], ['Nf3', 'a6'], ['Ne2', 'h6\n'], ['Be3', 'Bxe3'], ['Qxe3', 'Rf7'], ['Rg1', 'Ne7'], ['Nfd4', 'Nf5'], ['Nxf5', 'Rxf5'], ['O-O-O', 'Qh4\n'], ['Rg6', 'Rf7'], ['Rdg1', 'Kh8'], ['f5', 'exf5'], ['e6', 'Bxe6'], ['Qxe6', 'Raf8'], ['Qxd5', 'Qxh2'], ['Qd4', 'Rf6\n'], ['Rxg7', '']]",1-0
DSB-15.Kongress m,Nuernberg,1906.??.??,7,"Tartakower, Saviely","Johner, Paul F",,,B01,"[['e4', 'd5'], ['exd5', 'Qxd5'], ['Nc3', 'Qa5'], ['d4', 'Nf6'], ['h3', 'Bf5'], ['Nf3', 'Nbd7'], ['Bd3', 'e6'], ['O-O', 'Bd6\n'], ['Nb5', 'Bxd3'], ['Qxd3', 'Be7'], ['c4', 'c6'], ['Bd2', 'Qb6'], ['Nc3', 'O-O'], ['Bf4', 'Rfd8'], ['Qe2', 'Qa6\n'], ['Rad1', 'Nf8'], ['Rfe1', 'Ng6'], ['Bh2', 'c5'], ['Nb5', 'Rac8'], ['a3', 'cxd4'], ['Nfxd4', 'Qb6'], ['b4', 'a6\n'], ['c5', 'Bxc5'], ['bxc5', 'Qxc5'], ['Nxe6', 'fxe6'], ['Qxe6+', 'Kh8'], ['Nd6', 'Rxd6'], ['Bxd6', 'Qc6\n'], ['Bg3', 'Qc2'], ['Qb6', '']]",1-0
Karlsbad,Karlsbad,1907.??.??,?,"Berger, Johann Nepomuk","Tartakower, Saviely",,,A80,"[['d4', 'f5'], ['Nf3', 'e6'], ['Nc3', 'Nf6'], ['Bg5', 'd5'], ['e3', 'Be7'], ['Bd3', 'Ne4'], ['Bxe7', 'Qxe7'], ['Bxe4', 'fxe4\n'], ['Ne5', 'O-O'], ['O-O', 'c5'], ['f3', 'exf3'], ['Rxf3', 'Nc6'], ['Rxf8+', 'Qxf8'], ['Qh5', 'g6'], ['Qg5', 'Qf5\n'], ['Qxf5', 'gxf5'], ['Nxc6', 'bxc6'], ['dxc5', 'Rb8'], ['b3', 'Ba6'], ['Rd1', 'e5'], ['Na4', 'Kf7'], ['c4', 'Ke6\n'], ['cxd5+', 'cxd5'], ['c6', 'Bb5'], ['Nc5+', 'Kd6'], ['Nd7', 'Rh8'], ['Rc1', 'Rc8'], ['Nf6', 'Bxc6'], ['Nxh7', 'Rg8\n'], ['h4', 'd4'], ['exd4', 'Rxg2+'], ['Kf1', 'Be4'], ['dxe5+', 'Kxe5'], ['a4', 'Rh2'], ['Rc7', 'Rxh4'], ['Rxa7', 'Rh1+\n'], ['Kf2', 'Rh2+'], ['Kf1', 'Kf4'], ['Nf6', 'Kf3'], ['Kg1', 'Rg2+'], ['Kh1', 'Rb2'], ['Nxe4', 'fxe4'], ['a5', 'e3\n'], ['Rf7+', 'Kg3'], ['Rg7+', 'Kf4'], ['Rf7+', 'Ke4'], ['Re7+', 'Kd3'], ['a6', 'e2'], ['a7', 'Ra2'], ['Rd7+', 'Kc3\n'], ['Rc7+', 'Kxb3'], ['Re7', 'Rxa7'], ['Rxe2', 'Ra1+']]",1/2-1/2
Karlsbad,Karlsbad,1907.??.??,?,"Cohn, Erich","Tartakower, Saviely",,,D37,"[['d4', 'd5'], ['Nf3', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Nbd7'], ['Bf4', 'dxc4'], ['e3', 'Nd5'], ['Bxc4', 'Nxf4'], ['exf4', 'Bd6\n'], ['g3', 'O-O'], ['O-O', 'c6'], ['Re1', 'Bc7'], ['a3', 'Nf6'], ['Qe2', 'b5'], ['Bd3', 'Bb7'], ['Ne4', 'Nxe4\n'], ['Qxe4', 'g6'], ['Bxb5', 'Qd6'], ['Bc4', 'Rab8'], ['Qe5', 'Qd7'], ['Qe3', 'c5'], ['dxc5', 'Bxf3'], ['Qxf3', 'Rxb2\n'], ['Rad1', 'Qa4'], ['Qe4', 'Qxa3'], ['c6', 'Qc5'], ['Re2', 'Rb6'], ['Bxe6', 'Rxc6'], ['Bb3', 'Rd6'], ['Red2', 'Rxd2\n'], ['Rxd2', 'Bb6'], ['Qe2', 'Qc3'], ['Rd3', 'Qc6'], ['Bd5', 'Re8'], ['Qb2', 'Qc5'], ['Qa2', 'Kg7'], ['Rf3', 'Re1+\n'], ['Kg2', 'Qc1'], ['Bc4', 'Rh1'], ['Rd3', 'Qg1+'], ['Kf3', 'Rxh2'], ['Qb2+', 'Kh6'], ['Qf6', 'Qg2+'], ['Kg4', 'Qh3+\n'], ['Kf3', 'Rxf2+'], ['Ke4', 'Qh1+']]",0-1
Karlsbad,Karlsbad,1907.??.??,?,"Janowsky, Dawid Markelowicz","Tartakower, Saviely",,,B34,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['Nc3', 'g6'], ['d4', 'cxd4'], ['Nxd4', 'Bg7'], ['Be3', 'Nf6'], ['Be2', 'O-O'], ['O-O', 'd5\n'], ['exd5', 'Nb4'], ['Bf3', 'Nfxd5'], ['Nxd5', 'Nxd5'], ['Bg5', 'Nc7'], ['c3', 'Qd6'], ['Re1', 'Be5'], ['g3', 'Ne6\n'], ['Bxe7', 'Qxe7'], ['Rxe5', 'Qf6'], ['Qe2', 'Rd8'], ['Qe3', 'Nxd4'], ['cxd4', 'Bh3'], ['Re1', 'Qb6'], ['Qh6', 'Bf5\n'], ['Bd5', 'Rf8'], ['Bxf7+', 'Kh8'], ['Re7', 'Qxd4'], ['Be8', '']]",1-0
Karlsbad,Karlsbad,1907.??.??,?,"Leonhardt, Paul Saladin","Tartakower, Saviely",,,B34,"[['d4', 'c5'], ['e4', 'cxd4'], ['Nf3', 'Nc6'], ['Nxd4', 'Nf6'], ['Nc3', 'g6'], ['Nxc6', 'bxc6'], ['e5', 'Ng8'], ['Qf3', 'Bg7\n'], ['Bc4', 'e6'], ['Bf4', 'Qc7'], ['O-O', 'Bxe5'], ['Nb5', 'Qb8'], ['Bxe5', 'Qxe5'], ['Rad1', 'd5'], ['Rfe1', 'Qb8\n'], ['Bxd5', 'cxd5'], ['Qxd5', 'Bb7'], ['Nd6+', 'Kf8'], ['Qe5', 'Bd5'], ['Qxh8', 'Qxd6'], ['c4', 'Re8'], ['cxd5', 'e5\n'], ['Qxh7', 'Nf6'], ['Qh8+', 'Ke7'], ['Qh4', 'Kf8'], ['Re3', 'Kg7'], ['Rh3', 'Nh5'], ['g4', 'Nf4'], ['Qh6+', 'Kf6\n'], ['Rf3', 'Ke7'], ['Qg7', 'Kd8'], ['Qxf7', 'Rf8'], ['Qb7', 'Ne2+'], ['Kg2', 'Rxf3'], ['Kxf3', 'Nd4+'], ['Kg2', 'Qf6\n'], ['d6', 'Qxd6'], ['Rc1', 'Qe6'], ['Qb8+', 'Ke7'], ['Rc7+', 'Kf6'], ['Qd8+', '']]",1-0
Karlsbad,Karlsbad,1907.??.??,?,"Mieses, Jacques","Tartakower, Saviely",,,B01,"[['e4', 'd5'], ['exd5', 'Nf6'], ['Bb5+', 'c6'], ['dxc6', 'bxc6'], ['Bc4', 'e5'], ['d3', 'Bc5'], ['Be3', 'Bxe3'], ['fxe3', 'Qb6\n'], ['Qc1', 'Ng4'], ['Ke2', 'Nxe3'], ['Qxe3', 'Qxb2'], ['Nf3', 'Qxa1'], ['Nxe5', 'O-O'], ['Rf1', 'Be6'], ['Nd2', 'Qc3\n'], ['Bxe6', 'fxe6'], ['Rxf8+', 'Kxf8'], ['Qf4+', 'Ke8'], ['Qf7+', 'Kd8'], ['Qf8+', 'Kc7'], ['Qe7+', 'Kc8\n'], ['Ndc4', 'Qxc2+'], ['Kf3', 'Qd1+'], ['Kg3', 'Qe1+'], ['Kh3', '']]",1-0
Karlsbad,Karlsbad,1907.??.??,?,"Olland, Adolf Georg","Tartakower, Saviely",,,C63,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'f5'], ['d3', 'Nf6'], ['O-O', 'Bc5'], ['Nc3', 'O-O'], ['Bg5', 'h6'], ['Bxf6', 'Qxf6\n'], ['Nd5', 'Qd8'], ['c3', 'd6'], ['b4', 'Bb6'], ['a4', 'a6'], ['Nxb6', 'cxb6'], ['Bc4+', 'Kh7'], ['Re1', 'Qf6\n'], ['Qc2', 'g5'], ['d4', 'g4'], ['dxe5', 'dxe5'], ['Nd2', 'f4'], ['Rad1', 'Ne7'], ['Bd5', 'Ng6'], ['Nc4', 'Qh4\n'], ['Qd3', 'Qg5'], ['Nxb6', 'Nh4'], ['Nxa8', 'Nf3+'], ['Kh1', 'Nxh2'], ['Kxh2', 'Qh4+'], ['Kg1', 'g3'], ['Qf3', 'Bg4\n'], ['fxg3', 'fxg3'], ['Bg8+', 'Kh8'], ['Rd2', 'Qh2+'], ['Kf1', 'Qh1+'], ['Ke2', 'Qxg2+'], ['Kd1', 'Qxf3+\n'], ['Kc2', 'Kxg8']]",0-1
