London,London,1893.??.??,1,"Van Vliet, Louis","Teichmann, Richard",,,C77,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['d3', 'd6'], ['c3', 'Be7'], ['h3', 'b5'], ['Bc2', 'd5'], ['Qe2', 'dxe4\n'], ['dxe4', 'Be6'], ['Bd3', 'Qd6'], ['O-O', 'Rd8'], ['Rd1', 'Bc4'], ['Ne1', 'O-O'], ['Na3', 'Bxd3'], ['Rxd3', 'Qe6\n'], ['Nac2', 'Qc4'], ['f3', 'Bc5+'], ['Be3', 'Nh5'], ['Kh2', 'Nf4'], ['Bxf4', 'exf4'], ['b3', 'Qe6'], ['Rad1', 'Qg6\n'], ['Rd5', 'Bd6'], ['c4', 'bxc4'], ['Qxc4', 'Ne5'], ['Qe2', 'f5'], ['exf5', 'Qxf5'], ['Nd3', 'Ng4+'], ['hxg4', 'Qxd5\n'], ['Nf2', 'Qg5'], ['Ne4', 'Qh4+'], ['Kg1', 'Be5'], ['Qc4+', 'Kh8'], ['Rf1', 'Qh6'], ['Re1', 'Qb6+'], ['Kf1', 'Qb5\n'], ['Na3', 'Qxc4+'], ['Nxc4', 'Rd5'], ['Rc1', 'Rf7'], ['Ng5', 'Re7'], ['Ne4', 'h6'], ['Ke2', 'a5'], ['Nxe5', 'Rdxe5\n'], ['Rc4', 'Rd5'], ['Kf2', 'g5'], ['Rc2', 'Kg7'], ['g3', 'Rd4'], ['gxf4', 'gxf4'], ['Nc3', 'Red7'], ['Ne4', 'Re7\n'], ['Rc5', 'a4'], ['bxa4', 'Rxa4'], ['Nc3', 'Ra3'], ['Nd5', 'Rxa2+'], ['Kf1', 'Rd7'], ['Rxc7', 'Rxc7'], ['Nxc7', 'Kf6\n'], ['Nb5', 'Ke5'], ['Nc3', 'Ra3'], ['Ne4', 'Rxf3+'], ['Nf2', 'Rxf2+'], ['Kxf2', 'Ke4']]",0-1
London,London,1893.??.??,2,"Teichmann, Richard","Mason, James",,,C48,"[['e4', 'e5'], ['Nc3', 'Nf6'], ['Nf3', 'Nc6'], ['Bb5', 'Bc5'], ['O-O', 'O-O'], ['Nxe5', 'Nxe5'], ['d4', 'Bd6'], ['f4', 'Nc6\n'], ['e5', 'Be7'], ['exf6', 'Bxf6'], ['Ne2', 'd5'], ['f5', 'Bd7'], ['Rf3', 'Re8'], ['c3', 'Nxd4'], ['Nxd4', 'Bxd4+\n'], ['Qxd4', 'Bxb5'], ['Bh6', 'f6'], ['Rg3', 'Re7'], ['Qg4', 'Qd7'], ['h3', 'Rae8'], ['b3', 'Kh8'], ['Bc1', 'd4\n'], ['Qf3', 'Re1+'], ['Kh2', 'Rf1']]",0-1
London,London,1893.??.??,3,"Tinsley, Samuel","Teichmann, Richard",,,E14,"[['d4', 'd5'], ['e3', 'Nf6'], ['c4', 'e6'], ['Nc3', 'b6'], ['cxd5', 'exd5'], ['Nf3', 'Bb7'], ['Bd3', 'Be7'], ['O-O', 'O-O\n'], ['Qc2', 'c5'], ['b3', 'Nbd7'], ['Bb2', 'Rc8'], ['Qe2', 'cxd4'], ['exd4', 'Re8'], ['Ne5', 'Bd6'], ['f4', 'Nf8\n'], ['Nd1', 'N6d7'], ['Qh5', 'g6'], ['Qh3', 'f5'], ['Bxf5', 'Bxe5'], ['Bxd7', 'Bxd4+'], ['Bxd4', 'Qxd7'], ['Qd3', 'Ne6\n'], ['Ne3', 'Nxd4'], ['Qxd4', 'Re4'], ['Qd3', 'Rce8'], ['Rf3', 'Qe7'], ['Ng4', 'Rf8'], ['Raf1', 'd4'], ['R3f2', 'Qd7\n'], ['h3', 'Kg7'], ['Qd2', 'h5'], ['Ne5', 'Qd5'], ['Rc1', 'Rc8'], ['Rxc8', 'Bxc8'], ['Qc2', 'Qb7'], ['Qc4', 'Bf5\n'], ['Rd2', 'Rxf4'], ['Rxd4', 'Rxd4'], ['Qxd4', 'Qe4'], ['Qd6', 'Qb7'], ['g4', 'hxg4'], ['hxg4', 'Be4'], ['g5', 'Qd5\n'], ['Qc7+', 'Kg8'], ['Qb8+', 'Kg7'], ['Qxa7+', 'Kg8'], ['Qb8+', 'Kg7'], ['Qc7+', 'Kg8'], ['Qc4', 'Qxc4\n'], ['Nxc4', 'b5'], ['Nd6', 'Bc6'], ['Kf2', 'Kf8'], ['Ke3', 'Ke7'], ['Ne4', 'Ke6'], ['Kf4', 'Kd5'], ['Ke3', 'Ke5\n'], ['Nf6', 'b4'], ['Kd3', 'Bb5+'], ['Kc2', 'Bc6'], ['Kb2', 'Kf4'], ['Nh7', 'Bd5'], ['a4', '']]",1/2-1/2
London,London,1893.??.??,4,"Teichmann, Richard","Bird, Henry Edward",,,B54,"[['e4', 'c5'], ['Nc3', 'Nc6'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Bd7'], ['Be3', 'g6'], ['Be2', 'Bg7'], ['O-O', 'h5\n'], ['f4', 'Nf6'], ['h3', 'Nxd4'], ['Bxd4', 'Bc6'], ['Bf3', 'Kf8'], ['Qd2', 'Nd7'], ['Rad1', 'Bxd4+'], ['Qxd4', 'Qb6\n'], ['Rf2', 'Qxd4'], ['Rxd4', 'Nc5'], ['Be2', 'Kg7'], ['f5', 'Nd7'], ['Bc4', 'gxf5'], ['exf5', 'Nf6'], ['Re2', 'Kf8\n'], ['Nd5', 'Bxd5'], ['Bxd5', 'Rb8'], ['Bf3', 'Rg8'], ['h4', 'b5'], ['Rb4', 'a5'], ['Rb3', 'Nd7'], ['Bc6', 'Ne5\n'], ['Bxb5', 'Rg4'], ['g3', 'Rc8'], ['Rd2', 'a4'], ['Re3', 'Rb4'], ['c4', 'Kg7'], ['b3', 'Kf6'], ['Rde2', 'Ra8\n'], ['Kg2', 'axb3'], ['axb3', 'Ra3'], ['Ba4', 'Kxf5'], ['Rf2+', 'Ke6'], ['Be8', 'f6'], ['Bxh5', 'Rbxb3'], ['Rxb3', 'Rxb3\n'], ['Be2', 'f5'], ['h5', 'Kf6'], ['g4', 'e6'], ['gxf5', 'exf5'], ['Bd1', 'Rb8'], ['Rc2', 'Kg5'], ['c5', 'd5\n'], ['c6', 'Nc4'], ['Kf2', 'Kf4'], ['Be2', 'Nd6'], ['c7', 'Rh8'], ['Rc6', 'Ke5'], ['Ba6', 'd4'], ['h6', 'Rxh6\n'], ['Rxd6', 'Rh2+'], ['Kg1', 'Rc2'], ['Rd7', '']]",1-0
London,London,1893.??.??,5,"Teichmann, Richard","Blackburne, Joseph Henry",,,C01,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['exd5', 'exd5'], ['Nf3', 'Bd6'], ['Bd3', 'O-O'], ['O-O', 'Bg4'], ['Bg5', 'c6\n'], ['Ne2', 'Nbd7'], ['Ng3', 'Qc7'], ['Qd2', 'Rfe8'], ['Rae1', 'Rxe1'], ['Rxe1', 'Re8'], ['Rxe8+', 'Nxe8\n'], ['Qe3', 'Nef6'], ['Nf5', 'Bxf5'], ['Bxf5', 'h6'], ['Bh4', 'Bf4'], ['Qe7', 'Bd6'], ['Qe3', 'Bf4'], ['Qe7', 'Bd6\n'], ['Qe3', 'Bf4']]",1/2-1/2
DSB-09.Kongress,Leipzig,1894.??.??,1,"Mieses, Jacques","Teichmann, Richard",,,C13,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['Bg5', 'Be7'], ['Bxf6', 'Bxf6'], ['e5', 'Be7'], ['Qg4', 'O-O'], ['Bd3', 'f5\n'], ['Qh3', 'c5'], ['dxc5', 'Nc6'], ['f4', 'Nb4'], ['O-O-O', 'Nxd3+'], ['Qxd3', 'Qa5'], ['Nge2', 'Qxc5'], ['g4', 'Bd7\n'], ['Nd4', 'g6'], ['h4', 'Rf7'], ['h5', 'Rg7'], ['hxg6', 'hxg6'], ['gxf5', 'gxf5'], ['Rdg1', 'Bf8'], ['Qh3', 'Qxd4\n'], ['Qh8+', 'Kf7'], ['Rxg7+', 'Bxg7'], ['Qxa8', 'Qxf4+'], ['Kb1', 'Bc6'], ['Rd1', 'Qxe5'], ['Qxa7', 'd4\n'], ['Na4', 'Qe2'], ['Rg1', 'd3'], ['Qb6', 'Qxc2+'], ['Ka1', 'Qxa4'], ['Qc7+', 'Bd7'], ['Qh2', 'Qc2'], ['Qh5+', 'Kf8\n'], ['Rb1', 'd2']]",0-1
DSB-09.Kongress,Leipzig,1894.??.??,2,"Teichmann, Richard","Suechting, Hugo",,,C28,"[['e4', 'e5'], ['Nc3', 'Nf6'], ['Bc4', 'Nc6'], ['d3', 'Be7'], ['f4', 'd6'], ['Nf3', 'Nd7'], ['O-O', 'Na5'], ['Bb3', 'Nxb3\n'], ['axb3', 'c6'], ['d4', 'exd4'], ['Nxd4', 'O-O'], ['Nf5', 'Nf6'], ['Nxe7+', 'Qxe7'], ['Qd4', 'Re8'], ['Re1', 'Nxe4\n'], ['Rxe4', 'Qd8'], ['Rxe8+', 'Qxe8'], ['Bd2', 'd5'], ['Re1', 'Qf8'], ['Qe5', 'f6'], ['Qe7', 'Qxe7'], ['Rxe7', 'Bf5\n'], ['Rxb7', 'Bxc2'], ['Be3', 'a6'], ['Kf2', 'Rd8'], ['Ne2', 'Rc8'], ['Bc5', 'Bd3'], ['Nd4', 'Re8'], ['Rb6', 'Re4\n'], ['Rb8+', 'Kf7'], ['f5', 'g6'], ['Rf8+', 'Kg7'], ['Ne6+', 'Kh6'], ['Rxf6', 'Re2+'], ['Kf3', 'Re5'], ['g4', '']]",1-0
DSB-09.Kongress,Leipzig,1894.??.??,3,"Seuffert, Paul Klemens","Teichmann, Richard",,,C13,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['Bg5', 'Be7'], ['Bxf6', 'Bxf6'], ['e5', 'Be7'], ['Qg4', 'O-O'], ['Bd3', 'f5\n'], ['Qh3', 'c5'], ['dxc5', 'Nc6'], ['f4', 'Nb4'], ['O-O-O', 'Bxc5'], ['g4', 'Nxd3+'], ['Rxd3', 'b5'], ['Nf3', 'b4\n'], ['Nd1', 'a5'], ['Ng5', 'h6'], ['Nf3', 'fxg4'], ['Qxg4', 'Ra7'], ['Nh4', 'Qe8'], ['Rh3', 'Kh7'], ['Re1', 'a4\n'], ['f5', 'exf5'], ['Qf4', 'g5'], ['Qd2', 'gxh4'], ['Qxd5', 'Be7']]",0-1
DSB-09.Kongress,Leipzig,1894.??.??,4,"Teichmann, Richard","Tarrasch, Siegbert",,,C30,"[['e4', 'e5'], ['Nc3', 'Nf6'], ['Bc4', 'Bc5'], ['f4', 'd6'], ['Nf3', 'Nc6'], ['d3', 'Bg4'], ['h3', 'Be6'], ['Bb5', 'a6\n'], ['Bxc6+', 'bxc6'], ['fxe5', 'dxe5'], ['Ne2', 'Qd6'], ['d4', 'Bb6'], ['Qd3', 'Nd7'], ['c3', 'O-O'], ['Be3', 'f5\n'], ['exf5', 'Bxf5'], ['Qd2', 'e4'], ['Nh2', 'Be6'], ['Bf4', 'Qd5'], ['O-O', 'c5'], ['Be3', 'cxd4'], ['cxd4', 'c5\n'], ['Nc3', 'Qb7'], ['d5', 'Bf5'], ['b3', 'Ne5'], ['g4', 'Bg6'], ['Qg2', 'Nd3'], ['Rxf8+', 'Rxf8'], ['Rf1', 'Re8\n'], ['Rd1', 'c4'], ['Qd2', 'cxb3'], ['axb3', 'Bxe3+'], ['Qxe3', 'Qxb3'], ['Qd4', 'e3'], ['Rxd3', 'Bxd3'], ['Qxd3', 'e2\n'], ['Nf3', 'e1=Q+'], ['Nxe1', 'Rxe1+'], ['Kf2', 'Re5'], ['d6', 'Qb6+'], ['Kg2', 'Qc6+'], ['Kg3', 'Re6']]",0-1
DSB-09.Kongress,Leipzig,1894.??.??,5,"Janowsky, Dawid Markelowicz","Teichmann, Richard",,,C14,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['Bg5', 'Be7'], ['e5', 'Nfd7'], ['Bxe7', 'Qxe7'], ['Nb5', 'Qd8'], ['c3', 'a6\n'], ['Na3', 'c5'], ['f4', 'Nc6'], ['Nf3', 'c4'], ['Nc2', 'b5'], ['Be2', 'a5'], ['O-O', 'O-O'], ['Ne3', 'Qb6'], ['Qd2', 'f5\n'], ['Bd1', 'b4'], ['Bc2', 'a4'], ['a3', 'bxc3'], ['bxc3', 'Qc7'], ['g4', 'g6'], ['Qg2', 'Kh8'], ['Ng5', 'Nb6\n'], ['Rf3', 'Qg7'], ['Rb1', 'Ra6'], ['gxf5', 'gxf5'], ['Rg3', 'Qe7'], ['Rh3', 'Rg8'], ['Kh1', 'Rg7'], ['Rg1', 'Qf8\n'], ['Nxh7', '']]",1-0
