EU-ch U18 f-A 6768,Groningen,1967.??.??,1,"Hostalet, Pedro Enrique","Timman, Jan H",,,A17,"[['Nf3', 'e6'], ['c4', 'Nf6'], ['Nc3', 'c5'], ['g3', 'b6'], ['e4', 'Bb7'], ['d3', 'd6'], ['Bg2', 'Be7'], ['O-O', 'O-O'], ['h3', 'Na6\n'], ['Ng5', 'h6'], ['Nf3', 'Nc7'], ['Be3', 'd5'], ['e5', 'Nd7'], ['Bf4', 'd4'], ['Ne4', 'Bxe4'], ['dxe4', 'b5\n'], ['cxb5', 'Nxb5'], ['Qd3', 'Rb8'], ['a4', 'Nc7'], ['Rfb1', 'Qc8'], ['b4', 'cxb4'], ['Nxd4', 'Na6'], ['h4', 'Nac5\n'], ['Qe3', 'Qb7'], ['Bf1', 'a6'], ['f3', 'Rfc8'], ['g4', 'b3'], ['Bc4', 'b2'], ['Ra2', 'Qb4'], ['Raxb2', 'Qxc4\n'], ['Nc6', 'Rxc6'], ['Rxb8+', 'Nxb8'], ['Rxb8+', 'Kh7'], ['Re8', 'Bxh4'], ['g5', 'Nd3'], ['Kh2', 'Nxf4\n'], ['Qxf4', 'Qf1']]",0-1
EU-ch U18 sf 6768,Groningen,1967.??.??,1,"Maeder, Karl Heinz","Timman, Jan H",,,C04,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'Nc6'], ['Ngf3', 'Nf6'], ['e5', 'Nd7'], ['Nb3', 'f6'], ['Bb5', 'Be7'], ['Bf4', 'O-O\n'], ['exf6', 'Bxf6'], ['Bg3', 'Re8'], ['O-O', 'e5'], ['Bxc6', 'bxc6'], ['Na5', 'Nb8'], ['dxe5', 'Be7'], ['Nd4', 'c5\n'], ['Nac6', 'Nxc6'], ['Nxc6', 'Qd7'], ['Nxe7+', 'Rxe7'], ['f4', 'Ba6'], ['Rf2', 'Rf8'], ['f5', 'Rxf5'], ['Rxf5', 'Qxf5\n'], ['Qxd5+', 'Rf7'], ['c4', 'h5'], ['Re1', 'c6'], ['Qxc5', 'Qg5'], ['Bf2', 'Rf5'], ['b3', 'h4'], ['h3', 'Kh7\n'], ['Qd4', '']]",1-0
EU-ch U18 sf 6768,Groningen,1967.??.??,2,"Timman, Jan H","Dudek, Hansgeorg",,,A52,"[['d4', 'Nf6'], ['c4', 'e5'], ['dxe5', 'Ng4'], ['Nf3', 'Bc5'], ['e3', 'Nc6'], ['Be2', 'Ngxe5'], ['O-O', 'O-O'], ['Nc3', 'd6\n'], ['a3', 'Nxf3+'], ['Bxf3', 'Ne5'], ['b4', 'Nxf3+'], ['Qxf3', 'Bb6'], ['Bb2', 'Qg5'], ['Nd5', 'Be6'], ['Rfd1', 'c6\n'], ['Nxb6', 'axb6'], ['Rxd6', 'Rad8'], ['Rad1', 'Rxd6'], ['Rxd6', 'Rd8'], ['Bf6', 'Qxf6'], ['Qxf6', 'Rxd6\n'], ['Qf3', 'Bxc4'], ['h4', 'b5'], ['Qf4', 'Rd1+'], ['Kh2', 'h6'], ['Qb8+', 'Kh7'], ['Qxb7', 'Rd2'], ['Kg3', 'Rd3\n'], ['a4', 'Rd6'], ['a5', 'Bd5'], ['f3', 'c5'], ['Qxb5', 'cxb4'], ['Qxb4', 'Rd8'], ['e4', 'Bc6'], ['a6', 'Re8\n'], ['Qc4', 'Re6'], ['a7', '']]",1-0
EU-ch U18 f-A 6768,Groningen,1967.??.??,2,"Timman, Jan H","Ligterink, Gert",,,E20,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['f3', 'd5'], ['cxd5', 'exd5'], ['e3', 'O-O'], ['Bd3', 'Re8'], ['Ne2', 'b6\n'], ['a3', 'Bf8'], ['e4', 'dxe4'], ['fxe4', 'Bb7'], ['O-O', 'Nxe4'], ['Qb3', 'Nxc3'], ['Qxf7+', 'Kh8'], ['bxc3', 'Qe7\n'], ['Qh5', 'Be4'], ['Bg5', 'Qxg5'], ['Qxg5', 'Bxd3'], ['Qe3', '']]",1-0
EU-ch U18 f-A 6768,Groningen,1967.??.??,3,"Moles, John","Timman, Jan H",,,A03,"[['f4', 'd5'], ['e3', 'g6'], ['Nf3', 'Bg7'], ['Be2', 'Nf6'], ['O-O', 'O-O'], ['d3', 'c5'], ['Qe1', 'Nc6'], ['Qh4', 'e6\n'], ['Nbd2', 'b6'], ['e4', 'Ba6'], ['e5', 'Nd7'], ['Qh3', 'Qe7'], ['Nb3', 'f6'], ['Bd2', 'Rae8'], ['Rae1', 'fxe5\n'], ['Ng5', 'h6'], ['Nxe6', 'Qxe6'], ['Bg4', 'Rf5'], ['fxe5', 'Ndxe5'], ['Bxf5', 'gxf5'], ['Qxf5', 'Qxf5\n'], ['Rxf5', 'c4'], ['dxc4', 'dxc4'], ['Nc1', 'Nd4'], ['Rh5', 'Nef3+'], ['gxf3', 'Nxf3+'], ['Kf2', 'Nxe1']]",0-1
EU-ch U18 sf 6768,Groningen,1967.??.??,3,"Jacobsen, Bo","Timman, Jan H",,,C03,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'Nc6'], ['Bb5', 'Ne7'], ['Ngf3', 'a6'], ['Bxc6+', 'Nxc6'], ['O-O', 'Be7'], ['c3', 'b6\n'], ['Ne5', 'Nxe5'], ['dxe5', 'Bb7'], ['Qg4', 'Qd7'], ['exd5', 'Qxd5'], ['Nf3', 'h5'], ['Qa4+', 'b5'], ['Qd4', 'Qc6\n'], ['h4', 'Rd8'], ['Qf4', 'Rh6'], ['Qh2', 'Rg6'], ['Bg5', 'f6'], ['exf6', 'gxf6'], ['Rfe1', 'fxg5'], ['hxg5', 'Rd5\n'], ['Nd4', 'Rxd4'], ['cxd4', 'Rxg5'], ['g3', 'h4'], ['Re3', 'Kd7'], ['Rae1', 'hxg3'], ['Rxg3', 'Rxg3+'], ['fxg3', 'Bf6']]",0-1
EU-ch U18 sf 6768,Groningen,1967.??.??,4,"Timman, Jan H","Adorjan, Andras",,,E64,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['g3', 'Bg7'], ['Bg2', 'O-O'], ['O-O', 'c5'], ['d5', 'd6'], ['c4', 'Na6'], ['Nc3', 'Nc7\n'], ['Qc2', 'a6'], ['b3', 'Bf5'], ['Qd2', 'Ne4'], ['Nxe4', 'Bxa1'], ['Nc3', 'b5'], ['Qh6', 'f6'], ['Bd2', 'Bxc3\n'], ['Bxc3', 'Rf7'], ['e4', 'Bd7'], ['Qe3', 'Ne8'], ['Nd2', 'b4'], ['Bb2', 'a5'], ['f4', 'a4'], ['e5', 'fxe5\n'], ['fxe5', 'Rxf1+'], ['Bxf1', 'axb3'], ['e6', 'bxa2'], ['exd7', 'Qxd7'], ['Ba1', 'Ng7'], ['Ne4', 'Nf5\n'], ['Qf2', 'Nd4'], ['Qe3', 'b3'], ['Qc3', 'Qf5'], ['Nd2', 'Qc2']]",0-1
EU-ch U18 f-A 6768,Groningen,1967.??.??,4,"Karpov, Anatoly","Timman, Jan H",,,A17,"[['c4', 'e6'], ['Nc3', 'Nf6'], ['Nf3', 'Bb4'], ['Qb3', 'c5'], ['a3', 'Ba5'], ['e3', 'O-O'], ['Be2', 'd5'], ['O-O', 'Nc6\n'], ['Na4', 'Qe7'], ['Qc2', 'Nd7'], ['d4', 'dxc4'], ['dxc5', 'e5'], ['e4', 'Nd4'], ['Nxd4', 'exd4'], ['Bxc4', 'Ne5\n'], ['b4', 'Bc7'], ['Bd5', 'd3'], ['Qd1', 'Bg4'], ['f3', 'Bh5'], ['Ra2', 'Kh8'], ['g4', 'Bg6'], ['f4', 'Nxg4\n'], ['Qxg4', 'f5'], ['exf5', 'Bxf5'], ['Qf3', 'Rad8'], ['Nc3', 'Qf6'], ['Rg2', 'Qd4+'], ['Kh1', 'Rf6'], ['Bd2', 'Rh6\n'], ['Qf2', 'Rxd5'], ['Re1', 'Re6'], ['Nxd5', 'Qxd5'], ['Rxe6', 'Bxe6'], ['Kg1', 'Qb3'], ['Qe1', 'Kg8'], ['f5', 'Bf7\n'], ['Bh6', 'g6'], ['Qa1', 'Be5'], ['Qxe5', 'Qd1+'], ['Kf2', 'Qc2+'], ['Kg3', '']]",1-0
EU-ch U18 f-A 6768,Groningen,1967.??.??,5,"Timman, Jan H","Adorjan, Andras",,,A34,"[['c4', 'Nf6'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['g3', 'g6'], ['Bg2', 'Nxc3'], ['bxc3', 'Bg7'], ['Nf3', 'O-O'], ['O-O', 'c5\n'], ['Rb1', 'Nc6'], ['Qa4', 'Qa5'], ['Qxa5', 'Nxa5'], ['d4', 'Bf5'], ['Rb5', 'b6'], ['Nh4', 'Bd7'], ['Rxa5', 'bxa5\n'], ['Bxa8', 'Rxa8'], ['Ba3', 'cxd4'], ['cxd4', 'Bb5'], ['Bxe7', 'Bxe2'], ['Re1', 'Bc4'], ['a3', 'Re8'], ['Rc1', 'Bd5\n'], ['Bc5', 'Re4'], ['Rd1', 'Re2'], ['Ng2', 'Ra2'], ['Ne3', 'Bf3'], ['Rb1', 'h5'], ['d5', 'Kh7'], ['d6', 'Rd2\n'], ['Re1', 'Bc3'], ['Rc1', 'Bf6'], ['Nc4', 'Rd5'], ['Nxa5', 'Bb2'], ['Rb1', 'Rxc5'], ['Nb3', 'Rd5'], ['g4', 'Rxd6\n'], ['gxh5', 'Rd1+'], ['Rxd1', 'Bxd1'], ['hxg6+', 'Kxg6'], ['Na5', 'Bxa3']]",0-1
EU-ch U18 sf 6768,Groningen,1967.??.??,5,"Fucak, Emilijo","Timman, Jan H",,,B80,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Be3', 'a6'], ['Bd3', 'b5'], ['a3', 'Bb7\n'], ['O-O', 'Nbd7'], ['f4', 'Be7'], ['Qf3', 'Rc8'], ['Kh1', 'O-O'], ['Rae1', 'Rxc3'], ['bxc3', 'Nc5'], ['Bg1', 'Qa8\n'], ['Qh3', 'Nfxe4'], ['c4', 'f5'], ['cxb5', 'axb5'], ['Nb3', 'Rf6'], ['Bxc5', 'dxc5'], ['Bxe4', 'Bxe4'], ['Re2', 'Qxa3\n'], ['Qe3', 'Rg6'], ['Ra1', 'Qb2'], ['Ra7', 'Bf8'], ['h3', 'e5'], ['fxe5', 'Qxe5'], ['Nd2', 'Rxg2'], ['Nf3', 'Bxf3\n'], ['Qb3+', 'c4'], ['Rxe5', 'cxb3'], ['Rxf5', 'bxc2'], ['Rxf3', 'Rd2'], ['Rf1', 'Rd1'], ['Rf7', 'Ba3'], ['Rf8+', '']]",0-1
EU-ch U18 f-A 6768,Groningen,1967.??.??,6,"Zara, Dan","Timman, Jan H",,,A40,"[['d4', 'g6'], ['g3', 'Bg7'], ['Bg2', 'c5'], ['c3', 'Qa5'], ['Nd2', 'cxd4'], ['Nb3', 'Qb6'], ['cxd4', 'a5'], ['a4', 'Nc6\n'], ['Nf3', 'd5'], ['O-O', 'Bg4'], ['Be3', 'Bxf3'], ['Bxf3', 'e6'], ['Qd3', 'Nge7'], ['Qb5', 'Qa6'], ['g4', 'h5\n'], ['h3', 'hxg4'], ['hxg4', 'Kf8'], ['Kg2', 'b6'], ['Qxa6', 'Rxa6'], ['Rad1', 'f6'], ['Rh1', 'Rxh1'], ['Kxh1', 'g5\n'], ['Bd2', 'Ra8'], ['Rc1', 'Rc8'], ['Kg2', 'Na7'], ['e3', 'Kf7'], ['Be2', 'Bf8'], ['f4', 'gxf4'], ['exf4', 'Rxc1\n'], ['Nxc1', 'Nec6'], ['Be3', 'Nb4'], ['Bd1', 'Nac6'], ['Kf2', 'Bd6'], ['Ke2', 'Ne7'], ['Nd3', 'Nxd3'], ['Kxd3', 'f5\n'], ['Bf3', 'fxg4'], ['Bxg4', 'Kf6'], ['Ke2', 'Nf5'], ['Kd3', 'Nh4'], ['Ke2', 'Nf5'], ['Kf3', 'Be7'], ['Bf2', 'Kg6\n'], ['Ke2', 'Bf6'], ['Kd3', 'Kf7'], ['Be3', 'Be7'], ['Bh5+', 'Kf6'], ['Bg4', 'Bb4'], ['Bf2', 'Bf8'], ['Ke2', 'Kg6\n'], ['Bxf5+', 'Kxf5'], ['Kf3', 'Be7'], ['Bg1', 'Bh4'], ['Be3', 'Be1'], ['Bc1', '']]",1/2-1/2
EU-ch U18 sf 6768,Groningen,1967.??.??,6,"Timman, Jan H","Karpov, Anatoly",,,D03,"[['d4', 'Nf6'], ['Nf3', 'e6'], ['Bg5', 'd5'], ['Nbd2', 'Nbd7'], ['e3', 'Be7'], ['Bd3', 'O-O'], ['Qe2', 'c5'], ['c3', 'b6\n'], ['Ne5', 'Nxe5'], ['dxe5', 'Nd7'], ['Bxe7', 'Qxe7'], ['f4', 'f5'], ['exf6', 'Rxf6'], ['e4', 'Bb7'], ['O-O', 'Raf8\n'], ['exd5', 'Bxd5'], ['Rae1', 'Rxf4'], ['Bxh7+', '']]",1/2-1/2
EU-ch U18 f-A 6768,Groningen,1967.??.??,7,"Timman, Jan H","Lewi, Jerzy",,,D88,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['e4', 'Nxc3'], ['bxc3', 'c5'], ['Bc4', 'Bg7'], ['Ne2', 'O-O\n'], ['O-O', 'cxd4'], ['cxd4', 'Nc6'], ['Be3', 'Na5'], ['Bd3', 'Nc6'], ['Bb5', 'Bg4'], ['f3', 'Bd7'], ['Rb1', 'Na5\n'], ['Qa4', 'Bxb5'], ['Rxb5', 'b6'], ['Rc1', 'Rc8'], ['Rd5', 'Rxc1+'], ['Bxc1', 'Qc8'], ['Ba3', 'Nc6'], ['Rb5', 'Nxd4\n'], ['Nxd4', 'Qc3'], ['Nc2', 'Rc8'], ['Rd5', 'Bf8'], ['Qxa7', 'Qxc2'], ['Qd7', 'Qe2']]",0-1
EU-ch U18 sf 6768,Groningen,1967.??.??,7,"Timman, Jan H","Zara, Dan",,,D94,"[['d4', 'Nf6'], ['c4', 'c6'], ['Nc3', 'd5'], ['e3', 'g6'], ['Nf3', 'Bg7'], ['Be2', 'O-O'], ['O-O', 'e6'], ['Rb1', 'Nbd7\n'], ['b4', 'Re8'], ['Qb3', 'b6'], ['cxd5', 'cxd5'], ['a4', 'Bb7'], ['a5', 'bxa5'], ['bxa5', 'Qxa5'], ['Bd2', 'Reb8\n'], ['Nb5', 'Qd8'], ['Qa2', 'a6'], ['Nd6', 'Bc6'], ['Ng5', 'Ne4'], ['Ndxe4', 'Qe7'], ['Rxb8+', 'Rxb8'], ['Qxa6', 'Ba8\n'], ['Qd6', '']]",1-0
Wch U20,Jerusalem,1967.??.??,1,"Kaplan, Julio P","Timman, Jan H",,,C17,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Bb4'], ['e5', 'c5'], ['Qg4', 'Ne7'], ['dxc5', 'Nbc6'], ['Bd2', 'Nf5'], ['Nf3', 'Bxc5\n'], ['Bd3', 'O-O'], ['Bg5', 'Qb6'], ['O-O', 'Qb4'], ['Qh3', 'h6'], ['a3', 'Qb6'], ['Bxf5', 'exf5'], ['Nxd5', 'Qxb2\n'], ['Nf6+', 'gxf6'], ['Bxf6', 'Kh7'], ['Qh5', '']]",1-0
Wch U20,Jerusalem,1967.??.??,2,"Timman, Jan H","Keene, Raymond D",,,A42,"[['d4', 'g6'], ['e4', 'Bg7'], ['c4', 'd6'], ['Nc3', 'Nc6'], ['Be3', 'e5'], ['d5', 'Nce7'], ['g4', 'f5'], ['gxf5', 'gxf5\n'], ['Qh5+', 'Ng6'], ['exf5', 'Qh4'], ['Qf3', 'Nf4'], ['Nh3', 'Nf6'], ['Qg3', 'Qxg3'], ['fxg3', 'Ng4'], ['Bd2', 'Nxh3\n'], ['Bxh3', 'Bxf5'], ['O-O', 'Bd7'], ['Ne4', 'h5'], ['Bg5', 'Rf8'], ['c5', 'Bf5'], ['Bg2', 'Bxe4'], ['Bxe4', 'dxc5\n'], ['Bg6+', 'Kd7'], ['Bxh5', 'Nf6'], ['Bg6', 'Nxd5'], ['h4', 'Bf6'], ['Bh6', 'Rh8'], ['Bd2', 'Rag8'], ['h5', 'Ke6\n'], ['g4', 'Rxg6'], ['hxg6', 'Rg8'], ['Kg2', 'Rxg6'], ['Kh3', 'c4'], ['Rae1', 'b5'], ['Re4', 'Rg7'], ['Rfe1', 'Kd6\n'], ['Rg1', 'Ke6'], ['g5', 'Be7'], ['Rge1', 'Bd6'], ['Rh4', 'Kf5'], ['Rg1', '']]",1/2-1/2
