Daugavpils,Daugavpils,1986.??.??,9,"Kamsky, Gata","Tiviakov, Sergei",,,B70,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'g6'], ['g3', 'Nc6'], ['Nde2', 'Bg7'], ['Bg2', 'O-O\n'], ['O-O', 'Rb8'], ['a4', 'a6'], ['Nd5', 'b5'], ['axb5', 'axb5'], ['h3', 'b4'], ['Be3', 'Nd7'], ['Nd4', 'Bxd4\n'], ['Bxd4', 'e6'], ['Ne3', 'e5'], ['Ba7', 'Rb7'], ['Qxd6', 'Nxa7'], ['Nd5', 'Re8'], ['Nxb4', 'Re6'], ['Qd2', 'Qb6\n'], ['c3', 'Nc6'], ['Ra6', 'Qb5'], ['Ra8', 'Nb6'], ['Raa1', 'Nxb4'], ['cxb4', 'Rd7'], ['Qc3', 'Rd4'], ['f4', 'Qxb4\n'], ['f5', 'Re8'], ['fxg6', 'hxg6'], ['Qc6', 'Re6'], ['Qc7', 'Rd7'], ['Qc1', 'Qd2'], ['Qb1', 'Bb7'], ['b3', 'Qe3+\n'], ['Kh1', 'Rd2'], ['Qe1', 'Re2'], ['Qd1', 'Qd2'], ['Qxd2', 'Rxd2'], ['Ra7', 'Rd7'], ['Ra5', 'Rc7'], ['Rd1', 'Nd7\n'], ['Rd2', 'Nf6'], ['Re2', 'Rd7'], ['Rb5', 'Ba6'], ['Rb8+', 'Re8'], ['Rxe8+', 'Nxe8'], ['Ra2', 'Bb7'], ['Ra5', 'f6\n'], ['Kg1', 'Nd6'], ['Ra4', 'Kf7'], ['Kf2', 'Bc6'], ['Rb4', 'Rb7'], ['Rxb7+', 'Bxb7'], ['Ke3', 'f5'], ['Bf1', 'Nxe4\n'], ['Bg2', 'Nc5'], ['Bf1', 'g5'], ['Bc4+', 'Kf6'], ['b4', 'Ne4'], ['g4', 'f4+'], ['Ke2', 'Ng3+'], ['Ke1', 'e4\n'], ['b5', 'e3'], ['Be2', 'Nxe2'], ['Kxe2', 'Ke5'], ['b6', 'Ke4']]",0-1
SochiJ-B,Sochi,1986.??.??,?,"Sakaev, Konstantin","Tiviakov, Sergei",,,E12,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['a3', 'Bb7'], ['Nc3', 'g6'], ['Bg5', 'h6'], ['Bh4', 'Bg7'], ['d5', 'exd5\n'], ['cxd5', 'O-O'], ['e3', 'c5'], ['Qd2', 'd6'], ['Bc4', 'Nbd7'], ['O-O', 'Re8'], ['Rfe1', 'a6'], ['g4', 'Qc7\n'], ['h3', 'Ne4'], ['Nxe4', 'Rxe4'], ['Rac1', 'Ne5'], ['Nxe5', 'Bxe5'], ['f4', 'Bg7'], ['Qc2', 'Rae8'], ['Bf2', 'Qd7\n'], ['Qb3', 'Qd8'], ['Re2', 'Qa8'], ['Rd1', 'Kh7'], ['Rc2', 'Qd8'], ['Qd3', 'Qc8'], ['Qb3', 'Qd8'], ['Qd3', 'Qa8\n'], ['Qb3', 'Rb8'], ['Qd3', 'f5'], ['Be1', 'Rbe8'], ['Bd2', 'Rxc4'], ['Rxc4', 'Bxd5'], ['Bc3', 'Bxc4'], ['Qxc4', 'Qd8\n'], ['Bxg7', 'Kxg7'], ['Qxa6', 'Re6'], ['Qb7+', 'Re7']]",1/2-1/2
SochiJ-B,Sochi,1986.??.??,?,"Tiviakov, Sergei","Velikov, V.",,,B60,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Bg5', 'Qb6'], ['Nb3', 'e6'], ['Bd3', 'a6\n'], ['O-O', 'Be7'], ['Kh1', 'O-O'], ['Qe2', 'Qc7'], ['f4', 'b5'], ['a3', 'Bb7'], ['Rae1', 'h6'], ['Bh4', 'b4'], ['axb4', 'Nxb4\n'], ['Bf2', 'e5'], ['fxe5', 'dxe5'], ['Nd2', 'Nd7'], ['Nc4', 'Bc5'], ['Bxc5', 'Nxc5'], ['Ne3', 'Rad8'], ['Rd1', 'Nbxd3\n'], ['cxd3', 'Ne6'], ['Qg4', 'Kh8'], ['Nf5', 'Kh7'], ['Rf3', 'Rg8'], ['Rdf1', 'Rd7'], ['Rg3', 'Qd8'], ['Qh5', 'Qf8\n'], ['Ne3', 'Kh8'], ['Nc4', 'Nf4'], ['Qf5', 'Re7'], ['Nxe5', 'Qe8'], ['Rxf4', 'Rxe5'], ['Qxf7', 'Qc8'], ['Rh3', 'Ree8\n'], ['Rf6', '']]",1-0
Riga op,Riga,1987.??.??,?,"Tiviakov, Sergei","Gogoladze, G.",,,B35,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'g6'], ['Nc3', 'Bg7'], ['Be3', 'Nf6'], ['Bc4', 'Qa5'], ['O-O', 'O-O\n'], ['Bb3', 'd6'], ['h3', 'Bd7'], ['f4', 'Nxd4'], ['Bxd4', 'Bc6'], ['Qd3', 'Rad8'], ['Rad1', 'Nd7'], ['Bxg7', 'Kxg7\n'], ['Nd5', 'Bxd5'], ['exd5', 'Nf6'], ['Rde1', 'Rd7'], ['Re3', 'Rc8'], ['Kh2', 'Rc5'], ['Rd1', 'b5'], ['g4', 'Kg8\n'], ['f5', 'g5'], ['Qd4', 'Qd8'], ['h4', 'Rdc7'], ['hxg5', 'Rc4'], ['Bxc4', 'Rxc4'], ['gxf6', 'Rxd4'], ['fxe7', 'Qxe7\n'], ['Rxe7', 'Rxd1'], ['Rxa7', 'Rd2+'], ['Kg3', 'Rxc2'], ['Kh4', 'Kg7'], ['b3', 'Rd2'], ['Ra5', 'b4'], ['Kg5', 'h6+\n'], ['Kf4', 'Kf6'], ['Ke3', 'Rg2'], ['Kf3', 'Rd2'], ['Ke3', 'Rg2'], ['Kf4', 'Rd2'], ['Ke3', '']]",1/2-1/2
Riga op,Riga,1987.??.??,?,"Tiviakov, Sergei","Odeev, Handszar",,,B93,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['f4', 'e5'], ['Nf3', 'Nbd7'], ['Bd3', 'Be7\n'], ['a4', 'O-O'], ['O-O', 'Nc5'], ['Kh1', 'd5'], ['Nxe5', 'dxe4'], ['Be2', 'Qc7'], ['Be3', 'Ne6'], ['Ng4', 'Nxg4\n'], ['Bxg4', 'f5'], ['Nd5', 'Qd8'], ['Bb6', 'Qd6'], ['Be2', 'Kh8'], ['Ba5', 'Qd7'], ['Nb6', 'Qxd1'], ['Raxd1', 'Rb8\n'], ['Bc3', 'Bc5'], ['Be5', 'Bxb6'], ['Bxb8', 'Nd4'], ['Bc4', 'Be6'], ['Bxe6', 'Rxb8'], ['Bb3', 'e3'], ['Rfe1', 'e2\n'], ['Rd2', 'Nxb3'], ['Rdxe2', '']]",1-0
Riga op,Riga,1987.??.??,?,"Maljutin, Evgeni","Tiviakov, Sergei",,,B74,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'g6'], ['Be3', 'Bg7'], ['Be2', 'Nc6'], ['Nb3', 'O-O\n'], ['f4', 'a5'], ['a4', 'Be6'], ['O-O', 'Nd7'], ['Nd4', 'Qb6'], ['Ncb5', 'Nxd4'], ['Kh1', 'Rfc8'], ['c3', 'Bb3\n'], ['Qd2', 'Nc5'], ['Nxd4', 'Nxe4'], ['Qc1', 'Bc4'], ['Ne6', 'Qc6'], ['Bxc4', 'Qxc4'], ['Nxg7', 'Kxg7'], ['f5', 'Qd5\n'], ['Qe1', 'gxf5'], ['Qh4', 'f6'], ['Rf3', 'Kh8'], ['Raf1', 'Rg8'], ['Rxf5', 'Qd3'], ['Bh6', 'Rg6'], ['Re1', 'd5\n'], ['Rh5', 'Rg4']]",0-1
GMA-qual,Belgorod,1989.??.??,?,"Tiviakov, Sergei","Khenkin, Igor",,,B19,"[['e4', 'c6'], ['d4', 'd5'], ['Nd2', 'dxe4'], ['Nxe4', 'Bf5'], ['Ng3', 'Bg6'], ['h4', 'h6'], ['Nf3', 'Nd7'], ['h5', 'Bh7\n'], ['Bd3', 'Bxd3'], ['Qxd3', 'Qc7'], ['Bd2', 'e6'], ['O-O-O', 'Ngf6'], ['Ne4', 'O-O-O'], ['g3', 'Nc5'], ['Nxc5', 'Bxc5\n'], ['Kb1', '']]",1/2-1/2
GMA-qual,Belgorod,1989.??.??,?,"Tiviakov, Sergei","Arbakov, Valentin",,,B67,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'Nc6'], ['Bg5', 'e6'], ['Qd2', 'a6'], ['O-O-O', 'Bd7\n'], ['f4', 'b5'], ['Bxf6', 'gxf6'], ['Nxc6', 'Bxc6'], ['Qe1', 'Be7'], ['Bd3', 'Qb6'], ['Kb1', 'Qb7'], ['f5', 'b4\n'], ['Ne2', 'e5'], ['Qh4', 'd5'], ['exd5', 'Bxd5'], ['Bc4', 'Bxc4'], ['Qxc4', 'Rc8'], ['Qg4', 'Kf8'], ['Ng3', 'Qxg2\n'], ['Rhg1', 'Qxc2+'], ['Ka1', 'Rg8'], ['Qh5', 'Bc5'], ['Rge1', 'Be3'], ['Qh4', 'Bg5'], ['Qxb4+', 'Kg7'], ['Ne4', 'Rgd8\n'], ['Rb1', 'Rc4'], ['Qb7', 'Ra4'], ['Nc3', 'Rad4'], ['Rg1', 'a5'], ['h4', 'Rxh4'], ['Qe7', 'Rdd4'], ['Rxg5+', 'fxg5\n'], ['Qxe5+', 'Kf8'], ['f6', 'Rhe4'], ['Nxe4', 'Qxe4'], ['Qxg5', 'Qe6'], ['Qc5+', 'Qd6'], ['Qc8+', 'Qd8\n'], ['Qc5+', 'Qd6'], ['Qg5', 'Qd5'], ['Rc1', 'Rc4'], ['Rxc4', 'Qxc4'], ['b3', 'Qd4+'], ['Kb1', 'Qd1+'], ['Kb2', 'Qd4+\n'], ['Kc2', 'Qe4+'], ['Kc3', 'Qb4+'], ['Kd3', 'Qd6+'], ['Ke2', 'Qh2+'], ['Ke1', 'Qh1+'], ['Kd2', 'Qh2+'], ['Ke3', 'Qh3+\n'], ['Kd4', 'Qe6'], ['Kc5', 'h5'], ['Qf4', 'Kg8'], ['Qg5+', 'Kf8'], ['Kb5', 'Qg4'], ['Qe5', 'Qb4+'], ['Kc6', 'h4\n'], ['a3', '']]",1-0
GMA-qual,Belgorod,1989.??.??,?,"Tiviakov, Sergei","Vorotnikov, Vladislav V",,,B12,"[['e4', 'c6'], ['d4', 'd5'], ['Nd2', 'g6'], ['c3', 'Bg7'], ['Ngf3', 'Nh6'], ['Bd3', 'O-O'], ['O-O', 'f6'], ['Re1', 'Nf7\n'], ['c4', 'Na6'], ['b3', 'Nc7'], ['Ba3', 'Re8'], ['Rc1', 'Bf8'], ['Qc2', 'Ne6'], ['e5', 'f5'], ['h4', 'Bh6'], ['Rcd1', 'b6\n'], ['h5', 'Kg7'], ['g3', 'Bb7'], ['Bb2', 'Rg8'], ['Nh4', 'Bxd2'], ['Qxd2', 'Kf8'], ['cxd5', 'cxd5'], ['hxg6', 'hxg6\n'], ['Kg2', 'Nfg5'], ['Rh1', 'Qe8'], ['Nf3', 'Nxf3'], ['Kxf3', 'Qf7'], ['Rh6', 'Kg7'], ['Rh7+', '']]",1-0
GMA-qual,Belgorod,1989.??.??,?,"Kuzmin, Alexey","Tiviakov, Sergei",,,B76,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'g6'], ['Be3', 'Bg7'], ['f3', 'O-O'], ['Qd2', 'Nc6\n'], ['O-O-O', 'd5'], ['exd5', 'Nxd5'], ['Nxc6', 'bxc6'], ['Nxd5', 'cxd5'], ['Bh6', 'Bxh6'], ['Qxh6', 'Rb8\n'], ['h4', 'Bf5'], ['Bd3', 'Qb6'], ['b3', 'Qf6'], ['Kb1', 'e6'], ['h5', 'Rb7'], ['hxg6', '']]",1/2-1/2
GMA-qual,Belgorod,1989.??.??,?,"Tsarev, V.","Tiviakov, Sergei",,,B74,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'g6'], ['Be3', 'Bg7'], ['Be2', 'Nc6'], ['Nb3', 'O-O\n'], ['O-O', 'Be6'], ['f4', 'Qc8'], ['Kh1', 'Rd8'], ['Nd4', 'Bg4'], ['f5', 'Bxe2'], ['Ndxe2', 'Ne5'], ['Bg5', 'Qc5\n'], ['Nf4', 'Re8'], ['Nd3', 'Qd4'], ['Bxf6', 'Bxf6'], ['Nd5', 'Qxe4'], ['Nc7', 'gxf5'], ['Nxa8', 'Rxa8'], ['Nxe5', 'Bxe5\n'], ['Qh5', 'e6'], ['Qg5+', 'Kh8'], ['Rae1', 'Qd5'], ['Qh4', 'Rg8'], ['Rf3', 'Rg4'], ['Qf2', 'Qxa2'], ['b3', 'Qa5\n'], ['h3', 'Rg6'], ['g4', 'fxg4'], ['Rxf7', 'Qd5+'], ['Qg2', 'gxh3'], ['Qxd5', 'exd5'], ['Rxb7', 'h2'], ['c4', 'd4\n'], ['Rxa7', 'd3'], ['Rxe5', 'dxe5'], ['Rd7', 'e4'], ['Kxh2', 'Re6'], ['Kg2', 'h5'], ['Kf2', 'h4'], ['Ke3', 'h3\n'], ['Ra7', 'h2'], ['Ra1', 'Rh6'], ['Rh1', 'Kg7'], ['c5', 'Kf6'], ['Kxe4', 'd2'], ['Kd5', 'Ke7'], ['b4', 'Kd7\n'], ['b5', 'd1=Q+'], ['Rxd1', 'h1=Q+'], ['Rxh1', 'Rxh1'], ['Kc4', 'Kc7'], ['Kb4', 'Rc1']]",0-1
