URS-chTJ,Kramatorsk,1989.??.??,?,"Tabatadze, Tamaz","Tkachiev, Vladislav",,,E73,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Be2', 'O-O'], ['Bg5', 'Nc6'], ['d5', 'Ne5'], ['Qd2', 'c6\n'], ['Nf3', 'Nxf3+'], ['Bxf3', 'cxd5'], ['cxd5', 'Bd7'], ['O-O', 'Rc8'], ['h3', 'Re8'], ['Be3', 'Qa5'], ['Bd4', 'Rc4\n'], ['Be3', 'Rec8'], ['Rfc1', 'a6'], ['a3', 'b5'], ['g4', 'b4'], ['Na2', 'Rxc1+'], ['Rxc1', 'Rxc1+'], ['Nxc1', 'Ne8\n'], ['Kg2', 'Qa4'], ['Bd1', 'Qb5'], ['axb4', 'Nc7'], ['Bd4', 'Bxd4'], ['Qxd4', 'Qb7'], ['Be2', 'Nb5'], ['Bxb5', 'Bxb5\n'], ['Na2', 'Bd7'], ['Nc3', 'Qc7'], ['Kg3', 'Qb7'], ['f4', 'Qc7'], ['e5', 'g5'], ['fxg5', 'dxe5'], ['Qc5', 'Qd8\n'], ['Ne4', 'Bb5'], ['d6', 'exd6'], ['Nxd6', 'e4'], ['Nxe4', 'Qd3+'], ['Kf4', 'Qf1+'], ['Ke5', 'Qe2'], ['Qf2', 'Qd3\n'], ['Qd2', '']]",1-0
URS-chTJ,Kramatorsk,1989.??.??,?,"Tkachiev, Vladislav","Smirin, Ilia",,,B51,"[['e4', 'c5'], ['Nf3', 'd6'], ['Bb5+', 'Nd7'], ['d4', 'Nf6'], ['Nc3', 'cxd4'], ['Qxd4', 'e5'], ['Qd3', 'h6'], ['a4', 'Be7\n'], ['O-O', 'O-O'], ['Rd1', 'Nc5'], ['Qe2', 'Qc7'], ['Nh4', 'Kh7'], ['Nf5', 'Ncxe4'], ['Nxe7', 'Nxc3'], ['Qd3+', 'e4\n'], ['Qxc3', 'Qxe7'], ['Bf4', 'd5'], ['Qg3', 'Rg8'], ['Bd6', 'Qe6'], ['c4', 'd4'], ['c5', 'a6'], ['Bf1', 'd3\n'], ['f3', 'Bd7'], ['fxe4', 'Nxe4'], ['Bxd3', 'Bc6'], ['Qf4', 'Kh8'], ['Qe5', 'Nxd6'], ['Qxe6', 'fxe6'], ['cxd6', 'Bd5\n'], ['Be2', 'Rgd8'], ['Bg4', 'Rxd6'], ['Bxe6', 'Rxe6'], ['Rxd5', 'Rc8'], ['Rad1', 'Rc2'], ['R5d2', 'Rxd2\n'], ['Rxd2', 'Re4'], ['Rd7', 'b5'], ['a5', 'Kg8'], ['Rd2', 'Kf7'], ['Rd1', 'Ra4']]",1/2-1/2
URS-ch otbor,Roslavl,1989.??.??,?,"Tkachiev, Vladislav","Mishchenko, Victor",,,B62,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['Nc3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Bg5', 'e6'], ['Qd3', 'a6'], ['Be2', 'Be7\n'], ['Rd1', 'Bd7'], ['Nb3', 'Rc8'], ['Bxf6', 'Nb4'], ['Qd2', 'Bxf6'], ['a3', 'Rxc3'], ['bxc3', 'Na2'], ['Qxd6', 'Nxc3\n'], ['Rd3', 'Nxe2'], ['Kxe2', 'Bb5'], ['Qxd8+', 'Bxd8'], ['a4', 'Bxa4'], ['c4', 'b5'], ['Nc5', 'Be7'], ['Nxa4', 'bxa4\n'], ['c5', 'O-O'], ['Rc1', 'g6'], ['Ra3', 'Rc8'], ['Rxa4', 'Rxc5'], ['Rxc5', 'Bxc5'], ['Rxa6', '']]",1-0
URS-ch otbor,Roslavl,1989.??.??,?,"Tkachiev, Vladislav",Ivanov,,,B04,"[['e4', 'Nf6'], ['e5', 'Nd5'], ['d4', 'd6'], ['Nf3', 'g6'], ['Bc4', 'c6'], ['O-O', 'Bg7'], ['exd6', 'Qxd6'], ['Nbd2', 'Bg4\n'], ['h3', 'Bxf3'], ['Nxf3', 'O-O'], ['Re1', 'Nd7'], ['Bb3', 'e6'], ['c3', 'b5'], ['Bg5', 'a5'], ['a3', 'a4'], ['Ba2', 'N7b6\n'], ['Qe2', 'Rae8'], ['Rad1', 'Kh8'], ['h4', 'Nd7'], ['Qd2', 'f6'], ['Bh6', 'Rf7'], ['g3', 'Bxh6'], ['Qxh6', 'Qf8\n'], ['Qd2', 'Rfe7'], ['Re2', 'N7b6'], ['Qd3', 'Rd7'], ['Rde1', 'Qd6'], ['Nd2', 'Rf7'], ['Kh2', 'Nd7'], ['c4', 'Nc7\n'], ['Ne4', 'Qf8'], ['cxb5', 'cxb5'], ['Nc3', 'g5'], ['Nxb5', 'Nxb5'], ['Qxb5', 'gxh4'], ['Bxe6', 'hxg3+\n'], ['fxg3', 'Rb8'], ['Qf5', '']]",1-0
URS-ch otbor,Roslavl,1989.??.??,?,"Tkachiev, Vladislav","Alekseev, Vadim",,,C07,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'c5'], ['exd5', 'Qxd5'], ['Ngf3', 'cxd4'], ['Bc4', 'Qd6'], ['O-O', 'Nf6'], ['Nb3', 'Nc6\n'], ['Nbxd4', 'Nxd4'], ['Nxd4', 'a6'], ['c3', 'Qc7'], ['Qe2', 'Be7'], ['Bg5', 'O-O'], ['Rfd1', 'b5'], ['Bd3', 'Bb7\n'], ['a4', 'bxa4'], ['Rxa4', 'Rfd8'], ['Bh4', 'Rd5'], ['Bxf6', 'Bxf6'], ['Bxa6', 'Rxa6'], ['Rxa6', 'Bxa6\n'], ['Qxa6', 'g6'], ['Qe2', 'Bxd4'], ['cxd4', 'Qd6'], ['g3', 'e5'], ['Kg2', 'exd4'], ['Qd3', 'Qb4'], ['Rd2', 'Kg7\n'], ['h4', 'h5']]",1/2-1/2
URS-ch otbor,Roslavl,1989.??.??,?,Eshazarian,"Tkachiev, Vladislav",,,A26,"[['Nf3', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['g3', 'O-O'], ['Bg2', 'd6'], ['O-O', 'e5'], ['d3', 'Nc6'], ['Rb1', 'h6\n'], ['b4', 'a6'], ['a4', 'Be6'], ['b5', 'axb5'], ['axb5', 'Ne7'], ['Bb2', 'Qd7'], ['Re1', 'Bh3'], ['Bh1', 'Ng4\n'], ['d4', 'Qf5'], ['dxe5', 'dxe5'], ['e4', 'Qh5'], ['Nd5', 'Nxd5'], ['cxd5', 'f5'], ['Qc2', 'Rae8'], ['Ba3', 'Rf7\n'], ['b6', 'cxb6'], ['Rxb6', 'fxe4'], ['Qxe4', 'Nf6'], ['Qa4', 'Bd7'], ['Qh4', 'Nxd5'], ['Qxh5', 'gxh5'], ['Rxb7', 'e4\n'], ['Nd2', 'Bd4'], ['Rf1', 'Nc3'], ['Bg2', 'Bb5'], ['Rxf7', 'Kxf7'], ['Nb3', 'Bxf1'], ['Bxf1', 'Bb6'], ['Bc4+', 'Kg6\n'], ['Kg2', 'Nd1'], ['Nc5', 'Rc8'], ['Nd7', 'Bd4'], ['Nf8+', 'Kg7'], ['Ne6+', 'Kf6'], ['Bb3', 'Ba7']]",1/2-1/2
URS-ch U18,Alma-Ata,1991.??.??,?,"Tkachiev, Vladislav","Dzhumaev, Murat",,,B14,"[['e4', 'c6'], ['d4', 'd5'], ['exd5', 'cxd5'], ['c4', 'Nf6'], ['Nc3', 'g6'], ['cxd5', 'Nxd5'], ['Qb3', 'Nb6'], ['Nf3', 'Bg7\n'], ['Bb5+', 'N8d7'], ['O-O', 'O-O'], ['Re1', 'Nf6'], ['h3', 'Qd6'], ['Bg5', 'Be6'], ['Qc2', 'Rac8'], ['a3', 'Nbd5\n'], ['Bd3', 'a6'], ['Qd2', 'Rfd8'], ['Na4', 'Nd7'], ['Rac1', 'b5'], ['Nc3', 'Nxc3'], ['Rxc3', 'Rxc3'], ['Qxc3', 'Nb6\n'], ['Rd1', 'Bd5'], ['Be3', 'Bxf3'], ['gxf3', 'Nd5'], ['Qe1', 'f5'], ['Bc2', 'Kh8'], ['Kg2', '']]",1/2-1/2
URS-ch U18,Alma-Ata,1991.??.??,?,"Tkachiev, Vladislav","Onischuk, Alexander",,,A48,"[['Nf3', 'Nf6'], ['b3', 'd6'], ['d4', 'g6'], ['e3', 'Bg7'], ['Bb2', 'O-O'], ['Be2', 'e5'], ['dxe5', 'Nfd7'], ['c4', 'Nxe5\n'], ['Nc3', 'Nbc6'], ['O-O', 'Nxf3+'], ['Bxf3', 'Ne5'], ['Be2', 'Qh4'], ['Qd2', 'Be6'], ['Rad1', 'Rad8'], ['Nb5', 'Qe7\n'], ['f4', 'Nc6'], ['Bxg7', 'Kxg7'], ['e4', 'f6'], ['Rde1', 'a6'], ['Nc3', 'Rde8'], ['Bd1', 'Qd7'], ['Re3', 'Re7\n'], ['Rg3', 'f5'], ['h4', 'Ref7'], ['h5', 'Ne7'], ['Bc2', 'fxe4'], ['hxg6', 'Nxg6'], ['Bxe4', 'Bf5'], ['Qd4+', 'Kg8\n'], ['Bd5', 'Be6'], ['Rgf3', 'Bxd5'], ['Nxd5', 'Qf5'], ['Ne3', 'Qf6'], ['Qxf6', 'Rxf6'], ['g3', 'h5'], ['Kg2', '']]",0-1
URS-ch U18,Alma-Ata,1991.??.??,?,"Yemelin, Vasily","Tkachiev, Vladislav",,,B70,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Be2', 'g6'], ['O-O', 'Bg7'], ['Bg5', 'O-O\n'], ['Re1', 'Nc6'], ['Nb3', 'h6'], ['Bh4', 'b5'], ['Bf1', 'Bb7'], ['Nd5', 'g5'], ['Bg3', 'Nxd5'], ['exd5', 'Nb4\n'], ['Qd2', 'Nxd5'], ['Na5', 'Qd7'], ['Nxb7', 'Qxb7'], ['h4', 'gxh4'], ['Bxh4', 'e6'], ['Rad1', 'Rae8'], ['Be2', 'Qb6\n'], ['Bg3', 'Rd8'], ['Bf3', 'Ne7'], ['Bf4', 'Kh7'], ['Qd3+', 'Ng6'], ['Bxd6', 'Rfe8'], ['Bh5', 'Rd7'], ['Qg3', 'Qc6\n'], ['Bxg6+', 'fxg6'], ['Be5', 'Red8']]",1/2-1/2
URS-ch U18,Alma-Ata,1991.??.??,?,"Tkachiev, Vladislav","Timchenko, Vladislav",,,B02,"[['e4', 'Nf6'], ['e5', 'Nd5'], ['Nf3', 'd6'], ['Bc4', 'c6'], ['O-O', 'Bg4'], ['h3', 'Bxf3'], ['Qxf3', 'dxe5'], ['Re1', 'Qd6\n'], ['Qb3', 'b5'], ['Bxd5', 'Qxd5'], ['Qxd5', 'cxd5'], ['Nc3', 'Nc6'], ['Nxd5', 'Rc8'], ['c3', 'e6'], ['Ne3', 'e4\n'], ['Nf1', 'f5'], ['d3', 'exd3'], ['Rxe6+', 'Kf7'], ['Re1', 'Be7'], ['Bd2', 'Rhd8'], ['Nh2', 'Bf6'], ['Nf3', 'Na5\n'], ['Bg5', 'Nc4'], ['Bxf6', 'Kxf6'], ['Rab1', 'b4'], ['cxb4', 'd2'], ['Red1', 'Nxb2'], ['Rxd2', 'Rxd2'], ['Nxd2', 'Rc2\n'], ['Nf1', 'Nd3'], ['a4', 'f4'], ['b5', 'Ra2'], ['b6', 'axb6'], ['Rxb6+', 'Ke5'], ['Rb5+', 'Kf6'], ['Rb6+', 'Ke5\n'], ['Rb5+', 'Kf6'], ['a5', 'Nxf2'], ['Nh2', 'Ne4'], ['Ng4+', 'Kg6'], ['Ne5+', 'Kf6'], ['Ng4+', 'Kg6']]",1/2-1/2
URS-ch U18,Alma-Ata,1991.??.??,?,"Odesskij, Ilia","Tkachiev, Vladislav",,,E60,"[['Nf3', 'Nf6'], ['c4', 'g6'], ['g3', 'Bg7'], ['Bg2', 'O-O'], ['O-O', 'd6'], ['d4', 'Nfd7'], ['Nc3', 'e5'], ['Bg5', 'f6\n'], ['Be3', 'Nc6'], ['Rc1', 'Ne7'], ['Rc2', 'h6'], ['Bc1', 'f5'], ['dxe5', 'dxe5'], ['b3', 'a5'], ['Ba3', 'Ra6\n'], ['Nd5', 'c5'], ['Rd2', 'Nxd5'], ['Rxd5', 'e4'], ['Ne1', 'Qe7'], ['Nc2', 'h5'], ['Qd2', 'Rf7'], ['Rd1', 'Kh7\n'], ['f4', 'exf3'], ['exf3', 'Bf8'], ['Bb2', 'a4'], ['Re1', 'Re6'], ['f4', 'axb3'], ['axb3', 'b6'], ['Rxe6', 'Qxe6\n'], ['Ne1', 'Re7'], ['Nf3', 'Qe3+'], ['Qxe3', 'Rxe3'], ['Ng5+', 'Kh6'], ['Nf7+', 'Kh7'], ['Ng5+', '']]",1/2-1/2
