Caissa Open,Kharkov UKR,2000.01.27,1,"Ushenina,A","Gevorkyan,R",,,E82,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['f3', 'O-O'], ['Be3', 'b6'], ['Qd2', 'c5'], ['d5', 'Re8'], ['O-O-O', 'Na6\n'], ['g4', 'Nc7'], ['h4', 'a6'], ['h5', 'b5'], ['hxg6', 'fxg6'], ['Qh2', 'Rb8'], ['Bg5', 'Kf7'], ['Bh6', 'Rg8\n'], ['e5', 'Bxh6+'], ['Qxh6', 'dxe5'], ['Qg5', 'Rg7'], ['Qxe5', 'Qd6'], ['Qe3', 'Qb6'], ['Rd2', 'Kf8'], ['Nh3', 'Nce8\n'], ['Ng5', 'bxc4'], ['Bxc4', 'Nd6'], ['Be2', 'Qb4'], ['Nge4', 'Ndxe4'], ['fxe4', 'Bxg4'], ['Bxg4', 'Nxg4\n'], ['Qf3+', 'Nf6'], ['e5', 'Qg4'], ['Qf2', 'Kg8'], ['exf6', 'exf6'], ['Qxf6', 'Rf7'], ['Qxa6', 'Qf4'], ['Qe2', 'Rfb7\n'], ['Rf1', 'Qg5'], ['Ne4', 'Qh4'], ['Nf6+', 'Kh8']]",1-0
Caissa Open,Kharkov UKR,2000.01.28,2,"Nester,I","Ushenina,A",,,A90,"[['d4', 'e6'], ['c4', 'f5'], ['g3', 'Nf6'], ['Bg2', 'c6'], ['Nd2', 'd5'], ['Nh3', 'Bd6'], ['O-O', 'O-O'], ['Qc2', 'Qe7\n'], ['Nf3', 'b6'], ['Bf4', 'Ne4'], ['Bxd6', 'Qxd6'], ['Rac1', 'Bb7'], ['cxd5', 'exd5'], ['Rfd1', 'Nd7'], ['Nf4', 'Rac8\n'], ['e3', 'Kh8'], ['Qa4', 'a6'], ['b4', 'a5'], ['a3', 'b5'], ['Qb3', 'Ra8'], ['Nd3', 'axb4'], ['axb4', 'Nb6\n'], ['Nc5', 'Qe7'], ['Bf1', 'Nxc5'], ['Rxc5', 'Nd7'], ['Rc3', 'Ra4'], ['Rb1', 'g6'], ['Ne1', 'Rfa8'], ['Nd3', 'Qe8\n'], ['Qd1', 'Kg8'], ['h4', 'h5'], ['Qf3', 'Qb8'], ['Nf4', 'Qd6'], ['Nd3', 'Kg7'], ['Qf4', 'Qxf4'], ['Nxf4', 'Rc8\n'], ['Rbc1', 'Raa8'], ['Kg2', 'Kf6'], ['Nd3', 'Ra7'], ['R1c2', 'Ra6'], ['Kf3', 'Re8'], ['Nc1', 'Nb6'], ['Nb3', 'Nc4\n'], ['Nc5', 'Ra7'], ['Bxc4', 'dxc4'], ['Nxb7', 'Rxb7'], ['Ra3', 'Ke6'], ['Kf4', 'Kd5'], ['Kf3', 'Kd6'], ['Rca2', 'Kd5\n'], ['Ke2', 'Ke4'], ['Ra8', 'Ree7'], ['Rd8', 'Rbd7'], ['Raa8', '']]",1/2-1/2
Caissa Open,Kharkov UKR,2000.01.28,3,"Ushenina,A","Grin,D",,,D11,"[['d4', 'd5'], ['c4', 'c6'], ['Nf3', 'Nf6'], ['Nbd2', 'e6'], ['g3', 'c5'], ['Bg2', 'cxd4'], ['Nxd4', 'Nc6'], ['cxd5', 'exd5\n'], ['N2b3', 'Be7'], ['O-O', 'O-O'], ['Bf4', 'Bg4'], ['h3', 'Be6'], ['Kh2', 'Rc8'], ['Rc1', 'Nxd4'], ['Qxd4', 'b6\n'], ['Be5', 'Rc4'], ['Qe3', 'Nd7'], ['Bd4', 'Nc5'], ['Rfd1', 'Nxb3'], ['Qxb3', 'Bf6'], ['Qe3', 'Bxd4'], ['Rxd4', 'Rxc1\n'], ['Qxc1', 'Qf6'], ['Qe3', 'h6'], ['b3', 'Rd8'], ['f4', 'g6'], ['Qd2', 'Rc8'], ['Bxd5', 'Rc2'], ['Qxc2', 'Qxd4\n'], ['Bg2', 'Qf2'], ['Qe4', 'a5'], ['Qd3', 'h5'], ['Qf3', 'Qc5'], ['Qd3', 'Qf2'], ['Qf3', 'Qc5'], ['Qd3', 'Qf2\n'], ['Qf3', 'Qc5']]",1/2-1/2
Caissa Open,Kharkov UKR,2000.02.29,4,"Matjushin,G","Ushenina,A",,,B03,"[['e4', 'Nf6'], ['e5', 'Nd5'], ['d4', 'd6'], ['c4', 'Nb6'], ['exd6', 'cxd6'], ['Nc3', 'g6'], ['Be3', 'Bg7'], ['Rc1', 'O-O\n'], ['b3', 'Nc6'], ['d5', 'Ne5'], ['Be2', 'a5'], ['a4', 'Ned7'], ['Nf3', 'Nc5'], ['Nd4', 'Nbd7'], ['O-O', 'Nf6\n'], ['Bf3', 'Nfd7'], ['Be2', 'Nf6'], ['h3', 'h6'], ['Qd2', 'Kh7'], ['Bd1', 'Ne8'], ['Bc2', 'f5'], ['Rfe1', 'Nf6\n'], ['f4', 'Nh5'], ['Bf2', 'Bf6'], ['Re2', 'Kh8'], ['Nf3', 'Rg8'], ['Rce1', 'Bd7'], ['Bd4', 'Rg7'], ['Kh2', 'Qf8\n'], ['Bxc5', 'dxc5'], ['Ne5', 'Bc8'], ['d6', 'Be6'], ['dxe7', 'Bxe7'], ['Nxg6+', 'Rxg6'], ['Rxe6', 'Nxf4\n'], ['Qxf4', 'Bd6'], ['Rxd6', 'Rxd6'], ['Nd5', 'Rg6'], ['Re7', 'Qb8'], ['Nc7', 'Qd8'], ['Qe5+', 'Kg8'], ['Nxa8', '']]",1-0
Caissa Open,Kharkov UKR,2000.02.29,5,"Ushenina,A","Rybakov,S",,,E84,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['f3', 'O-O'], ['Be3', 'Nc6'], ['Qd2', 'a6'], ['Nge2', 'Rb8\n'], ['a4', 'e5'], ['d5', 'Na5'], ['Nc1', 'c5'], ['Be2', 'Nh5'], ['O-O', 'f5'], ['Rb1', 'f4'], ['Bf2', 'b6'], ['b4', 'Nb7\n'], ['a5', 'b5'], ['cxb5', 'cxb4'], ['Rxb4', 'Nxa5'], ['b6', 'Bf6'], ['Qa2', 'Nb7'], ['Bxa6', 'Bh4'], ['Qb1', 'Bg3\n'], ['N1e2', 'Qg5'], ['Qc1', 'Qh4'], ['hxg3', 'fxg3'], ['Bxg3', 'Nxg3'], ['Nxg3', 'Qxg3'], ['Qh6', 'Rf4\n'], ['Ne2', 'Rh4'], ['Nxg3', 'Rxh6'], ['Rc1', 'Nc5'], ['Bxc8', 'Rxc8'], ['b7', 'Rb8'], ['Ra1', 'Kf7'], ['Ra8', 'Rxb7\n'], ['Rxb7+', 'Nxb7'], ['Ra7', 'Rh4'], ['Rxb7+', 'Ke8'], ['Nf1', '']]",1-0
Caissa Open,Kharkov UKR,2000.02.30,6,"Ushenina,A","Askarian,K",,,A53,"[['d4', 'Nf6'], ['c4', 'd6'], ['Nc3', 'Nbd7'], ['e4', 'e5'], ['d5', 'Nc5'], ['f3', 'a5'], ['Be3', 'Be7'], ['Qd2', 'O-O\n'], ['O-O-O', 'Ne8'], ['g4', 'Bh4'], ['Kb1', 'g6'], ['Nge2', 'f6'], ['Rg1', 'Bd7'], ['f4', 'exf4'], ['Bxf4', 'Qe7\n'], ['Qc2', 'Bg5'], ['Re1', 'Bxf4'], ['Nxf4', 'Ng7'], ['h4', 'f5'], ['h5', 'fxg4'], ['hxg6', 'h5'], ['Nd3', 'Nxd3\n'], ['Bxd3', 'Qe5'], ['Qd2', 'Qf4'], ['Qc2', 'Qf2'], ['Qc1', 'Qf4'], ['Qc2', 'Qe5'], ['Qd2', 'Qf4'], ['Qc2', 'Qf2\n'], ['Qc1', 'Qf4'], ['Qc2', 'Qg5'], ['e5', 'dxe5'], ['Ne4', 'Qxg6'], ['Ng3', 'Qh6'], ['Rxe5', 'Rae8'], ['Rxe8', 'Rxe8\n'], ['a3', 'b6'], ['Ka2', 'Rf8'], ['Re1', 'h4']]",0-1
Caissa Open,Kharkov UKR,2000.02.31,7,"Kolkin,M","Ushenina,A",,,A07,"[['Nf3', 'd5'], ['g3', 'c6'], ['Bg2', 'e6'], ['O-O', 'Bd6'], ['d3', 'Ne7'], ['c4', 'O-O'], ['Nc3', 'Nd7'], ['cxd5', 'exd5\n'], ['e4', 'dxe4'], ['dxe4', 'Qc7'], ['Nd4', 'a6'], ['Be3', 'Rd8'], ['Qe2', 'Ne5'], ['Rad1', 'f6'], ['Qc2', 'b5\n'], ['b3', 'Bd7'], ['h3', 'Rac8'], ['f4', 'Nf7'], ['g4', 'b4'], ['Nce2', 'c5'], ['Nf5', 'Nxf5'], ['exf5', 'Re8\n'], ['Bf2', 'Bb5'], ['Rfe1', 'Bc6'], ['Bxc6', 'Qxc6'], ['Qc4', 'Re4'], ['Rxd6', 'Qxd6'], ['Qxe4', 'Qd2'], ['Ng3', 'h6\n'], ['Re2', 'Qc1+'], ['Kh2', 'a5'], ['Qc2', 'Qxf4'], ['Qc4', 'Qc7'], ['Be3', 'Kh7'], ['Bf4', 'Qb7'], ['Qe4', 'Qb5\n'], ['Qe6', 'Rf8'], ['Qe7', 'Kg8'], ['Qe6', 'Kh7'], ['Bd6', 'Ng5'], ['Qe3', 'Rd8'], ['Bf4', 'Rd3'], ['Qe8', 'Nf3+\n'], ['Kh1', 'Rd1+'], ['Kg2', 'Nh4+'], ['Kf2', 'Qd3'], ['Qe3', 'Qb1'], ['Qe4', 'Qa1'], ['Be3', 'Rg1'], ['Bxc5', 'Rg2+\n'], ['Qxg2', 'Nxg2'], ['Kxg2', 'Qc1'], ['Bf2', 'Qc6+'], ['Kh2', 'Qd5'], ['Nh5', 'Qd3'], ['Nf4', 'Qf3'], ['Bg3', 'Qc3\n'], ['Ng6', 'Qc8'], ['Bf4', 'Qd8'], ['Kg3', 'Qd3+'], ['Re3', 'Qd8'], ['Kh4', 'Qa8'], ['Kh5', 'Qd8'], ['Re7', 'Kg8\n'], ['h4', 'Qc8'], ['Rc7', 'Qa8'], ['Rc8+', 'Qxc8'], ['Ne7+', '']]",1-0
Caissa Open,Kharkov UKR,2000.03.01,8,"Dissky,Y","Ushenina,A",,,C02,"[['d4', 'e6'], ['e4', 'd5'], ['e5', 'c5'], ['c3', 'Bd7'], ['Nf3', 'Qb6'], ['a3', 'Bb5'], ['Bd3', 'Nc6'], ['O-O', 'Bxd3\n'], ['Qxd3', 'Nge7'], ['dxc5', 'Qxc5'], ['b4', 'Qb6'], ['Bf4', 'Ng6'], ['Bg3', 'Be7'], ['Re1', 'O-O'], ['Nbd2', 'Rac8\n'], ['h4', 'h5'], ['Ng5', 'Bxg5'], ['hxg5', 'h4'], ['Bh2', 'Nce7'], ['Rac1', 'Rfd8'], ['Nb3', 'Rc4'], ['Nd4', 'Rdc8\n'], ['g4', 'hxg3'], ['Bxg3', 'Qa6'], ['Qd2', 'Qa4'], ['Qb2', 'a6'], ['Kh2', 'Qd7'], ['Nb3', 'b6'], ['Nd2', 'Rg4\n'], ['f4', 'Nf5'], ['Rg1', 'Nxf4'], ['Bxf4', 'Rxf4'], ['Nb3', 'Rcc4'], ['Nd4', 'Nxd4'], ['cxd4', 'Rcxd4\n'], ['Rc4', 'dxc4'], ['Rg2', 'Qd5']]",0-1
Caissa Open,Kharkov UKR,2000.03.02,9,"Ushenina,A","Khodotov,G",,,E00,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'd5'], ['g3', 'c6'], ['Nbd2', 'Bd6'], ['Bg2', 'Nbd7'], ['O-O', 'O-O'], ['Qc2', 'Re8\n'], ['b3', 'a5'], ['Bb2', 'a4'], ['e4', 'dxe4'], ['Nxe4', 'Nxe4'], ['Qxe4', 'Qe7'], ['Rad1', 'Ba3'], ['Bc3', 'Bb4\n'], ['Bb2', 'Ba3'], ['Ba1', 'axb3'], ['axb3', 'Ra5'], ['c5', 'Rb5'], ['Nd2', 'Rd8'], ['Nc4', 'Bb4'], ['Qc2', 'Nf6\n'], ['Bb2', 'Nd5'], ['Ra1', 'f6'], ['Rfd1', 'Qc7'], ['Be4', 'f5'], ['Bd3', 'b6'], ['cxb6', 'Qb7'], ['Rdc1', 'Rf8\n'], ['Ra7', 'Qb8'], ['Rca1', 'Bb7'], ['Ne5', 'Nxb6'], ['Bxb5', 'cxb5'], ['Nc6', 'Bxc6'], ['Qxc6', 'Nc8'], ['Qxe6+', 'Kh8\n'], ['Rxg7', 'Qd6'], ['d5', 'Qxe6'], ['dxe6', 'h5'], ['Rc1', 'Ba3'], ['Rf7+', '']]",1-0
WJun (Girls),Yerevan ARM,2000.09.18,1,"Ushenina,A","Moshina,C",,,D86,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['e4', 'Nxc3'], ['bxc3', 'Bg7'], ['Bc4', 'c6'], ['Ne2', 'O-O\n'], ['O-O', 'b5'], ['Bb3', 'a5'], ['Be3', 'a4'], ['Bc2', 'Bb7'], ['f4', 'f5'], ['exf5', 'gxf5'], ['Ng3', 'e6'], ['Nh5', 'Bh6\n'], ['Rf3', 'Nd7'], ['Rg3+', 'Kf7'], ['Rh3', 'Rg8'], ['Ng3', 'Rg6'], ['Qe2', 'Nf6'], ['Nxf5', 'exf5'], ['Bxf5', 'Bg7\n'], ['Bxg6+', 'hxg6'], ['Bd2', 'Bc8'], ['Rg3', 'Bf5'], ['Re1', 'Qd7'], ['h3', 'Nd5'], ['Rf3', 'Re8'], ['Qd1', 'Be4\n'], ['Rf2', 'b4'], ['Rfe2', 'bxc3'], ['Rxe4', 'Rxe4'], ['Rxe4', 'cxd2'], ['Qxd2', 'a3'], ['Qc2', 'Nf6'], ['Qb3+', 'Qd5\n'], ['Re3', 'Qxb3'], ['Rxb3', 'Bf8'], ['Kf2', 'Ke6'], ['Ke3', 'Bd6'], ['g3', 'Nd5+'], ['Ke4', 'Kf6'], ['Kf3', 'Bb4\n'], ['h4', 'Bd6'], ['Kg4', 'Bb4'], ['Kf3', 'Bd6'], ['Kg4', 'Bb4'], ['Kf3', '']]",1/2-1/2
