Wch U10,Oropesa del Mar,1999.10.25,2,"Vachier Lagrave, Mexime","Haoyu, Li",,,B26,"[['e4', 'c5'], ['Nc3', 'Nc6'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['d3', 'e6'], ['Be3', 'd6'], ['Qd2', 'Rb8'], ['Nge2', 'Nd4\n'], ['O-O', 'Ne7'], ['Nc1', 'O-O'], ['Nd1', 'b5'], ['c3', 'Ndc6'], ['Bh6', 'b4'], ['Bxg7', 'Kxg7'], ['Ne2', 'd5\n'], ['Qc2', 'Qa5'], ['Ne3', 'Rd8'], ['f4', 'Qb6'], ['Rfb1', 'Ba6'], ['exd5', 'Nxd5'], ['Nxd5', 'exd5'], ['Kh1', 'Ne7\n'], ['Ng1', 'Nf5'], ['Nf3', 'Ne3'], ['Qd2', 'd4'], ['cxd4', 'cxd4'], ['Re1', 'Bb7'], ['Nh4', 'Nxg2'], ['Nxg2', 'Re8\n'], ['Kg1', 'Qc6'], ['h3', 'Rxe1+'], ['Rxe1', 'Rc8'], ['Kh2', 'a5'], ['Nh4', 'Qc2'], ['Re2', 'Qb1'], ['Ng2', 'Rc1\n'], ['g4', 'Rh1+'], ['Kg3', 'Qg1'], ['Re4', 'Qh2+'], ['Kf2', 'Rg1']]",0-1
Wch U10,Oropesa del Mar,1999.10.28,5,"Martchenko, Stanislav","Vachier Lagrave, Mexime",,,B38,"[['e4', 'c5'], ['Nf3', 'g6'], ['d4', 'cxd4'], ['Nxd4', 'Bg7'], ['c4', 'Nf6'], ['Nc3', 'Nc6'], ['Be3', 'O-O'], ['Be2', 'd6\n'], ['O-O', 'Bd7'], ['Qd2', 'a5'], ['f3', 'a4'], ['Nd5', 'Nxd5'], ['cxd5', 'Nxd4'], ['Bxd4', 'Qa5'], ['Bc3', 'Bxc3\n'], ['Qxc3', 'Qb6+'], ['Kh1', 'Rfc8'], ['Qd2', 'Rc5'], ['Rac1', 'Rac8'], ['f4', 'Bb5'], ['Bxb5', 'Qxb5'], ['h3', 'Rc4\n'], ['f5', 'Qc5'], ['Rxc4', 'Qxc4'], ['Re1', 'Qxa2'], ['fxg6', 'fxg6'], ['Qg5', 'Rf8'], ['Qxe7', 'Qxb2'], ['Qxd6', 'a3\n'], ['Qe6+', 'Kh8'], ['Qe7', 'Qg7'], ['Qxg7+', 'Kxg7'], ['Ra1', 'Ra8'], ['g4', 'b5'], ['Kg2', 'b4'], ['Kf3', 'b3\n'], ['e5', 'b2'], ['Rf1', 'a2'], ['e6', 'b1=Q'], ['Rxb1', 'axb1=Q']]",0-1
Wch U10,Oropesa del Mar,1999.10.29,6,"Vachier Lagrave, Mexime","Rodshtein, Maxim",,,B35,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'g6'], ['Be3', 'Bg7'], ['Nc3', 'Nf6'], ['Bc4', 'Qa5'], ['O-O', 'O-O\n'], ['Nb3', 'Qc7'], ['Qd2', 'Ne5'], ['Be2', 'Nc4'], ['Bxc4', 'Qxc4'], ['f3', 'd6'], ['Rad1', 'Bd7'], ['Bg5', 'Rfd8\n'], ['Rfe1', 'Rac8'], ['e5', 'dxe5'], ['Rxe5', 'Be8'], ['Qxd8', 'Rxd8'], ['Rxd8', 'Qc7'], ['Red5', 'Kf8\n'], ['Rd3', 'e6'], ['Be3', 'b6'], ['Bg5', 'Ke7'], ['R8d4', 'Qe5'], ['Bh4', 'Bc6'], ['Bg3', 'Qf5'], ['Bd6+', 'Ke8\n'], ['g4', 'Nxg4'], ['Rf4', 'Qh5'], ['fxg4', 'Qh6'], ['Rg3', 'e5'], ['Rc4', 'Kd7'], ['Bb8', 'Ba8'], ['Rc7+', 'Ke6\n'], ['Rxa7', 'Bc6'], ['Ra6', 'Bf8'], ['Rxb6', '']]",1-0
Wch U10,Oropesa del Mar,1999.10.31,7,"Andreikine, Dmitri","Vachier Lagrave, Mexime",,,B27,"[['e4', 'c5'], ['Nf3', 'g6'], ['d4', 'cxd4'], ['Qxd4', 'Nf6'], ['Bb5', 'Nc6'], ['Bxc6', 'bxc6'], ['e5', 'Nd5'], ['O-O', 'Bg7\n'], ['Qh4', 'd6'], ['Bh6', 'O-O'], ['c4', 'Nb6'], ['Ng5', 'f6'], ['exf6', 'exf6'], ['Bxg7', 'fxg5'], ['Qh6', 'Rf7\n'], ['Bc3', 'Nxc4'], ['Nd2', 'Nxd2'], ['Bxd2', 'Ba6'], ['Rfe1', 'Qf6'], ['f3', 'Qxb2'], ['Qxg5', 'Raf8'], ['Rac1', 'Bb5\n'], ['Re6', 'Qxa2'], ['Rxd6', 'Qa3'], ['Re6', 'Qd3'], ['Bc3', 'Qf5'], ['Qe3', 'Qf4'], ['Qe1', 'Qg5'], ['Kh1', 'Bc4\n'], ['Re5', 'Qd8'], ['Bb4', 'Bd5'], ['Bxf8', 'Rxf8'], ['Re7', 'Qd6'], ['Rxa7', 'Qb8'], ['Re7', 'Qb2'], ['Qc3', 'Rb8\n'], ['Rg7+', 'Kf8'], ['Qxb2', 'Rxb2'], ['Rxh7', 'c5'], ['Rd7', 'Be6'], ['Rc7', 'c4'], ['h4', 'Ke8'], ['Kh2', 'Kd8\n'], ['Rc5', 'Kd7'], ['Kg3', 'Kd6'], ['Ra5', 'Rb3'], ['h5', 'gxh5'], ['Rxh5', 'c3'], ['Kf4', '']]",1-0
Wch U10,Oropesa del Mar,1999.11.01,8,"Vachier Lagrave, Mexime","Sagi, Franko",,,A08,"[['e4', 'e6'], ['d3', 'd5'], ['Nd2', 'c5'], ['g3', 'Nc6'], ['Bg2', 'g6'], ['Ngf3', 'Bg7'], ['O-O', 'Nf6'], ['Re1', 'O-O\n'], ['Qe2', 'Re8'], ['Nf1', 'd4'], ['e5', 'Nd5'], ['h4', 'h5'], ['N1h2', 'Qc7'], ['g4', 'hxg4'], ['Nxg4', 'f6\n'], ['exf6', 'Nxf6'], ['Nxf6+', 'Bxf6'], ['Bg5', 'Rf8'], ['Bxf6', 'Rxf6'], ['Ne5', 'Rb8'], ['h5', 'Nxe5\n'], ['Qxe5', 'Qxe5'], ['Rxe5', 'b6'], ['Rg5', 'Kf7'], ['Be4', 'gxh5'], ['Rxh5', 'Ke7'], ['f3', 'Bb7'], ['Bxb7', 'Rxb7\n'], ['Kf2', 'Kd6'], ['Rah1', 'Rbf7'], ['R1h3', 'Rg7'], ['Rh7', 'Rfg6'], ['Rxg7', 'Rxg7'], ['Rh8', 'Ke5'], ['Rf8', 'Rh7\n'], ['f4+', 'Kd6'], ['Kg2', 'Rg7+'], ['Kf3', 'Rh7'], ['Rf6', 'Rh2'], ['f5', 'Ke5'], ['Rxe6+', 'Kxf5'], ['Re2', 'Rxe2\n'], ['Kxe2', '']]",1/2-1/2
Wch U10,Oropesa del Mar,1999.11.02,9,"Brodowski, Piotr","Vachier Lagrave, Mexime",,,A57,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'b5'], ['e3', 'Bb7'], ['Nf3', 'd6'], ['Be2', 'Nbd7'], ['O-O', 'g6'], ['b3', 'Bg7'], ['Bb2', 'Rb8\n'], ['Qc2', 'O-O'], ['Nbd2', 'e6'], ['e4', 'Re8'], ['Rae1', 'Ba6'], ['Ba1', 'bxc4'], ['bxc4', 'exd5'], ['Qa4', 'Bxc4\n'], ['Bxc4', 'dxc4'], ['Qxc4', 'Qc7'], ['Qd3', 'Qc6'], ['e5', 'dxe5'], ['Bxe5', 'Rbd8'], ['Qc2', 'Nxe5'], ['Nxe5', 'Qe6\n'], ['Ndc4', 'Rd4'], ['Nd2', 'Qd5'], ['Nef3', 'Rde4'], ['Rxe4', 'Nxe4'], ['Rd1', 'Qa8'], ['Nc4', 'Nc3'], ['Rd3', 'Qe4\n'], ['Ncd2', 'Qb4'], ['h3', 'a5'], ['Nf1', 'a4'], ['Ne3', 'a3'], ['Nd2', 'Bd4'], ['Nb3', 'f5'], ['Qd2', 'Bg7\n'], ['Nc2', 'Ne2+'], ['Kf1', 'Qb8'], ['g3', 'c4'], ['Rd7', 'cxb3'], ['Qd5+', 'Kh8'], ['Qf7', 'Rg8']]",0-1
Wch U10,Oropesa del Mar,1999.11.04,10,"Vachier Lagrave, Mexime","Bonnet, Edouard",,,B40,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Bd3', 'Nc6'], ['Be3', 'e5'], ['Nxc6', 'bxc6'], ['c4', 'Bb4+\n'], ['Nd2', 'd5'], ['cxd5', 'Bxd2+'], ['Qxd2', 'cxd5'], ['exd5', 'Qxd5'], ['O-O', 'Bb7'], ['f3', 'O-O'], ['Rfd1', 'Rfd8\n'], ['Qb4', 'a5'], ['Qh4', 'Kh8'], ['Rd2', 'Qxd3'], ['Rxd3', 'Rxd3'], ['Bg5', 'Rd4'], ['Qe1', 'Nd7'], ['Rd1', 'Nf8\n'], ['Rxd4', 'exd4'], ['Qe7', 'Bd5'], ['a3', 'Kg8'], ['b4', 'axb4'], ['axb4', 'Ne6'], ['Bh4', 'h6'], ['b5', 'g5\n'], ['Bg3', 'Bc4'], ['Qb4', 'Ra1+'], ['Be1', 'Bxb5'], ['Kf2', 'Ra2+'], ['Bd2', 'Ba6'], ['Kg3', 'd3'], ['Kg4', 'Nf4\n'], ['Kf5', 'Bc8+'], ['Ke4', 'Bb7+'], ['Qxb7', 'Rxd2'], ['g3', 'Re2+'], ['Kf5', 'd2'], ['Qd7', 'Ng2'], ['Qd8+', 'Kg7\n'], ['Qd4+', 'Kf8'], ['Qd3', 'd1=Q'], ['Qa3+', '']]",0-1
Wch U10,Oropesa del Mar,1999.11.05,11,"Vachier Lagrave, Mexime","Golubenko, Valentina",,,B30,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['Bb5', 'e6'], ['O-O', 'Nge7'], ['c3', 'a6'], ['Ba4', 'b5'], ['Bc2', 'd5'], ['e5', 'd4'], ['cxd4', 'cxd4\n'], ['Be4', 'Bb7'], ['d3', 'g6'], ['Nbd2', 'Bg7'], ['Nb3', 'Qb6'], ['Re1', 'O-O'], ['Bg5', 'Nf5'], ['Qd2', 'h6\n'], ['Bf6', 'Kh7'], ['Rac1', 'Bxf6'], ['exf6', 'Rad8'], ['Nc5', 'Ba8'], ['Bxf5', 'exf5'], ['Re7', 'Rd6'], ['Nd7', 'Rxd7\n'], ['Rxd7', 'Nb8'], ['Rdc7', 'Nc6'], ['Ng5+', 'hxg5'], ['Qxg5', 'Nd8'], ['Rc8', 'Bb7'], ['Qh4+', 'Kg8'], ['R8c5', 'Re8\n'], ['g4', 'Qxc5'], ['Qh6', 'Qf8'], ['Qg5', 'Ne6'], ['Qh4', 'Nf4'], ['Rd1', 'Bf3'], ['Rb1', 'Nxd3'], ['gxf5', 'Re4']]",0-1
FRA-chTJ2,FRA,1999.??.??,2,"Innocente, Nicolas","Vachier Lagrave, Mexime",,,B23,"[['e4', 'c5'], ['f4', 'Nc6'], ['Nc3', 'g6'], ['Nf3', 'Bg7'], ['Bc4', 'e6'], ['O-O', 'Nge7'], ['d3', 'O-O'], ['Be3', 'd5\n'], ['exd5', 'exd5'], ['Bxd5', 'Nxd5'], ['Bxc5', 'Nxc3'], ['bxc3', 'Bxc3'], ['Bxf8', 'Bxa1'], ['Qxa1', 'Qxf8\n'], ['Nh4', 'Qe7'], ['Re1', 'Be6'], ['Nf3', 'Qd6'], ['Qf6', 'Qc5+'], ['d4', 'Qf5'], ['Qh4', 'Bd5'], ['Ne5', 'Qxc2\n'], ['Qg3', 'Re8'], ['Rf1', 'Nxd4'], ['Kh1', 'Nf5'], ['Qh3', 'Ne3'], ['Rf3', 'Qd1+']]",0-1
FRA-chTJ2,FRA,1999.??.??,4,"Vachier Lagrave, Mexime","Boudehen, Stephanie",,,C47,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Nc3', 'Nf6'], ['d4', 'Bb4'], ['Bg5', 'd6'], ['a3', 'Ba5'], ['b4', 'Bb6'], ['dxe5', 'dxe5\n'], ['Qxd8+', 'Nxd8'], ['Bxf6', 'gxf6'], ['Nd5', 'f5'], ['exf5', 'Bxf5'], ['O-O-O', 'Bg4'], ['Nf6+', 'Ke7\n'], ['Nxg4', 'e4'], ['Nd4', 'c5'], ['Nb3', 'cxb4'], ['axb4', 'Rc8'], ['Bb5', 'Rg8'], ['Rd7+', 'Ke6'], ['h3', 'a6\n'], ['Rhd1', 'axb5'], ['R1d6+', 'Kf5'], ['Nh6+', 'Kf4'], ['Nxg8', 'Nc6'], ['Nf6', 'Bxf2'], ['Rxf7', 'e3\n'], ['Kd1', 'Nxb4'], ['Rd4+', 'Kg3'], ['Rg7+', 'Kh2'], ['Ng4+', 'Kg1'], ['Rxb4', 'Kf1'], ['Nh2+', 'Kg1'], ['Nf3+', 'Kf1\n'], ['Nfd2+', 'exd2'], ['Nxd2+', 'Kg1'], ['Rb1', 'Re8'], ['Nf3+', 'Kh1'], ['Kd2+', 'Be1+'], ['Nxe1', 'Rd8+\n'], ['Ke3', 'Re8+'], ['Kf2', 'Rf8+'], ['Nf3+', '']]",1-0
