URS-chT,URS,1968.??.??,?,"Popov, Vladimir","Vaganian, Rafael A",,,B04,"[['e4', 'Nf6'], ['e5', 'Nd5'], ['d4', 'd6'], ['Nf3', 'g6'], ['Be2', 'Bg7'], ['c4', 'Nb6'], ['exd6', 'cxd6'], ['h3', 'O-O\n'], ['O-O', 'Nc6'], ['Nc3', 'Bf5'], ['b3', 'e5'], ['Be3', 'Re8'], ['Rc1', 'e4'], ['Ne1', 'd5'], ['c5', 'Nc8'], ['Nc2', 'Be6\n'], ['f3', 'exf3'], ['Rxf3', 'N8e7'], ['g4', 'f5'], ['g5', 'f4'], ['Bxf4', 'Nf5'], ['Nb5', 'Rf8'], ['Qd2', 'Rf7\n'], ['Rd3', 'a6'], ['Nd6', 'Nxd6'], ['Bxd6', 'Bf5'], ['Rf3', 'Bxc2'], ['Rxf7', 'Kxf7'], ['Rxc2', 'Nxd4'], ['Qf4+', 'Kg8\n'], ['Rd2', 'Qe8'], ['Rxd4', 'Qxe2'], ['Rxd5', 'Qe6'], ['Rd3', 'Qe1+'], ['Qf1', 'Qe4'], ['Qf3', 'Qe1+'], ['Qf1', 'Qe4\n'], ['Qf3', 'Qe1+'], ['Qf1', 'Qe4'], ['Qf3', 'Qe1+']]",1/2-1/2
URS-chT,URS,1968.??.??,?,"Vaganian, Rafael A","Sangla, P.",,,D46,"[['d4', 'c6'], ['c4', 'Nf6'], ['Nc3', 'd5'], ['Nf3', 'e6'], ['e3', 'Be7'], ['Bd3', 'Nbd7'], ['O-O', 'O-O'], ['b3', 'b6\n'], ['Bb2', 'Bb7'], ['Qe2', 'Re8'], ['Rfd1', 'Bd6'], ['Rac1', 'Rc8'], ['Bb1', 'Nf8'], ['Ne5', 'Qe7'], ['f4', 'c5\n'], ['Nb5', 'Bb8'], ['Ba3', 'a6'], ['Nc3', 'Bd6'], ['Na4', 'cxd4'], ['Bxd6', 'Qxd6'], ['exd4', 'dxc4'], ['Nxc4', 'Qxf4\n'], ['Naxb6', 'Rcd8'], ['Ne5', 'Rxd4'], ['Nbc4', 'Red8']]",1/2-1/2
URS-chT,URS,1968.??.??,?,"Vaganian, Rafael A","Mikliaev, I.",,,E17,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['g3', 'Bb7'], ['Bg2', 'Be7'], ['O-O', 'O-O'], ['Qc2', 'c5'], ['dxc5', 'bxc5\n'], ['Nc3', 'Nc6'], ['Rd1', 'Rc8'], ['e4', 'e5'], ['Nd5', 'Nd4'], ['Qd3', 'Bxd5'], ['cxd5', 'c4'], ['Qf1', 'Nxf3+\n'], ['Bxf3', 'Bc5'], ['Bg5', 'h6'], ['Bxf6', 'Qxf6'], ['Kg2', 'Bd4'], ['Rab1', 'Qa6'], ['a3', 'f5'], ['Rd2', 'Qg6\n'], ['Re2', 'f4'], ['Rc2', 'fxg3'], ['fxg3', 'Rxf3'], ['Qxf3', 'Rf8'], ['Qd1', 'Qxe4+'], ['Kh3', 'Rf3'], ['Re2', 'Qxd5\n'], ['Qc2', 'Rd3'], ['Rf1', 'e4'], ['Kg2', 'h5'], ['h3', 'h4'], ['gxh4', 'Qe6'], ['Rh1', 'd5'], ['Kf1', 'Qf6+\n'], ['Ke1', 'Qxh4+'], ['Kf1', 'Rf3+']]",0-1
URS-chT,URS,1968.??.??,?,"Reimann, S.","Vaganian, Rafael A",,,D13,"[['d4', 'd5'], ['c4', 'c6'], ['cxd5', 'cxd5'], ['Nf3', 'Nf6'], ['Nc3', 'Nc6'], ['Bf4', 'e6'], ['e3', 'Be7'], ['Bb5', 'O-O\n'], ['Bxc6', 'bxc6'], ['Ne5', 'Bb7'], ['Nd3', 'Nd7'], ['a3', 'c5'], ['b4', 'e5'], ['dxe5', 'd4'], ['exd4', 'cxd4\n'], ['Na4', 'Bxg2'], ['Rg1', 'Be4'], ['Qb3', 'Kh8'], ['Rd1', 'Rc8'], ['Qb2', 'Bf3'], ['Rc1', 'Rxc1+'], ['Qxc1', 'Qa8\n'], ['Kd2', 'Qd5'], ['Re1', 'a5'], ['Nab2', 'axb4'], ['axb4', 'Nb6'], ['Qc7', 'Qe6'], ['Nc5', 'Nc4+'], ['Kc1', 'Bxc5\n'], ['bxc5', 'Rc8'], ['Qa7', 'Ra8'], ['Qc7', 'Nxb2']]",0-1
URS-chT,URS,1968.??.??,?,"Karpov, Anatoly","Vaganian, Rafael A",,,B04,"[['e4', 'Nf6'], ['e5', 'Nd5'], ['d4', 'd6'], ['Nf3', 'g6'], ['Be2', 'Bg7'], ['c4', 'Nb6'], ['exd6', 'cxd6'], ['b3', 'O-O\n'], ['Bb2', 'Nc6'], ['O-O', 'Bg4'], ['h3', 'Bxf3'], ['Bxf3', 'd5'], ['c5', 'Nc8'], ['Qd2', 'e6'], ['b4', 'a6'], ['a4', 'N8e7\n'], ['Na3', 'Nf5'], ['Nc2', 'h5'], ['b5', 'Na5'], ['Qb4', 'Nc4'], ['Be2', 'a5'], ['Qc3', 'Nxb2'], ['Qxb2', 'Qg5\n'], ['Rfd1', 'e5'], ['dxe5', 'Nh4'], ['Ne1', 'Bxe5'], ['Qc1', 'Qf6'], ['Ra2', 'Bd4'], ['Nd3', 'Rfe8'], ['Rc2', 'Rac8\n'], ['Bf1', 'Nf5'], ['Kh1', 'Qh4'], ['Qd2', 'Bg7'], ['Qxa5', 'Ra8'], ['Qb4', 'Rxa4'], ['Qxh4', 'Rxh4'], ['g3', 'Rc4\n'], ['Rdc1', 'Rxc2'], ['Rxc2', 'Nd4'], ['Rc1', 'Rc8'], ['Bg2', 'Nxb5'], ['Rb1', 'Nc3'], ['Rxb7', 'Bd4']]",1/2-1/2
EU-ch U20 final-A,Groningen,1969.??.??,1,"Vaganian, Rafael A","Lombard, Andre",,,E19,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['g3', 'Bb7'], ['Bg2', 'Be7'], ['O-O', 'O-O'], ['Nc3', 'Ne4'], ['Qc2', 'Nxc3\n'], ['Qxc3', 'f5'], ['Rd1', 'Bf6'], ['Qd2', 'd6'], ['b3', 'Qe7'], ['Bb2', 'Nd7'], ['Ne1', 'Bxg2'], ['Nxg2', 'Rad8\n'], ['Qc2', 'Bg5'], ['f4', 'Bh6'], ['e4', 'fxe4'], ['Qxe4', 'Nf6'], ['Qc2', 'd5'], ['Re1', 'g6'], ['Ne3', 'c6\n'], ['a4', 'Rfe8'], ['c5', 'Qb7'], ['Rac1', 'Rc8'], ['Nd1', 'Bg7'], ['Nf2', 'Re7'], ['Re3', 'b5'], ['a5', 'Qd7\n'], ['Rce1', 'Rce8'], ['Kg2', 'Rf8'], ['Qe2', 'Rfe8'], ['h4', 'Kf8'], ['Rh1', 'Kg8'], ['Nh3', 'Ne4'], ['h5', 'gxh5\n'], ['Qxh5', 'Bf8'], ['Nf2', 'Nf6'], ['Qg5+', 'Rg7'], ['Qxf6', '']]",1-0
EU-ch U20 prel,Groningen,1969.??.??,1,"Vaganian, Rafael A","Ghizdavu, Dumitru",,,E69,"[['d4', 'g6'], ['c4', 'Bg7'], ['Nf3', 'd6'], ['g3', 'Nd7'], ['Bg2', 'e5'], ['O-O', 'Ngf6'], ['Nc3', 'O-O'], ['h3', 'c6\n'], ['e4', 'Qe7'], ['Re1', 'h6'], ['b3', 'b6'], ['Bb2', 'Bb7'], ['Qc2', 'Rfd8'], ['Rad1', 'Nf8'], ['b4', 'N6d7\n'], ['Qb3', 'Re8'], ['Kh2', 'Rab8'], ['a3', 'c5'], ['dxc5', 'dxc5'], ['Nb5', 'a6'], ['Nd6', 'Red8'], ['Qa4', 'b5\n'], ['Qc2', 'Ne6'], ['cxb5', 'axb5'], ['Nxb7', 'Rxb7'], ['bxc5', 'Nexc5'], ['Rd5', 'Rc8'], ['Red1', 'Rbc7\n'], ['Qe2', 'Nb6'], ['Qxb5', 'Nxd5'], ['exd5', 'Qd6'], ['Bc3', 'Rb7'], ['Qe2', 'e4'], ['Nd4', 'Na4'], ['Ba1', 'Nc3\n'], ['Bxc3', 'Rxc3'], ['Nb5', 'Qa6'], ['Nxc3', 'Qxe2'], ['Nxe2', 'Ra7'], ['Bxe4', 'Rxa3'], ['d6', 'Bf6'], ['d7', 'Bd8\n'], ['Nd4', '']]",1-0
EU-ch U20 final-A,Groningen,1969.??.??,2,"Atanasov, Petko","Vaganian, Rafael A",,,B02,"[['e4', 'Nf6'], ['Nc3', 'd5'], ['e5', 'Nfd7'], ['Nxd5', 'Nxe5'], ['Ne3', 'c5'], ['Qh5', 'Ned7'], ['Bc4', 'g6'], ['Qh4', 'Bg7\n'], ['f4', 'e6'], ['Qxd8+', 'Kxd8'], ['Nf3', 'Nb6'], ['Kf2', 'Nc6'], ['c3', 'Nxc4'], ['Nxc4', 'Ke7'], ['Nce5', 'Bd7\n'], ['Rd1', 'Rhd8'], ['d3', 'b6'], ['Be3', 'f6'], ['Nxc6+', 'Bxc6'], ['d4', 'c4'], ['Nd2', 'Bd5'], ['Re1', 'Kf7\n'], ['Nf1', 'Bf8'], ['Bd2', 'Bd6'], ['g3', 'Rab8'], ['Ne3', 'b5'], ['b3', 'Rdc8'], ['Nxd5', 'exd5'], ['b4', 'a5\n'], ['a3', 'Ra8'], ['Re3', 'Rc7'], ['Rae1', 'Re7'], ['Kf3', 'Rxe3+'], ['Rxe3', 'Bc7'], ['Be1', 'axb4'], ['axb4', 'h5\n'], ['Re2', 'Bd6'], ['h3', 'Ra3'], ['Re3', 'Ra1'], ['Re2', 'Rc1'], ['h4', 'Bf8'], ['Bd2', 'Rd1'], ['Kf2', 'Be7\n'], ['Kf3', 'Ra1'], ['Kf2', 'Bd8'], ['Kf3', 'Ra7'], ['Re1', '']]",1/2-1/2
EU-ch U20 prel,Groningen,1969.??.??,2,"Schaufelberger, Heinz","Vaganian, Rafael A",,,B02,"[['e4', 'Nf6'], ['Nc3', 'd5'], ['e5', 'Nfd7'], ['Nxd5', 'Nxe5'], ['Ne3', 'Nec6'], ['Bc4', 'g6'], ['f4', 'Bh6'], ['Ne2', 'e5\n'], ['O-O', 'O-O'], ['d3', 'Qd6']]",1/2-1/2
EU-ch U20 prel,Groningen,1969.??.??,3,"Vaganian, Rafael A","Ligterink, Gert",,,E11,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'Bb4+'], ['Nbd2', 'O-O'], ['e3', 'd5'], ['a3', 'Be7'], ['Bd3', 'c5'], ['dxc5', 'Bxc5\n'], ['O-O', 'Nc6'], ['b4', 'Bd6'], ['Bb2', 'Qe7'], ['Qb1', 'h6'], ['Rd1', 'Rd8'], ['h3', 'Bc7'], ['Qc2', 'e5'], ['cxd5', 'Nxd5\n'], ['b5', 'Nb8'], ['Rac1', 'Be6'], ['Bh7+', 'Kh8'], ['Be4', 'Bb6'], ['Nc4', 'Nf6'], ['Rxd8+', 'Bxd8'], ['Ncxe5', 'Nxe4\n'], ['Qxe4', 'a6'], ['Nd4', 'Nd7'], ['Nxe6', 'Qxe6'], ['Qxb7', '']]",1-0
