NLD-chT,NLD,1987.??.??,?,"Van der Vliet, Fred","Van Wely, Loek",,,E69,"[['d4', 'Nf6'], ['c4', 'g6'], ['g3', 'Bg7'], ['Bg2', 'O-O'], ['Nf3', 'c6'], ['O-O', 'd6'], ['Nc3', 'Nbd7'], ['e4', 'e5\n'], ['h3', 'Re8'], ['Re1', 'Qb6'], ['d5', 'Nc5'], ['Rb1', 'a5'], ['Be3', 'Qc7'], ['Nd2', 'Nh5'], ['Qe2', 'h6'], ['dxc6', 'Qxc6\n'], ['Nd5', 'Be6'], ['Rec1', 'Kh7'], ['b3', 'Reb8'], ['a3', 'b6'], ['Kh2', 'Qc8'], ['f4', 'exf4'], ['gxf4', 'Ra7\n'], ['Nc3', 'Qd8'], ['Nb5', 'Rd7'], ['b4', 'axb4'], ['axb4', 'Na6'], ['Nf3', 'Qf6'], ['Qd2', 'Rc8'], ['Nxd6', 'Bxc4\n'], ['e5', 'Qd8'], ['b5', 'Nb8'], ['Qb4', 'Rxd6'], ['exd6', 'Bd3'], ['Rxc8', 'Qxc8'], ['Rd1', 'Be2'], ['Rc1', 'Qe8\n'], ['Bxb6', 'Bxf3'], ['Bxf3', 'Nxf4'], ['Re1', 'Be5'], ['Rxe5', 'Qxe5'], ['Qd4', 'Qxb5'], ['Qxf4', 'Qxb6\n'], ['Qxf7+', 'Kh8'], ['Qf6+', 'Kh7'], ['Be4', 'Qa7'], ['Qe7+', '']]",1-0
NLD-chT,NLD,1987.??.??,?,"Van Wely, Loek","Van der Poel, Henk",,,E97,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Nf3', 'O-O'], ['Be2', 'e5'], ['O-O', 'Nc6'], ['Be3', 'Ng4\n'], ['Bg5', 'f6'], ['Bh4', 'Nh6'], ['d5', 'Ne7'], ['Nd2', 'c5'], ['f3', 'f5'], ['Rb1', 'Bf6'], ['Bf2', 'f4'], ['b4', 'b6\n'], ['bxc5', 'bxc5'], ['Qa4', 'g5'], ['Nb3', 'a5'], ['Be1', 'g4'], ['Nb5', 'Ng6'], ['Nxa5', 'Bh4'], ['Bd2', 'Bg3\n'], ['hxg3', 'fxg3'], ['fxg4', 'Qh4'], ['Rxf8+', 'Kxf8'], ['Bf3', 'Bxg4'], ['Qd1', 'Qh2+'], ['Kf1', 'Qh1+\n'], ['Ke2', 'Qxg2+'], ['Ke3', 'Qf2+'], ['Kd3', 'Bxf3'], ['Bxh6+', 'Kg8'], ['Qd2', 'Rxa5'], ['Qxa5', 'Qe2+\n'], ['Kc3', 'Bxe4'], ['Qd8+', 'Kf7'], ['Nxd6+', '']]",1-0
NLD-chT,NLD,1987.??.??,?,"Van Wely, Loek","De Greef, Heleen",,,D70,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['c4', 'd5'], ['cxd5', 'Nxd5'], ['e4', 'Nb6'], ['Nc3', 'Bg7'], ['h3', 'O-O'], ['Be2', 'Nc6\n'], ['Be3', 'Na5'], ['Qc1', 'Nac4'], ['Bh6', 'Nd6'], ['h4', 'f6'], ['Bxg7', 'Kxg7'], ['Qf4', 'c6'], ['Rd1', 'Be6\n'], ['d5', 'cxd5'], ['exd5', 'Bd7'], ['g4', 'Rc8'], ['Rd4', 'Qc7'], ['Nd2', 'Nf7'], ['Qe3', 'Rce8'], ['Re4', 'Ne5\n'], ['h5', 'Nf7'], ['Rxe7', 'Rxe7'], ['Qxe7', 'Qe5'], ['Qxe5', 'Nxe5'], ['hxg6', 'hxg6'], ['f3', 'Rc8'], ['Kf2', 'Nbc4\n'], ['Bxc4', 'Nxc4'], ['Nxc4', 'Rxc4'], ['Re1', 'Kf7'], ['Re4', 'Rxe4'], ['Nxe4', 'b6'], ['Ke3', 'f5'], ['gxf5', 'gxf5\n'], ['Ng5+', 'Ke7'], ['Kf4', 'Kd6'], ['Nh7', 'Bc8'], ['Nf6', 'Ba6'], ['Kxf5', 'Bd3+'], ['Kf4', 'Bc2'], ['a3', 'b5\n'], ['b4', 'Bg6'], ['Kg5', 'Bc2'], ['f4', 'Bd3'], ['Kh4', 'Bc4'], ['Kg4', 'Bb3'], ['Kg5', 'Bc4'], ['Kg6', 'Bb3\n'], ['Kf7', 'Bc4'], ['Ke8', 'Bd3'], ['Kd8', 'Bc4'], ['Kc8', 'Ke7'], ['Kc7', '']]",1-0
EU-ch U20,Arnhem,1988.??.??,1,"Hamalainen, Sami","Van Wely, Loek",,,B09,"[['e4', 'd6'], ['d4', 'Nf6'], ['Nc3', 'g6'], ['f4', 'Bg7'], ['Nf3', 'c5'], ['dxc5', 'Qa5'], ['Bd3', 'Qxc5'], ['Qe2', 'O-O\n'], ['Be3', 'Qa5'], ['O-O', 'Bg4'], ['Qe1', 'Nc6'], ['Nd2', 'Nb4'], ['f5', 'd5'], ['Nb3', 'Qd8'], ['Bc5', 'a5\n'], ['e5', 'Nd7'], ['f6', 'Nxd3'], ['cxd3', 'exf6'], ['Bxf8', 'Qxf8'], ['Nxd5', 'fxe5'], ['Qh4', 'h5'], ['Qf2', 'Bf5\n'], ['Qf3', 'Nc5'], ['Ne3', 'Nxb3'], ['axb3', 'Bxd3'], ['Rfe1', 'e4'], ['Qf2', 'Qb4'], ['Nd5', 'Qxb3'], ['Nf6+', 'Kh8\n'], ['Nxe4', 'Qxb2'], ['Qxb2', 'Bxb2'], ['Ra2', 'Bd4+'], ['Nf2', 'Bc4'], ['Rc2', 'b5'], ['g3', 'a4'], ['Kg2', 'a3']]",0-1
EU-ch U20,Arnhem,1988.??.??,2,"Van Wely, Loek","Gelfand, Boris",,,E94,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['c4', 'Bg7'], ['Nc3', 'O-O'], ['e4', 'd6'], ['Be2', 'e5'], ['O-O', 'Na6'], ['Be3', 'Qe8\n'], ['Re1', 'Ng4'], ['Bc1', 'f5'], ['exf5', 'gxf5'], ['dxe5', 'dxe5'], ['h3', 'Nf6'], ['c5', 'e4'], ['Bxa6', 'bxa6\n'], ['Nd4', 'Qe5'], ['Nb3', 'Kh8'], ['Be3', 'f4'], ['Bd4', 'Qg5'], ['Nxe4', 'Nxe4'], ['Rxe4', 'Bb7'], ['Qf3', 'Bxe4\n'], ['Qxe4', 'f3'], ['g3', 'Rad8'], ['Re1', 'Bxd4'], ['Nxd4', 'Qd5'], ['Qxd5', 'Rxd5'], ['Re4', 'Rxc5'], ['Re3', 'Rc1+\n'], ['Kh2', 'Rf1']]",0-1
EU-ch U20,Arnhem,1988.??.??,3,"Topakian, Raffi","Van Wely, Loek",,,B07,"[['e4', 'd6'], ['d4', 'Nf6'], ['Nc3', 'g6'], ['Bc4', 'Bg7'], ['Qe2', 'Nc6'], ['e5', 'Ng4'], ['Bb5', 'O-O'], ['Bxc6', 'bxc6\n'], ['h3', 'Nh6'], ['Nf3', 'c5'], ['dxc5', 'Bb7'], ['Bf4', 'Rb8'], ['O-O-O', 'Ba8'], ['Nd4', 'Qd7'], ['e6', 'Qc8\n'], ['c6', 'Nf5'], ['Nxf5', 'gxf5'], ['exf7+', 'Rxf7'], ['Qc4', 'Qe8'], ['Rd3', 'Qxc6'], ['Qxc6', 'Bxc6\n'], ['f3', 'Bf6'], ['Be3', 'Rg7'], ['Bxa7', 'Rb7'], ['Bd4', 'e5'], ['Bf2', 'Rxg2'], ['Rg1', 'Rxg1+'], ['Bxg1', 'Kf7\n'], ['Be3', 'Ke6'], ['f4', 'Rb8'], ['Rd1', 'Rg8'], ['fxe5', 'dxe5'], ['a4', 'Rg3'], ['Bc5', 'Rxh3'], ['a5', 'Rg3\n'], ['a6', 'Rg8'], ['a7', 'h5'], ['b4', 'h4'], ['b5', 'Bf3'], ['Rf1', 'e4'], ['Na4', 'Bg2'], ['Rd1', 'f4'], ['b6', 'cxb6\n'], ['Rd6+', 'Kf5'], ['Nxb6', 'e3'], ['Nd7', 'Be7'], ['Rb6', 'Bxc5'], ['Rb8', 'Rg7'], ['Nxc5', 'Rxa7'], ['Nd3', 'f3\n'], ['Rf8+', 'Kg4'], ['Ne5+', 'Kg3'], ['Rg8+', 'Kh3'], ['Nd3', 'f2']]",0-1
EU-ch U20,Arnhem,1988.??.??,4,"Van Wely, Loek","Wessman, Richard",,,A41,"[['d4', 'd6'], ['Nf3', 'Bg4'], ['h3', 'Bxf3'], ['exf3', 'g6'], ['Bd3', 'Bg7'], ['O-O', 'Nf6'], ['c4', 'O-O'], ['Nc3', 'Nc6\n'], ['d5', 'Ne5'], ['Be2', 'c6'], ['f4', 'Ned7'], ['Bf3', 'cxd5'], ['cxd5', 'Rc8'], ['Be3', 'a6'], ['Re1', 'b5\n'], ['a3', 'Ne8'], ['Bd4', 'Rc4'], ['Ne2', 'Nef6'], ['b3', 'Rc8'], ['Bb2', 'Nb6'], ['Qd2', 'Rc5'], ['Bd4', 'Rxd5\n'], ['Bxd5', 'Nbxd5'], ['Rac1', 'h5'], ['Rc6', 'a5'], ['Ra6', 'b4'], ['Bxf6', 'Nxf6'], ['axb4', 'axb4'], ['Qxb4', 'Nd7\n'], ['Qc4', 'Qb8'], ['Rc6', 'Nc5'], ['b4', 'Qb7'], ['b5', 'Ra8'], ['Qd5', 'Rb8'], ['Rb1', 'Qa8'], ['Ng3', 'Qa4\n'], ['Rc7', 'Qxf4'], ['Rxe7', 'Be5'], ['Rb4', 'Qf6'], ['Ra7', '']]",1-0
EU-ch U20,Arnhem,1988.??.??,5,"Adams, Michael","Van Wely, Loek",,,B07,"[['e4', 'd6'], ['d4', 'Nf6'], ['Nc3', 'g6'], ['Bg5', 'Bg7'], ['f4', 'O-O'], ['Qd2', 'c6'], ['e5', 'Nd5'], ['Nxd5', 'cxd5\n'], ['O-O-O', 'Bf5'], ['Ne2', 'Nc6'], ['h3', 'Rc8'], ['Ng3', 'Nxd4'], ['Nxf5', 'Nxf5'], ['Bd3', 'h6'], ['Bxf5', 'gxf5\n'], ['Bh4', 'dxe5'], ['fxe5', 'Rc4'], ['g4', 'Qc7'], ['Kb1', 'Qxe5'], ['c3', 'e6'], ['Rhg1', 'fxg4'], ['Ka1', 'h5\n'], ['Bf2', 'Qf5'], ['Bd4', 'Qg6'], ['hxg4', 'hxg4'], ['Qh2', 'Bxd4'], ['cxd4', 'Rfc8'], ['a3', 'R4c6'], ['Qf4', 'f5\n'], ['Rh1', 'g3'], ['Rdg1', 'g2'], ['Rh6', 'Qg7'], ['Qe3', 'f4'], ['Qh3', 'f3'], ['Ka2', 'Rf8'], ['Rh4', 'e5\n'], ['dxe5', 'Rg6'], ['e6', 'f2'], ['e7', 'fxg1=Q'], ['exf8=Q+', 'Qxf8'], ['Rh8+', 'Kf7'], ['Qf5+', 'Rf6\n'], ['Rxf8+', '']]",1/2-1/2
EU-ch U20,Arnhem,1988.??.??,6,"Lev, Ronen","Van Wely, Loek",,,E97,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'O-O'], ['Nf3', 'd6'], ['Be2', 'e5'], ['O-O', 'Nc6'], ['d5', 'Ne7\n'], ['Nd2', 'c5'], ['dxc6', 'bxc6'], ['b4', 'd5'], ['Ba3', 'd4'], ['Na4', 'Nd7'], ['Nb3', 'f5'], ['Nac5', 'Nf6\n'], ['exf5', 'gxf5'], ['b5', 'cxb5'], ['cxb5', 'Ned5'], ['Bc4', 'Kh8'], ['Qe1', 'Nb6'], ['Ne6', 'Bxe6'], ['Bxe6', 'Re8\n'], ['Bxf5', 'e4'], ['Rc1', 'e3'], ['fxe3', 'Nbd5'], ['Rf3', 'Nxe3'], ['Qh4', 'Nxf5'], ['Rxf5', 'Re4'], ['Qg3', 'Rc8\n'], ['h3', 'Re2'], ['Rxc8', 'Qxc8'], ['Rc5', 'Qe8'], ['Rc1', 'Rxa2'], ['Bb4', 'Nd5'], ['Bd2', 'Ne3'], ['Qf3', 'h6\n'], ['Qb7', 'Qg6'], ['Qf3', 'Kh7'], ['Rc7', 'Nf5'], ['Qd3', '']]",0-1
EU-ch U20,Arnhem,1988.??.??,7,"Van Wely, Loek","Djurhuus, Rune",,,A90,"[['d4', 'e6'], ['Nf3', 'f5'], ['g3', 'Nf6'], ['Bg2', 'd5'], ['O-O', 'Bd6'], ['c4', 'c6'], ['b3', 'b6'], ['Bb2', 'Bb7'], ['Nbd2', 'O-O\n'], ['Ne5', 'Qe7'], ['Ndf3', 'a5'], ['h3', 'Na6'], ['g4', 'fxg4'], ['hxg4', 'Ne4'], ['Nd2', 'Qh4'], ['Nxe4', 'dxe4\n'], ['f3', 'Rad8'], ['Qe1', 'Qxe1'], ['Rfxe1', 'Nb4'], ['Rec1', 'Bxe5'], ['dxe5', 'Rd2'], ['Bc3', 'Rxe2\n'], ['Bf1', 'Re3'], ['Bd4', 'Rexf3'], ['Be2', 'c5'], ['Bxf3', 'cxd4'], ['Bg2', 'd3'], ['c5', 'bxc5'], ['Rxc5', 'd2\n'], ['a3', 'e3'], ['axb4', 'e2'], ['Rcc1', 'Bxg2'], ['Kxg2', 'axb4'], ['Re1', 'dxe1=Q'], ['Rxe1', 'Rf4'], ['Rxe2', 'Rxg4+\n'], ['Kf3', 'Rh4'], ['Kg3', 'Rd4'], ['Rc2', 'Rd3+'], ['Kf4', 'Rc3'], ['Ra2', 'Rxb3'], ['Ra8+', 'Kf7'], ['Ra7+', 'Kg6\n'], ['Re7', 'Rc3'], ['Rxe6+', 'Kf7'], ['Rb6', 'Rc4+'], ['Kf5', 'g6+'], ['Kg5', 'Re4'], ['Kh6', 'Rxe5'], ['Rb7+', 'Ke6\n'], ['Kxh7', 'Re4'], ['Kxg6', 'Rg4+'], ['Kh5', 'Rd4'], ['Kg5', 'Kd5'], ['Kf5', 'Kc4'], ['Ke5', 'Kc3'], ['Rb8', 'Rc4\n'], ['Kd5', 'b3'], ['Rb7', 'Rb4'], ['Rc7+', 'Kd3']]",0-1
