RUS-ch U10,Rybinsk,1997.??.??,1,"Rusanov, V.","Vitiugov, N.",,,B85,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Be2', 'Be7'], ['O-O', 'O-O'], ['f4', 'Qc7\n'], ['Kh1', 'a6'], ['a4', 'Nc6'], ['Be3', 'Bd7'], ['g4', 'Nxd4'], ['Bxd4', 'Bc6'], ['Bf3', 'e5'], ['Be3', 'exf4\n'], ['Bxf4', 'Nd7'], ['Nd5', 'Bxd5'], ['exd5', 'Ne5'], ['Bxe5', 'dxe5'], ['Qd3', 'Qd7'], ['c4', 'Bc5'], ['Qd2', 'a5\n'], ['Rfd1', 'Ra6'], ['b3', 'Rf6'], ['Qg2', 'Rf4'], ['d6', 'Bd4'], ['Rab1', 'Qxd6']]",0-1
RUS-ch U10,Rybinsk,1997.??.??,2,"Vitiugov, N.","Rykalin, A.",,,B01,"[['e4', 'd5'], ['exd5', 'Nf6'], ['Bb5+', 'Bd7'], ['Bc4', 'b5'], ['Bb3', 'a5'], ['a3', 'Bg4'], ['f3', 'Bc8'], ['Nc3', 'Qd7\n'], ['Nge2', 'Bb7'], ['O-O', 'Bxd5'], ['Bxd5', 'Nxd5'], ['Nxd5', 'Qxd5'], ['d4', 'Nc6'], ['Bf4', 'Rc8'], ['c3', 'e6\n'], ['Ng3', 'b4'], ['axb4', 'axb4'], ['Ne4', 'bxc3'], ['bxc3', 'f5'], ['Ng5', 'Be7'], ['Nxe6', 'Qxe6'], ['d5', 'Qf6\n'], ['dxc6', 'Qxc6'], ['Re1', 'h6'], ['Qb3', 'Kf8'], ['Kh1', 'g5'], ['Be5', 'Rh7']]",1-0
RUS-ch U10,Rybinsk,1997.??.??,3,"Vitiugov, N.","Simonian, Karen",,,C11,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['e5', 'Nfd7'], ['f4', 'c5'], ['Nf3', 'Nc6'], ['Be3', 'a6'], ['Qd2', 'b5'], ['Ne2', 'Qb6\n'], ['Ng3', 'b4'], ['Be2', 'a5'], ['O-O', 'cxd4'], ['Nxd4', 'Bc5'], ['Rad1', 'O-O'], ['Bf2', 'Ba6'], ['Bxa6', 'Rxa6\n'], ['Nxc6', 'Qxc6'], ['Qe2', 'g6'], ['Kh1', 'Bxf2'], ['Rxf2', 'Rc8'], ['Qg4', 'Kh8'], ['Qh4', 'Qb6'], ['Rfd2', 'Ra7\n'], ['Qe7', 'f5'], ['Ne2', 'Nc5'], ['Qf6+', 'Kg8'], ['Rxd5', 'Rf8'], ['Rd8', 'Rf7'], ['Rxf8+', 'Rxf8'], ['Qh4', 'Ne4\n'], ['Rf1', 'Qe3'], ['Ng1', 'g5'], ['fxg5', 'Rc8'], ['g6', 'hxg6'], ['Qe7', 'Rxc2']]",1/2-1/2
RUS-ch U10,Rybinsk,1997.??.??,4,"Yamilov, Robert","Vitiugov, N.",,,B86,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Bc4', 'Be7'], ['Be3', 'O-O'], ['Qe2', 'a6\n'], ['O-O-O', 'b5'], ['Bb3', 'Bb7'], ['f3', 'b4'], ['Na4', 'Nbd7'], ['g4', 'Rc8'], ['g5', 'Ne8'], ['h4', 'Nc7\n'], ['Rdg1', 'd5'], ['h5', 'Nc5'], ['Nxc5', 'Bxc5'], ['g6', 'h6'], ['gxf7+', 'Rxf7'], ['e5', 'Bxd4'], ['Bxd4', 'Qd7\n'], ['Rh4', 'a5'], ['c3', 'bxc3'], ['bxc3', 'Nb5'], ['Kb2', 'Nxd4'], ['cxd4', 'Rb8'], ['Ka1', 'a4'], ['Bc2', 'Qe7\n'], ['Qd3', 'Qxh4'], ['Qh7+', 'Kf8'], ['Qh8+', 'Ke7'], ['Qxb8', 'Qxd4+'], ['Kb1', 'Qxg1+'], ['Kb2', 'Qb6+']]",0-1
RUS-ch U10,Rybinsk,1997.??.??,5,"Vitiugov, N.","Ototiuk, Dmitriy",,,B82,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['f4', 'e5'], ['Bb5+', 'Bd7'], ['Bxd7+', 'Nbxd7\n'], ['Nf5', 'Qb6'], ['Qf3', 'g6'], ['Ne3', 'Bg7'], ['f5', 'O-O'], ['O-O', 'Qc5'], ['Kh1', 'Nb6'], ['Ng4', 'Nbd7\n'], ['Bg5', 'Nxg4'], ['Qxg4', 'f6'], ['fxg6', 'hxg6'], ['Qxd7', 'fxg5'], ['Qe6+', 'Kh7'], ['Qd5', 'Qb6'], ['Qb3', 'Qa6\n'], ['Qa4', '']]",1/2-1/2
RUS-ch U10,Rybinsk,1997.??.??,6,"Iljin, Artiom","Vitiugov, N.",,,E60,"[['Nf3', 'Nf6'], ['b3', 'g6'], ['Bb2', 'Bg7'], ['g3', 'O-O'], ['Bg2', 'c6'], ['O-O', 'd6'], ['d4', 'Qc7'], ['c4', 'Nbd7\n'], ['Nc3', 'Re8'], ['Qc2', 'a5'], ['Rfd1', 'h6'], ['Rac1', 'Nf8'], ['h3', 'Bf5'], ['e4', 'Bc8'], ['Ba3', 'g5\n'], ['e5', 'dxe5'], ['dxe5', 'N6d7'], ['Qe4', 'Nxe5'], ['Rc2', 'Nxf3+'], ['Qxf3', 'Be6'], ['Ne4', 'Rad8\n'], ['Nc5', '']]",1/2-1/2
RUS-ch U10,Rybinsk,1997.??.??,7,"Vitiugov, N.","Lysyj, I.",,,B45,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['Nc3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nxc6', 'bxc6'], ['e5', 'Nd5'], ['Ne4', 'Qc7\n'], ['f4', 'Qb6'], ['Bd3', 'Ba6'], ['Bxa6', 'Qxa6'], ['Qe2', 'Qxe2+'], ['Kxe2', 'f5'], ['Ng5', 'Bc5'], ['c4', 'Nb6\n'], ['b3', 'a5'], ['Be3', 'Bxe3'], ['Kxe3', 'a4'], ['Kd4', 'h6'], ['Nf3', 'Ke7'], ['Rhd1', 'Rhb8'], ['Ne1', 'Nc8\n'], ['Kc3', 'axb3'], ['axb3', 'Nb6'], ['Nd3', 'Rxa1'], ['Rxa1', 'Ra8'], ['Rxa8', 'Nxa8'], ['b4', 'Nb6'], ['Kd4', 'Kd8\n'], ['Nf2', 'Nc8'], ['Nd1', 'Kc7'], ['Kc5', 'g5'], ['g3', 'gxf4'], ['gxf4', 'Ne7'], ['Nf2', 'Ng6'], ['Nd3', 'Ne7\n'], ['Nc1', 'Ng6'], ['Ne2', 'Ne7'], ['Ng3', 'Ng6'], ['Nh5', 'Ne7'], ['Ng3', 'Ng6'], ['Ne2', 'Ne7']]",1/2-1/2
RUS-ch U10,Rybinsk,1997.??.??,8,"Tomashevski, Evgeni","Vitiugov, N.",,,D33,"[['d4', 'd5'], ['c4', 'e6'], ['Nf3', 'c5'], ['cxd5', 'exd5'], ['Nc3', 'Nc6'], ['g3', 'c4'], ['Bg2', 'Bb4'], ['O-O', 'Nge7\n'], ['Bf4', 'Bxc3'], ['bxc3', 'O-O'], ['Re1', 'Qa5'], ['Qd2', 'Bf5'], ['Ne5', 'Nxe5'], ['Bxe5', 'f6'], ['Bd6', 'Rfe8\n'], ['Bb4', 'Qd8'], ['Bxe7', 'Rxe7'], ['f3', 'Bg6'], ['e4', 'Re8'], ['Rab1', 'Qd7'], ['Rb2', 'Bf7'], ['e5', 'fxe5\n'], ['dxe5', 'Rad8'], ['Qd4', 'b6'], ['f4', 'Qc7'], ['Bh3', 'Be6'], ['Bxe6+', 'Rxe6'], ['f5', 'Ree8'], ['Rf2', 'Qf7\n'], ['e6', 'Qf6'], ['Re5', 'Kf8'], ['g4', 'h6'], ['Kf1', 'Ke7'], ['Rf4', 'Qh4'], ['f6+', 'gxf6'], ['Rh5', '']]",1-0
Chigorin Mem,St Petersburg RUS,2000.10.31,1,"Lukin,A","Vitiugov,N",,,B81,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['g4', 'Nc6'], ['g5', 'Nd7'], ['Be3', 'Be7\n'], ['h4', 'O-O'], ['Qf3', 'a6'], ['Qg3', 'Nxd4'], ['Bxd4', 'b5'], ['Bd3', 'Nc5'], ['a3', 'Nxd3+'], ['cxd3', 'e5\n'], ['Be3', 'Be6'], ['O-O', 'f5'], ['f4', 'fxe4'], ['dxe4', 'exf4'], ['Rxf4', 'Rxf4'], ['Bxf4', 'Qb6+'], ['Be3', 'Qb7\n'], ['Rd1', '']]",1/2-1/2
EYCC B14,Halkidiki GRE,2001.08.31,1,"Aanestad,Vegard","Vitiugov,N",,,D31,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'c6'], ['cxd5', 'exd5'], ['Nf3', 'Bf5'], ['e3', 'Nf6'], ['Bd3', 'Bxd3'], ['Qxd3', 'Bd6\n'], ['O-O', 'O-O'], ['Ne5', 'Nbd7'], ['f4', 'Bb4'], ['Kh1', 'Bxc3'], ['bxc3', 'Ne4'], ['c4', 'f6'], ['Ng4', 'Nb6\n'], ['cxd5', 'cxd5'], ['f5', 'Qd7'], ['Rf4', 'Rac8'], ['Bd2', 'Nc4'], ['Bb4', 'Rfe8'], ['Qb3', 'h5'], ['Nf2', 'Nxf2+\n'], ['Rxf2', 'Rxe3'], ['Qd1', 'Qf7'], ['Rf3', 'Rce8'], ['Qf1', 'R8e4'], ['Rxe3', 'Nxe3'], ['Qf3', 'Nc2']]",0-1
EYCC B14,Halkidiki GRE,2001.09.01,2,"Vitiugov,N","Stajner,S",,,D85,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['e4', 'Nxc3'], ['bxc3', 'Bg7'], ['Nf3', 'c5'], ['Rb1', 'O-O\n'], ['Be2', 'Nc6'], ['d5', 'Ne5'], ['Nxe5', 'Bxe5'], ['Rb3', 'Qa5'], ['Qd2', 'Bd7'], ['c4', 'Qc7'], ['f4', 'Bd4\n'], ['Bb2', 'Ba4'], ['Bxd4', 'cxd4'], ['Rd3', 'Qxc4'], ['Rxd4', 'Qc2'], ['Qxc2', 'Bxc2'], ['Kd2', '']]",1-0
