Wch U14 Girls,Menorca,1996.??.??,2,Wang Yue,"Charkhalashvili, Inga",,,B13,"[['e4', 'c6'], ['d4', 'd5'], ['exd5', 'cxd5'], ['Bd3', 'Nf6'], ['c3', 'Bg4'], ['Qb3', 'Qc7'], ['Ne2', 'Bxe2'], ['Bxe2', 'Nc6\n'], ['O-O', 'e6'], ['Be3', 'Bd6'], ['f4', 'O-O'], ['Qd1', 'Qb6'], ['b4', 'Ne4'], ['Bd3', 'f5'], ['Rf3', 'a5'], ['b5', 'Ne7\n'], ['c4', 'dxc4'], ['Bxc4', 'Rf6'], ['Qb3', 'a4'], ['Bxe6+', 'Kh8'], ['Qc4', 'Bxf4'], ['Bxf4', 'Rxe6'], ['Na3', 'Rc8\n'], ['Qxa4', 'Nc3'], ['Qb4', 'Ned5'], ['Rxc3', 'Nxc3'], ['Kh1', 'Nd5'], ['Qd6', '']]",1/2-1/2
Wch U14 Girls,Menorca,1996.??.??,3,"Draica, Iulia",Wang Yue,,,A65,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['f3', 'O-O'], ['Bg5', 'e6'], ['Qd2', 'exd5'], ['cxd5', 'h6\n'], ['Be3', 'Re8'], ['Nge2', 'Nh7'], ['Ng3', 'h5'], ['Bb5', 'Nd7'], ['O-O', 'a6'], ['Bxd7', 'Bxd7'], ['Rab1', 'Rc8\n'], ['Nge2', 'Qa5'], ['a3', 'c4'], ['Nd4', 'b5'], ['Qf2', 'Qd8'], ['Rfc1', 'f5'], ['Qd2', 'Bf6'], ['Nde2', 'g5\n'], ['Bd4', 'Bg7'], ['Bxg7', 'Kxg7'], ['Qd4+', 'Nf6'], ['Ng3', 'f4'], ['Nge2', 'Rc5'], ['Qd2', 'Ng8'], ['Nd4', 'Nh6\n'], ['Na2', '']]",1/2-1/2
Wch U14 Girls,Menorca,1996.??.??,4,Wang Yue,"Jackova, Jana",,,C55,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Nf6'], ['d3', 'Be7'], ['O-O', 'O-O'], ['c3', 'd5'], ['exd5', 'Nxd5'], ['Re1', 'Bg4\n'], ['h3', 'Bh5'], ['Nbd2', 'Nf4'], ['Nf1', 'Bd6'], ['Ng3', 'Bg6'], ['Ne4', 'Re8'], ['Nxd6', 'Qxd6'], ['Bxf4', 'exf4\n'], ['d4', 'Rad8'], ['Nh4', 'Ne7'], ['Qf3', 'c6'], ['Re5', 'Qf6'], ['Nxg6', 'Nxg6'], ['Re4', 'h6'], ['Rae1', 'Rxe4\n'], ['Qxe4', 'Qg5'], ['Bd3', 'Qd5'], ['Qxd5', 'Rxd5'], ['Bxg6', 'fxg6'], ['Re7', 'Rb5'], ['b4', 'g5'], ['Kf1', 'Kh7\n'], ['a4', 'Rb6'], ['a5', 'Rb5'], ['a6', 'bxa6'], ['Rxa7', 'Rb6'], ['Ke2', 'h5'], ['Kd3', 'Rb8'], ['Rxa6', 'Re8\n'], ['Rxc6', 'g4'], ['hxg4', 'f3'], ['gxf3', '']]",1-0
Wch U14 Girls,Menorca,1996.??.??,5,"Cmilyte, Viktorija",Wang Yue,,,A77,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Be2', 'O-O'], ['Nf3', 'e6'], ['O-O', 'exd5\n'], ['cxd5', 'Re8'], ['Nd2', 'a6'], ['a4', 'Nbd7'], ['Qc2', 'Ne5'], ['Nc4', 'Nxc4'], ['Bxc4', 'Ng4'], ['h3', 'Ne5\n'], ['Be2', 'f5'], ['f4', 'Ng4'], ['g3', 'Nf6'], ['e5', 'dxe5'], ['fxe5', 'Rxe5'], ['Bf4', 'Re8'], ['Bf3', 'Nd7\n'], ['Rae1', 'Ne5'], ['Bg2', 'g5'], ['Be3', 'Bf8'], ['Nb1', 'Bd7'], ['Nd2', 'Bd6'], ['Rf2', 'Bc7'], ['Qc3', 'b5\n'], ['Rc1', 'bxa4']]",0-1
Wch U14 Girls,Menorca,1996.??.??,6,Wang Yue,"Pokorna, Regina",,,C93,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Nf6'], ['d3', 'Be7'], ['O-O', 'O-O'], ['Re1', 'd6'], ['h3', 'h6'], ['c3', 'Na5\n'], ['Bb5', 'a6'], ['Ba4', 'b5'], ['Bc2', 'c5'], ['Nbd2', 'Nc6'], ['Nf1', 'Re8'], ['d4', 'cxd4'], ['cxd4', 'Bf8\n'], ['d5', 'Ne7'], ['Ng3', 'g6'], ['Bd2', 'Kh8'], ['a4', 'Bd7'], ['Nh2', 'Bg7'], ['Bb4', 'Qb8'], ['a5', 'Nh7\n'], ['Qf3', 'Rf8'], ['Qa3', 'Nc8'], ['Nf3', 'Ng5'], ['Rac1', 'Ra7'], ['Bb1', 'Be8'], ['Nxg5', 'hxg5'], ['Qe3', 'Rd7\n'], ['Qxg5', 'Ne7'], ['Qe3', 'f5'], ['Qb6', 'Bf7'], ['Qxa6', 'Bh6'], ['Rc2', 'Bf4'], ['Ne2', 'fxe4'], ['Nxf4', 'exf4\n'], ['Rxe4', 'Nxd5'], ['Bc3+', 'Kh7'], ['Qc6', 'Rdd8'], ['Ba2', 'Rc8'], ['Qd7', 'b4'], ['Bxd5', 'Rc7'], ['Qxd6', 'bxc3\n'], ['Bxf7', 'Rcxf7'], ['Qxb8', 'Rxb8'], ['bxc3', 'Rb1+'], ['Kh2', 'Ra1'], ['c4', 'Rxa5'], ['c5', 'Raa7\n'], ['Rcc4', 'Rac7'], ['Rxf4', 'Rxf4'], ['Rxf4', 'Rxc5'], ['Kg3', 'Kh6'], ['Re4', 'Rg5+'], ['Kf3', 'Rf5+\n'], ['Ke3', 'Kg7'], ['Re6', 'Kf7'], ['Ra6', 'Re5+'], ['Kf4', 'Rf5+'], ['Kg3', 'Rb5'], ['f3', 'Rg5+'], ['Kf2', 'Rb5\n'], ['g4', 'g5'], ['Kg3', 'Rb3'], ['Ra5', 'Kg6'], ['Rf5', 'Rb1'], ['h4', 'gxh4+'], ['Kxh4', 'Rh1+'], ['Kg3', 'Rg1+\n'], ['Kf4', 'Ra1'], ['Re5', 'Ra4+'], ['Re4', 'Ra5'], ['Re6+', 'Kf7'], ['Re5', 'Ra3'], ['g5', 'Rb3'], ['Kg4', 'Rb4+\n'], ['Kf5', 'Rb6'], ['f4', 'Ra6'], ['Rb5', '']]",1-0
Wch U14 Girls,Menorca,1996.??.??,7,"Polovnikova, Ekaterina",Wang Yue,,,C74,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'd6'], ['c3', 'f5'], ['exf5', 'Bxf5'], ['O-O', 'Bd3'], ['Re1', 'Be7\n'], ['Bc2', 'Bxc2'], ['Qxc2', 'Nh6'], ['d4', 'Nf7'], ['Qb3', 'Rb8'], ['dxe5', 'dxe5'], ['Nbd2', 'O-O'], ['Nxe5', 'Nxe5\n'], ['Rxe5', 'Kh8'], ['Re1', 'Ng5'], ['Nf1', 'Bd6'], ['Be3', 'Qf6'], ['Qc2', 'Nf7'], ['Bd4', 'Qg5'], ['Rad1', 'Ne5\n'], ['Bxe5', 'Bxe5'], ['Kh1', 'Bd6'], ['f3', 'Rf5'], ['Re4', 'Rf6'], ['Rde1', 'Qh5'], ['Qe2', 'Rbf8'], ['Re8', 'Rxe8\n'], ['Qxe8+', 'Qxe8'], ['Rxe8+', 'Rf8'], ['Rxf8+', 'Bxf8'], ['Nd2', 'Kg8'], ['Ne4', 'Kf7'], ['Kg1', 'Be7\n'], ['Kf2', 'Ke6'], ['Ke3', 'c5'], ['c4', 'Ke5'], ['f4+', 'Ke6'], ['b3', 'h6'], ['Nc3', 'Kf5'], ['Nd5', 'Bd6\n'], ['h3', 'g5'], ['g4+', 'Ke6'], ['f5+', 'Ke5'], ['Nc3', 'Bc7'], ['Na4', 'b6'], ['Nb2', 'Bd8'], ['Nd3+', 'Kd6\n'], ['Ke4', 'Bf6'], ['Ne1', 'b5'], ['Nc2', 'bxc4'], ['bxc4', 'Kc6'], ['Ne3', 'Kd6'], ['a4', 'a5'], ['Nd5', 'Bd4\n'], ['f6', 'Ke6'], ['Nc7+', 'Kd7'], ['f7', 'Ke7'], ['Ne6', '']]",1-0
Wch U14 Girls,Menorca,1996.??.??,8,Wang Yue,"Dembo, Yelena",,,B40,"[['e4', 'c5'], ['Nf3', 'e6'], ['b3', 'b6'], ['c4', 'Nc6'], ['Bb2', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nxd4'], ['Qxd4', 'Nf6\n'], ['Be2', 'Bb7'], ['Nc3', 'Be7'], ['O-O', 'O-O'], ['Rad1', 'Qb8'], ['Kh1', 'Rd8'], ['f4', 'Qc7'], ['Bf3', 'Ne8\n'], ['Nb5', 'Qb8'], ['Qf2', 'a6'], ['Na3', 'Bc6'], ['Nc2', 'Qb7'], ['Rfe1', 'Nf6'], ['Bxf6', 'Bxf6'], ['Nb4', 'Bc3\n'], ['Nxc6', 'Qxc6'], ['Re3', 'Qc5'], ['Qe2', 'Bd4'], ['b4', 'Qxb4'], ['Rxd4', 'b5'], ['Qd2', 'Qxd2'], ['Rxd2', 'bxc4\n'], ['Rc3', 'Rac8'], ['Rd4', 'Kf8'], ['Rdxc4', 'Rb8'], ['h3', '']]",1-0
Wch U14 Girls,Menorca,1996.??.??,9,"Krush, Irina",Wang Yue,,,E90,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Nf3', 'O-O'], ['Bd3', 'e6'], ['O-O', 'exd5\n'], ['exd5', 'Bg4'], ['h3', 'Bxf3'], ['Qxf3', 'Nbd7'], ['Qd1', 'Ne5'], ['Be2', 'Re8'], ['Qc2', 'a6'], ['a4', 'Qc7\n'], ['f4', 'Ned7'], ['g4', 'h6'], ['Bd3', 'Nh7'], ['Bd2', 'Qd8'], ['Kg2', 'Ndf6'], ['a5', 'Rc8'], ['Na4', 'Rc7\n'], ['Rfe1', 'Rce7'], ['Rab1', 'Nd7'], ['h4', 'Ndf6'], ['Kg3', 'h5'], ['f5', 'Nxg4'], ['fxg6', 'fxg6'], ['Bxg6', 'Be5+\n'], ['Kg2', 'Rg7'], ['Bxh7+', 'Rxh7'], ['Bg5', 'Qd7'], ['Qg6+', 'Rg7'], ['Nb6', 'Ne3+'], ['Kf2', 'Rf8+'], ['Ke2', 'Qg4+']]",0-1
Wch U14 Girls,Menorca,1996.??.??,11,Wang Yue,"Ovod, Evgenija",,,C54,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['c3', 'Nf6'], ['d3', 'a6'], ['O-O', 'd6'], ['h3', 'Ba7'], ['Bb3', 'h6'], ['Be3', 'Bxe3\n'], ['fxe3', 'Be6'], ['Nbd2', 'Qd7'], ['d4', 'Bxb3'], ['axb3', 'O-O'], ['Nh4', 'Rae8'], ['Nf5', 'g6'], ['Nxh6+', 'Kg7\n'], ['Qf3', 'Nh7'], ['Qg4', 'Qxg4'], ['Nxg4', 'f5'], ['Nf2', 'f4'], ['exf4', 'Rxf4'], ['d5', 'Nb8'], ['Nd3', 'Rxf1+\n'], ['Kxf1', 'Nd7'], ['Ke2', 'Ng5'], ['Ke3', 'Kh6'], ['g3', 'Kh5'], ['Nf2', 'Rf8'], ['b4', 'Nh7'], ['c4', 'g5\n'], ['g4+', 'Kh6'], ['Nf1', 'Rb8'], ['Nd3', 'Nhf8'], ['Ng3', 'Ng6'], ['Nf5+', 'Kh7']]",1/2-1/2
Wch U10,Cannes,1997.??.??,1,Wang Yue,"Isaza Pierotti, Yesid",,,A59,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'b5'], ['cxb5', 'a6'], ['bxa6', 'Bxa6'], ['Nc3', 'd6'], ['e4', 'Bxf1'], ['Kxf1', 'g6\n'], ['Nf3', 'Bg7'], ['g3', 'O-O'], ['Kg2', 'Nbd7'], ['h3', 'Ra6'], ['Qe2', 'Qa8'], ['Bd2', 'Rb8'], ['Rab1', 'Nb6\n'], ['b4', 'Nfd7'], ['bxc5', 'Bxc3'], ['cxb6', 'Bxd2'], ['Qxd2', 'Rxa2'], ['Qh6', 'Nf6'], ['Qe3', 'Ra3'], ['Qe2', 'Ra6\n'], ['Nd4', 'Raxb6'], ['Ra1', 'Qb7'], ['Nc6', 'Rc8'], ['Ra7', 'Rb2'], ['Rxb7', 'Rxe2'], ['Nxe7+', 'Kg7'], ['Nxc8', 'Nxe4\n'], ['Kf3', 'Nc3'], ['Rc1', 'Na2'], ['Kxe2', 'Nxc1+'], ['Kd2', 'Na2'], ['Rb2', 'Kf6'], ['Rxa2', 'Ke5'], ['Ra7', 'Kxd5\n'], ['Rxf7', 'h5'], ['Rg7', 'Kc6'], ['Rxg6', 'Kc7'], ['Nxd6', 'Kd7'], ['h4', 'Ke7']]",1-0
Wch U10,Cannes,1997.??.??,2,Wang Yue,"Iljin, Artiom",,,E16,"[['d4', 'e6'], ['c4', 'Nf6'], ['Nf3', 'Bb4+'], ['Bd2', 'Qe7'], ['Nc3', 'b6'], ['g3', 'Bb7'], ['Bg2', 'O-O'], ['O-O', 'd6\n'], ['a3', 'Bxc3'], ['Bxc3', 'Nbd7'], ['Re1', 'Ne4'], ['Qc2', 'f5'], ['Nd2', 'Ndf6'], ['f3', 'Nxc3'], ['Qxc3', 'e5\n'], ['d5', 'Rae8'], ['e3', 'Qf7'], ['f4', 'Qh5'], ['Qd3', 'Rf7'], ['Qe2', 'Qh6'], ['Qd3', 'Bc8'], ['Nf1', 'Rfe7\n'], ['Qd2', 'Qh5'], ['a4', 'a5'], ['Qe2', 'exf4'], ['Qxh5', 'Nxh5'], ['Bf3', 'Nf6'], ['gxf4', 'Ba6'], ['b3', 'Nd7\n'], ['Bd1', 'Nc5'], ['Bc2', 'g6'], ['Kf2', 'Kf7'], ['h4', 'Nd7'], ['Ng3', 'Nf6'], ['Bd1', 'Bc8'], ['Rc1', 'h6\n'], ['Bf3', 'Rg8'], ['Rh1', 'Rge8'], ['Rc3', 'Bd7'], ['Ne2', 'Rg8'], ['Rg1', 'Rge8'], ['Nd4', 'h5'], ['Re1', 'Kg7\n'], ['Ne2', 'Kf7'], ['Ng1', 'Ng4+'], ['Bxg4', 'hxg4'], ['Ne2', 'Kf6'], ['Nd4', 'Rh7'], ['Kg3', 'Rhe7'], ['Rd3', 'Kf7\n'], ['Nc2', 'Kf6'], ['Na3', 'Kf7'], ['Nb1', 'Kf6'], ['Nc3', 'Kf7'], ['Nd1', 'Kf6'], ['Rd2', 'Rh7'], ['Rde2', 'Rhe7\n'], ['Nc3', 'Rh8'], ['e4', 'Rhe8'], ['exf5', 'Bxf5'], ['Rxe7', 'Rxe7'], ['Rxe7', 'Kxe7'], ['Nb5', 'Kd7'], ['Nd4', 'Ke7\n'], ['h5', 'Kf6'], ['h6', 'Kf7'], ['Ne6', 'Bc2'], ['h7', '']]",1-0
