Wch U10,Oropesa del Mar,1999.10.31,7,Li Haoyu,Wang Hao,,,B40,"[['e4', 'e6'], ['d3', 'c5'], ['Nf3', 'Nc6'], ['c3', 'Be7'], ['g3', 'd5'], ['Qe2', 'Nf6'], ['Bg2', 'O-O'], ['O-O', 'Re8\n'], ['Nbd2', 'Rb8'], ['Re1', 'b5'], ['Nf1', 'b4'], ['Bf4', 'Rb6'], ['e5', 'Nd7'], ['h4', 'Ba6'], ['Ne3', 'Qc7\n'], ['Nxd5', 'exd5'], ['e6', 'Qd8'], ['exf7+', 'Kxf7'], ['Qe6+', 'Kf8'], ['Ng5', 'Bxg5'], ['Bd6+', 'Qe7\n'], ['Bxd5', 'Nf6'], ['Qf7+', '']]",1-0
Wch U10,Oropesa del Mar,1999.11.01,8,Wang Hao,"Martchenko, Stanislav",,,D56,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'Nf6'], ['Bg5', 'Be7'], ['Nf3', 'h6'], ['Bh4', 'O-O'], ['e3', 'Nbd7'], ['cxd5', 'Nxd5\n'], ['Bxe7', 'Qxe7'], ['Bd3', 'b6'], ['O-O', 'Bb7'], ['Rc1', 'c5'], ['Nxd5', 'exd5'], ['Bb1', 'Rac8'], ['Qd3', 'Nf6\n'], ['Ne5', 'a6'], ['Qf5', 'g6'], ['Qh3', 'Kg7'], ['a3', 'b5'], ['f4', 'cxd4'], ['exd4', 'Ne4'], ['Bxe4', 'dxe4\n'], ['f5', 'Rxc1'], ['Rxc1', 'Bc8'], ['Rxc8', 'Qd6'], ['f6+', 'Kxf6'], ['Rc6', 'Qxc6'], ['Nxc6', '']]",1-0
Wch U10,Oropesa del Mar,1999.11.02,9,"Sagi, Franko",Wang Hao,,,C01,"[['e4', 'e6'], ['d4', 'd5'], ['exd5', 'exd5'], ['Bd3', 'Bd6'], ['Nf3', 'Ne7'], ['O-O', 'O-O'], ['c3', 'Bf5'], ['Bg5', 'f6\n'], ['Be3', 'c6'], ['Nh4', 'Bxd3'], ['Qxd3', 'f5'], ['f4', 'Nd7'], ['Nd2', 'g6'], ['Nhf3', 'Nf6'], ['Ne5', 'Nc8\n'], ['c4', 'Ne7'], ['Bf2', 'Ne4'], ['Nxe4', 'fxe4'], ['Qh3', 'Qc8'], ['Qxc8', 'Raxc8'], ['c5', 'Bxe5'], ['fxe5', 'Nf5\n'], ['g4', 'Nh6'], ['h3', 'Rf3'], ['Kg2', 'g5'], ['Bg3', 'Rcf8'], ['Rxf3', 'Rxf3'], ['Rf1', 'Rxf1'], ['Kxf1', 'Kf7\n'], ['Ke2', 'Ke6'], ['Ke3', 'Nf7'], ['a3', 'h6'], ['b4', 'Nh8'], ['Bh2', 'Ng6'], ['Bg3', 'Nf8'], ['Be1', 'Ke7\n'], ['Bf2', 'Ne6'], ['Bg3', 'Kf7'], ['a4', 'a6'], ['h4', 'gxh4'], ['Bxh4', 'Kg6'], ['Bf6', 'h5'], ['gxh5+', 'Kxh5\n'], ['Bh8', 'Kg5'], ['Bf6+', 'Kg4'], ['Bh8', 'Nf4'], ['Bg7', 'Kf5'], ['Bf6', 'Nd3'], ['Bh4', 'Nxb4'], ['Kd2', 'Nd3\n'], ['Bg3', 'Nb2'], ['Kc3', 'Nxa4+'], ['Kb3', 'b5'], ['Bf2', 'a5'], ['Be1', 'Nxc5+'], ['dxc5', 'a4+'], ['Kc2', 'Kxe5\n'], ['Bb4', 'd4'], ['Kd2', 'Kd5'], ['Kc2', 'Kc4']]",0-1
Wch U10,Oropesa del Mar,1999.11.04,10,Wang Hao,"Dragicevic, Drazen",,,B77,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'g6'], ['Be3', 'Bg7'], ['f3', 'O-O'], ['Qd2', 'Nc6\n'], ['Bc4', 'a6'], ['O-O-O', 'b5'], ['Nxc6', 'Qc7'], ['Nd5', 'Nxd5'], ['Bxd5', 'Bb7'], ['Nd4', 'Bxd5'], ['exd5', 'Qc4\n'], ['Nb3', 'b4'], ['Bd4', 'f6'], ['Kb1', 'a5'], ['Qd3', 'Qxd5'], ['Bb6', 'Qg5'], ['Qd5+', 'Qxd5'], ['Rxd5', 'a4\n'], ['Nd2', 'Ra6'], ['Bf2', 'Bh6'], ['Re1', 'e5'], ['Ne4', 'Kf7'], ['Rxd6', 'Rxd6'], ['Nxd6+', 'Ke6'], ['Ne4', 'Kf7\n'], ['Rd1', 'f5'], ['Nc5', 'a3'], ['Rd7+', 'Kg8'], ['bxa3', 'bxa3'], ['c4', 'Rb8+'], ['Nb7', 'e4'], ['fxe4', 'fxe4\n'], ['c5', 'e3'], ['Bg3', 'e2'], ['c6', 'Bf4'], ['Be1', 'Rf8'], ['Rd8', 'Bc7'], ['Rxf8+', 'Kxf8'], ['Kc2', 'Ke7\n'], ['Kd3', 'Ke6'], ['Kxe2', 'Kd5'], ['Ba5', 'Kxc6'], ['Bxc7', 'Kxc7'], ['Na5', '']]",1-0
Wch U10,Oropesa del Mar,1999.11.05,11,"Sangma, Rahul",Wang Hao,,,C01,"[['e4', 'e6'], ['d4', 'd5'], ['exd5', 'exd5'], ['Bd3', 'Bd6'], ['Nf3', 'Ne7'], ['O-O', 'O-O'], ['Bg5', 'f6'], ['Bh4', 'Bf5\n'], ['Bg3', 'c6'], ['Bxd6', 'Qxd6'], ['Bxf5', 'Nxf5'], ['Qd3', 'Qd7'], ['Nbd2', 'Na6'], ['c3', 'Rae8'], ['Rfe1', 'Nc7\n'], ['Nf1', 'Nd6'], ['Ng3', 'Qg4'], ['h3', 'Qf4'], ['Qd2', 'Ne6'], ['Qd3', 'Ng5'], ['Nxg5', 'fxg5'], ['Re2', 'Rxe2\n'], ['Qxe2', 'Re8'], ['Qd3', 'Ne4'], ['Nxe4', 'Rxe4'], ['g3', 'Qf5'], ['Kg2', 'Qe6'], ['Rd1', 'h5'], ['Rd2', 'g6\n'], ['b3', 'Kg7'], ['c4', 'Re1'], ['cxd5', 'Qxd5+'], ['Qf3', 'Rg1+'], ['Kxg1', 'Qxf3'], ['Kf1', 'Qh1+'], ['Ke2', 'Qxh3\n'], ['Kd1', 'Qf1+'], ['Kc2', 'h4'], ['g4', 'h3'], ['d5', 'cxd5'], ['Rxd5', 'h2'], ['Rd7+', 'Kf6'], ['Rd6+', 'Ke5']]",0-1
2nd China-USA Summit,Shanghai CHN,2002.07.11,1,"Schneider,Dm",Wang Hao,,,C44,"[['e4', 'e5'], ['Nf3', 'Nf6'], ['d3', 'Nc6'], ['c3', 'g6'], ['Be2', 'Bg7'], ['b4', 'd6'], ['O-O', 'O-O'], ['b5', 'Ne7'], ['a4', 'Kh8\n'], ['Re1', 'Nh5'], ['d4', 'Bg4'], ['h3', 'Bd7'], ['dxe5', 'dxe5'], ['Ba3', 'Nf4'], ['Bf1', 'Qe8'], ['Nbd2', 'Rg8\n'], ['Nc4', 'f6'], ['Ne3', 'Be6'], ['Qc2', 'Qf7'], ['c4', 'Rgd8'], ['Nd5', 'Ng8'], ['Nxf4', 'exf4'], ['Rad1', 'Rxd1\n'], ['Rxd1', 'Re8'], ['Bc1', 'g5'], ['Nd4', 'Bc8'], ['c5', 'Qe7'], ['Bd3', 'Nh6'], ['c6', 'b6'], ['Bb2', 'Nf7\n'], ['Nf5', 'Bxf5'], ['exf5', 'Ne5'], ['Bc4', 'Qc5'], ['Bb3', 'Qb4'], ['Bc3', 'Qc5'], ['Rd5', 'Qf8'], ['Qd2', 'Qa3\n'], ['Rd8', 'Qe7'], ['Rd5', 'Qa3'], ['Ba2', 'h5'], ['Bb4', 'Qxa4'], ['Rd8', 'Rxd8'], ['Qxd8+', 'Kh7'], ['Qg8+', 'Kh6\n'], ['Bf8', '']]",1-0
WY ol,Kuala Lumpur MAS,2002.08.20,1,"Zarul,Shafiq",Wang Hao,,,C01,"[['e4', 'e6'], ['d4', 'd5'], ['exd5', 'exd5'], ['Bd3', 'Bd6'], ['Qf3', 'Nc6'], ['Ne2', 'Nb4'], ['Bf4', 'Nxd3+'], ['Qxd3', 'Ne7\n'], ['Bxd6', 'Qxd6'], ['Nd2', 'O-O'], ['O-O-O', 'Bf5'], ['Qg3', 'Qc6'], ['Qc3', 'Qa6'], ['Rhe1', 'Qxa2'], ['Ng3', 'Be6\n'], ['Qxc7', 'Nc6'], ['Nb1', 'Rfc8'], ['Qd6', 'Na5'], ['Qa3', 'Nb3+']]",0-1
WY ol,Kuala Lumpur MAS,2002.08.21,3,"Grecescu,G",Wang Hao,,,D73,"[['c4', 'c6'], ['g3', 'Nf6'], ['Bg2', 'd5'], ['d4', 'g6'], ['Nf3', 'Bg7'], ['cxd5', 'cxd5'], ['Ne5', 'O-O'], ['Nc3', 'Be6\n'], ['O-O', 'Nbd7'], ['f4', 'Rc8'], ['h3', 'Nxe5'], ['dxe5', 'Ne4'], ['Nxe4', 'dxe4'], ['Be3', 'Qa5'], ['Qe1', 'Qa6\n'], ['Bd4', 'f5'], ['e3', 'Bc4'], ['Rf2', 'e6'], ['Rc2', 'Bd3'], ['Rc3', 'b6'], ['Rac1', 'Rfd8'], ['a4', 'Qb7\n'], ['Rxd3', '']]",1-0
WY ol,Kuala Lumpur MAS,2002.08.25,6,Wang Hao,"Zdebskaja,N",,,B12,"[['e4', 'c6'], ['d4', 'd5'], ['e5', 'Bf5'], ['Nc3', 'e6'], ['g4', 'Bg6'], ['Nge2', 'Ne7'], ['f4', 'h5'], ['f5', 'exf5'], ['g5', 'Na6\n'], ['Nf4', 'Nc7'], ['h4', 'Ne6'], ['Nce2', 'Qa5+'], ['c3', 'O-O-O'], ['b4', 'Qc7'], ['Bg2', 'Kb8'], ['a4', 'Nc8\n'], ['O-O', 'Bh7'], ['Nxe6', 'fxe6'], ['Nf4', 'Qf7'], ['Be3', 'Nb6'], ['Qc2', 'Nc4'], ['Bf2', 'b6'], ['Rfb1', 'Rd7\n'], ['Bf1', 'Rb7'], ['Bxc4', 'dxc4'], ['Qe2', 'Kc7'], ['Qxc4', 'Kd7'], ['b5', 'Rc7'], ['bxc6+', 'Rxc6'], ['Qa6', 'Ke8\n'], ['a5', 'Qb7'], ['axb6', '']]",1-0
WY ol,Kuala Lumpur MAS,2002.08.25,7,"Noroozi,O",Wang Hao,,,E06,"[['c4', 'c6'], ['g3', 'd5'], ['cxd5', 'cxd5'], ['d4', 'Nf6'], ['Bg2', 'e6'], ['Nc3', 'Be7'], ['Nf3', 'O-O'], ['Ne5', 'b6\n'], ['O-O', 'Bb7'], ['Bf4', 'Nc6'], ['Rc1', 'Rc8'], ['h3', 'Nd7'], ['Nxc6', 'Bxc6'], ['e4', 'dxe4'], ['Nxe4', 'Bd5\n'], ['Qa4', 'Rxc1'], ['Rxc1', 'Nf6'], ['Nxf6+', 'Bxf6'], ['Bc7', 'Qa8'], ['Bxd5', 'Qxd5'], ['Qxa7', 'Bxd4\n'], ['Bxb6', 'Qg5'], ['Bxd4', 'Qxc1+'], ['Kh2', 'Qc6'], ['Qa5', 'f6'], ['a3', 'Ra8'], ['Qb4', 'Rd8'], ['a4', 'Qe4\n'], ['Bc5', 'Qxb4'], ['Bxb4', 'Rd4'], ['Bc5', 'Rxa4'], ['b4', 'Kf7'], ['Kg2', 'Ra3'], ['b5', 'Ra5']]",0-1
