XingQiu Open,Lishui CHN,2009.09.18,2,Wei Yi,Lou Yiping,,,C07,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'c5'], ['exd5', 'Qxd5'], ['Ngf3', 'cxd4'], ['Bc4', 'Qd6'], ['O-O', 'Nf6'], ['Nb3', 'Nc6\n'], ['Nbxd4', 'Nxd4'], ['Nxd4', 'a6'], ['c3', 'Qc7'], ['Qe2', 'Bd7'], ['g3', 'O-O-O'], ['Bf4', 'Bd6'], ['Bxd6', 'Qxd6\n'], ['Nf3', 'Qc7'], ['Ne5', 'Be8'], ['b4', 'Nd7'], ['Nxd7', 'Bxd7'], ['Bd3', 'h5'], ['c4', 'h4'], ['b5', 'Qc5\n'], ['Qf3', 'hxg3'], ['hxg3', 'f5'], ['Rfe1', 'Rh6'], ['Bf1', 'e5'], ['bxa6', 'Rxa6'], ['Qd5', 'Qxd5'], ['cxd5', 'Ra5\n'], ['Rxe5', 'Re8'], ['Rxe8+', 'Bxe8'], ['Re1', 'Kd8'], ['Bc4', 'Bf7'], ['f4', 'Rc5'], ['Bb3', 'Kd7'], ['Re5', 'g6\n'], ['g4', 'fxg4'], ['Rg5', 'b6'], ['Kf2', 'Kd6'], ['Rxg4', 'Rc3'], ['Rg5', 'Rh3'], ['f5', 'gxf5'], ['Rxf5', 'Be8\n'], ['Rf6+', 'Kc5'], ['Rf8', 'Bb5'], ['Rf6', 'Rd3'], ['Ke1', 'Rd4'], ['Kf2', 'Ba4'], ['Ke1', '']]",1/2-1/2
XingQiu Open,Lishui CHN,2009.09.19,3,Xiu Deshun,Wei Yi,,,D34,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'c5'], ['cxd5', 'exd5'], ['Nf3', 'Nc6'], ['g3', 'Nf6'], ['Bg2', 'Be7'], ['O-O', 'O-O\n'], ['Bg5', 'c4'], ['Ne5', 'Be6'], ['b3', 'h6'], ['Bxf6', 'Bxf6'], ['Nxc6', 'bxc6'], ['bxc4', 'dxc4'], ['e3', 'Rc8\n'], ['Qc2', 'Qa5'], ['Ne4', 'Qa6'], ['Nd2', 'Be7'], ['Rfc1', 'Ba3'], ['Rcb1', 'Rfd8'], ['Bf1', 'c5'], ['d5', 'Bxd5\n'], ['Bxc4', 'Qf6'], ['Bxd5', 'Rxd5'], ['Nc4', 'Rcd8'], ['Rf1', 'Bb4'], ['a3', 'Bc3'], ['Rad1', 'Rxd1'], ['Rxd1', 'Rxd1+\n'], ['Qxd1', 'Qf5'], ['Qb3', 'Bf6'], ['Nd6', 'Qd7'], ['Qd5', 'Bd8'], ['e4', 'Bb6'], ['Kg2', 'Kf8'], ['Kf3', 'Bc7\n'], ['Nc4', 'Qxd5'], ['exd5', 'Ke7'], ['Ke4', 'g6'], ['Kd3', 'f5'], ['h4', 'h5'], ['f4', 'Kf6'], ['Nd2', 'Ba5\n'], ['Nf3', 'Ke7'], ['Ne5', 'Be1'], ['Nxg6+', 'Kd6'], ['Kc4', 'Bxg3'], ['a4', 'a6'], ['a5', 'Bh2'], ['Ne5', 'Bxf4\n'], ['Nd3', 'Be3'], ['Ne1', 'Bd2'], ['Nd3', 'Be3'], ['Ne1', 'f4'], ['Nf3', 'Bf2'], ['Ng5', 'Bxh4'], ['Ne4+', 'Ke5\n'], ['Nxc5', 'Be7'], ['Nxa6', 'f3'], ['Kd3', 'Kxd5'], ['Ke3', '']]",1/2-1/2
XingQiu Open,Lishui CHN,2009.09.20,4,Wei Yi,Ma Qun,,,B85,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'e6'], ['Be2', 'a6'], ['O-O', 'Qc7'], ['f4', 'Be7\n'], ['a4', 'O-O'], ['Be3', 'Nc6'], ['Kh1', 'Bd7'], ['Qe1', 'Nb4'], ['Qg3', 'Rac8'], ['e5', 'Nfd5'], ['f5', 'Kh8\n'], ['Nxd5', 'Nxd5'], ['c4', 'Nxe3'], ['f6', 'Rg8'], ['Qxe3', 'dxe5'], ['fxe7', 'exd4'], ['Qxd4', 'Be8'], ['Qh4', 'f5\n'], ['Ra3', 'Qe5'], ['Rh3', 'h6'], ['Bd3', 'Qxb2'], ['Qg5', 'Qf6'], ['Qxf6', 'gxf6'], ['Rxf5', 'exf5'], ['Bxf5', 'Bg6\n'], ['Rxh6+', 'Kg7'], ['Rxg6+', 'Kf7'], ['Bxc8', 'Rxg6'], ['Bxb7', 'a5'], ['Kg1', 'Kxe7'], ['Bc6', 'Kd6\n'], ['Bb5', 'Rg4'], ['Kf2', 'Rd4'], ['Kf3', 'Rd3+'], ['Ke4', '']]",1/2-1/2
6th TCh-CHN,Ningbo CHN,2010.04.16,1,Wei Yi,Zhao Jun,,,B33,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'e5'], ['Ndb5', 'd6'], ['Nd5', 'Nxd5'], ['exd5', 'Nb8\n'], ['c4', 'Be7'], ['Be2', 'Nd7'], ['O-O', 'O-O'], ['Kh1', 'f5'], ['f4', 'a6'], ['Nc3', 'Bf6'], ['Qc2', 'g6'], ['Be3', 'Re8\n'], ['Rae1', 'exf4'], ['Bxf4', 'Ne5'], ['b4', 'Bd7'], ['Qb3', 'Rc8'], ['Rc1', 'b6'], ['Rc2', 'g5'], ['Bd2', 'Bg7\n'], ['c5', 'bxc5'], ['bxc5', 'dxc5'], ['Qb7', 'f4'], ['Qxa6', 'Ra8'], ['Qb7', 'Bf5'], ['Rb2', 'c4'], ['d6', 'Qxd6\n'], ['Nb5', 'Qd8'], ['Bc3', 'Rb8'], ['Bxc4+', 'Be6'], ['Bxe6+', 'Rxe6'], ['Qc7', 'Rc6'], ['Qxd8+', 'Rxd8\n'], ['Re2', 'Rd5'], ['Bxe5', 'Bxe5'], ['Na3', 'Kg7'], ['Nc2', 'Rc4'], ['a3', 'Bf6'], ['Nb4', 'Ra5'], ['Rc2', 'Re4\n'], ['Rc7+', 'Kg6'], ['Rc6', 'Kf7'], ['Rc7+', 'Re7'], ['Rxe7+', 'Bxe7'], ['Nc6', 'Rxa3'], ['Ne5+', 'Ke6\n'], ['Nf3', 'Bf6'], ['h3', 'h5'], ['Nh2', 'Kf5'], ['Rb1', 'Ra5'], ['Rf1', 'g4'], ['hxg4+', 'hxg4'], ['g3', 'Be5\n'], ['Kg1', 'Ra2'], ['Kh1', 'Bd6'], ['Kg1', 'Bc5+'], ['Kh1', 'Bf2'], ['gxf4', 'g3'], ['Nf3', 'Kg4'], ['Ne1', 'Ra1']]",0-1
6th TCh-CHN,Ningbo CHN,2010.04.18,3,Ding Liren,Wei Yi,,,D34,"[['d4', 'd5'], ['c4', 'e6'], ['Nf3', 'c5'], ['cxd5', 'exd5'], ['Nc3', 'Nc6'], ['g3', 'Nf6'], ['Bg2', 'Be7'], ['O-O', 'O-O\n'], ['dxc5', 'Bxc5'], ['Na4', 'Be7'], ['Be3', 'b6'], ['Rc1', 'Bb7'], ['Nc3', 'Qd7'], ['Qa4', 'Na5'], ['Qxd7', 'Nxd7\n'], ['Nd4', 'Nf6'], ['Nf5', 'Bb4'], ['Bd4', 'Rfd8'], ['Bxf6', 'gxf6'], ['Rfd1', 'Nc4'], ['Nxd5', 'Bxd5'], ['Bxd5', 'Rac8\n'], ['Rd4', 'b5'], ['a3', 'Bc5'], ['Rg4+', 'Kf8'], ['Bxc4', 'Bb6'], ['Rc2', 'bxc4'], ['Rgxc4', 'Rxc4'], ['Rxc4', 'Rd1+\n'], ['Kg2', 'Ke8'], ['Re4+', 'Kd8'], ['Rh4', 'Rd2'], ['Kf3', 'Rxb2'], ['Rxh7', 'Rb3+'], ['e3', 'Rxa3'], ['Rxf7', 'Rd3\n'], ['h4', 'Ke8'], ['Rb7', '']]",1-0
TCh-CHN,Shanghai CHN,2010.07.24,7,Wang Yue,Wei Yi,,,D02,"[['d4', 'd5'], ['Nf3', 'e6'], ['c4', 'c5'], ['cxd5', 'exd5'], ['g3', 'Nf6'], ['Bg2', 'Be7'], ['O-O', 'O-O'], ['dxc5', 'Bxc5\n'], ['Qc2', 'Ne4'], ['Nc3', 'Nxc3'], ['bxc3', 'h6'], ['Rd1', 'Qb6'], ['Rb1', 'Qa5'], ['Nd2', 'Qc7'], ['Nb3', 'Bb4\n'], ['Bb2', 'Nd7'], ['Rxd5', 'Nb6'], ['Rd4', 'Be7'], ['c4', 'Bf6'], ['c5', 'Bxd4'], ['Nxd4', 'Nd7'], ['c6', 'bxc6\n'], ['Nxc6', 'Kh8'], ['Qd2', 'Kh7'], ['Ba3', 'Ba6'], ['Bd6', 'Qc8'], ['Bxf8', '']]",1-0
TCh-CHN,Shanghai CHN,2010.07.25,8,Wei Yi,Wang Hao,,,B72,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'g6'], ['Be3', 'a6'], ['f3', 'b5'], ['Qd2', 'Bb7\n'], ['O-O-O', 'h5'], ['Kb1', 'Nbd7'], ['Nb3', 'Rc8'], ['Bd4', 'Qc7'], ['Qf2', 'e5'], ['Be3', 'b4'], ['Nd5', 'Nxd5\n'], ['exd5', 'Bg7'], ['Bd3', 'O-O'], ['Rd2', 'Ra8'], ['Be2', 'a5'], ['Nc1', 'a4'], ['Nd3', 'Qa5'], ['Rhd1', 'Rfc8\n'], ['Qh4', 'b3'], ['Qb4', 'bxa2+'], ['Kxa2', 'Bxd5+'], ['Kb1', 'Qc7'], ['Ne1', 'Rcb8'], ['Qa3', 'Be6'], ['Qxd6', 'Qc3']]",0-1
TCh-CHN,Shanghai CHN,2010.07.26,9,Ni Hua,Wei Yi,,,B90,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Be3', 'e5'], ['Nb3', 'Be6'], ['Qd2', 'Be7\n'], ['O-O-O', 'Nbd7'], ['f4', 'Ng4'], ['g3', 'Nxe3'], ['Qxe3', 'O-O'], ['Kb1', 'b5'], ['f5', 'Bxb3'], ['cxb3', 'Nb6\n'], ['h4', 'b4'], ['Nd5', 'Nxd5'], ['Rxd5', 'a5'], ['g4', 'Qc7'], ['g5', 'a4'], ['Bc4', 'Ra5'], ['f6', 'Bd8'], ['h5', 'Rxd5\n'], ['Bxd5', 'axb3'], ['Bxb3', 'Qb6'], ['Qf3', 'Kh8'], ['fxg7+', 'Kxg7'], ['g6', 'Bg5'], ['gxf7', 'Qe3'], ['Qxe3', 'Bxe3\n'], ['Kc2', '']]",1-0
TCh-CHN,Shanghai CHN,2010.07.26,9,Ni Hua,Wei Yi,,,B90,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Be3', 'e5'], ['Nb3', 'Be6'], ['Qd2', 'Be7\n'], ['O-O-O', 'Nbd7'], ['f4', 'Ng4'], ['g3', 'Nxe3'], ['Qxe3', 'O-O'], ['Kb1', 'b5'], ['f5', 'Bxb3'], ['cxb3', 'Nb6\n'], ['h4', 'b4'], ['Nd5', 'Nxd5'], ['Rxd5', 'a5'], ['g4', 'Qc7'], ['g5', 'a4'], ['Bc4', 'Ra5'], ['f6', 'Bd8'], ['h5', 'Rxd5\n'], ['Bxd5', 'axb3'], ['Bxb3', 'Qb6'], ['Qf3', 'Kh8'], ['fxg7+', 'Kxg7'], ['g6', 'Bg5'], ['gxf7', 'Qe3'], ['Qxe3', 'Bxe3\n'], ['Kc2', 'h6'], ['Bd5', 'Rb8'], ['Rh3', 'Bf4'], ['a4', 'bxa3'], ['bxa3', 'Kf8'], ['a4', 'Rc8+'], ['Rc3', '']]",1-0
TCh-CHN,Guangzhou CHN,2010.09.11,11,Liang Jinrong,Wei Yi,,,B55,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['f3', 'e5'], ['Nb3', 'd5'], ['Bg5', 'Be6'], ['Bxf6', 'gxf6\n'], ['Bb5+', 'Nc6'], ['exd5', 'Qxd5'], ['Qxd5', 'Bxd5'], ['Nc3', 'O-O-O'], ['Nxd5', 'Rxd5'], ['Bc4', 'Rd7\n'], ['c3', 'Bh6'], ['Rd1', 'Rhd8'], ['Ke2', 'f5'], ['Rxd7', 'Rxd7'], ['Rd1', 'Re7'], ['Rd6', 'Bg7'], ['Bb5', 'Kc7\n'], ['Rd5', 'Nd8'], ['Bd3', 'e4'], ['Bc2', 'Be5'], ['g3', 'f4'], ['Bxe4', 'fxg3'], ['hxg3', 'Bxg3'], ['Rh5', 'Ne6\n'], ['Rxh7', 'Bd6'], ['Ke3', 'a6'], ['a4', 'Ng5'], ['Rh5', 'Re5'], ['Nd4', 'Nxf3'], ['Rxe5', 'Nxe5'], ['Bd5', 'Nc6\n'], ['Nf5', 'Ne7'], ['Nxe7', 'Bxe7'], ['Bxf7', 'a5'], ['Kd3', 'b6']]",1-0
