Paris it,Paris,1867.??.??,?,"Loyd, Sam","Winawer, Szymon",,,C42,"[['e4', 'e5'], ['Nf3', 'Nf6'], ['Nxe5', 'd6'], ['Nf3', 'Nxe4'], ['d3', 'Nf6'], ['Be2', 'Be6'], ['O-O', 'Be7'], ['b3', 'O-O\n'], ['Bb2', 'Nc6'], ['h3', 'Nd5'], ['c4', 'Nf4'], ['Nbd2', 'Bf5'], ['Ne4', 'Bxe4'], ['dxe4', 'Bf6'], ['Qd2', 'Bxb2\n'], ['Qxb2', 'Qf6'], ['Qd2', 'Ne5'], ['Rad1', 'Nxf3+'], ['Bxf3', 'Nxh3+'], ['gxh3', 'Qxf3'], ['Qd3', 'Qf4\n'], ['Rfe1', 'Rae8'], ['Qe3', 'Qh4'], ['Qg3', 'Qxg3+'], ['fxg3', 'Re5'], ['Rd5', 'Rfe8'], ['Rxe5', 'Rxe5\n'], ['g4', 'g6'], ['Kf2', 'Kg7'], ['Kf3', 'a5'], ['Kf4', 'Kf6'], ['h4', 'Ke6'], ['a3', 'h6'], ['Re2', 'Rc5'], ['a4', 'c6\n'], ['Ra2', 'b5'], ['axb5', 'cxb5'], ['Rxa5', 'bxc4'], ['Rxc5', 'dxc5'], ['bxc4', 'g5+'], ['hxg5', 'hxg5+\n'], ['Kxg5', 'Ke5'], ['Kh6', 'Kxe4'], ['Kg7', 'f5']]",0-1
Paris it,Paris,1867.??.??,?,"Steinitz, William","Winawer, Szymon",,,C01,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Bb4'], ['exd5', 'exd5'], ['Bd3', 'Be6'], ['Nf3', 'h6'], ['O-O', 'Bxc3'], ['bxc3', 'Nd7\n'], ['Rb1', 'Nb6'], ['Ne5', 'Ne7'], ['f4', 'Bf5'], ['Bxf5', 'Nxf5'], ['Ba3', 'Nd6'], ['f5', 'Ne4'], ['f6', 'g6\n'], ['Qg4', 'Qc8'], ['Qxg6', 'Qe6'], ['Qg7', 'O-O-O'], ['Nxf7', 'Nxc3'], ['Nxd8', 'Rxd8'], ['f7', 'Nd7'], ['Rbe1', 'Ne2+\n'], ['Kh1', 'c5'], ['Bxc5', 'Qe4'], ['f8=Q', 'Nxf8'], ['Rxf8', 'Ng3+'], ['Qxg3', 'Rxf8'], ['Bxf8', '']]",1-0
Paris it,Paris,1867.??.??,?,"Kolisch, Ignatz","Winawer, Szymon",,,C42,"[['e4', 'e5'], ['Nf3', 'Nf6'], ['Nxe5', 'd6'], ['Nf3', 'Nxe4'], ['d4', 'd5'], ['Bd3', 'Bd6'], ['O-O', 'O-O'], ['c4', 'Be6\n'], ['cxd5', 'Bxd5'], ['Nc3', 'Nxc3'], ['bxc3', 'h6'], ['c4', 'Bxf3'], ['Qxf3', 'Nc6'], ['Bb2', 'Qh4'], ['g3', 'Qf6\n'], ['Qxf6', 'gxf6'], ['Rae1', 'Rfe8'], ['Re3', 'Rxe3'], ['fxe3', 'Kg7'], ['Rf5', 'Re8'], ['Rf3', 'b6'], ['Kf2', 'Ne7\n'], ['e4', 'Ng6'], ['h4', 'c5'], ['h5', 'Nf8'], ['Ba3', 'Ne6'], ['d5', 'Ng5'], ['Re3', 'Be5'], ['Re2', 'Nh7'], ['Bc1', 'Nf8\n'], ['Bc2', 'a6'], ['Ba4', 'Rb8'], ['Bf4', 'b5'], ['Bxe5', 'fxe5'], ['cxb5', 'axb5'], ['Rb2', 'b4'], ['Bc6', 'c4\n'], ['Ke2', 'Kf6'], ['a3', 'b3'], ['Kd2', 'Nh7'], ['Kc3', 'Ng5'], ['Kxc4', 'Nxe4'], ['a4', 'Nd6+'], ['Kc3', 'Ne4+\n'], ['Kd3', 'Rb4'], ['a5', 'Rd4+'], ['Ke3', 'Nc5'], ['a6', 'Nxa6'], ['Rxb3', 'Nb4'], ['Rb1', 'Nxd5+'], ['Bxd5', 'Rxd5\n'], ['Rb7', 'Ra5'], ['Rc7', 'Ra6'], ['Rb7', 'Ke6'], ['g4', 'Ra3+'], ['Ke4', 'Ra4+'], ['Kf3', 'Ra6'], ['Ke4', 'Kf6\n'], ['Rb8', 'Ra4+'], ['Kf3', 'Kg5'], ['Rg8+', 'Kh4'], ['Rh8', 'Rf4+'], ['Ke3', 'Rxg4'], ['Rxh6', 'Kg5']]",0-1
Paris it,Paris,1867.??.??,?,"Rosenthal, Samuel","Winawer, Szymon",,,C45,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['d4', 'exd4'], ['Nxd4', 'Qh4'], ['Nb5', 'Bc5'], ['Qe2', 'Bb6'], ['Be3', 'Ba5+'], ['Bd2', 'Bxd2+\n'], ['Nxd2', 'Qd8'], ['O-O-O', 'a6'], ['Nc3', 'd6'], ['f4', 'Nge7'], ['f5', 'Ne5'], ['Nf3', 'Nxf3'], ['Qxf3', 'Nc6\n'], ['h4', 'Bd7'], ['Bc4', 'Ne5'], ['Qe2', 'Nxc4'], ['Qxc4', 'O-O'], ['g4', 'b5'], ['Qd4', 'Bc6'], ['g5', 'Rb8\n'], ['Rhe1', 'Re8'], ['e5', 'dxe5'], ['Qc5', 'Bd7'], ['Qd5', 'Bxf5'], ['Rxe5', 'Qxd5'], ['Rxe8+', 'Rxe8\n'], ['Nxd5', 'Kf8'], ['Nxc7', 'Rc8'], ['Rd5', 'Bxc2'], ['Rc5', 'Bf5'], ['Nxa6', 'Rxc5+'], ['Nxc5', 'Ke7\n'], ['Kd2', 'Kd6'], ['b4', 'Ke5'], ['Ke3', 'Kd5'], ['a3', 'Kc4'], ['Kf4', 'Bg6'], ['Ke5', 'Kc3'], ['Kd5', 'Kb2\n'], ['a4', 'bxa4'], ['b5', 'a3'], ['b6', 'a2'], ['b7', 'a1=Q'], ['b8=Q+', '']]",1/2-1/2
Baden-Baden,Baden-Baden,1870.??.??,1,"De Vere, Cecil Valentine","Winawer, Szymon",,,C65,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'Nf6'], ['d3', 'Bc5'], ['O-O', 'Qe7'], ['Bg5', 'h6'], ['Bh4', 'g5'], ['Bg3', 'Nh5\n'], ['Bxe5', 'Nxe5'], ['Nxe5', 'Qxe5'], ['Qxh5', 'Qxb2'], ['Bc4', 'Qxa1'], ['c3', 'Rf8'], ['Qe2', 'b5'], ['Bb3', 'a5\n'], ['e5', 'a4'], ['Bd5', 'c6'], ['Bf3', 'a3'], ['e6', 'fxe6'], ['d4', 'Be7'], ['d5', 'Rxf3'], ['Qxf3', 'Qxa2']]",0-1
Baden-Baden,Baden-Baden,1870.??.??,2,"Winawer, Szymon","De Vere, Cecil Valentine",,,C15,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Bb4'], ['Bd3', 'dxe4'], ['Bxe4', 'c5'], ['Ne2', 'cxd4'], ['Nxd4', 'Bxc3+'], ['bxc3', 'Qa5\n'], ['Qf3', 'Nf6'], ['Bxb7', 'Bxb7'], ['Qxb7', 'Qxc3+'], ['Ke2', 'Qxd4'], ['Qxa8', 'O-O'], ['Rb1', 'Qc4+\n'], ['Ke1', 'Nc6'], ['Qb7', 'Nd4']]",0-1
Baden-Baden,Baden-Baden,1870.??.??,3,"Winawer, Szymon","Rosenthal, Samuel",,,A00,"[['d4', '']]",1-0
Baden-Baden,Baden-Baden,1870.??.??,4,"Rosenthal, Samuel","Winawer, Szymon",,,C80,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'b5'], ['Bb3', 'Nxe4'], ['d4', 'd5'], ['dxe5', 'Be6\n'], ['a4', 'Rb8'], ['axb5', 'axb5'], ['Nbd2', 'Nxd2'], ['Bxd2', 'Be7'], ['h3', 'O-O'], ['c3', 'Qd7'], ['Qe2', 'Nd8\n'], ['Nd4', 'c5'], ['Nxe6', 'fxe6'], ['f4', 'c4'], ['Bc2', 'Bc5+'], ['Kh1', 'g6'], ['g4', 'Kh8'], ['Rf3', 'Nc6\n'], ['Raf1', 'd4'], ['Be4', 'd3'], ['Qh2', 'Ne7'], ['h4', 'h5'], ['f5', 'exf5'], ['gxf5', 'Nxf5'], ['Bxf5', 'Rxf5\n'], ['Rxf5', 'gxf5'], ['Qf4', 'Qc6+'], ['Rf3', 'Rg8'], ['Qxf5', 'Rg3'], ['Qxh5+', 'Kg8'], ['Qf7+', 'Kh8\n'], ['Qh5+', 'Kg7'], ['Qf7+', 'Kh8']]",1/2-1/2
Baden-Baden,Baden-Baden,1870.??.??,5,"Von Minckwitz, Johannes","Winawer, Szymon",,,E48,"[['d4', 'd5'], ['c4', 'e6'], ['e3', 'Nf6'], ['Nc3', 'Bb4'], ['Bd3', 'O-O'], ['Ne2', 'c5'], ['O-O', 'a6'], ['a3', 'Bxc3\n'], ['bxc3', 'dxc4'], ['Bxc4', 'b5'], ['Bd3', 'c4'], ['Bc2', 'Bb7'], ['Ng3', 'Nd5'], ['Bd2', 'f5'], ['e4', 'fxe4\n'], ['Nxe4', 'Nf4'], ['Qg4', 'h5'], ['Qd1', 'Qd5'], ['Bxf4', 'Rxf4'], ['f3', 'Nd7'], ['Nf2', 'Qd6'], ['Be4', 'Bd5\n'], ['Bxd5', 'Qxd5'], ['Nh3', 'Rf5'], ['f4', 'Raf8'], ['Qe2', 'Nf6'], ['Rfe1', 'Re8'], ['g3', 'Qd6'], ['Ng5', 'g6\n'], ['Ne4', 'Nxe4'], ['Qxe4', 'Qd5'], ['Qxd5', 'Rxd5'], ['h4', 'Kf7'], ['Kf2', 'a5'], ['Rab1', 'Rb8'], ['Ke3', 'Kf6\n'], ['Ke4', 'b4'], ['Rec1', 'Rdb5'], ['cxb4', 'axb4'], ['axb4', 'Rxb4'], ['Ra1', 'Rd8'], ['Rc3', 'Rb3'], ['Rac1', 'Ra8\n'], ['Rxc4', 'Raa3'], ['Re1', 'Rxg3']]",0-1
Baden-Baden,Baden-Baden,1870.??.??,6,"Winawer, Szymon","Von Minckwitz, Johannes",,,C48,"[['e4', 'e5'], ['Nc3', 'Nc6'], ['Nf3', 'Nf6'], ['Bb5', 'd6'], ['Bxc6+', 'bxc6'], ['h3', 'Be7'], ['O-O', 'c5'], ['d3', 'O-O\n'], ['b3', 'Ne8'], ['g4', 'h5'], ['Ne1', 'hxg4'], ['hxg4', 'Bg5'], ['Ng2', 'Bxc1'], ['Rxc1', 'Qg5'], ['f3', 'g6\n'], ['Kf2', 'Nf6'], ['Ne3', 'Kg7'], ['Rh1', 'Bd7'], ['Ne2', 'Rh8'], ['Qd2', 'Nh7'], ['Rh3', 'Be6'], ['Rch1', 'Qe7\n'], ['f4', 'exf4'], ['Nxf4', 'Ng5'], ['Qc3+', '']]",1-0
