Wch U10,Menorca,1996.??.??,3,"Grachev, Boris","Wojtaszek, Radoslaw",,,A47,"[['d4', 'Nf6'], ['Nf3', 'b6'], ['Bf4', 'Bb7'], ['e3', 'e6'], ['Bd3', 'Be7'], ['h3', 'd6'], ['O-O', 'Nbd7'], ['Bh2', 'Ne4\n'], ['Nfd2', 'Nxd2'], ['Nxd2', 'O-O'], ['e4', 'c5'], ['c3', 'e5'], ['dxe5', 'dxe5'], ['Nc4', 'Bf6'], ['Qg4', 'Qe7\n'], ['Ne3', 'Rfe8'], ['Bc4', 'Rac8'], ['Nf5', '']]",1-0
Wch U10,Menorca,1996.??.??,5,"Wojtaszek, Radoslaw","Filippov, Anton",,,E14,"[['d4', 'Nf6'], ['Nf3', 'e6'], ['e3', 'b6'], ['Bd3', 'Bb7'], ['Nbd2', 'd5'], ['O-O', 'Be7'], ['b3', 'O-O'], ['Bb2', 'c5\n'], ['c4', 'Nbd7'], ['Rc1', 'Ne4'], ['Bb1', 'f5'], ['Ne1', 'Bd6'], ['f4', 'Ndf6'], ['Nxe4', 'fxe4'], ['g3', 'Qd7\n'], ['Ng2', 'a5'], ['a4', 'Bc6'], ['Bc2', 'Be7'], ['Nh4', 'Ne8'], ['Ng2', 'Nd6'], ['cxd5', 'exd5'], ['g4', 'Nf7']]",1/2-1/2
Wch U10,Menorca,1996.??.??,6,"Vaznonis, Vytautas","Wojtaszek, Radoslaw",,,E28,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['e3', 'O-O'], ['a3', 'Bxc3+'], ['bxc3', 'b6'], ['Nf3', 'Ba6'], ['Bd3', 'd6\n'], ['O-O', 'Re8'], ['e4', 'e5'], ['Bg5', 'h6'], ['Bxf6', 'Qxf6'], ['Qa4', 'Qe7'], ['Rab1', 'Rd8'], ['Rfe1', 'Bb7\n'], ['Qc2', 'Nd7'], ['Nd2', 'a5'], ['Re3', 'Re8'], ['Rbe1', 'Rad8'], ['Rg3', 'Kh8'], ['Nf1', 'g6'], ['Qd2', 'Kh7\n'], ['Rh3', 'Qf8'], ['Ree3', 'Nf6'], ['Ref3', 'Nh5'], ['Ng3', 'Nf4'], ['Rh4', 'g5'], ['Rh5', 'Bc8'], ['h3', 'f6\n'], ['Kh2', 'Qe7']]",0-1
Wch U10,Menorca,1996.??.??,7,"Chaparinov, Ivan","Wojtaszek, Radoslaw",,,E44,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['e3', 'O-O'], ['Ne2', 'b6'], ['a3', 'Be7'], ['Ng3', 'd5'], ['cxd5', 'exd5\n'], ['Bd3', 'Re8'], ['O-O', 'c5'], ['Bb5', 'Bd7'], ['Be2', 'Be6'], ['Bf3', 'Nc6'], ['Nce2', 'c4'], ['Bd2', 'Rc8\n'], ['Nf4', 'Bd6'], ['Nxe6', 'fxe6'], ['Qc2', 'b5'], ['Be2', 'a5'], ['f4', 'Qe7'], ['Nh5', 'Ne4'], ['Bf3', 'Nxd2\n'], ['Qxd2', 'b4'], ['f5', 'bxa3'], ['f6', 'gxf6'], ['e4', 'Nb4'], ['exd5', 'axb2'], ['Qxb2', 'c3'], ['Qc1', '']]",0-1
Wch U10,Menorca,1996.??.??,8,"Wojtaszek, Radoslaw","Erwich, Marc",,,D02,"[['d4', 'd5'], ['Nf3', 'Nf6'], ['Bf4', 'Nbd7'], ['e3', 'g6'], ['Nbd2', 'Bg7'], ['Be2', 'O-O'], ['h3', 'b6'], ['O-O', 'Bb7\n'], ['Ne5', 'c5'], ['c3', 'Nxe5'], ['Bxe5', 'Nd7'], ['Bxg7', 'Kxg7'], ['Bf3', 'e5'], ['dxe5', 'Nxe5'], ['Qe2', 'a5\n'], ['c4', 'Ba6'], ['b3', 'Nxf3+'], ['Nxf3', 'Qf6'], ['Rfd1', 'Rfe8'], ['Qc2', 'dxc4'], ['bxc4', 'Rad8'], ['Rac1', 'Bb7\n'], ['Ne1', 'h6'], ['Qb3', 'Ba6'], ['Nd3', 'g5'], ['Nb2', 'Qe6'], ['Rd3', 'Rxd3'], ['Qxd3', 'Bb7'], ['Rd1', 'Qf6\n'], ['Rd2', 'Be4'], ['Qd6', 'Re6'], ['Qd8', 'Qxd8'], ['Rxd8', 'Bc2'], ['Kf1', '']]",1/2-1/2
Wch U10,Menorca,1996.??.??,9,"Yakimov, V.","Wojtaszek, Radoslaw",,,B13,"[['e4', 'c6'], ['d4', 'd5'], ['exd5', 'cxd5'], ['c4', 'Nf6'], ['Nc3', 'Nc6'], ['Bf4', 'Bf5'], ['Nf3', 'e6'], ['c5', 'Ne4\n'], ['Be2', 'Be7'], ['O-O', 'O-O'], ['Ne5', 'Bg5'], ['Nxc6', 'bxc6'], ['Be5', 'Nxc3'], ['bxc3', 'f6'], ['Bd6', 'Rf7\n'], ['g4', 'Be4'], ['f3', 'Be3+'], ['Kh1', 'Bg6'], ['f4', 'Be4+'], ['Bf3', 'e5'], ['Bxe4', 'dxe4'], ['fxe5', 'Bg5\n'], ['Qb3', 'Qc8'], ['e6', 'Rb7'], ['Qc4', 'h5'], ['e7+', 'Kh7'], ['Qf7', 'Qxg4'], ['e8=Q', 'Rxe8'], ['Qxb7', 'e3\n'], ['Qb1+', 'Kh8'], ['Qg6', 'Qe4+'], ['Qxe4', 'Rxe4'], ['Rae1', 'Kg8'], ['Kg2', 'Kf7'], ['Kf3', 'f5'], ['Ke2', 'Kf6\n'], ['Be5+', '']]",1-0
Wch U10,Menorca,1996.??.??,10,"Wojtaszek, Radoslaw",Dong Viet Thang,,,D02,"[['d4', 'd5'], ['Nf3', 'Nf6'], ['Bf4', 'Bf5'], ['e3', 'e6'], ['c4', 'Bxb1'], ['Rxb1', 'Bb4+'], ['Ke2', 'dxc4'], ['Qa4+', 'Nc6\n'], ['Ne5', 'Nd5'], ['Nxc6', 'Qd7'], ['Bg3', 'a5'], ['a3', 'Bd6'], ['Qxc4', 'Qxc6'], ['Qxc6+', 'bxc6'], ['Rc1', 'Rb8\n'], ['Rc2', 'Kd7'], ['Kf3', 'Nb6'], ['Be2', 'Na4'], ['Rhc1', 'Nxb2'], ['Rxc6', 'Ke7'], ['Bxd6+', 'cxd6'], ['Rc7+', 'Kf6\n'], ['Ra7', 'a4'], ['Rcc7', 'Rhf8'], ['Rab7', 'Kg6'], ['Kg3', 'd5'], ['Rxf7', 'Rxf7'], ['Rxb8', 'Nc4'], ['Bxc4', 'dxc4\n'], ['Rb4', 'Ra7'], ['Rxc4', 'Kf6'], ['Kf4', 'Ra5'], ['h4', 'Ra6']]",1-0
Wch U10,Menorca,1996.??.??,11,"Wojtaszek, Radoslaw","Guseinov, Kadir",,,A41,"[['d4', 'd6'], ['Nf3', 'Bg4'], ['Bf4', 'Bxf3'], ['exf3', 'Nf6'], ['Bd3', 'g6'], ['O-O', 'Bg7'], ['c3', 'O-O'], ['Qc1', 'e5\n'], ['Be3', 'exd4'], ['Bxd4', 'Nc6'], ['Be3', 'Qd7'], ['Bh6', 'Rfe8'], ['Bxg7', 'Kxg7'], ['Nd2', 'Ne5'], ['Qc2', 'Nxd3\n'], ['Qxd3', 'Qe6'], ['Nb3', 'Re7'], ['Nd4', 'Qd7'], ['Rfe1', 'Rae8'], ['Kf1', 'Rxe1+'], ['Rxe1', 'Rxe1+\n'], ['Kxe1', 'a6'], ['a3', 'c5'], ['Nc2', 'Qe6+'], ['Kd2', 'Kf8'], ['b4', 'Ke7'], ['Qe3', 'b6'], ['g3', 'Kd7\n'], ['Qxe6+', 'fxe6'], ['Ne3', 'd5'], ['Ng4', 'Nxg4'], ['fxg4', 'e5'], ['f4', 'Ke6'], ['Ke3', 'h6'], ['a4', 'cxb4\n'], ['cxb4', 'Kf6'], ['Kd3', 'Ke6'], ['Ke3', 'Kf6']]",1/2-1/2
EU-ch U10,Rimavska Sobota,1996.??.??,1,"Murariu, Andrei","Wojtaszek, Radoslaw",,,A08,"[['e4', 'e6'], ['d3', 'c5'], ['Nf3', 'Nc6'], ['g3', 'd5'], ['Nbd2', 'Nf6'], ['Bg2', 'Be7'], ['O-O', 'O-O'], ['Re1', 'Re8\n'], ['c3', 'Qc7'], ['Nf1', 'Rd8'], ['e5', 'Nd7'], ['Bf4', 'b6'], ['h4', 'Bb7'], ['N1h2', 'c4'], ['d4', 'b5'], ['Ng4', 'a5\n'], ['Qc2', 'b4'], ['Bg5', 'Nf8'], ['Qd2', 'a4'], ['Bf6', 'bxc3'], ['bxc3', 'gxf6'], ['exf6', 'h5'], ['Qg5+', 'Ng6\n'], ['Qxh5', 'Bxf6'], ['Nxf6+', 'Kg7'], ['Qg5', 'Qe7'], ['Nh5+', 'Kh7'], ['Rab1', 'Rab8'], ['Qxe7', 'Ngxe7\n'], ['Ne5', 'Nxe5'], ['Rxe5', 'Bc6'], ['Ree1', 'a3'], ['Nf6+', 'Kg7'], ['Ng4', 'Nf5'], ['Ne5', 'Ba4'], ['Bf3', 'Ne7\n'], ['Rec1', 'Rb2'], ['Ra1', 'Rdb8'], ['Re1', 'Bc2'], ['Nd7', 'R8b7'], ['Nc5', 'R7b5'], ['Rec1', 'Rb1'], ['Na6', 'Nc6\n'], ['Bd1', 'Rxa1'], ['Rxa1', 'Rb1'], ['Rxb1', 'Bxb1'], ['Ba4', 'Na7'], ['Nb4', 'f6'], ['f4', 'Kf8'], ['Kf2', 'Bg6\n'], ['g4', 'Be8'], ['Bxe8', 'Kxe8'], ['Ke3', 'Nb5'], ['Kd2', 'Nd6'], ['g5', 'Ne4+'], ['Kc2', 'fxg5'], ['fxg5', 'Kf7\n'], ['Nc6', 'Kg6'], ['Ne5+', 'Kh5'], ['g6', 'Nf6'], ['g7', 'Kh6'], ['Ng4+', 'Kxg7'], ['Nxf6', 'Kxf6'], ['Kd2', 'Kf5\n'], ['Ke2', 'Kg4'], ['Ke3', 'Kf5'], ['Kf3', 'e5'], ['dxe5', 'Kxe5'], ['Ke3', 'd4+'], ['cxd4+', 'Kd5'], ['h5', 'c3\n'], ['h6', 'c2'], ['Kd2', 'Kxd4'], ['h7', 'Kd5'], ['h8=Q', 'Kd6'], ['Kxc2', 'Kd5'], ['Qh4', 'Ke5'], ['Qg4', 'Kd5\n'], ['Qf4', 'Kc5'], ['Qe4', 'Kd6'], ['Qf5', 'Kc6'], ['Qe5', 'Kb6'], ['Qd5', 'Ka6'], ['Qc5', 'Kb7'], ['Qd6', 'Ka7\n'], ['Qc6', 'Kb8'], ['Qd7', 'Ka8'], ['Kc3', 'Kb8'], ['Kb4', 'Ka8'], ['Kb5', 'Kb8'], ['Kb6', 'Ka8'], ['Qa7+', '']]",1-0
EU-ch U10,Rimavska Sobota,1996.??.??,3,"Wojtaszek, Radoslaw","Berta, P.",,,D02,"[['d4', 'd5'], ['Nf3', 'Nc6'], ['Bg5', 'Bf5'], ['e3', 'Qd7'], ['c4', 'O-O-O'], ['Nc3', 'dxc4'], ['Bxc4', 'f6'], ['Bf4', 'Qe8\n'], ['Qa4', 'e5'], ['dxe5', 'fxe5'], ['Bg5', 'Rd7'], ['O-O', 'h6'], ['Bh4', 'g5'], ['Bg3', 'Kb8'], ['Bb5', 'Rd6\n'], ['Nxe5', 'Ka8'], ['Nxc6', 'bxc6'], ['Bxd6', 'cxb5'], ['Nxb5', 'Kb8'], ['Qxa7+', 'Kc8'], ['Qxc7+', '']]",1-0
EU-ch U10,Rimavska Sobota,1996.??.??,4,"Meszaros, Matyas","Wojtaszek, Radoslaw",,,B12,"[['e4', 'c6'], ['d4', 'd5'], ['e5', 'Bf5'], ['Nf3', 'e6'], ['Be2', 'c5'], ['c3', 'Nc6'], ['O-O', 'Qb6'], ['h3', 'cxd4'], ['cxd4', 'Rc8\n'], ['a3', 'f6'], ['exf6', 'Nxf6'], ['Nc3', 'Bd6'], ['Re1', 'O-O'], ['Bf1', 'Ne4'], ['Nxe4', 'Bxe4'], ['Ng5', 'e5\n'], ['dxe5', 'Qxf2+'], ['Kh1', 'Bc5'], ['Bb5', 'Qxg2+']]",0-1
