Berlin,Berlin,1862.??.??,?,"Holdheim, O.","Wolff, Patrick G",,,C26,"[['e4', 'e5'], ['Nc3', 'Bc5'], ['Bc4', 'Nf6'], ['f4', 'Bxg1'], ['Rxg1', 'exf4'], ['e5', 'Qe7'], ['Kf2', 'Qc5+'], ['d4', 'Qxc4\n'], ['exf6', 'g5'], ['Re1+', 'Kd8'], ['g3', 'fxg3+'], ['hxg3', 'Nc6'], ['Bxg5', 'Nxd4'], ['Re4', 'c5'], ['Be3', 'd5\n'], ['Bxd4', 'dxe4'], ['Bxc5+', 'Bd7'], ['Qd6', 'Qe6'], ['Qe7+', 'Qxe7'], ['fxe7+', 'Kc7'], ['Nxe4', 'b6\n'], ['Bd6+', 'Kb7'], ['Be5', 'Bc6'], ['Nd6+', 'Ka6'], ['Bxh8', 'Rxh8'], ['Re1', 'Be8'], ['Kf3', 'b5'], ['Kf4', 'Kb6\n'], ['Kf5', 'Kc6'], ['Nxe8', 'Rxe8'], ['Kf6', '']]",1-0
Wch U20,Copenhagen,1982.??.??,1,"Garbarino, Rodolfo","Wolff, Patrick G",,,C07,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'a6'], ['Ngf3', 'c5'], ['dxc5', 'Bxc5'], ['Bd3', 'Nf6'], ['Qe2', 'O-O'], ['O-O', 'Nc6\n'], ['a3', 'Re8'], ['e5', 'Nd7'], ['b4', 'Be7'], ['c4', 'f6'], ['exf6', 'Bxf6'], ['Rb1', 'Nce5'], ['Bc2', 'Qc7\n'], ['Bb3', 'Nxf3+'], ['Nxf3', 'd4'], ['Bb2', 'b6'], ['Bxd4', 'Bb7'], ['Rbd1', 'Kh8'], ['Ba4', 'Re7'], ['Bxd7', 'Bxd4\n'], ['Rxd4', 'Rxd7'], ['Qxe6', 'Rf7'], ['Ne5', 'Rf6'], ['Qd7', 'Qxe5'], ['Qxb7', 'Raf8'], ['Qe4', 'Qg5'], ['f4', 'Qg4\n'], ['g3', 'h5'], ['f5', 'Qg5'], ['Qf4', 'Qxf4'], ['Rdxf4', 'g6'], ['fxg6', '']]",1-0
Wch U20,Copenhagen,1982.??.??,2,"Wolff, Patrick G","Hjartarson, Johann",,,B85,"[['e4', 'c5'], ['Nf3', 'e6'], ['Nc3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'a6'], ['Be3', 'Qc7'], ['Be2', 'Nf6'], ['O-O', 'Be7\n'], ['f4', 'd6'], ['Bf3', 'O-O'], ['Qe1', 'Nxd4'], ['Bxd4', 'e5'], ['Be3', 'Re8'], ['Rd1', 'b5'], ['a3', 'Bb7\n'], ['f5', 'Rad8'], ['Qf2', 'd5'], ['exd5', 'e4'], ['Bb6', 'Qe5'], ['Bxd8', 'Bxd8'], ['Nxe4', 'Nxe4'], ['Bxe4', 'Qxb2\n'], ['Qf3', 'Ba5'], ['Qd3', 'Qe5'], ['Bf3', 'Qd6'], ['Kh1', 'Bc7'], ['g3', 'Ba5'], ['Bg2', 'h5'], ['Rf4', 'Bb6\n'], ['f6', 'g6'], ['Qc3', 'Re2'], ['Bf3', 'Re3'], ['Qd2', 'h4'], ['Re1', 'Qe5'], ['Be4', 'Rxe1+'], ['Qxe1', 'hxg3\n'], ['hxg3', 'Bxd5'], ['Rh4', 'Bd8'], ['Qb4', 'Bxf6'], ['Rf4', 'Be7'], ['Qe1', 'Kg7'], ['c4', 'bxc4'], ['Qb1', 'g5\n'], ['Bxd5', 'gxf4'], ['Bxc4', 'f3'], ['Qg1', 'Bc5']]",0-1
Wch U20,Copenhagen,1982.??.??,3,Ziad,"Wolff, Patrick G",,,C03,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'f5'], ['exf5', 'exf5'], ['Ngf3', 'Bd6'], ['Be2', 'Nf6'], ['O-O', 'O-O'], ['c4', 'c6\n'], ['b3', 'Nbd7'], ['Bb2', 'Re8'], ['cxd5', 'cxd5'], ['Bb5', 'Ne4'], ['a3', 'Re6'], ['Bxd7', 'Bxd7'], ['Nxe4', 'fxe4\n'], ['Ne5', 'Bb5'], ['Re1', 'Rh6'], ['Bc1', 'Re6'], ['Bf4', '']]",1/2-1/2
Wch U20,Copenhagen,1982.??.??,4,"Wolff, Patrick G","Martinez, Carlos",,,B40,"[['e4', 'c5'], ['Nf3', 'a6'], ['c4', 'e6'], ['Nc3', 'Nc6'], ['Be2', 'Qc7'], ['O-O', 'Be7'], ['d4', 'cxd4'], ['Nxd4', 'Nf6\n'], ['Be3', 'O-O'], ['a3', 'Rd8'], ['Nc2', 'Na5'], ['Na4', 'Nb3'], ['Bb6', 'Qc6'], ['Bxd8', 'Bxd8'], ['Nc3', 'Nxa1\n'], ['Nb4', 'Qc7'], ['Qxa1', '']]",1/2-1/2
Wch U20,Copenhagen,1982.??.??,5,"Manne, P.","Wolff, Patrick G",,,C01,"[['d4', 'd5'], ['c4', 'e5'], ['e3', 'exd4'], ['exd4', 'Nc6'], ['cxd5', 'Qxd5'], ['Be3', 'Be6'], ['Nc3', 'Qa5'], ['a3', 'O-O-O\n'], ['b4', 'Qf5'], ['Nf3', 'Nf6'], ['Bd3', 'Qg4'], ['h3', 'Qh5'], ['Qa4', 'Kb8'], ['b5', 'Ne7'], ['d5', 'Nfxd5\n'], ['Bxa7+', 'Kc8'], ['Ne2', 'Nc3'], ['Nxc3', 'Rxd3'], ['Bd4', 'Rxf3'], ['gxf3', 'Qxf3'], ['Kd2', 'Nf5\n'], ['Kc2', 'Be7'], ['Rhd1', 'b6'], ['Be3', 'Kb8'], ['Qf4', 'Qg2'], ['Bxb6', 'Bd6'], ['Rxd6', 'Nxd6'], ['Be3', 'Bf5+\n'], ['Kb2', 'Re8'], ['Re1', 'g5'], ['Qa4', 'Be6'], ['Ka1', 'Nc4'], ['b6', 'Re7'], ['bxc7+', 'Rxc7'], ['Rb1+', 'Rb7\n'], ['Ba7+', 'Kc7'], ['Nb5+', 'Kd8'], ['Rd1+', 'Ke7'], ['Bc5+', 'Kf6'], ['Bd4+', 'Kg6'], ['Qa8', 'Qe4'], ['a4', 'Qc2\n'], ['Rg1', 'f6'], ['h4', 'Rb8'], ['Qa7', 'Ne5'], ['Bb2', 'Qb3'], ['Kb1', 'Rc8'], ['Nc7', 'Bf5+'], ['Ka1', 'Rxc7\n'], ['Qd4', 'Rc4'], ['Rxg5+', 'fxg5'], ['Qd6+', 'Kh5']]",0-1
Wch U20,Copenhagen,1982.??.??,6,"Wolff, Patrick G","Condie, Mark L",,,B18,"[['e4', 'c6'], ['Nc3', 'd5'], ['d4', 'dxe4'], ['Nxe4', 'Bf5'], ['Bd3', 'e6'], ['Nf3', 'Nd7'], ['Qe2', 'Bxe4'], ['Bxe4', 'Ngf6\n'], ['Bd3', 'Bd6'], ['O-O', 'O-O'], ['Ne5', 'Qc7'], ['f4', 'g6'], ['Bd2', 'c5'], ['c3', 'Rfe8'], ['Rae1', 'Rad8\n'], ['Kh1', 'a6'], ['Rf3', 'b5'], ['Rh3', 'cxd4'], ['cxd4', 'Bf8'], ['Qf3', 'Qd6'], ['Qg3', 'Bg7'], ['a3', 'Nf8\n'], ['Ba5', 'Rc8'], ['Qf2', 'Qd5'], ['Bc3', 'Re7'], ['Qd2', 'Ra7'], ['Rhe3', 'N8d7'], ['Rc1', 'Nb6'], ['Be2', 'Rac7\n'], ['Bf3', 'Qd6'], ['Ree1', 'Nfd5'], ['Ba5', 'Rxc1'], ['Rxc1', 'Nc4'], ['Nxc4', 'bxc4'], ['Bxd5', 'Qxd5\n'], ['Bc3', 'h5'], ['h3', 'Bh6'], ['Rd1', 'Qe4'], ['Qf2', 'Qxf4'], ['Qxf4', 'Bxf4'], ['d5', 'Rd8'], ['d6', 'Rxd6\n'], ['Rxd6', 'Bxd6'], ['Kg1', 'Bc5+'], ['Kf1', 'Kh7'], ['Ke2', 'g5'], ['Kf3', 'f5'], ['Be5', 'Kg6']]",0-1
Wch U20,Copenhagen,1982.??.??,7,"Nishimura, Hiroyuki","Wolff, Patrick G",,,C02,"[['d4', 'e6'], ['e4', 'd5'], ['e5', 'c5'], ['Qg4', 'cxd4'], ['Nf3', 'Nc6'], ['Bd3', 'Qb6'], ['O-O', 'Bd7'], ['a3', 'f5\n'], ['Qg3', 'Nge7'], ['Re1', 'h6'], ['h4', 'O-O-O'], ['b4', 'Be8'], ['Nbd2', 'Bh5'], ['b5', 'Na5'], ['Bb2', 'Bxf3\n'], ['Nxf3', 'Nc4'], ['Bxd4', 'Qa5'], ['Reb1', 'Kb8'], ['Rb3', 'g5'], ['hxg5', 'Rg8'], ['b6', 'a6'], ['Rd1', 'Nc6\n'], ['g6', 'Be7'], ['Be2', 'Rde8'], ['Bc3', 'Qc5'], ['Nd4', 'Bd8'], ['Nxc6+', 'Qxc6'], ['Qf4', 'Bg5'], ['Qd4', 'Be7\n'], ['Bb4', 'Bxb4'], ['axb4', 'Qxb6'], ['Bxc4', 'Qxd4'], ['Rxd4', 'dxc4'], ['Rg3', 'Rg7'], ['Rd6', 'Kc7\n'], ['Kh2', '']]",1-0
Wch U20,Copenhagen,1982.??.??,8,"Wolff, Patrick G","Asmah, F.",,,C24,"[['e4', 'e5'], ['Bc4', 'Nf6'], ['d4', 'exd4'], ['Nf3', 'd6'], ['Ng5', 'Be6'], ['Bxe6', 'fxe6'], ['O-O', 'Qd7'], ['f4', 'h6\n'], ['Nf3', 'Nc6'], ['Nxd4', 'Nxe4'], ['Qh5+', 'Kd8'], ['Nb3', 'Nf6'], ['Qe2', 'Be7'], ['Nc3', 'Re8'], ['Rd1', 'b6\n'], ['a4', 'a5'], ['Qf3', 'Kc8'], ['Be3', 'Kb7'], ['Bf2', 'd5'], ['Nb5', 'e5'], ['c4', 'e4'], ['Qe3', 'Qf5'], ['Nxc7', 'd4\n'], ['Nxd4', 'Ng4'], ['Qb3', 'Nxd4'], ['Bxd4', 'Bc5'], ['Nxa8', 'Rd8'], ['Nxb6', 'Rxd4'], ['Nd5+', 'Kc8\n'], ['Rxd4', 'Bxd4+'], ['Kf1', 'Nxh2+'], ['Ke1', 'Qg4'], ['Qh3', 'Nf3+'], ['Kd1', 'Qxh3'], ['gxh3', 'Ng1\n'], ['h4', 'h5'], ['Rb1', 'Nf3'], ['b4', 'axb4'], ['Rxb4', 'Nxh4'], ['c5', 'Nf3'], ['c6', 'Bc5'], ['Rxe4', '']]",1-0
Wch U20,Copenhagen,1982.??.??,9,"Ebeling, Mika","Wolff, Patrick G",,,C12,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['Bg5', 'Bb4'], ['e5', 'h6'], ['Bd2', 'Bxc3'], ['bxc3', 'Ne4'], ['Qg4', 'Kf8\n'], ['h4', 'f5'], ['Qf4', 'c5'], ['f3', 'Nxd2'], ['Qxd2', 'Nc6'], ['Ne2', 'Qb6'], ['Rd1', 'Qb2'], ['g4', 'Qxa2\n'], ['gxf5', 'exf5'], ['Nf4', 'Kf7'], ['Qg2', 'Ne7'], ['c4', 'Qa5+'], ['Kf2', 'Qc3'], ['cxd5', 'cxd4'], ['d6', 'Qe3+\n'], ['Kg3', 'Qxe5'], ['Bc4+', 'Kf6'], ['dxe7', 'g5'], ['hxg5+', 'hxg5'], ['Rxh8', 'Qxf4+'], ['Kf2', 'Qe3+\n'], ['Kf1', 'Be6'], ['Rh6+', '']]",1-0
Wch U20,Copenhagen,1982.??.??,10,"Stephenson, A.","Wolff, Patrick G",,,B32,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'e5'], ['Nb3', 'Bb4+'], ['Bd2', 'Bxd2+'], ['Qxd2', 'Nf6'], ['Nc3', 'd5\n'], ['exd5', 'Nb4'], ['Bb5+', 'Kf8'], ['a3', 'Na6'], ['O-O', 'Nc7'], ['Rad1', 'a6'], ['Bc4', 'b5'], ['d6', 'Ne6\n'], ['Bxe6', 'Bxe6'], ['Nc5', 'Bg4'], ['Rde1', 'Qb6'], ['Rxe5', 'Rd8'], ['N5e4', 'Ne8'], ['Re1', 'Be6'], ['Ng5', 'Bd7\n'], ['Rd5', 'Bc6'], ['Rd4', 'h6'], ['Nge4', 'f5'], ['Ng3', 'g6'], ['Rd1', 'Nf6'], ['Rf4', 'Kf7'], ['Re1', 'Qc5\n'], ['Qd4', 'Qxd6'], ['Qxd6', 'Rxd6'], ['Nge2', 'Rhd8'], ['Rh4', 'Ng8'], ['Rh3', 'Rd2'], ['Re3', 'Rxc2'], ['Rd1', 'Rdd2\n'], ['Rxd2', 'Rxd2'], ['b4', 'Nf6'], ['f3', 'g5'], ['Re5', '']]",1/2-1/2
Wch U20,Copenhagen,1982.??.??,11,"Wolff, Patrick G",Thomsen,,,C21,"[['e4', 'e5'], ['d4', 'exd4'], ['c3', 'dxc3'], ['Bc4', 'cxb2'], ['Bxb2', 'Bb4+'], ['Kf1', 'Nf6'], ['e5', 'Ne4'], ['Qe2', 'Nc5\n'], ['Qg4', 'Rg8'], ['Qh5', 'Qe7'], ['Qxh7', 'Kf8'], ['Nf3', 'c6'], ['Nc3', 'Bxc3'], ['Bxc3', 'b5'], ['Be2', 'Ne6\n'], ['Bd2', 'a6'], ['h4', 'd6'], ['exd6', 'Qxd6'], ['Rd1', 'Qe7'], ['Ng5', 'Nxg5'], ['Bb4', 'Qxb4'], ['Rd8+', 'Ke7\n'], ['Qxg8', 'Nd7'], ['Qe8+', 'Kf6'], ['hxg5+', 'Kxg5'], ['Rh5+', 'Kg6'], ['g4', 'Qb1+'], ['Kg2', 'Nf6'], ['Qe5', 'Qe4+\n'], ['Qxe4+', 'Nxe4'], ['Bd3', 'f5'], ['Rhh8', 'Nxf2'], ['Kxf2', 'Kf6'], ['Rhf8+', '']]",1-0
Wch U20,Copenhagen,1982.??.??,12,"Wolff, Patrick G","Grivas, Efstratios",,,B82,"[['e4', 'c5'], ['d4', 'cxd4'], ['Nf3', 'e6'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Be3', 'a6'], ['f4', 'Qc7'], ['Qf3', 'Be7\n'], ['O-O-O', 'Nbd7'], ['Be2', 'b5'], ['Nd5', 'exd5'], ['exd5', 'Nc5'], ['h3', 'Bb7'], ['Nf5', 'Rc8'], ['Nxe7', 'Qxe7\n'], ['Bxb5+', 'axb5'], ['Bxc5', 'O-O'], ['Rhe1', 'Qd8'], ['Bb4', 'Qd7'], ['g4', 'Rfe8'], ['Rg1', 'Rc4'], ['f5', 'Nxd5']]",0-1
Wch U20,Copenhagen,1982.??.??,13,Sandrasegaran,"Wolff, Patrick G",,,B76,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'g6'], ['Be3', 'Bg7'], ['f3', 'Nc6'], ['Qd2', 'O-O\n'], ['O-O-O', 'Bd7'], ['g4', 'Rc8'], ['h4', 'h5'], ['g5', 'Ne8'], ['Nxc6', 'Rxc6'], ['Bd4', 'Qa5'], ['Bxg7', 'Nxg7\n'], ['Qd5', 'Qc7'], ['Qd2', 'Rc8'], ['Rh2', 'Qa5'], ['Qd5', 'Qb6'], ['Qd4', 'Qa5'], ['Qd5', 'Qd8'], ['a3', 'Rc5\n'], ['Qxb7', 'Rb8'], ['Qa6', 'Ra5'], ['Qd3', 'Qb6'], ['Kd2', 'Qg1'], ['Rg2', 'Qh1'], ['Nd5', 'Kf8'], ['Ke3', 'Bb5\n'], ['Qb3', 'Rc8'], ['Bxb5', 'Qxd1'], ['Qb4', 'Qc1+'], ['Kd3', 'Qf1+'], ['Re2', 'Qxf3+'], ['Kd2', 'Rxb5\n'], ['Qxb5', 'Qg4'], ['Qb7', 'Rxc2+'], ['Kxc2', 'Qxe2+'], ['Kb3', 'Qxe4']]",0-1
