Jakarta Interzonal (Women),Jakarta,1993.??.??,?,Xu Yuhua,"Lindri, Juni Wijayanti",,,C92,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'b5'], ['Bb3', 'Be7'], ['Re1', 'd6'], ['h3', 'O-O\n'], ['c3', 'Nd7'], ['d4', 'Bf6'], ['Be3', 'Na5'], ['Bc2', 'Nc4'], ['Bc1', 'exd4'], ['cxd4', 'c5'], ['b3', 'Nce5\n'], ['dxe5', 'Nxe5'], ['Nc3', 'b4'], ['Bb2', 'bxc3'], ['Bxc3', 'Nxf3+'], ['Qxf3', 'Bxc3'], ['Qxc3', 'Qe7\n'], ['Rad1', 'Bb7'], ['Re3', 'Rad8'], ['b4', 'Rc8'], ['Qd3', 'g6'], ['Qxd6', 'Qxd6'], ['Rxd6', 'cxb4'], ['Bb3', 'Rc7\n'], ['e5', 'Re8'], ['h4', 'Kg7'], ['h5', 'Ree7'], ['f4', 'Rc3'], ['Re2', 'a5'], ['f5', 'gxf5'], ['h6+', 'Kf8\n'], ['Rf6', 'Be4'], ['Rd2', 'Rd3'], ['Rxd3', 'Bxd3'], ['e6', 'a4'], ['Bd5', 'Be4'], ['Bc4', 'Rc7'], ['e7+', 'Kxe7\n'], ['Rxf7+', 'Kd6'], ['Rxc7', 'Kxc7'], ['Kf2', 'f4'], ['Ke2', 'Kd6'], ['Kd2', 'Ke5'], ['Bb5', 'a3']]",0-1
Jakarta Interzonal (Women),Jakarta,1993.??.??,?,"Maric, Mirjana",Xu Yuhua,,,B22,"[['e4', 'c5'], ['c3', 'b6'], ['d4', 'cxd4'], ['cxd4', 'Bb7'], ['Nc3', 'Nf6'], ['Bd3', 'e6'], ['Nge2', 'Be7'], ['O-O', 'O-O\n'], ['Bf4', 'd6'], ['Re1', 'Nbd7'], ['e5', 'Ne8'], ['Qc2', 'g6'], ['Rad1', 'Rc8'], ['Qc1', 'Qc7'], ['Qe3', 'dxe5\n'], ['dxe5', 'Bc5'], ['Qg3', 'a6'], ['Ne4', 'Bxe4'], ['Bxe4', 'Ng7'], ['Qd3', 'Bb4'], ['Rf1', 'Nc5'], ['Qc4', 'Nxe4\n'], ['Qxe4', 'Be7'], ['Nc3', 'b5'], ['a3', 'Bxa3'], ['Nxb5', 'axb5'], ['bxa3', 'Qe7'], ['Rd3', 'Rc4'], ['Qf3', 'Qc5\n'], ['Rfd1', 'h5'], ['h3', 'Nf5'], ['g3', 'Kg7'], ['Kh2', 'Rc8'], ['Rd8', 'Rxd8'], ['Rxd8', 'Rc3'], ['Qe2', 'Rxa3\n'], ['Bg5', 'Kh7'], ['Bf6', 'Ng7'], ['Qd2', 'g5'], ['Kg2', 'Qc6+'], ['Kh2', 'Ra1'], ['Qd3+', 'Nf5'], ['Rh8+', 'Kg6\n'], ['Rg8+', 'Kh7'], ['Rh8+', '']]",1/2-1/2
Jakarta Interzonal (Women),Jakarta,1993.??.??,?,"Marinello, Beatriz M",Xu Yuhua,,,B92,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['f4', 'Qc7'], ['Be2', 'e5'], ['Nb3', 'Be7\n'], ['O-O', 'O-O'], ['a4', 'Be6'], ['Nd5', 'Bxd5'], ['exd5', 'a5'], ['Be3', 'Nbd7'], ['c4', 'b6'], ['Kh1', 'Nc5\n'], ['fxe5', 'dxe5'], ['Nd2', 'Ne8'], ['Nb1', 'Nd6'], ['Nc3', 'f5'], ['Rc1', 'Qd7'], ['b3', 'Kh8'], ['Bd3', 'Qd8\n'], ['Nb5', 'Nxb5'], ['axb5', 'e4'], ['Bc2', 'Bg5'], ['Bxc5', 'bxc5'], ['Ra1', 'Bf6'], ['Rb1', 'Be5'], ['Qh5', 'g6\n'], ['Qh3', 'Kg7'], ['g4', 'fxg4'], ['Qxg4', 'Qd6'], ['Qe2', 'e3'], ['Qxe3', 'Bxh2'], ['Rxf8', 'Rxf8'], ['Re1', 'Rf7\n'], ['Qc3+', 'Qf6'], ['Qxf6+', 'Rxf6'], ['Kxh2', 'Rf2+'], ['Kg3', 'Rxc2'], ['Re3', 'h5'], ['b6', 'h4+'], ['Kxh4', 'Rh2+\n'], ['Kg4', 'Rh8'], ['Re6', 'Kf7'], ['Rc6', 'Rb8'], ['Kg5', 'Ke7'], ['Rxg6', 'Kd7'], ['Kf5', 'Re8'], ['Rg7+', 'Kd6\n'], ['b7', 'Rf8+'], ['Ke4', 'Rh8'], ['Kd3', 'Ke5'], ['Rc7', 'Rb8'], ['Kc3', '']]",1-0
Jakarta Interzonal (Women),Jakarta,1993.??.??,?,"Tverskaya, Julia",Xu Yuhua,,,B23,"[['e4', 'c5'], ['Nc3', 'Nc6'], ['f4', 'g6'], ['Nf3', 'Bg7'], ['Bc4', 'a6'], ['O-O', 'Nf6'], ['d3', 'O-O'], ['Kh1', 'e6\n'], ['Bb3', 'b6'], ['Qe1', 'Bb7'], ['Ne2', 'Ne7'], ['Qh4', 'b5'], ['Ng3', 'd5'], ['e5', 'Ne8'], ['c3', 'Qd7'], ['d4', 'cxd4\n'], ['cxd4', 'Nf5'], ['Nxf5', 'exf5'], ['Be3', 'Nc7'], ['Ne1', 'Rfc8'], ['Nd3', 'Bf8'], ['Rad1', 'a5'], ['Bc2', 'Ne6\n'], ['Bb1', 'Be7'], ['Qf2', 'Ng7'], ['Nc5', 'Bxc5'], ['dxc5', 'Ne6'], ['Bd4', 'Qe7'], ['Rc1', 'b4'], ['g4', 'Nxc5\n'], ['gxf5', 'Ne4'], ['Bxe4', 'dxe4'], ['Qe3', 'Rxc1'], ['Rxc1', 'Rc8'], ['Rxc8+', 'Bxc8'], ['fxg6', 'hxg6\n'], ['Kg1', 'Bf5'], ['b3', 'Qd7'], ['Kf2', 'a4'], ['Qd2', 'axb3'], ['axb3', 'Qd8'], ['Be3', 'Qh4+'], ['Kg1', 'Qg4+\n'], ['Kf2', 'Qf3+'], ['Kg1', 'Kg7'], ['h4', 'Qg3+'], ['Kh1', 'Bg4']]",0-1
Jakarta Interzonal (Women),Jakarta,1993.??.??,?,"Uskova, Fliura",Xu Yuhua,,,B53,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Qxd4', 'Nc6'], ['Bb5', 'Bd7'], ['Bxc6', 'Bxc6'], ['c4', 'Nf6'], ['Nc3', 'g6\n'], ['O-O', 'Bg7'], ['Qd3', 'O-O'], ['Nd4', 'Rc8'], ['b3', 'a6'], ['Bb2', 'e6'], ['Rad1', 'Qa5'], ['Nxc6', 'Rxc6\n'], ['Rfe1', 'Ng4'], ['Qg3', 'f5'], ['Na4', 'Bxb2'], ['Nxb2', 'Nf6'], ['exf5', 'Qxf5'], ['Nd3', 'a5'], ['Qe3', 'e5\n'], ['f3', 'Re8'], ['Nf2', 'a4'], ['Qa7', 'Re7'], ['Qxa4', 'Nh5'], ['Qa5', 'Kg7'], ['Ne4', 'Qe6'], ['Qd2', 'Rd7\n'], ['Nc3', 'Qf7'], ['Rxe5', 'Nf6'], ['Ree1', 'Re7'], ['Qd4', 'Kg8'], ['Rxe7', 'Qxe7'], ['Nd5', 'Nxd5'], ['Qxd5+', 'Kg7\n'], ['Qd4+', 'Kg8'], ['Qe4', 'Qxe4'], ['fxe4', 'Kf7'], ['Kf2', 'Ke6'], ['Ke3', 'Ra6'], ['a4', 'Ra8'], ['Rd5', 'Rf8\n'], ['Rb5', 'Rf7'], ['a5', 'h6'], ['b4', 'h5'], ['h4', 'Rc7'], ['Kd4', 'Rf7'], ['Rg5', 'Rf1'], ['b5', '']]",1-0
Jakarta Interzonal (Women),Jakarta,1993.??.??,?,Xu Yuhua,"Csoke, Adrienn",,,B02,"[['e4', 'Nf6'], ['Nc3', 'd5'], ['e5', 'Ne4'], ['Nce2', 'd4'], ['d3', 'Nc5'], ['Nf3', 'Nc6'], ['b4', 'Ne6'], ['b5', 'Nb8\n'], ['c3', 'dxc3'], ['d4', 'c6'], ['Nxc3', 'g6'], ['bxc6', 'bxc6'], ['Bc4', 'Bd7'], ['h4', 'h5'], ['O-O', 'Bg7\n'], ['Qd3', 'O-O'], ['Ne2', 'Qc8'], ['Ng3', 'a5'], ['Ng5', 'c5'], ['Nxh5', 'cxd4'], ['Nxg7', 'Kxg7'], ['h5', 'Nxg5\n'], ['Bxg5', 'Nc6'], ['Rac1', 'Bf5'], ['Qd2', 'Nxe5'], ['Bh6+', 'Kh7'], ['hxg6+', 'Bxg6'], ['Bxf8', 'Qxf8\n'], ['Qxd4', 'f6'], ['Be6', 'Kg7'], ['Rc7', 'Bf7'], ['Bxf7', 'Qxf7'], ['Qc5', 'Ng6'], ['Rc1', 'Qxa2'], ['Rxe7+', 'Nxe7\n'], ['Qxe7+', '']]",1-0
Jakarta Interzonal (Women),Jakarta,1993.??.??,?,Xu Yuhua,"Demina, Julia",,,B30,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['Bb5', 'e6'], ['O-O', 'Nge7'], ['c3', 'a6'], ['Ba4', 'd5'], ['exd5', 'Qxd5'], ['d4', 'b5\n'], ['c4', 'Qd6'], ['cxb5', 'Nxd4'], ['Nxd4', 'cxd4'], ['bxa6+', 'Kd8'], ['Na3', 'Rxa6'], ['Bb5', 'Ra7'], ['Qf3', 'Nf5\n'], ['Bf4', 'Qb6'], ['Bd3', 'Bb7'], ['Qe2', 'Bd6'], ['Bxd6', 'Nxd6'], ['Nc4', 'Nxc4'], ['Bxc4', 'Ke7'], ['Qg4', 'Rc8\n'], ['b3', 'Kf8'], ['Rfd1', 'Rd8'], ['Rd3', 'Ra5'], ['Rg3', 'g6'], ['Qh4', 'Kg7'], ['a4', 'Re5'], ['Rd1', 'd3\n'], ['Qf4', 'Re4'], ['Qd2', 'Re2'], ['Qc3+', 'f6'], ['Kh1', 'Qxf2'], ['Rg1', 'Re5'], ['Bxe6', 'Qxg3'], ['Qc7+', 'Kh6\n'], ['Qxb7', 'Rh5'], ['Bh3', 'Rxh3'], ['gxh3', 'Qxg1+'], ['Kxg1', 'd2']]",0-1
Jakarta Interzonal (Women),Jakarta,1993.??.??,?,Xu Yuhua,"Khurtsidze, Nino",,,B85,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Be2', 'Be7'], ['O-O', 'Nc6'], ['Be3', 'O-O\n'], ['f4', 'a6'], ['Kh1', 'Qc7'], ['Qe1', 'Nxd4'], ['Bxd4', 'b5'], ['a3', 'Bb7'], ['Qg3', 'Rfd8'], ['Rae1', 'Bc6\n'], ['Bd3', 'Qb7'], ['Bxf6', 'Bxf6'], ['e5', 'Be7'], ['Ne4', 'Bxe4'], ['Bxe4', 'd5'], ['Bd3', 'b4'], ['f5', 'exf5\n'], ['Bxf5', 'Bf8'], ['e6', 'f6'], ['Rf4', 'g6'], ['Bxg6', 'hxg6'], ['e7', 'Bg7'], ['exd8=Q+', 'Rxd8'], ['Rg4', 'Qf7\n'], ['Rxg6', '']]",1-0
Jakarta Interzonal (Women),Jakarta,1993.??.??,?,"Amura, Claudia Noemi",Xu Yuhua,,,D35,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'Nf6'], ['cxd5', 'exd5'], ['Bg5', 'c6'], ['Qd2', 'g6'], ['e3', 'Na6'], ['Bxa6', 'bxa6\n'], ['Nf3', 'Bg7'], ['O-O', 'O-O'], ['Na4', 'Qe8'], ['Bxf6', 'Bxf6'], ['Rfc1', 'Bg7'], ['b3', 'Bd7'], ['Qd3', 'f5\n'], ['g3', 'Qe4'], ['Qd1', 'Qe7'], ['Nc5', 'Rae8'], ['Nxd7', 'Qxd7'], ['Qd3', 'Re4'], ['Rc2', 'Qb7'], ['Rac1', 'Re6\n'], ['Rc5', 'Rff6'], ['Ra5', 'Bh6'], ['Ne5', 'Bf8'], ['Qxa6', 'Qb4'], ['Ra4', 'Qd2'], ['Qf1', 'c5'], ['Nd7', 'Rf7\n'], ['Nxf8', 'Kxf8'], ['dxc5', 'Rc6'], ['Rd4', 'Qxa2'], ['Qb5', 'Rcc7'], ['Rxd5', 'Qb2'], ['Rcd1', 'Rb7\n'], ['Rd8+', 'Kg7'], ['Qe8', 'Qxb3'], ['c6', 'Rbe7'], ['Qh8+', 'Kh6'], ['Qd4', 'Re4'], ['Qd6', 'f4'], ['gxf4', 'Re6\n'], ['Qc5', 'Rf5'], ['Qc1', 'g5'], ['c7', '']]",1-0
Jakarta Interzonal (Women),Jakarta,1993.??.??,?,Xu Yuhua,"Ratna Sulista, Maria Lucia",,,C54,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Nf6'], ['d3', 'Bc5'], ['O-O', 'O-O'], ['c3', 'd5'], ['exd5', 'Nxd5'], ['Re1', 'Bg4\n'], ['h3', 'Bh5'], ['g4', 'Bg6'], ['Nxe5', 'Nxe5'], ['Rxe5', 'Qf6'], ['d4', 'Nb6'], ['Bg5', 'Qd6'], ['Bb3', 'Rae8\n'], ['Rxe8', 'Rxe8'], ['Nd2', 'Bxd4'], ['cxd4', 'Qxd4'], ['Nc4', 'Qe4'], ['Nxb6', 'axb6'], ['Qd7', 'c6'], ['Rd1', 'h5\n'], ['Qxe8+', 'Qxe8'], ['Rd8', 'Qxd8'], ['Bxd8', 'hxg4'], ['hxg4', 'b5'], ['Be7', 'b6'], ['f4', 'Bb1'], ['Kf2', 'c5\n'], ['Bd5', 'c4'], ['a3', 'g6'], ['g5', '']]",1-0
