WchT U26,Mexico,1980.??.??,?,Ye Jiangchuan,"Sisniega, Marcel",,,C18,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Bb4'], ['e5', 'Ne7'], ['a3', 'Bxc3+'], ['bxc3', 'c5'], ['Qg4', 'O-O'], ['Nf3', 'f5\n'], ['exf6', 'Rxf6'], ['Bg5', 'Rf8'], ['Qh4', 'Nbc6'], ['Bd3', 'g6'], ['Ne5', 'Qc7'], ['Ng4', 'Nf5'], ['Bxf5', 'gxf5\n'], ['Nh6+', 'Kg7'], ['Bf4', 'Qd8'], ['Bg5', 'Qe8'], ['f4', 'cxd4'], ['g4', 'e5'], ['O-O-O', 'fxg4'], ['fxe5', 'Qxe5\n'], ['Nxg4', 'Bxg4'], ['Qxg4', 'Kh8'], ['Rhg1', 'Qd6'], ['Rxd4', 'Ne5'], ['Qg3', 'Rac8'], ['Rxd5', 'Qxa3+\n'], ['Kb1', 'Ng6'], ['Be3', 'Qa6'], ['Qh3', 'Rc7'], ['Rdg5', 'Rc6'], ['Bd4+', 'Kg8'], ['Qh6', 'Rf1+'], ['Rxf1', 'Qxf1+\n'], ['Kb2', 'Qf8'], ['Qh3', 'Ra6'], ['Bc5', 'Qf7'], ['Qc8+', 'Kg7'], ['Ba3', 'Rb6+'], ['Bb4', 'Qf6'], ['Qd7+', 'Kh6\n'], ['Rb5', 'Rxb5'], ['Qxb5', 'b6'], ['Qd7', 'a6'], ['Bd6', 'b5'], ['Bc5', 'Ne5'], ['Be3+', 'Kg6'], ['Qe8+', 'Kf5\n'], ['Bd4', 'Nc4+'], ['Ka2', 'Qg6'], ['Qf8+', 'Kg5'], ['Qf2', 'Qe6'], ['Qg2+', 'Qg4'], ['Bf6+', 'Kf5'], ['Qxg4+', 'Kxg4\n'], ['h4', 'h5'], ['Kb3', 'Kf3'], ['Kb4', 'Ke2']]",0-1
Luzern ol (Men),Luzern,1982.??.??,1,"Watkins, C.",Ye Jiangchuan,,,B22,"[['e4', 'c5'], ['c3', 'd5'], ['exd5', 'Qxd5'], ['d4', 'e6'], ['Nf3', 'Nc6'], ['Be2', 'Nf6'], ['O-O', 'cxd4'], ['cxd4', 'Be7\n'], ['Nc3', 'Qd6'], ['Nb5', 'Qd8'], ['Ne5', 'Bd7'], ['Nxd7', 'Qxd7'], ['Bf3', 'O-O'], ['Be3', 'a6'], ['Nc3', 'Rad8\n'], ['d5', 'Qc8'], ['Bb6', 'Rd6'], ['Bc5', 'Rd7'], ['Bxe7', 'Nxe7'], ['Qb3', 'Nfxd5'], ['Rac1', 'Qb8'], ['Rfd1', 'Rfd8\n'], ['Qa4', 'Nxc3'], ['bxc3', 'Qc7'], ['c4', 'h6'], ['Rxd7', 'Rxd7'], ['Rb1', 'Qc8'], ['Rb6', 'Rc7'], ['Rb4', 'b5\n'], ['cxb5', 'Rc1+'], ['Bd1', 'axb5'], ['Rxb5', 'Qd8']]",0-1
Luzern ol (Men),Luzern,1982.??.??,2,Ye Jiangchuan,"Mestel, A Jonathan",,,B76,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'Nf6'], ['Nc3', 'cxd4'], ['Nxd4', 'g6'], ['Be3', 'Bg7'], ['f3', 'O-O'], ['Qd2', 'Nc6\n'], ['g4', 'Be6'], ['O-O-O', 'Ne5'], ['Be2', 'Rc8'], ['Kb1', 'Bc4'], ['Nb3', 'Qc7'], ['Bd4', 'Rfd8'], ['Rhe1', 'b5\n'], ['g5', 'Nh5'], ['Nd5', 'Qd7'], ['f4', 'Bxd5'], ['exd5', 'Nc4'], ['Qc1', 'Qh3'], ['Bxh5', 'Qxh5'], ['Bxg7', 'Kxg7\n'], ['Rxe7', 'Re8'], ['Rde1', 'Rxe7'], ['Rxe7', 'Qxh2'], ['a3', 'Kf8'], ['Re1', 'Qf2'], ['Rh1', 'Ne3'], ['Nd4', 'Qxf4\n'], ['Qd2', 'Rc4']]",0-1
Luzern ol (Men),Luzern,1982.??.??,3,Ye Jiangchuan,"Tan, Chor Chuan",,,C89,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'O-O'], ['c3', 'd5\n'], ['exd5', 'Nxd5'], ['Nxe5', 'Nxe5'], ['Rxe5', 'c6'], ['d4', 'Bd6'], ['Re1', 'Qh4'], ['g3', 'Qh3'], ['Be3', 'Bg4\n'], ['Qd3', 'Rae8'], ['Nd2', 'Re6'], ['a4', 'f5'], ['Qf1', 'Qh5'], ['f4', 'Rfe8'], ['Qf2', 'Kh8'], ['Bxd5', 'cxd5\n'], ['axb5', 'axb5'], ['Ra5', 'Rb8'], ['Nf1', 'Bf3'], ['Rea1', 'h6'], ['Ra8', 'Rxa8'], ['Rxa8+', 'Kh7'], ['Ra1', 'g5\n'], ['Re1', 'Rg6'], ['Nd2', 'Bg4'], ['Nf1', 'Bf3'], ['Nd2', 'Bg4'], ['b3', 'Bh3'], ['fxg5', 'hxg5'], ['Qf3', 'Bg4\n'], ['Qxd5', 'Rh6'], ['Nf1', 'f4'], ['Ra1', 'Rf6'], ['Ra7+', 'Kh8'], ['Ra8+', 'Bf8'], ['Qe5', 'Qf7'], ['gxf4', 'Kh7\n'], ['Ra7', 'Qxa7'], ['Qxf6', 'Bg7'], ['Qxg5', 'Be2'], ['Qf5+', 'Kh8'], ['Qh3+', 'Kg8'], ['Qg2', 'Bd3'], ['d5', 'Bxf1\n'], ['Bxa7', 'Bxg2'], ['Kxg2', 'Bxc3'], ['Kf3', '']]",1-0
Luzern ol (Men),Luzern,1982.??.??,4,"Vilela, Jose Luis",Ye Jiangchuan,,,A61,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'c5'], ['d5', 'exd5'], ['cxd5', 'd6'], ['Nc3', 'g6'], ['Bg5', 'Bg7'], ['e3', 'h6\n'], ['Bh4', 'g5'], ['Bg3', 'Nh5'], ['Bd3', 'Nxg3'], ['hxg3', 'Nd7'], ['Qc2', 'Qe7'], ['Nd2', 'Ne5'], ['Bf5', 'Bxf5\n'], ['Qxf5', 'Qd7'], ['Qxd7+', 'Kxd7'], ['Ke2', 'f5'], ['a4', 'Rhe8'], ['Ra3', 'Rab8'], ['Nd1', 'Re7'], ['b3', 'Rf8\n'], ['Ra2', 'Ng6'], ['Rc2', 'f4'], ['e4', 'Rfe8'], ['Nc3', 'fxg3'], ['fxg3', 'Rh8'], ['Nd1', 'Bd4'], ['Ne3', '']]",1/2-1/2
Luzern ol (Men),Luzern,1982.??.??,5,Ye Jiangchuan,"Foisor, Ovidiu",,,B82,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Be3', 'a6'], ['f4', 'Qc7'], ['g4', 'b5\n'], ['g5', 'b4'], ['Ncb5', 'axb5'], ['gxf6', 'gxf6'], ['Qd2', 'Bd7'], ['Nxb5', 'Qc6'], ['Qxb4', 'Na6'], ['Qd2', 'Nc5\n'], ['Bxc5', 'Qxc5'], ['c4', 'f5'], ['exf5', 'Bxb5'], ['cxb5', 'Qxf5'], ['Bg2', 'Rc8'], ['Rc1', 'Rc5'], ['Rxc5', 'Qxc5\n'], ['Qc3', 'Qxc3+'], ['bxc3', 'Bg7'], ['Kd2', 'Kd7'], ['a4', 'd5'], ['c4', 'Ra8'], ['cxd5', 'Rxa4'], ['dxe6+', 'fxe6\n'], ['Bc6+', 'Ke7'], ['Rd1', 'Rd4+'], ['Kc2', 'Rxd1'], ['Kxd1', 'Bh6'], ['Be4', 'Bxf4'], ['h3', 'h6'], ['b6', '']]",1/2-1/2
Luzern ol (Men),Luzern,1982.??.??,6,"Hulak, Krunoslav",Ye Jiangchuan,,,E94,"[['Nf3', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['d4', 'O-O'], ['Be2', 'e5'], ['Be3', 'Nbd7'], ['O-O', 'Ng4\n'], ['Bg5', 'f6'], ['Bd2', 'Kh8'], ['Qc2', 'c6'], ['Rad1', 'Qe7'], ['Bc1', 'f5'], ['exf5', 'gxf5'], ['d5', 'Nh6\n'], ['Ng5', 'Nf6'], ['f4', 'Ne8'], ['b4', 'Qf6'], ['Rd3', 'Nf7'], ['Rh3', 'Nxg5'], ['fxg5', 'Qe7'], ['g4', 'e4\n'], ['g6', 'Kg8'], ['gxh7+', 'Kh8'], ['Rg3', 'Bd7'], ['Kg2', 'Nc7'], ['Bf4', 'Rac8'], ['Qd2', 'Rcd8'], ['gxf5', 'Rxf5\n'], ['Bg4', 'Rff8'], ['Bg5', 'Qe8'], ['Rxf8+', 'Qxf8'], ['Bxd8', 'Bxg4'], ['Nxe4', 'Qxd8'], ['Rxg4', 'cxd5\n'], ['cxd5', 'Qd7'], ['h3', 'Ne8'], ['Qf4', 'Qb5'], ['Qf7', 'Qe2+'], ['Nf2', '']]",1-0
Luzern ol (Men),Luzern,1982.??.??,9,Ye Jiangchuan,"Cuartas, Carlos",,,C63,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'f5'], ['Nc3', 'Nd4'], ['exf5', 'Nf6'], ['Nxe5', 'Bc5'], ['O-O', 'O-O'], ['Nf3', 'c6\n'], ['Be2', 'd5'], ['Nxd4', 'Bxd4'], ['Bf3', 'Bxf5'], ['Ne2', 'Bb6'], ['Ng3', 'Be4'], ['Be2', 'Qd6'], ['d4', 'Rae8\n'], ['c3', 'Bc7'], ['f4', 'Qd7'], ['Bd2', 'Bg6'], ['f5', 'Bxg3'], ['fxg6', 'Bb8'], ['gxh7+', 'Nxh7'], ['Bd3', 'Rxf1+\n'], ['Qxf1', 'Nf6'], ['Bf4', 'Bxf4'], ['Qxf4', 'Qe7'], ['Rf1', 'Qe3+'], ['Qxe3', 'Rxe3'], ['Rd1', 'Kf7'], ['h3', 'b6\n'], ['Kf2', 'Re7'], ['Re1', 'Rxe1'], ['Kxe1', 'c5'], ['h4', 'Ke6'], ['Kf2', 'a5'], ['Kf3', 'c4'], ['Bc2', 'b5\n'], ['a3', 'Ng8'], ['Kf4', 'Ne7'], ['g4', 'b4'], ['Bf5+', 'Kd6'], ['h5', 'Nc6'], ['g5', 'Ke7'], ['h6', 'gxh6\n'], ['gxh6', 'Kf6'], ['h7', 'Kg7'], ['Be6', 'Ne7'], ['Ke5', 'Ng6+'], ['Kxd5', 'Nf4+'], ['Ke5', 'Nd3+'], ['Kf5', 'Nxb2\n'], ['d5', 'Na4'], ['d6', 'Nb6'], ['cxb4', 'axb4'], ['axb4', 'Kxh7'], ['d7', '']]",1-0
Luzern ol (Men),Luzern,1982.??.??,10,Ye Jiangchuan,"Aldrete, Jorge",,,B32,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'e5'], ['Nb5', 'a6'], ['Nd6+', 'Bxd6'], ['Qxd6', 'Qf6'], ['Qd1', 'Qg6\n'], ['Nc3', 'd5'], ['Nxd5', 'Qxe4+'], ['Be3', 'Nd4'], ['Nc7+', 'Ke7'], ['Rc1', 'Bg4'], ['Qd3', 'Qxd3'], ['Bxd3', 'Rd8\n'], ['h3', 'Bc8'], ['f4', 'exf4'], ['Bxf4', 'Ne6'], ['Nxe6', 'Bxe6'], ['a4', 'Nf6'], ['O-O', 'h6'], ['a5', 'Rd5\n'], ['Bd2', 'Rc8'], ['Bb4+', 'Ke8'], ['Rce1', 'Kd7'], ['Rd1', 'Ke8'], ['Rd2', 'Kd7'], ['c4', 'Rg5'], ['h4', 'Rg3\n'], ['Bc2+', 'Kc6'], ['Rxf6', 'Rg4'], ['Ba4+', 'b5'], ['axb6', 'Kxb6'], ['Rd6+', 'Kb7'], ['Rfxe6', 'fxe6\n'], ['b3', 'Rc7'], ['Ba5', 'Rf7'], ['Bc6+', '']]",1-0
Luzern ol (Men),Luzern,1982.??.??,11,Ye Jiangchuan,"Milos, Gilberto",,,B64,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Bg5', 'e6'], ['Qd2', 'Be7'], ['O-O-O', 'O-O\n'], ['f4', 'h6'], ['Bh4', 'Bd7'], ['Nf3', 'Qa5'], ['Qe1', 'Rfd8'], ['Kb1', 'Rac8'], ['Bd3', 'Nb4'], ['a3', 'Nxd3\n'], ['Rxd3', 'Qc5'], ['g4', 'd5'], ['exd5', 'Bb5'], ['Rd2', 'Bc4'], ['dxe6', 'fxe6'], ['Ne5', 'Rxd2'], ['Qxd2', 'Qb6\n'], ['Bf2', 'Qa5'], ['Qe3', 'Bd5'], ['Rd1', 'Bc5'], ['Qe2', 'Bxf2'], ['Nxd5', 'Nxd5'], ['Qxf2', 'Qa4'], ['Rd4', 'Rxc2\n'], ['Rxa4', 'Rxf2'], ['Rxa7', 'Rxf4'], ['Rxb7', 'Re4'], ['Ng6', 'Kh7'], ['Ne7', 'Nf6'], ['h3', 'Re3'], ['a4', 'Rxh3\n'], ['a5', 'Rd3'], ['a6', 'Rd6'], ['a7', 'Ra6'], ['Nc6', 'Nd5'], ['Rb8', '']]",1-0
Luzern ol (Men),Luzern,1982.??.??,12,"Kaenel, Hansjuerg",Ye Jiangchuan,,,A30,"[['Nf3', 'Nf6'], ['e3', 'c5'], ['b3', 'g6'], ['Bb2', 'Bg7'], ['c4', 'O-O'], ['Be2', 'Nc6'], ['O-O', 'd5'], ['cxd5', 'Qxd5\n'], ['Nc3', 'Qf5'], ['Rc1', 'Rd8'], ['Na4', 'b6'], ['d4', 'Bb7'], ['a3', 'cxd4'], ['exd4', 'Nd5'], ['Bd3', 'Qh5\n'], ['Be4', 'Qg4'], ['Bxd5', 'Rxd5'], ['h3', 'Qh5'], ['Nc3', 'Rdd8'], ['Ne2', 'Rac8'], ['b4', 'a5'], ['bxa5', 'Nxa5\n'], ['Rxc8', 'Rxc8'], ['Ne1', 'Qb5'], ['Nd3', 'Ba6'], ['Nec1', 'Nc4'], ['a4', 'Qg5'], ['Ba1', 'h5'], ['Qf3', 'Nd2\n'], ['Qe2', 'Nxf1'], ['Qxf1', 'Qd2']]",0-1
