London Simpsons,London,1851.??.??,?,Blackburne/Steel,Zukertort/Hoffer,,,C54,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['c3', 'Nf6'], ['d3', 'd6'], ['Nbd2', 'a6'], ['Bb3', 'h6'], ['Nf1', 'Ne7\n'], ['Be3', 'Ng6'], ['Qd2', 'Qe7'], ['Ng3', 'Bd7'], ['O-O', 'O-O-O'], ['c4', 'Bg4'], ['Bd1', 'Nh5'], ['Nd4', 'Bxd1\n'], ['Ndf5', 'Qd7'], ['Raxd1', 'Ngf4'], ['Nxh5', 'Nxh5'], ['b4', 'Bxe3'], ['fxe3', 'g6'], ['Nh4', 'Ng7'], ['b5', 'axb5\n'], ['Qa5', 'Kb8'], ['Rb1', 'Ne6'], ['Rxb5', 'c6'], ['Rb6', 'Qc7'], ['Rfb1', 'Rd7'], ['Qa3', 'Qc8'], ['Ra6', 'Nc7\n'], ['Rxc6', 'Rg8'], ['Nf3', 'f5'], ['Nd2', 'Rf7'], ['c5', 'dxc5'], ['Nc4', 'Rd8'], ['Nb6', 'bxc6'], ['Nd7+', '']]",1-0
Breslau m,Breslau,1864.??.??,?,"Zukertort, Johannes Hermann","Anderssen, Adolf",,,C64,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'Bc5'], ['c3', 'Qe7'], ['O-O', 'f6'], ['d4', 'Bb6'], ['Kh1', 'Nd8'], ['Nh4', 'g6\n'], ['f4', 'exd4'], ['cxd4', 'Nh6'], ['f5', 'g5'], ['Nf3', 'Nhf7'], ['e5', 'O-O'], ['Bc4', 'Kh8'], ['exf6', 'Qxf6\n'], ['Bd2', 'd6'], ['Bc3', 'Bxf5'], ['d5', 'Ne5'], ['Nxe5', 'dxe5'], ['Bd3', 'Qg6'], ['Qf3', 'Ne6'], ['Bxe5+', 'Kg8\n'], ['Bxf5', 'Rxf5'], ['Qxf5', 'Nc5'], ['Nc3', 'Nd3'], ['Qxg6+', 'hxg6'], ['Bg3', 'Re8'], ['Rf6', 'Kg7'], ['Raf1', 'Nxb2\n'], ['Re6', 'Rc8'], ['Rff6', 'Bd4'], ['Rxg6+', 'Kf7'], ['Ne4', '']]",1-0
Breslau m,Breslau,1864.??.??,?,"Zukertort, Johannes Hermann","Anderssen, Adolf",,,C65,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'Bc5'], ['c3', 'Nf6'], ['O-O', 'Nxe4'], ['Qe2', 'Nxf2'], ['Rxf2', 'Bxf2+'], ['Kxf2', 'f6\n'], ['d4', 'O-O'], ['Bxc6', 'dxc6'], ['dxe5', 'fxe5'], ['Qxe5', 'Bg4'], ['Nd2', 'Qd7'], ['b3', 'Rae8'], ['Qd4', 'Qe7\n'], ['Qc4+', 'Kh8'], ['Bb2', 'Qe3+'], ['Kf1', 'Bxf3'], ['Nxf3', 'Rxf3+'], ['gxf3', 'Qxf3+'], ['Kg1', 'Re2\n'], ['Qxe2', '']]",0-1
Breslau m,Breslau,1864.??.??,?,"Zukertort, Johannes Hermann","Anderssen, Adolf",,,C37,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'g5'], ['Bc4', 'g4'], ['Ne5', 'Qh4+'], ['Kf1', 'f3'], ['d4', 'Nf6'], ['Nc3', 'Nc6\n'], ['Bxf7+', 'Kd8'], ['Bb3', 'Nxe5'], ['dxe5', 'fxg2+'], ['Kxg2', 'Qh3+'], ['Kf2', 'Bc5+'], ['Ke1', 'Qh4+\n'], ['Kd2', 'Nh5'], ['Rf1', 'Qxh2+'], ['Qe2', 'Ng3']]",0-1
Breslau m,Breslau,1864.??.??,?,"Zukertort, Johannes Hermann","Anderssen, Adolf",,,C65,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'Nf6'], ['O-O', 'Be7'], ['d4', 'exd4'], ['e5', 'Ne4'], ['Re1', 'Nc5'], ['Nxd4', 'Nxd4\n'], ['Qxd4', 'O-O'], ['Nc3', 'a6'], ['Bc4', 'b5'], ['Bd5', 'c6'], ['Bf3', 'Ne6'], ['Qd3', 'f5'], ['exf6', 'Bxf6\n'], ['Ne4', 'd5'], ['Nxf6+', 'Qxf6'], ['c3', 'Ra7'], ['Be3', 'Raf7'], ['Rad1', 'Ng5'], ['Bh5', 'g6'], ['Bd4', 'Qf5\n'], ['Bxg6', 'Rg7'], ['Bxg7', 'Qxf2+'], ['Kh1', 'Kxg7'], ['Rf1', 'Qc5'], ['Rxf8', 'Qxf8'], ['Bh5', 'Ne4\n'], ['Qd4+', 'Kh6'], ['Bf3', 'Ng5'], ['Qh4+', 'Kg6'], ['Bh5+', 'Kf6'], ['Rf1+', 'Bf5'], ['Bg4', '']]",1-0
Breslau m,Breslau,1864.??.??,?,"Zukertort, Johannes Hermann","Anderssen, Adolf",,,C65,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'Nf6'], ['O-O', 'Be7'], ['d4', 'exd4'], ['e5', 'Ne4'], ['Re1', 'Nc5'], ['Nxd4', 'Nxd4\n'], ['Qxd4', 'O-O'], ['Nc3', 'a6'], ['Bc4', 'b5'], ['Bd5', 'c6'], ['Bf3', 'Ne6'], ['Qd3', 'f5'], ['exf6', 'Bxf6\n'], ['Ne4', 'd5'], ['Nxf6+', 'Qxf6'], ['c3', 'Bd7'], ['Be3', 'Rae8'], ['Bd4', 'Qh4'], ['Be5', 'Ng5'], ['Bg3', 'Qh6\n'], ['Re3', 'Rxe3'], ['Qxe3', 'Nxf3+'], ['gxf3', 'Qxe3'], ['fxe3', 'Rxf3'], ['Re1', 'Bh3']]",0-1
Breslau m,Breslau,1864.??.??,?,"Zukertort, Johannes Hermann","Anderssen, Adolf",,,C65,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'Bc5'], ['c3', 'Nf6'], ['O-O', 'Nxe4'], ['Qe2', 'Nxf2'], ['Rxf2', 'Bxf2+'], ['Kxf2', 'f6\n'], ['Qc4', 'Ne7'], ['Ba4', 'c6'], ['Bb3', 'd5'], ['Qe2', 'O-O'], ['d4', 'Kh8'], ['dxe5', 'fxe5'], ['Qxe5', 'Bg4\n'], ['Bg5', 'Bxf3'], ['Bxe7', 'Bg4+'], ['Bxf8', 'Qxf8+'], ['Kg1', 'Re8'], ['Qg3', 'Qc5+'], ['Kh1', 'd4'], ['Nd2', 'h5\n'], ['cxd4', 'Qxd4'], ['Nf3', 'Qxb2'], ['Re1', 'Rf8'], ['Ne5', 'Bf5'], ['Qg5', '']]",1-0
Breslau m,Breslau,1864.??.??,?,"Zukertort, Johannes Hermann","Anderssen, Adolf",,,C54,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['c3', 'Nf6'], ['d4', 'exd4'], ['cxd4', 'Bb4+'], ['Bd2', 'Bxd2+'], ['Nbxd2', 'd5\n'], ['exd5', 'Nxd5'], ['O-O', 'O-O'], ['Ne4', 'h6'], ['Ne5', 'Be6'], ['a3', 'Nf4'], ['Nxc6', 'bxc6'], ['Bxe6', 'fxe6\n'], ['g3', 'Qd5'], ['f3', 'Nh3+'], ['Kg2', 'Ng5'], ['Qd3', 'c5'], ['Nxc5', 'e5'], ['Qb3', 'Qxb3'], ['Nxb3', 'Rab8\n'], ['Nd2', 'Rxb2'], ['Rad1', 'e4'], ['f4', 'Nf3'], ['Rf2', 'e3'], ['Rxf3', 'Re8'], ['Kh3', 'Rxd2'], ['Rxe3', 'Rxe3\n'], ['Rxd2', 'Rxa3'], ['Rc2', 'Rd3'], ['Rxc7', 'Rxd4'], ['Rxa7', 'Rd2'], ['f5', 'Rf2'], ['g4', 'h5'], ['Kg3', 'Rf1\n'], ['h3', 'Kh7'], ['Kh4', 'Rf3'], ['Kxh5', 'Rxh3+'], ['Kg5', 'Rf3'], ['Rf7', 'Ra3'], ['f6', 'Ra5+'], ['Kh4', 'Kg6\n'], ['Rxg7+', 'Kxf6'], ['Rg8', 'Ra1']]",1/2-1/2
Breslau m,Breslau,1864.??.??,?,"Zukertort, Johannes Hermann","Anderssen, Adolf",,,C52,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Ba5'], ['O-O', 'Nf6'], ['d4', 'O-O'], ['Bg5', 'd6\n'], ['d5', 'Ne7'], ['Bxf6', 'gxf6'], ['Nh4', 'Ng6'], ['Nxg6', 'hxg6'], ['f4', 'Bb6+'], ['Kh1', 'Kg7'], ['f5', 'Rh8\n'], ['Qg4', 'Bd7'], ['Rf3', 'Qe7'], ['Nd2', 'Rh6'], ['Rh3', 'Rah8'], ['Rxh6', 'Rxh6'], ['Rf1', 'Be3'], ['Nf3', 'Qf8\n'], ['Re1', 'Bf2'], ['Re2', 'Bc5'], ['Re1', 'Qh8'], ['Rf1', 'Kf8'], ['h3', 'gxf5'], ['exf5', 'Qh7'], ['Bd3', 'c6\n'], ['c4', 'b5'], ['dxc6', 'Bxc6'], ['cxb5', 'Bb7'], ['Rc1', 'Bb6'], ['Kh2', 'Ke7'], ['Bc2', 'Qh8'], ['Be4', 'd5\n'], ['Bxd5', 'Bxd5'], ['Qb4+', 'Kd7'], ['Rd1', 'Qa8'], ['Qd2', 'Rh8'], ['Qxd5+', 'Qxd5'], ['Rxd5+', 'Ke7\n'], ['Nd2', 'Rc8'], ['a4', 'Rc2'], ['Nb3', 'e4'], ['Nd4', 'Ra2'], ['Nc6+', 'Ke8'], ['a5', 'Bc7+'], ['Kg1', 'e3\n'], ['Rd1', 'e2'], ['Rb1', 'Bg3']]",0-1
Breslau m,Breslau,1864.??.??,?,"Zukertort, Johannes Hermann","Anderssen, Adolf",,,C66,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'Nf6'], ['O-O', 'Be7'], ['Nc3', 'd6'], ['d4', 'Bd7'], ['d5', 'Nb8'], ['Qd3', 'O-O\n'], ['Bxd7', 'Nbxd7'], ['Be3', 'Nh5'], ['Nd2', 'g6'], ['Ne2', 'f5'], ['f4', 'Ng7'], ['Rf3', 'exf4'], ['Rxf4', 'Ne5\n'], ['Qb3', 'g5'], ['Rf2', 'f4'], ['Bd4', 'Bf6'], ['h3', 'Kh8'], ['c4', 'c5'], ['Bc3', 'b6'], ['Qc2', 'Qe8'], ['b3', 'Qg6\n'], ['Nf3', 'Rae8'], ['Kh1', 'g4'], ['Nxe5', 'dxe5'], ['Rg1', 'Nh5'], ['Qd3', 'Qh6'], ['g3', 'f3'], ['Bd2', 'Bg5\n'], ['Bxg5', 'Qxg5'], ['Nc3', 'Qh6'], ['Nd1', 'Rg8'], ['Qe3', 'Rg5'], ['Kh2', 'Nf4'], ['h4', 'Rh5'], ['Rh1', 'Rf8\n'], ['Nc3', 'Rxh4+'], ['gxh4', 'g3+']]",0-1
Breslau m,Breslau,1865.??.??,?,"Zukertort, Johannes Hermann","Anderssen, Adolf",,,C52,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Ba5'], ['d4', 'exd4'], ['O-O', 'dxc3'], ['Qb3', 'Qf6\n'], ['e5', 'Qg6'], ['Nxc3', 'Bxc3'], ['Qxc3', 'Nh6'], ['Ba3', 'b6'], ['e6', 'fxe6'], ['Bxe6', 'Ba6'], ['Rfe1', 'O-O-O\n'], ['Qxc6', 'Bb7'], ['Qc3', 'dxe6'], ['Rec1', 'Rd7'], ['Bd6', 'Kb8'], ['Bg3', 'Nf7'], ['a4', 'h5'], ['h4', 'e5\n'], ['a5', 'Qe4'], ['axb6', 'axb6'], ['Re1', 'Qc6'], ['Qa3', 'Qd6'], ['Qa7+', 'Kc8'], ['Rad1', 'Qxd1'], ['Rxd1', 'Rxd1+\n'], ['Kh2', 'Rd5'], ['Qa4', 'b5'], ['Qc2', 'Nd6'], ['Qg6', 'Re8'], ['Qxh5', 'b4'], ['Nxe5', 'b3'], ['Qe2', 'Rb5\n'], ['Qb2', 'Nf5'], ['Bf4', 'Re6'], ['Nd3', 'Re4'], ['Qc1', 'c5'], ['f3', 'Re2'], ['Qc4', 'Nd4'], ['Qg8+', 'Kd7\n'], ['Qxg7+', 'Kc6'], ['Qc7+', 'Kd5'], ['Nxc5', 'b2'], ['Na4', 'Rc2'], ['Qf7+', 'Kc6'], ['Qc7+', 'Kd5'], ['Qf7+', '']]",1/2-1/2
