Moscow op,Moscow,1989.??.??,?,"Zvjaginsev, Vadim","Losev, Dmitry",,,A40,"[['d4', 'g6'], ['g3', 'Bg7'], ['Bg2', 'c5'], ['c3', 'Qb6'], ['d5', 'Nf6'], ['e4', 'O-O'], ['Ne2', 'e6'], ['O-O', 'exd5\n'], ['exd5', 'd6'], ['a4', 'Bg4'], ['h3', 'Bxe2'], ['Qxe2', 'Nbd7'], ['Na3', 'Rae8'], ['Qb5', 'Qc7'], ['Nc4', 'Ne5\n'], ['Nxe5', 'Rxe5'], ['Bf4', 'Re7'], ['Rfe1', 'Rfe8'], ['Kf1', 'a6'], ['Qc4', 'Nd7'], ['Rxe7', 'Rxe7'], ['Re1', 'Rxe1+\n'], ['Kxe1', 'Be5'], ['Be3', 'Qa5'], ['Qb3', 'Nb6'], ['Bf3', 'Nxa4'], ['Qxb7', 'Qb5'], ['Qxb5', 'axb5'], ['Bc1', 'b4\n'], ['cxb4', 'cxb4'], ['Be2', 'Nxb2'], ['Bb5', 'Bc3+'], ['Ke2', 'Kf8'], ['Bg5', 'f6'], ['Be3', 'Ke7'], ['Bb6', 'g5\n'], ['f4', 'gxf4'], ['gxf4', 'f5'], ['Ba5', 'Kf7'], ['Bd8', 'Kf8'], ['Bc7', 'Ke7'], ['Ba5', '']]",1/2-1/2
Moscow op,Moscow,1989.??.??,?,"Zvjaginsev, Vadim","Kogan, Izrail",,,D46,"[['d4', 'd5'], ['c4', 'c6'], ['Nf3', 'Nf6'], ['Nc3', 'e6'], ['e3', 'Nbd7'], ['Qc2', 'Bd6'], ['Be2', 'O-O'], ['O-O', 'dxc4\n'], ['Bxc4', 'e5'], ['Bb3', 'exd4'], ['exd4', 'h6'], ['Bxh6', 'gxh6'], ['Qg6+', 'Kh8'], ['Qxh6+', 'Kg8'], ['Qg6+', 'Kh8\n'], ['Qh6+', 'Kg8'], ['Ng5', 'Bf4'], ['Qg6+', 'Kh8'], ['Qh6+', 'Kg8'], ['Nce4', 'Bxg5'], ['Qxg5+', 'Kh8\n'], ['Nd6', 'Nb6'], ['Nxf7+', 'Rxf7'], ['Bxf7', 'Bd7'], ['Rfe1', 'Nh7'], ['Qh5', 'Qg5'], ['Qxg5', 'Nxg5\n'], ['Bb3', 'Nd5'], ['Bxd5', 'cxd5'], ['Re7', 'Rd8'], ['Rae1', 'Ne4'], ['f3', 'Nd6'], ['R1e5', 'Bc6'], ['Kf2', 'Kg8\n'], ['g4', 'Nc4'], ['Rg5+', 'Kf8'], ['Reg7', 'Re8'], ['Rg8+', 'Kf7'], ['R8g7+', 'Kf8'], ['Rg8+', 'Ke7'], ['Rxe8+', 'Kxe8\n'], ['b3', 'Nd6'], ['h4', 'Kf8'], ['h5', 'Nf7'], ['Rg6', 'Nh8'], ['Rf6+', 'Kg7'], ['g5', 'Be8'], ['h6+', 'Kh7\n'], ['f4', 'Bb5'], ['f5', 'Bd3'], ['Rf8', 'Bb1'], ['a3', 'a5'], ['Ke3', 'Bc2'], ['b4', 'axb4'], ['axb4', 'b5\n'], ['Kf4', '']]",1-0
Moscow op,Moscow,1989.??.??,?,"Bukhtin, Vladimir S","Zvjaginsev, Vadim",,,E04,"[['d4', 'd5'], ['c4', 'e6'], ['Nf3', 'Nf6'], ['g3', 'dxc4'], ['Qa4+', 'Nc6'], ['Bg2', 'Nd7'], ['Qxc4', 'Nb6'], ['Qd3', 'e5\n'], ['O-O', 'exd4'], ['Rd1', 'Be7'], ['Na3', 'O-O'], ['Nc2', 'Bf6'], ['Nfxd4', 'Nxd4'], ['Nxd4', 'c5'], ['Nb5', 'Bf5\n'], ['e4', 'Bg4'], ['Bf3', 'Qxd3'], ['Rxd3', 'c4'], ['Ra3', 'Bxf3'], ['Rxf3', 'Rad8'], ['Be3', 'Bxb2'], ['Bxb6', 'Bxa1\n'], ['Bxd8', 'Rxd8'], ['Rf5', 'Bb2'], ['Nxa7', 'g6'], ['Rc5', 'Bd4'], ['Rxc4', 'Bxa7'], ['Rc7', 'Rd2'], ['Rxb7', 'Bxf2+']]",0-1
Moscow op,Moscow,1989.??.??,?,"Baikov, Vladimir A","Zvjaginsev, Vadim",,,D46,"[['d4', 'd5'], ['c4', 'e6'], ['Nf3', 'Nf6'], ['Nc3', 'c6'], ['e3', 'Nbd7'], ['Bd3', 'g6'], ['O-O', 'Bg7'], ['b4', 'O-O\n'], ['b5', 'c5'], ['Ba3', 'b6'], ['Rc1', 'Bb7'], ['cxd5', 'exd5'], ['Na4', 'c4'], ['Bxf8', 'Bxf8'], ['Bb1', 'a6\n'], ['Nc3', 'axb5'], ['Nxb5', 'Ra5'], ['a4', 'Ba6'], ['Bc2', 'Bxb5'], ['axb5', 'Rxb5'], ['Rb1', 'Ra5'], ['Ne5', 'Nxe5\n'], ['dxe5', 'Nd7'], ['Qd4', 'Qc7'], ['Ra1', 'Qxe5'], ['Qxe5', 'Nxe5'], ['Rxa5', 'bxa5'], ['Rd1', 'Nc6'], ['Rxd5', 'Nb4\n'], ['Rd2', 'c3'], ['Re2', 'Bc5'], ['Kf1', 'Kf8'], ['Ke1', 'Ke7'], ['Kd1', 'Kd6'], ['Kc1', 'Kd5'], ['Re1', 'Kc4\n'], ['Rd1', 'Nd5'], ['Ba4', 'Nb4'], ['Kb1', 'Nd5'], ['Be8', 'Kb3'], ['Ba4+', 'Kc4'], ['Be8', 'Kb3'], ['Rc1', 'c2+\n'], ['Rxc2', 'Nc3+'], ['Kc1', 'Ba3+'], ['Kd2', 'Ne4+'], ['Kd3', 'Nc5+'], ['Rxc5', 'Bxc5'], ['Bxf7+', 'Kb4\n'], ['f4', 'a4'], ['e4', 'Bg1'], ['h3', 'Bh2'], ['Ke3', 'Kc5'], ['Ba2', 'a3'], ['g4', 'Kc6'], ['e5', 'g5'], ['fxg5', 'Bxe5\n'], ['Ke4', 'Kd6'], ['Kf5', 'Bg7'], ['h4', 'Ke7'], ['h5', 'Bc3'], ['g6', 'h6'], ['g5', 'hxg5'], ['h6', 'Kf8'], ['Kxg5', 'Bd2+\n'], ['Kh5', 'Bc3'], ['Kg4', 'Bb2'], ['Kf5', 'Bc3']]",1/2-1/2
Moscow op,Moscow,1989.??.??,?,"Zvjaginsev, Vadim","Yuferov, Sergey  N",,,E20,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['Nf3', 'c5'], ['g3', 'Ne4'], ['Qd3', 'cxd4'], ['Nxd4', 'Bxc3+'], ['bxc3', 'Nc5\n'], ['Qe3', 'b6'], ['Bg2', 'Bb7'], ['Bxb7', 'Nxb7'], ['Qe4', 'Nc6'], ['Nxc6', 'dxc6'], ['Ba3', 'Qc7'], ['O-O', 'c5\n'], ['Rad1', 'O-O'], ['Bc1', 'Na5'], ['Rd3', 'Qc6'], ['Qg4', 'e5'], ['Rfd1', 'Qg6'], ['Qh4', 'e4'], ['Rd5', 'f6\n'], ['Qh3', 'Rfe8'], ['Qd7', 'Nxc4'], ['Bf4', 'e3'], ['fxe3', 'Qe4'], ['R1d3', 'Nb2'], ['Rd2', 'Nc4'], ['R2d3', 'Re7\n'], ['Qc6', 'Rae8'], ['h4', 'Nb2'], ['Rd2', 'Nc4'], ['R2d3', 'h6'], ['h5', 'Nb2'], ['Rd2', 'Nc4'], ['R2d3', 'Ne5\n'], ['Bxe5', 'Rxe5'], ['Rd6', 'Rxh5'], ['Qxe8+', 'Qxe8'], ['Rd8', 'Re5'], ['Kf2', 'Kf8'], ['Rxe8+', 'Kxe8\n'], ['Kf3', 'Re7'], ['Rd6', 'Rd7'], ['Re6+', 'Kd8'], ['a4', 'Rd1'], ['Re4', 'Rf1+'], ['Kg2', 'Rc1'], ['Rg4', 'g5\n'], ['Rc4', 'Kd7'], ['Kf3', 'h5'], ['Ke4', 'Ke6'], ['Kd3', 'Kd5'], ['e4+', 'Ke5']]",0-1
URS-ch qual,Ashkhabad,1990.??.??,?,"Zvjaginsev, Vadim","Guliev, Sarhan",,,A84,"[['d4', 'd5'], ['c4', 'c6'], ['Nf3', 'e6'], ['Nc3', 'f5'], ['Bf4', 'Nf6'], ['e3', 'Be7'], ['h3', 'Ne4'], ['g4', 'Nd7'], ['gxf5', 'exf5\n'], ['cxd5', 'cxd5'], ['Qb3', 'Nxc3'], ['bxc3', 'Qa5'], ['Ng5', 'Nb6'], ['Bb5+', 'Bd7'], ['Bxd7+', 'Kxd7\n'], ['O-O', 'Bxg5'], ['Bxg5', 'Rac8'], ['Qd1', 'Qxc3'], ['Qh5', 'Ke6'], ['Rac1', 'Qxc1'], ['Rxc1', 'Rxc1+\n'], ['Kg2', 'Rcc8'], ['Bh4', 'Rcf8'], ['Qg5', 'Rf7'], ['f3', 'Rc8'], ['e4', 'g6'], ['Bg3', 'Nc4'], ['h4', 'Rcf8\n'], ['h5', 'gxh5'], ['Qh6+', 'Rf6'], ['Qxh7', 'fxe4'], ['fxe4', 'R8f7'], ['Qxh5', 'dxe4'], ['d5+', 'Kd7\n'], ['Qg4+', 'Kd8'], ['Qxe4', 'Nd6'], ['Qh4', 'Nf5'], ['Qf4', 'Rg6'], ['Qb8+', 'Ke7'], ['d6+', 'Nxd6'], ['Qc7+', 'Ke8\n'], ['Qb8+', 'Kd7'], ['Qxa7', 'Rfg7'], ['Qa4+', 'Ke7'], ['Qh4+', 'Ke6']]",0-1
URS-ch qual,Ashkhabad,1990.??.??,?,"Solozhenkin, Evgeniy","Zvjaginsev, Vadim",,,D47,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'c6'], ['Nf3', 'Nf6'], ['e3', 'Nbd7'], ['Bd3', 'dxc4'], ['Bxc4', 'b5'], ['Bd3', 'Bd6\n'], ['O-O', 'O-O'], ['Ne4', 'Nxe4'], ['Bxe4', 'Bb7'], ['Qc2', 'f5'], ['Bd3', 'c5'], ['Qe2', 'c4'], ['Bc2', 'Nf6\n'], ['h3', 'Ne4'], ['Nd2', 'Qh4'], ['Nxe4', 'fxe4'], ['Qg4', 'Qxg4'], ['hxg4', 'Rf6'], ['Bd2', 'Raf8'], ['a3', 'Rh6\n'], ['g3', 'Kf7'], ['Bb4', 'Ke7'], ['b3', 'c3'], ['Rac1', 'Rc8'], ['Bd1', 'Bxb4'], ['axb4', 'e5'], ['dxe5', 'Re6\n'], ['Bc2', 'Rxe5'], ['Rfd1', 'Rd5'], ['Rxd5', 'Bxd5'], ['Kf1', 'Bb7'], ['Rd1', 'Rd8'], ['Ke1', 'Rxd1+'], ['Kxd1', 'Bd5\n'], ['Kc1', 'h6'], ['Bd1', 'a5'], ['bxa5', 'b4'], ['Kc2', 'Kd6'], ['Be2', 'Kc7'], ['g5', 'hxg5'], ['Bf1', 'Kb7\n'], ['Be2', 'Be6'], ['Bf1', 'Ka7'], ['Bb5', 'Bd5'], ['Be2', 'Bb7'], ['Kc1', 'Ba6'], ['Bg4', 'Bd3'], ['Bc8', 'Kb8\n'], ['Bd7', 'Kb7'], ['Be6', 'Ka6'], ['Bc8+', 'Kxa5'], ['Bd7', 'Kb6'], ['Bg4', 'Kc5'], ['Bd7', 'Kd6'], ['Bg4', 'Ke5\n'], ['Bd7', 'Kf6'], ['Bg4', 'Kg6'], ['Bd7', 'Kh5'], ['Be6', 'Be2'], ['Kc2', 'Bf3'], ['Bf7+', 'Kh6'], ['Be6', 'Kg6\n'], ['Bd7', 'Kf6'], ['Bc8', 'Bh5'], ['Bd7', 'Bg6'], ['Bg4', 'Bf5'], ['Be2', 'Be6'], ['g4', 'Bd7'], ['Kc1', 'Ke5\n'], ['Kc2', 'Kd6'], ['Kc1', 'Kc5'], ['Kc2', 'Bb5'], ['Bxb5', 'Kxb5']]",1/2-1/2
URS-ch qual,Ashkhabad,1990.??.??,?,"Zvjaginsev, Vadim","Ivanov, Ale",,,D07,"[['d4', 'd5'], ['c4', 'Nc6'], ['Nc3', 'Nf6'], ['Nf3', 'dxc4'], ['e4', 'Bg4'], ['Be3', 'e6'], ['Bxc4', 'Bb4'], ['d5', 'Bxf3\n'], ['gxf3', 'exd5'], ['exd5', 'Bxc3+'], ['bxc3', 'Ne7'], ['Bb5+', 'c6'], ['dxc6', 'bxc6'], ['Qxd8+', 'Rxd8\n'], ['Ba4', 'Nfd5'], ['c4', 'Nb6'], ['Bb3', 'Nf5'], ['Rd1', 'Rxd1+'], ['Kxd1', 'Nxe3+'], ['fxe3', 'Ke7'], ['Rg1', 'g6\n'], ['Rg5', 'f5'], ['h4', 'Kf6'], ['e4', 'Re8'], ['exf5', 'gxf5'], ['Rh5', 'Kg6'], ['Rg5+', 'Kf6'], ['Rh5', '']]",1/2-1/2
URS-ch qual,Ashkhabad,1990.??.??,?,"Zvjaginsev, Vadim","Kanstler, Boris",,,A42,"[['d4', 'g6'], ['c4', 'd6'], ['Nc3', 'Bg7'], ['e4', 'Nd7'], ['Nf3', 'e5'], ['Be2', 'Ne7'], ['h4', 'exd4'], ['Nxd4', 'Nc6\n'], ['Bg5', 'Bf6'], ['Nd5', 'Bxg5'], ['hxg5', 'O-O'], ['f4', 'Re8'], ['Bf3', 'f6'], ['Nb5', 'fxg5'], ['Ndxc7', 'g4\n'], ['Qd5+', 'Kg7'], ['Nxe8+', 'Qxe8'], ['Nc7', 'Qe7'], ['Qe6', 'Qxe6'], ['Nxe6+', 'Kh8'], ['Bxg4', 'Nf6\n'], ['Nc7', 'Bxg4'], ['Nxa8', 'Nxe4'], ['Rh4', 'h5'], ['Nc7', 'Kg7'], ['Nb5', 'Kf6'], ['Nc3', 'Nxc3'], ['bxc3', 'Na5\n'], ['Rb1', 'b6'], ['Rb4', 'Kf5'], ['Kf2', 'Nb7'], ['Ke3', 'Bd1'], ['g3', 'Nc5'], ['Rb2', 'Ne4'], ['Rb5+', 'Nc5\n'], ['Rh2', 'Bg4'], ['Rd2', 'Ke6'], ['Rxc5', 'dxc5'], ['Rd8', 'Bf5'], ['Ra8', 'Kd6'], ['Rxa7', 'Kc6'], ['Kd2', 'Be6\n'], ['Rg7', 'Bf5'], ['Kc1', 'Kd6'], ['Rb7', 'Kc6'], ['Rf7', 'Kd6'], ['a4', 'Kc6'], ['Kb2', 'Be4'], ['Kb3', 'Bd3\n'], ['Rf6+', 'Kc7'], ['a5', 'bxa5'], ['Ka4', '']]",1-0
URS-ch qual,Ashkhabad,1990.??.??,?,"Zvjaginsev, Vadim","Kudriashov, Anatoli",,,E90,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Be2', 'O-O'], ['Nf3', 'e5'], ['d5', 'a5'], ['h3', 'Na6'], ['Bg5', 'h6\n'], ['Be3', 'Nc5'], ['Nd2', 'Bd7'], ['h4', 'c6'], ['g4', 'cxd5'], ['cxd5', 'Ne8'], ['Nb3', 'b6'], ['Qd2', 'Kh7\n'], ['h5', 'g5'], ['f3', 'Nc7'], ['O-O', 'Bf6'], ['Rab1', 'Qe8'], ['Rfc1', 'N7a6'], ['Nxc5', 'bxc5'], ['b3', 'Qb8\n'], ['a3', 'Qb7'], ['Rb2', 'Rfb8'], ['Rcb1', 'Bd8'], ['Bc4', 'Qc8'], ['Qe2', 'Rb6'], ['a4', 'Nc7'], ['Bd2', 'Qb8\n'], ['Nd1', 'Be7'], ['Bc3', 'Qa7'], ['Kg2', 'f6'], ['Ne3', 'Rbb8'], ['Qd2', 'Bd8'], ['Bf1', 'Ne8'], ['Nc4', 'Rb7\n'], ['Na3', 'Nc7'], ['Be2', 'Rbb8'], ['Bc4', 'Rb7'], ['Qe2', 'Rbb8'], ['Ra1', 'Qb6'], ['Bd3', 'Qa7'], ['Nc4', 'Ne8']]",1/2-1/2
